Connector Type,Тип на конектора
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,"Не можете да промените потребителските данни в демонстрацията. Моля, регистрирайте се за нов профил на адрес https://erpnext.com"
New Email,нов имейл
Cancel,Отказ
Print Style Name,Име на стила за печат
Standard Print Format cannot be updated,Стандартният формат за печат не може да се актуализира
Applicable For,Приложимо за
Font Size (px),Размер на шрифта (px)
Only {0} emailed reports are allowed per user,Разрешени са само {0} изпратени по имейл отчети на потребител
Thank you for your comment. It will be published after approval,Благодаря за коментара. Той ще бъде публикуван след одобрение
Chat Operators,Оператори на чат
Success,успех
Upload Failed,Качването не бе успешно
bullhorn,рупор
Address and Contacts,Адрес и контакти
Timezone,Часова зона
Please enter Base URL,"Моля, въведете Основен URL адрес"
Email Reply Help,Email Help Help
Choose authentication method to be used by all users,"Изберете метод за удостоверяване, който да се използва от всички потребители"
Parent Error Snapshot,Снимка на родителските грешки
GCalendar Account,GCalendar Сметка
Language Name,Име на езика
Customize Form,Персонализиране на формуляр
Image Field,Поле за изображение
Added {0} ({1}),Добавено {0} ({1})
Click here to post bugs and suggestions,"Кликнете тук, за да публикувате грешки и предложения"
No records deleted,Не са изтрити записи
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Разрешенията на по-високи нива са разрешения на ниво поле. Всички полета имат ниво на разрешително, настроено срещу тях, а правилата, определени по време на разрешенията, се отнасят за полето. Това е полезно в случай, че искате да скриете или да направите само поле за четене само за някои роли."
Source Name,Име на източника
Edit HTML,Редактирайте HTML
Printer Settings...,Настройки на принтера ...
UID,UID
Move to Row Number,Преместване в номер на ред
ap-northeast-1,ап-североизток-1
Assigned,целеви
QR Code,QR Code
Guest,гост
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Стандартното известие не може да се редактира. За да редактирате, моля, деактивирайте това и го дублирайте"
Newsletter Email Group,Група за имейли на бюлетина
Mention transaction completion page URL,Посочете URL адреса на страницата за приключване на транзакция
hand-down,ръката надолу
Direct room with {0} already exists.,Директната стая с {0} вече съществува.
Invalid Output Format,Невалиден формат на изхода
PDF,PDF
{0} logged out: {1},{0} излезе: {1}
Doctype,Doctype
Not Sent,Не е изпратено
You have exceeded the max space of {0} for your plan. {1}.,Превишили сте максималното пространство от {0} за плана си. {1}.
Limit Number of DB Backups,Граничен брой резервни копия на БД
{0} criticized your work on {1} with {2} points,{0} критикува работата ви в {1} с {2} точки
Send Me A Copy of Outgoing Emails,Изпрати ми копие на изходящи имейли
Sorry! You are not permitted to view this page.,За съжаление! Нямате право да разглеждате тази страница.
Letter Head in HTML,Писмо в HTML
Form Customization,Персонализиране на формуляри
Assign to me,Задайте ми
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","Наскоро са се регистрирали твърде много потребители, така че регистрацията е деактивирана. Моля, опитайте отново след час"
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Файл с икони с разширение .ico. Трябва да бъде 16 x 16 px. Генериран с помощта на генератор на Favicon. [Favicon-generator.org]
Setting this Address Template as default as there is no other default,"Задаването на този шаблон за адрес по подразбиране, тъй като няма друг подразбиране"
QZ Tray Failed: ,Неуспешно QZ тава:
Google Maps integration is not enabled,Интегрирането с Google Карти не е активирано
Apply this rule if the User is the Owner,"Прилагайте това правило, ако Потребителят е Собственикът"
Org History Heading,Заглавие на историята на Org
Server Error,грешка в сървъра
Standard roles cannot be renamed,Стандартните роли не могат да бъдат преименувани
Review Points,Точки за преглед
Missing parameter Kanban Board Name,Липсва параметър Kanban Board Name
Added,Добавен
Doctype required,Изисква се Doctype
Print Sent to the printer!,Печат Изпратено до принтера!
Password Updated,Актуализирана парола
Shipping,Доставка
Updated,Обновено
Image Link,Връзка с изображения
You selected Draft or Cancelled documents,Избрали сте чернови или отменени документи
Print,печат
{0} does not exist in row {1},{0} не съществува в ред {1}
Currently updating {0},В момента се актуализира {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Не е в режим за разработчици! Задайте в site_config.json или направете &#39;Custom&#39; DocType.
gained {0} points,спечели {0} точки
Success Message,Съобщение за успех
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Описание на страницата за включване в обикновен текст, само няколко реда. (макс. 140 знака)"
Show Permissions,Показване на разрешения
Restrict To Domain,Ограничаване до домейн
Sidebar Items,Елементи на страничната лента
Not a valid User Image.,Не е валидно потребителско изображение.
Mark as Unread,Маркирай като непрочетено
The document has been assigned to {0},Документът е присвоен на {0}
{0} {1} not found,{0} {1} не е намерен
Chat Room User,Потребител на чат стая
Slideshow like display for the website,Показване на слайдшоу като уебсайт
Print Format,Формат за печат
Auto Reply Message,Съобщение за автоматичен отговор
Restored,Възстановен
viewed,гледани
Submit an Issue,Подайте проблем
on_update,on_update
Invalid {0} condition,Невалидно условие {0}
Not Ancestors Of,Не са предци на
Set Quantity,Задайте количество
End Date,Крайна дата
Next State,Следваща държава
Is First Startup,Първо стартиране
updated to {0},актуализирано до {0}
Move To,Преместване в
Administrator Logged In,Администраторът е влязъл
Status,Статус
Please confirm your action to {0} this document.,"Моля, потвърдете действието си на {0} този документ."
Note:,Забележка:
bell,звънец
Template Name,Име на шаблон
Org History,История на Org
Translatable,преводим
{0}: Cannot set Cancel without Submit,{0}: Не може да се зададе Отказ без Изпращане
Send enquiries to this email address,Изпратете запитвания до този имейл адрес
Temporarily Disabled,Временно забранено
Unsubscribe,Отписване
Dashboard Chart Link,Връзка на диаграмата на таблото
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Файлът не може да бъде изтрит, тъй като принадлежи към {0} {1}, за който нямате разрешения"
Dear,скъп
Generate New Report,Генериране на нов отчет
This email is autogenerated,Този имейл се генерира автоматично
Forgot Password,Забравена парола
Child Tables are shown as a Grid in other DocTypes,Таблиците за деца се показват като Мрежа в други DocTypes
Unselect All,Деселектирайте всички
File Size,Размер на файла
Unable to read file format for {0},Не може да се чете файлов формат за {0}
User Roles,Потребителски роли
Text Align,Подравняване на текст
Set Filters,Задаване на филтри
Transitions,Преходите
Create a new ,Създайте ново
Invalid field name {0},Невалидно име на поле {0}
Web Form,Уеб формуляр
Chat Room,Чат стая
Data Migration Connector,Конектор за миграция на данни
New Folder,Нова папка
repeat,повторение
You must login to submit this form,"Трябва да влезете, за да изпратите този формуляр"
Sorry! You cannot delete auto-generated comments,За съжаление! Не можете да изтривате автоматично генерирани коментари
Track Views,Преглед на следите
Allow events in timeline,Разрешаване на събития в времевата скала
Module Def,Модул Def
Set Meta Tags,Задайте мета тагове
Created,Създаден
Core,сърцевина
Criticize,критикувам
Warning: Unable to find {0} in any table related to {1},"Предупреждение: не може да се намери {0} във всяка таблица, свързана с {1}"
{0} Calendar,{0} Календар
Data Import Template,Шаблон за импортиране на данни
hand-left,ръчно наляво
Backup Size:,Размер на архива:
Linked with {0},Свързано с {0}
Private Key,Личен ключ
{0}: Cannot set import as {1} is not importable,"{0}: Не може да се зададе импортиране като {1}, което да не може да се импортира"
Away,далеч
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Връщането на дължината до {0} за „{1}“ в „{2}“; Задаването на дължината като {3} ще доведе до прекъсване на данните.
Select a group node first.,Първо изберете групов възел.
toggle Tag,превключвате Tag
"Newsletters to contacts, leads.","Бюлетини за контакти, водещи."
Read Only,Само за четене
No document selected,Няма избран документ
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Ако е активирано, потребителят може да се логва от всеки IP адрес, използвайки функцията за два фактора, като това може да бъде зададено и за всички потребители в системните настройки"
Auto Repeat has been {0},Автоматичното повторение е {0}
John Doe,Джон Доу
This document has been modified after the email was sent.,Този документ е променен след изпращането на имейла.
Notify if unreplied,"Уведомете, ако не сте отговорили"
Introductory information for the Contact Us Page,Уводна информация за страницата за контакти
**Currency** Master,** Валута ** Master
Custom Sidebar Menu,Меню на персонализирана странична лента
Is Submittable,Може да се подаде
Only Administrator is allowed to use Recorder,Само Администратор може да използва Рекордера
Password is required or select Awaiting Password,Изисква се парола или изберете Awaiting Password
Note: Other permission rules may also apply,Забележка: Може да се прилагат и други правила за разрешение
Notes: ,Забележки:
Custom CSS,Персонализиран CSS
Invalid CSV Format,Невалиден CSV формат
Content Type,Тип съдържание
Password not found,Паролата не е намерена
Clear,ясно
This document cannot be reverted,Този документ не може да бъде възстановен
Hello!,Здравейте!
Report was not saved (there were errors),Отчетът не бе запазен (имаше грешки)
Allow user to login only before this hour (0-24),Позволява на потребителя да влезе само преди този час (0-24)
Add More,Добави още
You can also copy-paste this link in your browser,Можете също да копирате тази връзка в браузъра си
Add fields to forms.,Добавете полета към формулярите.
User is mandatory for Share,Потребителят е задължителен за Споделяне
Verify,"Уверете се,"
Enter Email Recipient(s),Въведете получател (и) на имейла
Recorder,магнетофон
Interest,интерес
Limit,лимит
Print taxes with zero amount,Печат на данъци с нулева сума
Book,Книга
Access Key ID,Достъп до ID на ключ
URLs,URL адреси
Names and surnames by themselves are easy to guess.,Имената и фамилиите сами по себе си са лесни за отгатване.
Report {0},Отчет {0}
Team Members Heading,Заглавие на членовете на екипа
Document {0} has been set to state {1} by {2},Документът {0} е настроен на състояние {1} от {2}
Address Template,Шаблон за адрес
step-backward,стъпка назад
Not Found,Не е намерен
Banner Image,Изображение на банера
Not a valid Workflow Action,Не е валидно действие от работния процес
API Endpoint Args,Крайни точки на API
Gateway,врата
Setup Auto Email,Настройка на автоматичен имейл
Represents the states allowed in one document and role assigned to change the state.,"Представя състоянията, позволени в един документ, и ролята, зададена за промяна на състоянието."
Login with LDAP,Влезте с LDAP
Please enable pop-ups,"Моля, активирайте изскачащите прозорци"
See the document at {0},Вижте документа на адрес {0}
Type,Тип
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Подаденият запис не може да бъде изтрит.
refresh_token,refresh_token
Amend,"изменя,"
Export,износ
Show in filter,Показване във филтъра
It is necessary to take this action today itself for the above mentioned recurring,Необходимо е да предприемем това действие и днес за гореспоменатото
Export Custom Permissions,Експортиране на персонализирани разрешения
None: End of Workflow,Няма: Край на работния процес
Version,версия
6 months,6 месеца
Group,група
There is some problem with the file url: {0},Има проблем с URL адреса на файла: {0}
Customize Form Field,Персонализиране на полето за формуляри
Comment can only be edited by the owner,Коментарът може да се редактира само от собственика
Document Follow,Следвайте документа
Did not find {0} for {0} ({1}),Не намерих {0} за {0} ({1})
URL,URL
Parent is required to get child table data,Родителят е длъжен да получи данни за дъщерна таблица
A log of request errors,Дневник на грешките на заявките
User not allowed to delete {0}: {1},Потребителят не може да изтрива {0}: {1}
dd-mm-yyyy,дд мм гггг
eject,изхвърлям
Drag and Drop tool to build and customize Print Formats.,Плъзнете и пуснете инструмент за изграждане и персонализиране на форматите за печат.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Ако е отметнато, това поле няма да бъде презаписано въз основа на Fetch From, ако вече съществува стойност."
Currently Viewing,В момента разглеждате
Not allowed for {0}: {1}. Restricted field: {2},Не е разрешено за {0}: {1}. Ограничено поле: {2}
Slack,застой
Please duplicate this to make changes,"Моля, дублирайте това, за да направите промени"
Repeat On,Повторете Вкл
Login After,Вход след
Folder {0} is not empty,Папката {0} не е празна
File Type,Тип файл
Enable Raw Printing,Активиране на груб печат
Further nodes can be only created under 'Group' type nodes,Допълнителни възли могат да се създават само под възли тип &quot;Група&quot;
signal,сигнал
Cannot edit a standard report. Please duplicate and create a new report,"Стандартният отчет не може да се редактира. Моля, дублирайте и създайте нов отчет"
Sales Master Manager,Мениджър продажби
Bulk Edit {0},Групово редактиране {0}
Preparing Report,Подготвяне на отчет
{0} criticized your work on {1} with {2} point,{0} критикува работата ви на {1} с точка {2}
Verdana,Verdana
Unsubscribed,Отписахте
DocPerm,DocPerm
Fold can not be at the end of the form,Сгъването не може да бъде в края на формуляра
Server IP,IP на сървъра
{0} Tree,{0} Дърво
Send Password,Изпращане на парола
All Day,Цял ден
Parent is the name of the document to which the data will get added to.,"Родител е името на документа, към който ще се добавят данните."
Block Module,Блоков модул
(Ctrl + G),(Ctrl + G)
Points,точки
API Endpoint,Крайна точка на API
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Вижте https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region за подробности.
App Client Secret,Тайната на приложението на клиента
Original Value,Първоначална стойност
Attach Image,Прикачване на изображението
Your system is being updated. Please refresh again after a few moments,"Системата ви се актуализира. Моля, опреснете отново след няколко минути"
Add / Manage Email Accounts.,Добавяне / управление на имейл акаунти.
Third Party Authentication,Удостоверяване на трети лица
1 year,Една година
{0} reverted your points on {1},{0} върна точките ви на {1}
arrow-down,стрелка надолу
Ignore encoding errors,Игнорирайте грешките при кодирането
Letter Head Name,Име на главата на писмото
Client Script,Клиентски скрипт
Higher priority rule will be applied first,Първо ще се прилага правило за по-висок приоритет
Content (HTML),Съдържание (HTML)
{0} appreciation points for {1} {2},{0} точки за оценка за {1} {2}
Search in a document type,Търсете в тип документ
Only Administrator is allowed to create Dashboard Chart Sources,Само Администратор има право да създава Източници на диаграми на таблото
Only 200 inserts allowed in one request,Допускат се само 200 вмъквания в една заявка
Kanban Board Name,Име на кабинета на Канбан
Group Label,Етикет на групата
thumbs-up,вдигнат палец
Reload,Презареди
{0} added,Добавен е {0}
{0} to {1},{0} до {1}
Attach File,Прикачите файл
Expose Recipients,Изложи получателите
ToDo,Да направя
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различни „държави“, в които може да съществува този документ. Като „Отваряне“, „Очаквано одобрение“ и др."
Weekly,седмично
Preview HTML,Визуализация на HTML
GSuite Templates,Шаблони за GSuite
Force Show,Принудително показване
Deleted Name,Изтрито име
Home,У дома
User can login using Email id or User Name,Потребителят може да влезе с помощта на имейл адрес или потребителско име
Assign a permission level to the field.,Задайте ниво на разрешение на полето.
Error: Value missing for {0}: {1},Грешка: Липсва стойност за {0}: {1}
ap-northeast-3,ап-североизток-3
Please enter Redirect URL,"Моля, въведете URL адрес за пренасочване"
Allow on Submit,Разрешаване на изпращането
Table {0} cannot be empty,Таблица {0} не може да бъде празна
minus-sign,минус знак
Phone,телефон
Clear all roles,Изчистете всички роли
Example,пример
You need write permission to rename,Нуждаете се от разрешение за запис за преименуване
Advanced Control,Разширено управление
Path to Server Certificate,Сертификат за път към сървър
If Checked workflow status will not override status in list view,Ако статусът Проверен работен поток няма да замени състоянието в изглед на списък
Updating {0},Актуализиране на {0}
Logged in as Guest or Administrator,Влезли сте като гост или администратор
Green,зелен
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"За новите записи са необходими само задължителни полета. Можете да изтриете незадължителни колони, ако желаете."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} трябва да започва и завършва с буква и може да съдържа само букви, тире или долна черта."
Create User Email,Създайте имейл на потребителя
Sort field {0} must be a valid fieldname,Полето за сортиране {0} трябва да е валидно име на поле
Filter Meta,Филтър Meta
Category Name,Име на категория
Javascript to append to the head section of the page.,Javascript за добавяне към главата на страницата.
Allow Delete,Разрешаване на изтриване
Authorize URL,Оторизирайте URL адреса
This feature is brand new and still experimental,Тази функция е съвсем нова и все още експериментална
S3 Backup Settings,S3 Настройки за архивиране
Not Seen,Невидян
Not Like,Не като
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Вмъкване след полето „{0}“, споменато в персонализираното поле „{1}“, с етикет „{2}“, не съществува"
Refresh Form,Обновяване на формуляр
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,Опитайте се да използвате по-дълга клавиатура с повече завои
Archive,Архив
Your payment is cancelled.,Плащането ви е анулирано.
Fieldname {0} cannot have special characters like {1},Името на поле {0} не може да има специални символи като {1}
Traceback,Проследи
Route,маршрут
Workflow Name,Име на работния процес
Report,доклад
Incomplete login details,Непълни данни за вход
Table,маса
Start a conversation.,Започнете разговор.
Sync on Migrate,Синхронизиране при мигриране
Timeline Field,Поле за времева линия
Fieldtype {0} for {1} cannot be indexed,Тип поле {0} за {1} не може да бъде индексиран
Loading...,Зареждане...
Half Yearly,Половин годишно
Last Modified Date,Последна променена дата
First Name,Първо име
Comments,Коментари
Assignment for {0} {1},Задаване за {0} {1}
Cannot link cancelled document: {0},Не може да се свърже отменен документ: {0}
BCC,BCC
Long Text,Дълъг текст
Float Precision,Точност на поплавъка
Please Enter Your Password to Continue,"Моля, въведете паролата си, за да продължите"
Save Report,Запазване на отчет
"""Team Members"" or ""Management""",&quot;Членове на екипа&quot; или &quot;Управление&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Чернова; 1 - Подаден; 2 - Отменен
SMTP Settings for outgoing emails,SMTP настройки за изходящи имейли
Is Your Company Address,Адресът на Вашата фирма
Printer Name,Име на принтера
Dropbox Settings,Настройки на Dropbox
System and Website Users,Потребители на системи и уебсайтове
Fieldname which will be the DocType for this link field.,"Име на поле, което ще бъде DocType за това поле на връзката."
Content Hash,Съдържание Hash
Posts by {0},Публикации от {0}
{0} assigned {1}: {2},{0} е назначен {1}: {2}
globe,земно кълбо
Average of {0},Средно от {0}
Clear Error Logs,Изчистване на регистрите за грешки
Friendly Title,Приятелски титла
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Добавете името на „Google Web Font“, например „Open Sans“"
Filter,филтър
No of Rows (Max 500),Брой редове (макс. 500)
Label,етикет
Your account has been locked and will resume after {0} seconds,Профилът ви е заключен и ще продължи след {0} секунди
indent-left,тире ляв
Identity Details,Данни за самоличност
Visitor,посетител
gift,подарък
Run Tests,Изпълнете тестове
LDAP Search String,LDAP Search String
Field {0} not found.,Поле {0} не е намерено.
Select Languages,Изберете Езици
You don't have any messages yet.,Все още нямате никакви съобщения.
Event Type,Тип на събитието
"To get the updated report, click on {0}.","За да получите актуализирания отчет, кликнете върху {0}."
Home Settings,Начални настройки
Apply to all Documents Types,Приложи към всички типове документи
Inverse,обратен
Closed,затворен
Query,Запитване
Days After,Дни след
Request Timed Out,Времето за заявка е изтекло
Email Footer Address,Адрес на долния колонтитул на имейла
Energy point update,Актуализация на енергийната точка
Click here to verify,"Кликнете тук, за да потвърдите"
You can use Customize Form to set levels on fields.,"Можете да използвате Customize Form, за да зададете нива в полетата."
App Secret Key,Тайният ключ на приложението
Show Section Headings,Показване на заглавията на секциите
Mentions,споменавания
Series {0} already used in {1},Серия {0} вече се използва в {1}
Clicked,Кликване
Log,Вход
Accept Payment,Приемане на плащане
Print Server,Сървър за печат
Welcome Message,Добре дошли
Reference DocType,Reference DocType
Shared,Споделено
Unknown Column: {0},Неизвестна колона: {0}
Enabled,Enabled
Setup Complete,Настройката е завършена
Shared with {0},Споделено с {0}
Not a valid Comma Separated Value (CSV File),"Не е валидна стойност, разделена със запетая (CSV файл)"
Your payment has failed.,Плащането Ви не бе успешно.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","За връзки въведете DocType като обхват. За Избери въведете списък с Опции, всеки от тях на нов ред."
1 minute ago,Преди 1 минута
No Active Sessions,Няма активни сесии
Row,ред
Please try again,"Моля, опитайте отново"
Chart Options,Опции на диаграмата
Push Failed,Push Failed
Off,от
Default Outgoing,По подразбиране изходящи
1 year ago,Преди 1 година
View Subscribers,Преглед на абонатите
Allow Print,Разрешаване на печат
Comment,коментар
{0} not allowed to be renamed,{0} не може да бъде преименуван
Success URL,URL адрес за успех
Document is only editable by users of role,Документът се редактира само от потребители на роля
Outgoing email account not correct,Изходящият имейл адрес не е правилен
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Обединяването е възможно единствено между възел от група към група или възел с листа на листа
Select Language...,Избери език...
Link,връзка
{0}: No basic permissions set,{0}: Няма зададени основни разрешения
Value for a check field can be either 0 or 1,Стойността на полето за проверка може да бъде 0 или 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Добавен HTML в раздела &lt;head&gt; на уеб страницата, използван предимно за проверка на уебсайтове и SEO"
plus,плюс
Please Duplicate this Website Theme to customize.,"Моля, дублирайте тази тема на уебсайта, за да го персонализирате."
Options not set for link field {0},Опциите не са зададени за полето за връзка {0}
Must have report permission to access this report.,Трябва да има разрешение за достъп до отчета.
Rename {0},Преименуване на {0}
Note: Multiple sessions will be allowed in case of mobile device,Забележка: Няколко сесии ще бъдат разрешени в случай на мобилно устройство
resize-small,преоразмеряване-малък
Relinked,свързва отново
Roles HTML,Ролите на HTML
Workflow will start after saving.,Работният процес ще започне след запазването.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Ако данните ви са в HTML формат, моля, копирайте поставения HTML код с етикетите."
Dates are often easy to guess.,Датите често са лесно да се отгатне.
Pincode,ПИН код
Update Value,Актуализиране на стойността
Has Web View,Има уеб изглед
Align Value,Подравняване на стойност
Assignment Complete,Задаване завършено
Header,удар с глава
This query style is discontinued,Този стил на заявка е преустановен
Document Type is not submittable,Типът на документа не може да се подаде
Display Depends On,Дисплеят зависи от
No Tags,Няма маркери
Script Code,Код на скрипта
Updated successfully,Актуализирано успешно
Hi {0},Здравейте {0}
{0} not a valid State,{0} не е валидна държава
Accounts User,Потребителски акаунти
Groups of DocTypes,Групи от DocTypes
Website Route Redirect,Пренасочване на маршрута към уебсайта
Beginning with,Започвайки от
Hello {0},Здравейте {0}
Start Time,Начален час
{0} has been successfully added to the Email Group.,{0} бе успешно добавен в групата за имейли.
Cancelled Document restored as Draft,Отменен документ възстановен като чернова
Desktop Icon,Икона на работния плот
cancelled this document,анулира този документ
Date Range,Период от време
{0} appreciated {1},{0} оценява {1}
Values Changed,Променени стойности
Error in Notification,Грешка в известието
Enable Report,Активиране на отчета
No alerts for today,Няма сигнали за днес
Redirect URI Bound To Auth Code,Пренасочете URI обвързания към Auth код
Always use Account's Email Address as Sender,Винаги използвайте имейл адреса на профила като подател
Barcode,Баркод
{0} Dashboard,{0} Табло за управление
Last Quarter,Последно тримесечие
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Не е позволено да прикачите документ {0}, моля включете Разрешаване на печат за {0} в Настройки за печат"
Attach,Прикрепете
Scopes,Скоупс
Deleted Documents,Изтрити документи
Workflow Action,Действие по работен поток
You can also copy-paste this ,Можете също да копирате това
Is Feedback request triggered manually ?,Заявката за обратна връзка е задействана ръчно?
Select a chat to start messaging.,"Изберете чат, за да започнете да изпращате съобщения."
No permission to read {0},Няма разрешение за четене {0}
Reply,Отговор
Braintree payment gateway settings,Настройки на платежния портал на Braintree
Scheduled to send to {0},Планиран за изпращане до {0}
"If enabled, changes to the document are tracked and shown in timeline","Ако е активирано, промените в документа се проследяват и показват в времевата скала"
Send Welcome Email,Изпращане на имейл с добре дошли
asterisk,звездичка
This link is invalid or expired. Please make sure you have pasted correctly.,"Тази връзка е невалидна или е изтекла. Моля, уверете се, че сте поставили правилно."
New Value,Нова стойност
Due Date,Крайна дата
"Include symbols, numbers and capital letters in the password","Включете в паролата символи, цифри и главни букви"
Send Alert On,Изпращане на предупреждение на
Home/Test Folder 1/Test Folder 3,Начало / Тестова папка 1 / Тестова папка 3
Valid,валиден
Cannot edit cancelled document,Отмененият документ не може да се редактира
App Access Key,Ключ за достъп до приложения
Login Before,Влез преди
Private,частен
Update many values at one time.,Актуализирайте много стойности едновременно.
None,Нито един
Partial Success,Частичен успех
{0} comments,{0} коментара
Emails will be sent with next possible workflow actions,Имейлите ще бъдат изпращани със следните възможни действия в работния процес
adjust,регулирате
on_change,on_change
{0} Name,{0} Име
Same Field is entered more than once,Същото поле се въвежда повече от веднъж
Please select a Amount Field.,"Моля, изберете полето Сума."
Company History,История на фирмата
No Printer is Available.,Няма принтер.
Address Line 2,Адресна линия 2
Time Interval,Времеви интервал
Message Preview,Визуализация на съобщението
Purchase Master Manager,Закупете Главен Мениджър
Is Default,Е по подразбиране
Row Index,Индекс на редове
Allowed,Позволен
"If you are uploading new records, leave the ""name"" (ID) column blank.","Ако качвате нови записи, оставете полето &quot;name&quot; (ID) празно."
Events in Today's Calendar,Събития в днешния календар
GCalendar is not configured.,GCalendar не е конфигуриран.
Entity Type,Тип обект
Mandatory field: set role for,Задължително поле: задайте роля за
Bulk Delete,Масово изтриване
Document Name,Име на документа
Add your own translations,Добавете свои преводи
eu-central-1,ЕС-Централна-1
Yearly,годишно
Rename,преименувам
Remote Primary Key,Отдалечен първичен ключ
Script or Query reports,Отчети за скриптове или заявки
Next Action Email Template,Шаблон за имейли за следващо действие
Chain Integrity,Целостта на веригата
Illegal Access Token. Please try again,"Нелицетен маркер за достъп. Моля, опитайте отново"
"You need to have ""Share"" permission",Трябва да имате разрешение за &quot;Споделяне&quot;
Let's prepare the system for first use.,Да подготвим системата за първа употреба.
circle-arrow-up,кръг стрелка нагоре
play,играя
You have been successfully logged out,Излезли сте успешно
Require Trusted Certificate,Изискване на доверен сертификат
Preview,предварителен преглед
Reference Owner,Собственик на справка
Cannot cancel before submitting. See Transition {0},Не може да се отмени преди изпращането. Вижте Преход {0}
Setup &gt; Customize Form,Настройка&gt; Персонализиране на формуляр
Unable to update event,Събитието не може да се актуализира
Queued,На опашка
Webhook Header,Webhook Header
Allow GSuite access,Разрешаване на GSuite достъп
New Newsletter,Нов бюлетин
Updated To New Version,Актуализирано до нова версия
No {0} mail,Няма {0} поща
Password Reset,Възстановяване на парола
From Full Name,От пълното име
Newsletter,Newsletter
Section Break,Разделителна секция
play-circle,играта-кръг
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".","Няма намерени полета, които могат да се използват като колона Канбан. Използвайте формуляра за персонализиране, за да добавите персонализирано поле от тип &quot;Избери&quot;."
Column,Колона
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Ако е активирано, потребителите, които се логват от Ограничен IP адрес, няма да бъдат подканени за автоматично определяне на два фактора"
You do not have enough points,Нямате достатъчно точки
More Information,Повече информация
DocShare,DocShare
Filters,Филтри
Room,Стая
{0} items selected,Избрани са {0} елемента
Leave a Comment,Оставете коментар
Stripe Settings,Настройки на лентата
Background Workers,Предварителни работници
Customize...,Персонализирайте ...
<p>No results found for '</p>,<p> Няма намерени резултати за „ </p>
Last Year,Миналата година
Remote Objectname,Име на отдалечено обект
yyyy-mm-dd,гггг-мм-дд
Flag,флаг
plane,самолет
Nested set error. Please contact the Administrator.,"Въведена грешка. Моля, свържете се с администратора."
Show Report,Показване на отчета
Auto Repeat Schedule,График за автоматично повторение
Office,офис
StartTLS,STARTTLS
{0} days ago,Преди {0} дни
Check,Проверка
