Connector Type,कनेक्टर प्रकार
Document Follow,दस्तावेज़ का पालन करें
Did not find {0} for {0} ({1}),{0} ({1}) के लिए {0} नहीं मिला
URL,यूआरएल
Parent is required to get child table data,चाइल्ड टेबल डेटा प्राप्त करने के लिए अभिभावक की आवश्यकता होती है
A log of request errors,अनुरोध त्रुटियों का एक लॉग
User not allowed to delete {0}: {1},उपयोगकर्ता को {0}: {1} को हटाने की अनुमति नहीं है
dd-mm-yyyy,dd-mm-yyyy
eject,निकालना
Drag and Drop tool to build and customize Print Formats.,प्रिंट प्रारूप बनाने और अनुकूलित करने के लिए उपकरण खींचें और छोड़ें।
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","यदि जाँच की जाती है, तो यह फ़ील्ड Fetch से ओवरराइट नहीं की जाएगी यदि कोई मान पहले से मौजूद है।"
Currently Viewing,वर्तमान में देख रहे हैं
Not allowed for {0}: {1}. Restricted field: {2},{0}: {1} के लिए अनुमति नहीं है। प्रतिबंधित क्षेत्र: {2}
Slack,ढीला
Please duplicate this to make changes,कृपया बदलाव करने के लिए इसे डुप्लिकेट करें
Repeat On,पर दोहराएं
Login After,के बाद लॉगिन करें
Folder {0} is not empty,फ़ोल्डर {0} खाली नहीं है
File Type,फाइल का प्रकार
Enable Raw Printing,कच्चे मुद्रण सक्षम करें
Further nodes can be only created under 'Group' type nodes,आगे के नोड्स केवल &#39;ग्रुप&#39; टाइप नोड्स के तहत बनाए जा सकते हैं
signal,संकेत
Cannot edit a standard report. Please duplicate and create a new report,मानक रिपोर्ट को संपादित नहीं किया जा सकता। कृपया डुप्लिकेट करें और एक नई रिपोर्ट बनाएं
Sales Master Manager,सेल्स मास्टर मैनेजर
Bulk Edit {0},थोक संपादित करें {0}
Preparing Report,रिपोर्ट तैयार करना
{0} criticized your work on {1} with {2} point,{0} ने {2} बिंदु के साथ {1} पर आपके काम की आलोचना की
Verdana,Verdana
Unsubscribed,सदस्यता छोड़ दी गई
DocPerm,DocPerm
Fold can not be at the end of the form,फोल्ड फॉर्म के अंत में नहीं हो सकता है
Server IP,सर्वर आईपी
{0} Tree,{०} वृक्ष
Send Password,पासवर्ड भेजें
All Day,पूरे दिन
Parent is the name of the document to which the data will get added to.,अभिभावक उस दस्तावेज़ का नाम है जिसमें डेटा जोड़ा जाएगा।
Block Module,मॉड्यूल को ब्लॉक करें
(Ctrl + G),(Ctrl + G)
Points,अंक
API Endpoint,एपीआई समापन बिंदु
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,विवरणों के लिए https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region देखें।
App Client Secret,ऐप क्लाइंट सीक्रेट
Original Value,असली कीमत
Attach Image,छवि संलग्न करें
Your system is being updated. Please refresh again after a few moments,आपका सिस्टम अपडेट किया जा रहा है। कृपया कुछ क्षणों के बाद फिर से ताज़ा करें
Add / Manage Email Accounts.,ईमेल खाते जोड़ें / प्रबंधित करें।
Third Party Authentication,थर्ड पार्टी ऑथेंटिकेशन
1 year,1 साल
{0} reverted your points on {1},{0} ने आपकी बातों को {1} पर वापस कर दिया
arrow-down,नीचे दर्शित तीर
Ignore encoding errors,एन्कोडिंग त्रुटियों को अनदेखा करें
Letter Head Name,लेटर हेड नाम
Client Script,क्लाइंट स्क्रिप्ट
Higher priority rule will be applied first,उच्च प्राथमिकता वाला नियम पहले लागू किया जाएगा
Content (HTML),सामग्री (HTML)
{0} appreciation points for {1} {2},{0} {1} {2} के लिए प्रशंसा अंक
Search in a document type,दस्तावेज़ प्रकार में खोजें
Only Administrator is allowed to create Dashboard Chart Sources,केवल व्यवस्थापक को डैशबोर्ड चार्ट स्रोत बनाने की अनुमति है
Only 200 inserts allowed in one request,एक अनुरोध में केवल 200 आवेषण की अनुमति है
Kanban Board Name,कानबन बोर्ड का नाम
Group Label,समूह लेबल
thumbs-up,थम्स अप
Reload,सीमा से अधिक लादना
{0} added,{0} जोड़ा गया
{0} to {1},{0} से {1}
Attach File,फ़ाइल जोड़ें
Expose Recipients,प्राप्तकर्ता को बेनकाब करें
ToDo,करने के लिए
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","विभिन्न &quot;स्टेट्स&quot; इस दस्तावेज़ में मौजूद हो सकते हैं। जैसे &quot;ओपन&quot;, &quot;लंबित अनुमोदन&quot; आदि।"
Weekly,साप्ताहिक
Preview HTML,HTML का पूर्वावलोकन करें
GSuite Templates,GSuite टेम्पलेट्स
Force Show,फोर्स शो
Deleted Name,हटाए गए नाम
Home,होम
User can login using Email id or User Name,उपयोगकर्ता ईमेल आईडी या उपयोगकर्ता नाम का उपयोग करके लॉगिन कर सकते हैं
Assign a permission level to the field.,क्षेत्र के लिए एक अनुमति स्तर असाइन करें।
Error: Value missing for {0}: {1},त्रुटि: मान {0} के लिए अनुपलब्ध: {1}
ap-northeast-3,एपी-उत्तर पूर्व -3
Please enter Redirect URL,कृपया रीडायरेक्ट URL दर्ज करें
Allow on Submit,सबमिट करने की अनुमति दें
Table {0} cannot be empty,तालिका {0} खाली नहीं हो सकती
minus-sign,घटाव का चिन्ह
Phone,फ़ोन
Clear all roles,सभी भूमिकाओं को साफ़ करें
Example,उदाहरण
You need write permission to rename,आपको नाम बदलने के लिए लिखने की अनुमति चाहिए
Advanced Control,उन्नत नियंत्रण
Path to Server Certificate,सर्वर प्रमाणपत्र के लिए पथ
If Checked workflow status will not override status in list view,यदि जाँच की गई वर्कफ़्लो स्थिति सूची दृश्य में स्थिति को ओवरराइड नहीं करेगी
Updating {0},अद्यतन {0}
Logged in as Guest or Administrator,अतिथि या व्यवस्थापक के रूप में लॉग इन करें
Green,हरा
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,नए रिकॉर्ड के लिए केवल अनिवार्य क्षेत्र आवश्यक हैं। आप चाहें तो गैर-अनिवार्य कॉलम हटा सकते हैं।
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} एक पत्र के साथ शुरू और समाप्त होना चाहिए और इसमें केवल अक्षर, हाइफ़न या अंडरस्कोर हो सकते हैं।"
Create User Email,उपयोगकर्ता ईमेल बनाएँ
Sort field {0} must be a valid fieldname,फ़ील्ड को सॉर्ट करें {0} एक मान्य फ़ील्डनाम होना चाहिए
Filter Meta,मेटा फ़िल्टर करें
Category Name,श्रेणी नाम
Javascript to append to the head section of the page.,जावास्क्रिप्ट पृष्ठ के प्रमुख अनुभाग में संलग्न करने के लिए।
Allow Delete,हटाने की अनुमति दें
Authorize URL,URL अधिकृत करें
This feature is brand new and still experimental,यह सुविधा एकदम नई और अभी भी प्रायोगिक है
S3 Backup Settings,S3 बैकअप सेटिंग्स
Not Seen,नहीं देखा
Not Like,उसके जैसा नहीं
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","कस्टम फ़ील्ड &#39;{1}&#39; में उल्लिखित फ़ील्ड &#39;{0}&#39; के बाद, लेबल &#39;{2}&#39; के साथ, मौजूद नहीं है"
Refresh Form,फॉर्म को रिफ्रेश करें
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,अधिक घुमाव वाले लंबे कीबोर्ड पैटर्न का उपयोग करने का प्रयास करें
Archive,पुरालेख
Your payment is cancelled.,आपका भुगतान रद्द कर दिया गया है।
Fieldname {0} cannot have special characters like {1},फ़ील्डनाम {0} में विशेष वर्ण नहीं हो सकते जैसे {1}
Traceback,वापस ट्रेस करें
Route,मार्ग
Workflow Name,वर्कफ़्लो नाम
Report,रिपोर्ट
Incomplete login details,अधूरा लॉगिन विवरण
Table,तालिका
Start a conversation.,एक बातचीत शुरू।
Sync on Migrate,माइग्रेट पर सिंक करें
Timeline Field,समय रेखा क्षेत्र
Fieldtype {0} for {1} cannot be indexed,फ़ील्डटाइप {0} के लिए {1} को अनुक्रमित नहीं किया जा सकता है
Loading...,लोड हो रहा है...
Half Yearly,अर्धवार्षिक
Last Modified Date,अंतिम संशोधित तिथि
First Name,पहला नाम
Comments,टिप्पणियाँ
Assignment for {0} {1},{0} {1} के लिए असाइनमेंट
Cannot link cancelled document: {0},रद्द किए गए दस्तावेज़ को लिंक नहीं किया जा सकता: {0}
BCC,बीसीसी
Long Text,लंबा पाठ
Float Precision,फ्लोट प्रिसिजन
Please Enter Your Password to Continue,जारी रखने के लिए कृपया अपना कूटशब्द दर्ज करें
Save Report,रिपोर्ट सुरक्षित रखना
"""Team Members"" or ""Management""",&quot;टीम के सदस्य&quot; या &quot;प्रबंधन&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - ड्राफ्ट; 1 - प्रस्तुत; 2 - रद्द कर दिया
SMTP Settings for outgoing emails,निवर्तमान ईमेल के लिए SMTP सेटिंग्स
Is Your Company Address,क्या आपकी कंपनी का पता है
Printer Name,प्रिंटर का नाम
Dropbox Settings,ड्रॉपबॉक्स सेटिंग्स
System and Website Users,सिस्टम और वेबसाइट उपयोगकर्ता
Fieldname which will be the DocType for this link field.,Fieldname जो इस लिंक फ़ील्ड के लिए DocType होगा।
Content Hash,सामग्री हैश
Posts by {0},{0} द्वारा पोस्ट
{0} assigned {1}: {2},{0} असाइन किया गया {1}: {2}
globe,ग्लोब
Average of {0},{0} का औसत
Clear Error Logs,स्पष्ट त्रुटि लॉग
Friendly Title,अनुकूल शीर्षक
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",&quot;Google वेब फ़ॉन्ट&quot; का नाम जोड़ें जैसे &quot;ओपन संस&quot;
Filter,फ़िल्टर
No of Rows (Max 500),पंक्तियों की संख्या (अधिकतम 500)
Label,लेबल
Your account has been locked and will resume after {0} seconds,आपका खाता लॉक कर दिया गया है और {0} सेकंड के बाद फिर से शुरू होगा
indent-left,मांगपत्र-बाएँ
Identity Details,पहचान का विवरण
Visitor,आगंतुक
gift,उपहार
Run Tests,टेस्ट चलाएं
LDAP Search String,LDAP खोज स्ट्रिंग
Field {0} not found.,फ़ील्ड {0} नहीं मिला।
Select Languages,भाषाओं का चयन करें
You don't have any messages yet.,आपके पास अभी तक कोई संदेश नहीं है।
Event Type,घटना प्रकार
"To get the updated report, click on {0}.","अद्यतन रिपोर्ट प्राप्त करने के लिए, {0} पर क्लिक करें।"
Home Settings,होम सेटिंग्स
Apply to all Documents Types,सभी दस्तावेज़ प्रकारों पर लागू करें
Inverse,श्लोक में
Closed,बन्द है
Query,सवाल
Days After,दिनों के बाद
Request Timed Out,अनुरोध का समय समाप्त
Email Footer Address,ईमेल पाद लेख का पता
Energy point update,एनर्जी पॉइंट अपडेट
Click here to verify,सत्यापन के लिए यहां क्लिक करें
You can use Customize Form to set levels on fields.,आप खेतों पर स्तरों को निर्धारित करने के लिए कस्टमाइज़ फॉर्म का उपयोग कर सकते हैं।
App Secret Key,ऐप सीक्रेट की
Show Section Headings,अनुभाग शीर्षकों को दिखाएं
Mentions,का उल्लेख है
Series {0} already used in {1},श्रृंखला {0} पहले से ही {1} में उपयोग की जाती है
Clicked,क्लिक किया
Log,लॉग
Accept Payment,भुगतान स्वीकार करें
Print Server,प्रिंट सर्वर
Welcome Message,स्वागत संदेश
Reference DocType,संदर्भ DocType
Shared,साझा
Unknown Column: {0},अज्ञात कॉलम: {0}
Enabled,सक्रिय
Setup Complete,सेटअप पूरा करें
Shared with {0},{0} के साथ साझा किया गया
Not a valid Comma Separated Value (CSV File),मान्य कोमा सेपरेटेड वैल्यू (CSV फ़ाइल) नहीं
Your payment has failed.,आपका भुगतान विफल हो गया है।
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","लिंक के लिए, सीमा के रूप में DocType दर्ज करें। चयन के लिए, विकल्प की सूची, प्रत्येक नई पंक्ति में दर्ज करें।"
1 minute ago,1 मिनट पहले
No Active Sessions,कोई सक्रिय सत्र नहीं
Row,पंक्ति
Please try again,कृपया पुन: प्रयास करें
Chart Options,चार्ट विकल्प
Push Failed,धक्का लग गया
Off,बंद
Default Outgoing,डिफ़ॉल्ट आउटगोइंग
1 year ago,1 साल पहले
View Subscribers,सदस्य देखें
Allow Print,प्रिंट की अनुमति दें
Comment,टिप्पणी
{0} not allowed to be renamed,{0} का नाम बदलने की अनुमति नहीं है
Success URL,सक्सेस यूआरएल
Document is only editable by users of role,दस्तावेज़ केवल भूमिका के उपयोगकर्ताओं द्वारा संपादन योग्य है
Outgoing email account not correct,आउटगोइंग ईमेल खाता सही नहीं है
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,ग्रुप-टू-ग्रुप या लीफ नोड-टू-लीफ नोड के बीच विलय संभव है
Select Language...,भाषा चुनिए...
Link,संपर्क
{0}: No basic permissions set,{0}: कोई मूल अनुमतियाँ सेट नहीं हैं
Value for a check field can be either 0 or 1,चेक फ़ील्ड के लिए मान 0 या 1 हो सकता है
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","वेब पेज के &lt;head&gt; अनुभाग में HTML जोड़ा गया, जो मुख्य रूप से वेबसाइट सत्यापन और एसईओ के लिए उपयोग किया जाता है"
plus,प्लस
Please Duplicate this Website Theme to customize.,कृपया अनुकूलित करने के लिए इस वेबसाइट थीम को डुप्लिकेट करें।
Options not set for link field {0},लिंक फ़ील्ड {0} के लिए विकल्प निर्धारित नहीं किए गए हैं
Must have report permission to access this report.,इस रिपोर्ट तक पहुँचने के लिए रिपोर्ट की अनुमति होनी चाहिए।
Rename {0},नाम बदलें {0}
Note: Multiple sessions will be allowed in case of mobile device,नोट: मोबाइल डिवाइस के मामले में कई सत्रों की अनुमति दी जाएगी
resize-small,आकार बदलने के छोटे
Relinked,फिर से जोड़ दिया
Roles HTML,रोल्स HTML
Workflow will start after saving.,सेविंग के बाद वर्कफ्लो शुरू होगा।
"If your data is in HTML, please copy paste the exact HTML code with the tags.","यदि आपका डेटा HTML में है, तो कृपया टैग के साथ सटीक HTML कोड पेस्ट करें।"
Dates are often easy to guess.,तिथियां अक्सर अनुमान लगाने में आसान होती हैं।
Pincode,पिन कोड
Update Value,अद्यतन मान
Has Web View,वेब व्यू है
Align Value,मान संरेखित करें
Assignment Complete,असाइनमेंट पूरा हुआ
Header,हैडर
This query style is discontinued,यह क्वेरी शैली बंद कर दी गई है
Document Type is not submittable,डॉक्यूमेंट टाइप सब्मिट नहीं है
Display Depends On,प्रदर्शन पर निर्भर करता है
No Tags,कोई टैग नहीं
Script Code,स्क्रिप्ट कोड
Updated successfully,अद्यतन सफलतापूर्ण हो गया
Hi {0},हाय {0}
{0} not a valid State,{0} वैध राज्य नहीं है
Accounts User,खाता उपयोगकर्ता
Groups of DocTypes,DocTypes के समूह
Website Route Redirect,वेबसाइट रूट रीडायरेक्ट
Beginning with,इसके साथ शुरुआत
Hello {0},नमस्ते {0}
Start Time,समय शुरू
{0} has been successfully added to the Email Group.,{0} को सफलतापूर्वक ईमेल समूह में जोड़ा गया है।
Cancelled Document restored as Draft,रद्द किए गए दस्तावेज़ को ड्राफ्ट के रूप में बहाल किया गया
Desktop Icon,डेस्कटॉप आइकन
cancelled this document,इस दस्तावेज़ को रद्द कर दिया
Date Range,तिथि सीमा
{0} appreciated {1},{0} की सराहना की {1}
Values Changed,मान बदल गया
Error in Notification,अधिसूचना में त्रुटि
Enable Report,रिपोर्ट सक्षम करें
No alerts for today,आज के लिए कोई अलर्ट नहीं
Redirect URI Bound To Auth Code,URI को प्रामाणिक कोड के लिए बाध्य करें
Always use Account's Email Address as Sender,हमेशा प्रेषक के रूप में खाता का ईमेल पता उपयोग करें
Barcode,बारकोड
{0} Dashboard,{0} डैशबोर्ड
Last Quarter,अंतिम चौथाई
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","{0} दस्तावेज़ संलग्न करने की अनुमति नहीं है, कृपया प्रिंट सेटिंग्स में {0} के लिए अनुमति दें प्रिंट सक्षम करें"
Attach,संलग्न करें
Scopes,कार्यक्षेत्र
Deleted Documents,हटाए गए दस्तावेज़
Workflow Action,वर्कफ़्लो क्रिया
You can also copy-paste this ,आप इसे कॉपी-पेस्ट भी कर सकते हैं
Is Feedback request triggered manually ?,क्या फीडबैक अनुरोध को मैन्युअल रूप से ट्रिगर किया गया है?
Select a chat to start messaging.,मैसेजिंग शुरू करने के लिए चैट का चयन करें।
No permission to read {0},{0} पढ़ने की अनुमति नहीं
Reply,जवाब दे दो
Braintree payment gateway settings,Braintree पेमेंट गेटवे सेटिंग्स
Scheduled to send to {0},{0} पर भेजने का शेड्यूल
"If enabled, changes to the document are tracked and shown in timeline","यदि सक्षम है, तो दस्तावेज़ में परिवर्तन ट्रैक किए जाते हैं और समयरेखा में दिखाए जाते हैं"
Send Welcome Email,आपका स्वागत है ईमेल भेजें
asterisk,तारांकन
This link is invalid or expired. Please make sure you have pasted correctly.,यह लिंक अमान्य या समाप्त हो गया है। कृपया सुनिश्चित करें कि आपने सही ढंग से चिपकाया है।
New Value,नया मूल्य
Due Date,नियत तारीख
"Include symbols, numbers and capital letters in the password","पासवर्ड में प्रतीकों, संख्याओं और बड़े अक्षरों को शामिल करें"
Send Alert On,अलर्ट पर भेजें
Home/Test Folder 1/Test Folder 3,होम / टेस्ट फोल्डर 1 / टेस्ट फोल्डर 3
Valid,मान्य
Cannot edit cancelled document,रद्द किए गए दस्तावेज़ को संपादित नहीं किया जा सकता
App Access Key,ऐप एक्सेस की
Login Before,पहले लॉगिन करें
Private,निजी
Update many values at one time.,एक समय में कई मान अपडेट करें।
None,कोई नहीं
Partial Success,आंशिक सफलता
Emails will be sent with next possible workflow actions,अगले संभावित वर्कफ़्लो क्रियाओं के साथ ईमेल भेजे जाएंगे
adjust,समायोजित
on_change,परिवर्तन पर
{0} Name,{०} नाम
Same Field is entered more than once,सेम फील्ड में एक से अधिक बार प्रवेश किया जाता है
Please select a Amount Field.,कृपया राशि फ़ील्ड चुनें।
Company History,कंपनी का इतिहास
No Printer is Available.,कोई प्रिंटर उपलब्ध नहीं है।
Address Line 2,पता पंक्ति नं। 2
Time Interval,समय अंतराल
Message Preview,संदेश पूर्वावलोकन
Purchase Master Manager,खरीद मास्टर प्रबंधक
Is Default,डिफ़ॉल्ट है
Row Index,पंक्ति सूचकांक
Allowed,की अनुमति
"If you are uploading new records, leave the ""name"" (ID) column blank.","यदि आप नए रिकॉर्ड अपलोड कर रहे हैं, तो &quot;नाम&quot; (आईडी) कॉलम को खाली छोड़ दें।"
Events in Today's Calendar,आज के कैलेंडर में कार्यक्रम
GCalendar is not configured.,GCalendar कॉन्फ़िगर नहीं किया गया है।
Entity Type,इकाई प्रकार
Mandatory field: set role for,अनिवार्य क्षेत्र: के लिए निर्धारित भूमिका
Bulk Delete,बल्क डिलीट करें
Document Name,दस्तावेज़ का नाम
Add your own translations,अपने खुद के अनुवाद जोड़ें
eu-central-1,यूरोपीय संघ और केंद्रीय -1
Yearly,सालाना
Rename,नाम बदलें
Remote Primary Key,दूरस्थ प्राथमिक कुंजी
Script or Query reports,स्क्रिप्ट या क्वेरी की रिपोर्ट
Next Action Email Template,अगली क्रिया ईमेल टेम्पलेट
Chain Integrity,चैन अखंडता
Illegal Access Token. Please try again,अवैध प्रवेश टोकन। कृपया पुन: प्रयास करें
"You need to have ""Share"" permission",आपको &quot;शेयर&quot; अनुमति की आवश्यकता है
Let's prepare the system for first use.,आइए पहले उपयोग के लिए सिस्टम तैयार करें।
circle-arrow-up,वृत्त-तीर-अप
play,प्ले
You have been successfully logged out,आप सफलता पूर्वक लॉगआउट कर चुके हैं
Require Trusted Certificate,ट्रस्टेड सर्टिफिकेट चाहिए
Preview,पूर्वावलोकन
Reference Owner,संदर्भ स्वामी
Cannot cancel before submitting. See Transition {0},सबमिट करने से पहले रद्द नहीं किया जा सकता। संक्रमण {0} देखें
Setup &gt; Customize Form,सेटअप&gt; फॉर्म को अनुकूलित करें
Unable to update event,ईवेंट अपडेट करने में असमर्थ
Queued,कतार में
Webhook Header,वेबहुक हैडर
Allow GSuite access,GSuite पहुंच की अनुमति दें
New Newsletter,नई न्यूज़लैटर
Updated To New Version,नए संस्करण के लिए अपडेट किया गया
No {0} mail,नहीं {0} मेल
Password Reset,पासवर्ड रीसेट
From Full Name,पूर्ण नाम से
Newsletter,समाचार पत्रिका
Section Break,खंड खंड
play-circle,प्ले-चक्र
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",ऐसा कोई भी क्षेत्र नहीं मिला जिसे कानबन कॉलम के रूप में इस्तेमाल किया जा सके। &quot;चयन करें&quot; प्रकार का कस्टम फ़ील्ड जोड़ने के लिए कस्टमाइज़ फ़ॉर्म का उपयोग करें।
Column,स्तंभ
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","यदि सक्षम है, तो जो उपयोगकर्ता प्रतिबंधित आईपी पते से लॉगिन करते हैं, उन्हें टू फैक्टर ऑथोर के लिए संकेत नहीं दिया जाएगा"
You do not have enough points,आपके पास पर्याप्त अंक नहीं हैं
More Information,अधिक जानकारी
DocShare,DocShare
Filters,फिल्टर
Room,कक्ष
{0} items selected,{0} आइटम चयनित हैं
Leave a Comment,एक टिप्पणी छोड़ें
Stripe Settings,धारीदार सेटिंग्स
Background Workers,बैकग्राउंड वर्कर्स
Customize...,अनुकूलित करें...
<p>No results found for '</p>,<p> इसके लिए कोई परिणाम नहीं मिले &#39; </p>
Last Year,पिछले साल
Remote Objectname,दूरस्थ उद्देश्य
yyyy-mm-dd,yyyy-mm-dd
Flag,झंडा
plane,विमान
Nested set error. Please contact the Administrator.,नेस्टेड सेट त्रुटि। कृपया व्यवस्थापक से संपर्क करें।
Show Report,रिपोर्ट दिखाओ
Auto Repeat Schedule,ऑटो रिपीट शेड्यूल
Office,कार्यालय
StartTLS,STARTTLS
{0} days ago,{0} दिन पहले
Check,चेक
Fetch From,से लाए
Not in Developer Mode,डेवलपर मोड में नहीं
Verifying...,सत्यापन करें ...
Printer,मुद्रक
A symbol for this currency. For e.g. $,इस मुद्रा के लिए एक प्रतीक। उदाहरण के लिए $
Cannot remove ID field,ID फ़ील्ड नहीं निकाल सकता
removed,हटा दिया
Add Review,समीक्षा जोड़ें
circle-arrow-left,वृत्त-तीर-बाएँ
Dr,डॉ
Apply To All Document Types,सभी दस्तावेज़ प्रकारों पर लागू करें
"There were some errors setting the name, please contact the administrator","नाम सेट करने में कुछ त्रुटियां थीं, कृपया व्यवस्थापक से संपर्क करें"
Allow Login After Fail,असफल होने के बाद लॉगिन की अनुमति दें
Documents,दस्तावेज़
Track Field,ट्रैक क्षेत्र
Compiled Successfully,सफलतापूर्वक संकलित
{0} criticism points for {1} {2},{0} {1} {2} के लिए आलोचना अंक
Warning: This Print Format is in old style and cannot be generated via the API.,चेतावनी: यह प्रिंट प्रारूप पुरानी शैली में है और इसे एपीआई के माध्यम से उत्पन्न नहीं किया जा सकता है।
in the Auto Repeat document,ऑटो रिपीट डॉक्यूमेंट में
Access Token,एक्सेस टोकन
Small Text,छोटा पाठ
Edit {0},{0} संपादित करें
Web Page,वेब पृष्ठ
Connection Success,कनेक्शन सफलता
Completed By,द्वारा पूरा किया गया
Bypass Two Factor Auth for users who login from restricted IP Address,उन उपयोगकर्ताओं के लिए बाईपास टू फैक्टर ऑथेंटिकेशन जो प्रतिबंधित आईपी एड्रेस से लॉगिन करते हैं
Missing Values Required,लापता मान आवश्यक
My Settings,मेरी सेटिंग्स
Group name cannot be empty.,समूह नाम रिक्त नहीं हो सकता।
road,सड़क
Source,स्रोत
Active Sessions,सक्रिय सत्र
There can be only one Fold in a form,एक फॉर्म में केवल एक फोल्ड हो सकता है
New Chat,नई चैट
Scan the QR Code and enter the resulting code displayed.,क्यूआर कोड को स्कैन करें और परिणामी कोड प्रदर्शित करें।
map-marker,नक्शा मार्कर
Change Password,पासवर्ड बदलें
More...,अधिक...
Personal Data Deletion Request,व्यक्तिगत डेटा हटाने का अनुरोध
Path to CA Certs File,पाथ से सीए सेर्ट्स फाइल
Old Password,पुराना पासवर्ड
No of Columns,स्तंभों की नहीं
Sending,भेजना
Google GSuite is not configured.,Google GSuite कॉन्फ़िगर नहीं है।
Dropbox access is approved!,ड्रॉपबॉक्स का उपयोग स्वीकृत है!
Call,कॉल
Day,दिन
Shop,दुकान
Under Development,विकास जारी है
Please enter Authorize URL,कृपया अधिकृत URL दर्ज करें
Send Notification to,को अधिसूचना भेजें
Dropbox backup settings,ड्रॉपबॉक्स बैकअप सेटिंग्स
Remove all customizations?,सभी अनुकूलन निकालें?
Only Administrator can edit,केवल व्यवस्थापक ही संपादित कर सकता है
Reference Document,संदर्भ दस्तावेज़
Liked,पसंद किया
This is a background report. Please set the appropriate filters and then generate a new one.,यह एक पृष्ठभूमि की रिपोर्ट है। कृपया उपयुक्त फ़िल्टर सेट करें और फिर एक नया जनरेट करें।
Viewed By,द्वारा देखा गया
Please select another payment method. PayPal does not support transactions in currency '{0}',कृपया अन्य भुगतान विधि चुनें। पेपैल मुद्रा &#39;{0}&#39; में लेनदेन का समर्थन नहीं करता है
Document can't saved.,दस्तावेज़ सहेजा नहीं जा सकता।
Did not cancel,रद्द नहीं किया
"Must be of type ""Attach Image""",&quot;अटैच इमेज&quot; टाइप होनी चाहिए
Send Password Update Notification,पासवर्ड अपडेट अधिसूचना भेजें
XLSX,XLSX
Select a DocType to make a new format,एक नया प्रारूप बनाने के लिए एक DocType चुनें
Deleted Document,हटाए गए दस्तावेज़
Please select a file or url,कृपया एक फ़ाइल या यूआरएल चुनें
Length,लंबाई
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},{0} के लिए तालिका कॉलम चुनें
Tag Category,टैग श्रेणी
A new account has been created for you at {0},आपके लिए {0} पर एक नया खाता बनाया गया है
Roles can be set for users from their User page.,उनके उपयोगकर्ता पृष्ठ से उपयोगकर्ताओं के लिए भूमिकाएँ निर्धारित की जा सकती हैं।
Include Search in Top Bar,टॉप बार में सर्च शामिल करें
[Urgent] Error while creating recurring %s for %s,[तत्काल]% s के लिए आवर्ती% s बनाते समय त्रुटि
Author,लेखक
on_cancel,on_cancel
No document found for given filters,दिए गए फ़िल्टर के लिए कोई दस्तावेज़ नहीं मिला
Users and Permissions,उपयोगकर्ता और अनुमतियाँ
Roles,भूमिकाएँ
Attachments,संलग्नक
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","जब आप किसी दस्तावेज़ को रद्द करने के बाद संशोधित करते हैं और उसे सहेजते हैं, तो उसे एक नया नंबर मिलेगा जो पुराने नंबर का एक संस्करण है।"
Manage Third Party Apps,थर्ड पार्टी एप्स को मैनेज करें
No records tagged.,कोई रिकॉर्ड नहीं मिला।
User Emails,उपयोगकर्ता ईमेल
Website Theme Image Link,वेबसाइट थीम छवि लिंक
Hide Weekends,वीकेंड छिपाएं
Criticism,आलोचना
Download with Data,डेटा के साथ डाउनलोड करें
Add meta tags to your web pages,अपने वेब पृष्ठों पर मेटा टैग जोड़ें
john@doe.com,john@doe.com
Days Before,एक दिन पहले
Notify by Email,ईमेल द्वारा सूचित करें
Response Type,प्रतिक्रिया प्रकार
resize-horizontal,आकार बदलने-क्षैतिज
App {0} already installed,ऐप {0} पहले से इंस्टॉल है
Time Zone,समय क्षेत्र
Fill Screen,स्क्रीन भरें
County,काउंटी
First Transaction,पहला लेन-देन
Click to Set Filters,सेट फिल्टर पर क्लिक करें
Background Style,बैकग्राउंड स्टाइल
Collapsible,खुलने और बंधनेवाला
PDF generation failed because of broken image links,टूटी छवि लिंक के कारण पीडीएफ पीढ़ी विफल रही
Migration ID Field,माइग्रेशन आईडी फ़ील्ड
Not a valid LDAP user,मान्य LDAP उपयोगकर्ता नहीं है
Create a new record,एक नया रिकॉर्ड बनाएं
"{0}, Row {1}","{0}, पंक्ति {1}"
