Connector Type,コネクタの種類
Optional: Always send to these ids. Each Email Address on a new row,オプション：常にこれらのIDに送信してください。新しい行の各Eメールアドレス
Webhook Data,ウェブフックデータ
"Reverting length to {0} for '{1}' in '{2}';
							Setting the length as {3} will cause truncation of data.",&#39;{2}&#39;の &#39;{1}&#39;の長さを{0}に戻しています。長さを{3}に設定すると、データが切り捨てられます。
Password for Base DN,ベースDNのパスワード
Allow Print for Cancelled,キャンセルした印刷を許可する
Chart Source,チャートのソース
1 week,1週間
Note: Changing the Page Name will break previous URL to this page.,注：ページ名を変更すると、このページへの前のURLが壊れます。
Total Rows,合計行
Permissions can be managed via Setup &gt; Role Permissions Manager,権限は[設定]&gt; [ロール権限マネージャ]で管理できます。
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,デモでユーザーの詳細を変更することはできません。 https://erpnext.comで新しいアカウントにサインアップしてください。
New Email,新しいメール
Cancel,キャンセル
Print Style Name,印刷スタイル名
Standard Print Format cannot be updated,標準印刷フォーマットは更新できません
Applicable For,のために適当
Font Size (px),フォントサイズ（px）
Only {0} emailed reports are allowed per user,ユーザーごとに許可されているのは{0}個の電子メールレポートのみです
Thank you for your comment. It will be published after approval,コメントありがとうございます。承認後に公開されます
Chat Operators,チャットオペレータ
Success,成功
Upload Failed,アップロードに失敗しました
bullhorn,拡声器
Address and Contacts,住所と連絡先
Timezone,タイムゾーン
Please enter Base URL,ベースURLを入力してください
Email Reply Help,メール返信ヘルプ
Choose authentication method to be used by all users,すべてのユーザーが使用する認証方法を選択してください
Parent Error Snapshot,親エラースナップショット
GCalendar Account,GCalendarアカウント
Language Name,言語名
Customize Form,フォームをカスタマイズ
Image Field,画像フィールド
Added {0} ({1}),{0}を追加しました（{1}）
Click here to post bugs and suggestions,バグや提案を投稿するにはここをクリック
No records deleted,削除されたレコードはありません
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,上位レベルの権限はフィールドレベルの権限です。すべてのフィールドには、それらに対して設定された権限レベルがあり、その権限で定義されたルールがフィールドに適用されます。特定のロールに対して特定のフィールドを非表示にしたり読み取り専用にしたりする場合に便利です。
Source Name,ソース名
Edit HTML,HTMLを編集
Printer Settings...,プリンタ設定...
UID,UID
Move to Row Number,行番号に移動
ap-northeast-1,AP北東-1
Assigned,割り当て済み
QR Code,QRコード
Guest,ゲスト
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",標準通知は編集できません。編集するには、これを無効にしてそれを複製してください
Newsletter Email Group,ニュースレターEメールグループ
Mention transaction completion page URL,記載取引完了ページURL
hand-down,引き下げ
Direct room with {0} already exists.,{0}の直接会議室は既に存在します。
Invalid Output Format,無効な出力フォーマット
PDF,PDF
{0} logged out: {1},ログアウトしました：{1}：{1}
Doctype,文書型
Not Sent,送信されません
You have exceeded the max space of {0} for your plan. {1}.,計画の最大スペース{0}を超えました。 {1}
Limit Number of DB Backups,DBバックアップ数の制限
{0} criticized your work on {1} with {2} points,{0}は{1}に対する作業を{2}ポイントで批判しています
Send Me A Copy of Outgoing Emails,送信メールのコピーを送ってください
Sorry! You are not permitted to view this page.,ごめんなさい！このページを閲覧することは許可されていません。
Letter Head in HTML,HTMLのレターヘッド
Form Customization,フォームのカスタマイズ
Assign to me,私に割り当て
"Too many users signed up recently, so the registration is disabled. Please try back in an hour",最近サインアップしたユーザーが多すぎるため、登録は無効になります。 1時間後にもう一度お試しください
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],拡張子が.icoのアイコンファイル。 16×16ピクセルにする必要があります。 faviconジェネレータを使用して生成されました。 [favicon-generator.org]
Setting this Address Template as default as there is no other default,他にデフォルトがないため、このアドレステンプレートをデフォルトとして設定
QZ Tray Failed: ,QZトレイが失敗しました：
Google Maps integration is not enabled,Googleマップの統合が有効になっていません
Apply this rule if the User is the Owner,ユーザーが所有者の場合はこのルールを適用します
Org History Heading,組織履歴の見出し
Server Error,サーバーエラー
Standard roles cannot be renamed,標準ロールは名前変更できません
Review Points,レビューポイント
Missing parameter Kanban Board Name,パラメータ不足かんばん名
Added,追加しました
Doctype required,Doctypeが必要です
Print Sent to the printer!,印刷プリンタに送信します。
Password Updated,パスワード更新
Shipping,運送
Updated,更新しました
Image Link,画像リンク
You selected Draft or Cancelled documents,下書きまたはキャンセルされた文書を選択しました
Print,印刷する
{0} does not exist in row {1},{0}は行{1}に存在しません
Currently updating {0},現在更新中{0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,開発者モードではありません。 site_config.jsonで設定するか、「カスタム」DocTypeを作成します。
gained {0} points,{0}ポイント獲得
Success Message,成功メッセージ
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",リストページの説明（プレーンテキスト）、数行のみ。 （最大140文字）
Show Permissions,権限を表示
Restrict To Domain,ドメインに制限
Sidebar Items,サイドバー項目
Not a valid User Image.,有効なユーザーイメージではありません。
Mark as Unread,未読としてマーク
The document has been assigned to {0},文書は{0}に割り当てられています
{0} {1} not found,{0} {1}が見つかりません
Chat Room User,チャットルームのユーザー
Slideshow like display for the website,Webサイトのスライドショーのような表示
Print Format,印刷フォーマット
Auto Reply Message,自動返信メッセージ
Restored,回復しました
viewed,見た
Submit an Issue,問題を投稿する
on_update,on_update
Invalid {0} condition,{0}条件が無効です
Not Ancestors Of,の祖先ではない
Set Quantity,数量を設定
End Date,終了日
Next State,次の州
Is First Startup,初めての起動です
updated to {0},{0}に更新
Move To,へ引っ越す
Administrator Logged In,管理者ログイン
Status,状態
Please confirm your action to {0} this document.,このドキュメントを{0}するための操作を確認してください。
Note:,注意：
bell,ベル
Template Name,テンプレート名
Org History,組織の歴史
Translatable,翻訳可能
{0}: Cannot set Cancel without Submit,{0}：送信しないとキャンセルを設定できません
Send enquiries to this email address,このEメールアドレスに問い合わせを送る
Temporarily Disabled,一時的に無効
Unsubscribe,退会する
Dashboard Chart Link,ダッシュボードチャートリンク
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,ファイルが{0} {1}に属しているためファイルを削除できません。
Dear,親愛な
Generate New Report,新しいレポートを生成
This email is autogenerated,このメールは自動生成されます
Forgot Password,パスワードをお忘れですか
Child Tables are shown as a Grid in other DocTypes,子テーブルは他のDocTypeではグリッドとして表示されます
Unselect All,すべて選択解除
File Size,ファイルサイズ
Unable to read file format for {0},{0}のファイル形式を読み込めません
User Roles,ユーザロール
Text Align,テキストの位置合わせ
Set Filters,フィルタを設定する
Transitions,トランジション
Create a new ,新しいを作成します
Invalid field name {0},無効なフィールド名{0}
Web Form,Webフォーム
Chat Room,チャットルーム
Data Migration Connector,データ移行コネクタ
New Folder,新しいフォルダ
repeat,繰り返す
You must login to submit this form,このフォームを送信するにはログインする必要があります
Sorry! You cannot delete auto-generated comments,ごめんなさい！自動生成されたコメントは削除できません
Track Views,トラックビュー
Allow events in timeline,タイムラインでイベントを許可する
Module Def,モジュール定義
Set Meta Tags,メタタグを設定する
Created,作成した
Core,コア
Criticize,批判する
Warning: Unable to find {0} in any table related to {1},警告：{1}に関連するテーブルで{0}が見つかりません
{0} Calendar,{0}カレンダー
Data Import Template,データインポートテンプレート
hand-left,左手
Backup Size:,バックアップサイズ：
Linked with {0},{0}とリンク
Private Key,秘密鍵
{0}: Cannot set import as {1} is not importable,{0}：{1}はインポートできないためインポートを設定できません
Away,アウェイ
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,&#39;{2}&#39;の &#39;{1}&#39;の長さを{0}に戻しています。長さを{3}に設定すると、データが切り捨てられます。
Select a group node first.,最初にグループノードを選択します。
toggle Tag,トグルタグ
"Newsletters to contacts, leads.",連絡先のニュースレター、リード。
Read Only,読み取り専用
No document selected,文書が選択されていません
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",有効にした場合、ユーザーはTwo Factor認証を使用して任意のIPアドレスからログインできます。これはシステム設定のすべてのユーザーに対しても設定できます。
Auto Repeat has been {0},自動繰り返しは{0}です
John Doe,ジョン・ドウ
This document has been modified after the email was sent.,この文書はEメールの送信後に修正されています。
Notify if unreplied,未回答の場合は通知する
Introductory information for the Contact Us Page,お問い合わせページの紹介情報
**Currency** Master,**通貨**マスター
Custom Sidebar Menu,カスタムサイドバーメニュー
Is Submittable,提出可能です
Only Administrator is allowed to use Recorder,管理者のみがRecorderを使用することを許可されています
Password is required or select Awaiting Password,パスワードが必要か、または[パスワードを待つ]を選択します。
Note: Other permission rules may also apply,注：他の許可規則も適用される可能性があります。
Notes: ,ノート：
Custom CSS,カスタムCSS
Invalid CSV Format,無効なCSV形式
Content Type,コンテンツタイプ
Password not found,パスワードが見つかりません
Clear,クリア
This document cannot be reverted,この文書を元に戻すことはできません
Hello!,こんにちは！
Report was not saved (there were errors),レポートは保存されませんでした（エラーがありました）
Allow user to login only before this hour (0-24),この時間（0-24）までにユーザーにログインを許可する
Add More,さらに追加
You can also copy-paste this link in your browser,このリンクをブラウザにコピーアンドペーストすることもできます。
Add fields to forms.,フォームにフィールドを追加します。
User is mandatory for Share,ユーザーは共有に必須です
Verify,確認する
Enter Email Recipient(s),電子メール受信者を入力してください
Recorder,レコーダー
Interest,興味
Limit,限定
Print taxes with zero amount,ゼロ金額で税金を印刷する
Book,本
Access Key ID,アクセスキーID
URLs,URL
Names and surnames by themselves are easy to guess.,名前と姓自体は簡単に推測できます。
Report {0},レポート{0}
Team Members Heading,チームメンバーの見出し
Document {0} has been set to state {1} by {2},文書{0}は{2}によって状態{1}に設定されました
Address Template,アドレステンプレート
step-backward,ステップバック
Not Found,見つかりません
Banner Image,バナー画像
Not a valid Workflow Action,有効なワークフローアクションではありません
API Endpoint Args,APIエンドポイント引数
Gateway,ゲートウェイ
Setup Auto Email,自動電子メールの設定
Represents the states allowed in one document and role assigned to change the state.,1つの文書で許可されている状態と、状態を変更するために割り当てられている役割を表します。
Login with LDAP,LDAPでログイン
Please enable pop-ups,ポップアップを有効にしてください
See the document at {0},{0}の文書を参照してください。
Type,タイプ
{0} {1}: Submitted Record cannot be deleted.,{0} {1}：送信されたレコードは削除できません。
refresh_token,refresh_token
Amend,修正する
Export,輸出する
Show in filter,フィルタで表示
It is necessary to take this action today itself for the above mentioned recurring,上記の繰り返しのために今日それ自身でこの行動をとる必要があります
Export Custom Permissions,カスタム権限のエクスポート
None: End of Workflow,なし：ワークフロー終了
Version,バージョン
6 months,6ヵ月
Group,グループ
There is some problem with the file url: {0},ファイルurlに問題があります：{0}
Customize Form Field,フォームフィールドをカスタマイズする
Comment can only be edited by the owner,コメントは所有者しか編集できません
Document Follow,ドキュメントフォロー
Did not find {0} for {0} ({1}),{0}の{0}が見つかりませんでした（{1}）
URL,URL
Parent is required to get child table data,子テーブルデータを取得するには親が必要です
A log of request errors,リクエストエラーのログ
User not allowed to delete {0}: {1},ユーザーは{0}を削除できません：{1}
dd-mm-yyyy,dd-mm-yyyy
eject,イジェクトする
Drag and Drop tool to build and customize Print Formats.,印刷形式を作成してカスタマイズするためのドラッグアンドドロップツール。
"If checked, this field will be not overwritten based on Fetch From if a value already exists.",チェックした場合、値がすでに存在する場合、このフィールドはFetch Fromに基づいて上書きされません。
Currently Viewing,現在閲覧中
Not allowed for {0}: {1}. Restricted field: {2},{0}には使用できません：{1}。制限付きフィールド：{2}
Slack,スラック
Please duplicate this to make changes,変更するにはこれを複製してください
Repeat On,繰り返す
Login After,ログイン後
Folder {0} is not empty,フォルダー{0}は空ではありません
File Type,ファイルの種類
Enable Raw Printing,生の印刷を有効にする
Further nodes can be only created under 'Group' type nodes,追加のノードは、 &#39;グループ&#39;タイプのノードの下にのみ作成できます。
signal,信号
Cannot edit a standard report. Please duplicate and create a new report,標準レポートは編集できません。複製して新しいレポートを作成してください
Sales Master Manager,セールスマスターマネージャー
Bulk Edit {0},一括編集{0}
Preparing Report,レポート作成
{0} criticized your work on {1} with {2} point,{0}が{1}に対する作業を{2}のポイントで批判しています
Verdana,ヴェルダナ
Unsubscribed,退会
DocPerm,DocPerm
Fold can not be at the end of the form,折りはフォームの最後にはできません
Server IP,サーバーIP
{0} Tree,{0}ツリー
Send Password,パスワードを送信
All Day,一日中
Parent is the name of the document to which the data will get added to.,Parentは、データが追加される文書の名前です。
Block Module,ブロックモジュール
(Ctrl + G),（Ctrl + G）
Points,ポイント
API Endpoint,APIエンドポイント
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,詳細についてはhttps://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_regionを参照してください。
App Client Secret,アプリクライアントの秘密
Original Value,元の値
Attach Image,画像を添付
Your system is being updated. Please refresh again after a few moments,システムは更新中です。しばらくしてからもう一度更新してください。
Add / Manage Email Accounts.,電子メールアカウントを追加/管理します。
Third Party Authentication,第三者認証
1 year,1年
{0} reverted your points on {1},{0}があなたのポイントを{1}に戻しました
arrow-down,下矢印
Ignore encoding errors,エンコードエラーを無視する
Letter Head Name,レターヘッド名
Client Script,クライアントスクリプト
Higher priority rule will be applied first,優先順位の高いルールが最初に適用されます
Content (HTML),コンテンツ（HTML）
{0} appreciation points for {1} {2},{1}の評価ポイント{0} {2}
Search in a document type,文書タイプで検索する
Only Administrator is allowed to create Dashboard Chart Sources,管理者のみがダッシュボードチャートソースを作成できます
Only 200 inserts allowed in one request,1回のリクエストで許可される挿入は200個だけです
Kanban Board Name,かんばんボード名
Group Label,グループラベル
thumbs-up,いいぞ
Reload,リロード
{0} added,{0}が追加されました
{0} to {1},{0}から{1}
Attach File,ファイルを添付する
Expose Recipients,受信者を公開する
ToDo,ToDo
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",この文書が存在する可能性がある「州」は異なります。「オープン」、「承認待ち」などのように。
Weekly,毎週
Preview HTML,HTMLをプレビュー
GSuite Templates,GSuiteテンプレート
Force Show,ショーを強制
Deleted Name,削除された名前
Home,ホーム
User can login using Email id or User Name,ユーザーはEメールIDまたはユーザー名を使用してログインできます
Assign a permission level to the field.,項目に権限レベルを割り当てます。
Error: Value missing for {0}: {1},エラー：{0}の値がありません：{1}
ap-northeast-3,AP北東3
Please enter Redirect URL,リダイレクトURLを入力してください
Allow on Submit,送信を許可
Table {0} cannot be empty,テーブル{0}は空にできません
minus-sign,マイナス記号
Phone,電話
Clear all roles,すべての役割をクリア
Example,例
You need write permission to rename,名前を変更するには書き込み権限が必要です
Advanced Control,高度な制御
Path to Server Certificate,サーバー証明書へのパス
If Checked workflow status will not override status in list view,チェックされたワークフローステータスがリストビューのステータスを上書きしない場合
Updating {0},{0}を更新しています
Logged in as Guest or Administrator,ゲストまたは管理者としてログイン
Green,緑
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,新規レコードには必須フィールドのみが必要です。必要に応じて、必須ではない列を削除できます。
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.",{0}は文字で始まり、文字で終わる必要があり、文字、ハイフン、またはアンダースコアのみを含めることができます。
Create User Email,ユーザーのEメールを作成
Sort field {0} must be a valid fieldname,ソートフィールド{0}は有効なフィールド名でなければなりません
Filter Meta,フィルタメタ
Category Name,種別名
Javascript to append to the head section of the page.,ページのヘッドセクションに追加するJavaScript。
Allow Delete,削除を許可
Authorize URL,URLを承認
This feature is brand new and still experimental,この機能は真新しく、まだ実験的です
S3 Backup Settings,S3バックアップ設定
Not Seen,見ていません
Not Like,みたいではなく
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",カスタムフィールド &#39;{1}&#39;のラベル &#39;{2}&#39;の後に挿入フィールド &#39;{0}&#39;が存在しません
Refresh Form,フォームを更新
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,より多くのターンでより長いキーボードパターンを使うようにしてください
Archive,アーカイブ
Your payment is cancelled.,支払いはキャンセルされました。
Fieldname {0} cannot have special characters like {1},フィールド名{0}に{1}のような特殊文字を含めることはできません
Traceback,トレースバック
Route,ルート
Workflow Name,ワークフロー名
Report,報告書
Incomplete login details,不完全なログイン詳細
Table,表
Start a conversation.,会話を始めます。
Sync on Migrate,移行時に同期
Timeline Field,タイムラインフィールド
Fieldtype {0} for {1} cannot be indexed,{1}のフィールドタイプ{0}は索引付けできません
Loading...,読み込み中...
Half Yearly,半年ごと
Last Modified Date,最終更新日
First Name,ファーストネーム
Comments,コメント
Assignment for {0} {1},{0} {1}への割り当て
Cannot link cancelled document: {0},キャンセルされたドキュメントをリンクできません：{0}
BCC,BCC
Long Text,ロングテキスト
Float Precision,フロート精度
Please Enter Your Password to Continue,続行するにはパスワードを入力してください
Save Report,レポートを保存
"""Team Members"" or ""Management""",「チームメンバー」または「管理」
0 - Draft; 1 - Submitted; 2 - Cancelled,0  - 下書き。 1  - 送信済み。 2  - キャンセル
SMTP Settings for outgoing emails,送信メールのSMTP設定
Is Your Company Address,あなたの会社の住所ですか
Printer Name,プリンター名
Dropbox Settings,Dropboxの設定
System and Website Users,システムユーザーとWebサイトユーザー
Fieldname which will be the DocType for this link field.,このリンクフィールドのDocTypeになるフィールド名。
Content Hash,コンテンツハッシュ
Posts by {0},{0}による投稿
{0} assigned {1}: {2},{0}に{1}が割り当てられました：{2}
globe,グローブ
Average of {0},{0}の平均
Clear Error Logs,エラーログを消去する
Friendly Title,フレンドリータイトル
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",「Open Sans」などの「Google Webフォント」の名前を追加します。
Filter,フィルタ
No of Rows (Max 500),行数（最大500）
Label,ラベル
Your account has been locked and will resume after {0} seconds,アカウントはロックされており、{0}秒後に再開します
indent-left,左インデント
Identity Details,アイデンティティの詳細
Visitor,ビジター
gift,贈り物
Run Tests,テストを実行する
LDAP Search String,LDAP検索文字列
Field {0} not found.,フィールド{0}が見つかりません。
Select Languages,言語を選択
You don't have any messages yet.,まだメッセージがありません。
Event Type,イベントタイプ
"To get the updated report, click on {0}.",更新されたレポートを入手するには、{0}をクリックしてください。
Home Settings,ホーム設定
Apply to all Documents Types,すべての文書タイプに適用
Inverse,逆
Closed,閉まっている
Query,問い合わせ
Days After,その後の日数
Request Timed Out,要求がタイムアウトしました
Email Footer Address,メールフッターアドレス
Energy point update,エネルギーポイントの更新
Click here to verify,確認するにはここをクリック
You can use Customize Form to set levels on fields.,フォームのカスタマイズを使用して、フィールドにレベルを設定できます。
App Secret Key,アプリの秘密鍵
Show Section Headings,セクション見出しを表示
Mentions,言及
Series {0} already used in {1},シリーズ{0}は既に{1}で使用されています
Clicked,クリックしました
Log,ログ
Accept Payment,支払いを受け入れる
Print Server,プリントサーバー
Welcome Message,ウェルカムメッセージ
Reference DocType,参照ドキュメントタイプ
Shared,共有
Unknown Column: {0},不明な列：{0}
Enabled,有効
Setup Complete,セットアップ完了
Shared with {0},{0}と共有
Not a valid Comma Separated Value (CSV File),有効なカンマ区切り値（CSVファイル）ではありません
Your payment has failed.,あなたの支払いは失敗しました。
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",リンクの場合は、範囲としてDocTypeを入力します。 [選択]に、それぞれ新しい行にオプションのリストを入力します。
1 minute ago,1分前
No Active Sessions,アクティブセッションなし
Row,行
Please try again,もう一度やり直してください
Chart Options,チャートオプション
Push Failed,プッシュ失敗
Off,オフ
Default Outgoing,デフォルト発信
1 year ago,1年前
View Subscribers,購読者を見る
Allow Print,印刷を許可
Comment,コメント
{0} not allowed to be renamed,{0}は名前変更できません
Success URL,成功URL
Document is only editable by users of role,文書はロールのユーザーによってのみ編集可能です
Outgoing email account not correct,送信メールアカウントが正しくありません
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,マージは、グループ間またはリーフノード間でのみ可能です。
Select Language...,言語を選択する...
Link,リンク
{0}: No basic permissions set,{0}：基本権限が設定されていません
Value for a check field can be either 0 or 1,チェックフィールドの値は0または1です。
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",Webページの&lt;head&gt;セクションにHTMLを追加しました。主にWebサイトの確認とSEOに使用されます。
plus,プラス
Please Duplicate this Website Theme to customize.,このウェブサイトのテーマを複製してカスタマイズしてください。
Options not set for link field {0},リンクフィールド{0}に設定されていないオプション
Must have report permission to access this report.,このレポートにアクセスするにはレポート権限が必要です。
Rename {0},{0}の名前を変更
Note: Multiple sessions will be allowed in case of mobile device,注：モバイルデバイスの場合は複数のセッションが許可されます
resize-small,リサイズ小
Relinked,再リンク
Roles HTML,ロールHTML
Workflow will start after saving.,保存後にワークフローが開始されます。
"If your data is in HTML, please copy paste the exact HTML code with the tags.",データがHTMLの場合は、タグ付きの正確なHTMLコードをコピーして貼り付けてください。
Dates are often easy to guess.,日付はしばしば推測しやすいものです。
Pincode,ピンコード
Update Value,値を更新する
Has Web View,Web表示あり
Align Value,値を揃える
Assignment Complete,割り当て完了
Header,ヘッダ
This query style is discontinued,このクエリスタイルは廃止されました
Document Type is not submittable,伝票タイプは送信できません
Display Depends On,表示は依存します
No Tags,タグなし
Script Code,スクリプトコード
Updated successfully,更新成功
Hi {0},こんにちは{0}
{0} not a valid State,{0}は無効な州です
Accounts User,アカウントユーザー
Groups of DocTypes,DocTypeのグループ
Website Route Redirect,ウェブサイトルートリダイレクト
Beginning with,から始まる
Hello {0},こんにちは{0}
Start Time,始まる時間
{0} has been successfully added to the Email Group.,{0}が正常にEメールグループに追加されました。
Cancelled Document restored as Draft,ドラフトとして復元されたキャンセル済みドキュメント
Desktop Icon,デスクトップアイコン
cancelled this document,この文書をキャンセルしました
Date Range,期間
{0} appreciated {1},{0}感謝しています{1}
Values Changed,変更された値
Error in Notification,通知エラー
Enable Report,レポートを有効にする
No alerts for today,今日のアラートはありません
Redirect URI Bound To Auth Code,認証コードにバインドされたリダイレクトURI
Always use Account's Email Address as Sender,送信者として常にアカウントのEメールアドレスを使用する
Barcode,バーコード
{0} Dashboard,{0}ダッシュボード
Last Quarter,前四半期
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings",{0}ドキュメントを添付することはできません。印刷設定で{0}の印刷を許可するを有効にしてください
Attach,添付
Scopes,スコープ
Deleted Documents,削除された文書
Workflow Action,ワークフローアクション
You can also copy-paste this ,これをコピー＆ペーストすることもできます
Is Feedback request triggered manually ?,フィードバック要求は手動で起動されますか？
Select a chat to start messaging.,チャットを選択してメッセージングを開始します。
No permission to read {0},{0}を読み取る権限がありません
Reply,応答
Braintree payment gateway settings,Braintree支払いゲートウェイ設定
Scheduled to send to {0},{0}に送信する予定です
"If enabled, changes to the document are tracked and shown in timeline",有効にすると、ドキュメントへの変更が追跡され、タイムラインに表示されます。
Send Welcome Email,ウェルカムメールを送る
asterisk,アスタリスク
This link is invalid or expired. Please make sure you have pasted correctly.,このリンクは無効または期限切れです。正しく貼り付けたことを確認してください。
New Value,新しい価値
Due Date,期日
"Include symbols, numbers and capital letters in the password",パスワードに記号、数字、大文字を含める
Send Alert On,アラートを送信
Home/Test Folder 1/Test Folder 3,ホーム/テストフォルダー1 /テストフォルダー3
Valid,有効
Cannot edit cancelled document,キャンセルした文書は編集できません
App Access Key,アプリアクセスキー
Login Before,前にログイン
Private,非公開
Update many values at one time.,一度に多くの値を更新します。
None,無し
Partial Success,部分的な成功
{0} comments,{0}件のコメント
Emails will be sent with next possible workflow actions,電子メールは次に可能なワークフローアクションとともに送信されます
adjust,調整する
on_change,on_change
{0} Name,{0}名
Same Field is entered more than once,同じフィールドが複数回入力されています
Please select a Amount Field.,金額フィールドを選択してください。
Company History,会社の歴史
No Printer is Available.,利用可能なプリンタがありません。
Address Line 2,住所2
Time Interval,時間間隔
Message Preview,メッセージプレビュー
Purchase Master Manager,購買マスターマネージャー
Is Default,デフォルトです
Row Index,行インデックス
Allowed,許可
"If you are uploading new records, leave the ""name"" (ID) column blank.",新しいレコードをアップロードする場合は、[名前]（ID）列を空白のままにしてください。
Events in Today's Calendar,今日のカレンダーのイベント
GCalendar is not configured.,GCalendarが設定されていません。
Entity Type,エンティティタイプ
Mandatory field: set role for,必須フィールド：ロールの設定
Bulk Delete,一括削除
Document Name,文書名
Add your own translations,あなた自身の翻訳を追加する
eu-central-1,eu-central-1
Yearly,毎年
Rename,リネーム
Remote Primary Key,リモート主キー
Script or Query reports,スクリプトまたはクエリレポート
Next Action Email Template,次のアクションEメールテンプレート
Chain Integrity,チェーンの完全性
Illegal Access Token. Please try again,不正アクセストークンもう一度やり直してください
"You need to have ""Share"" permission",「共有」権限が必要です
Let's prepare the system for first use.,初めて使用するためのシステムを準備しましょう。
circle-arrow-up,上矢印
play,遊びます
You have been successfully logged out,あなたは正常にログアウトされました
Require Trusted Certificate,信頼できる証明書を要求する
Preview,プレビュー
Reference Owner,参照所有者
Cannot cancel before submitting. See Transition {0},送信する前にキャンセルすることはできません。遷移{0}を参照してください。
Setup &gt; Customize Form,設定&gt;フォームのカスタマイズ
Unable to update event,予定を更新できません
Queued,待ち行列
Webhook Header,Webhookヘッダー
Allow GSuite access,GSuiteアクセスを許可する
New Newsletter,新しいニュースレター
Updated To New Version,新バージョンに更新
No {0} mail,{0}メールなし
Password Reset,パスワードのリセット
From Full Name,氏名から
Newsletter,ニュースレター
Section Break,セクション区切り
play-circle,プレイサークル
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",かんばん列として使用できるフィールドが見つかりませんでした。 [選択]フォームを使用して、 &quot;選択&quot;タイプのカスタムフィールドを追加します。
Column,カラム
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth",有効にした場合、制限付きIPアドレスからログインしたユーザーは、Two Factor認証を求められません。
You do not have enough points,あなたは十分なポイントがありません
More Information,詳しくは
DocShare,DocShare
Filters,フィルター
Room,ルーム
{0} items selected,{0}項目が選択されました
Leave a Comment,コメントを残す
Stripe Settings,ストライプ設定
Background Workers,バックグラウンドワーカー
Customize...,カスタマイズ...
<p>No results found for '</p>,<p> &#39;の検索結果はありません</p>
Last Year,昨年
Remote Objectname,リモートオブジェクト名
yyyy-mm-dd,yyyy-mm-dd
Flag,旗
plane,飛行機
Nested set error. Please contact the Administrator.,入れ子集合エラー管理者に連絡してください。
Show Report,レポートを表示
Auto Repeat Schedule,自動繰り返しスケジュール
Office,事務所
StartTLS,StartTLS
{0} days ago,{0}日前
Check,チェック
Fetch From,から取得
Not in Developer Mode,開発者モードではありません
Verifying...,確認しています...
Printer,プリンター
A symbol for this currency. For e.g. $,この通貨の記号です。例えば$
Cannot remove ID field,IDフィールドを削除できません
removed,削除されました
Add Review,レビューを追加
circle-arrow-left,丸矢左
Dr,博士
Apply To All Document Types,すべての文書タイプに適用
"There were some errors setting the name, please contact the administrator",名前の設定中にエラーが発生しました。管理者に連絡してください
Allow Login After Fail,失敗後のログインを許可
Documents,書類
Track Field,トラックフィールド
Compiled Successfully,正常にコンパイルされた
Warning: This Print Format is in old style and cannot be generated via the API.,警告：この印刷フォーマットは古いスタイルであり、APIを介して生成することはできません。
in the Auto Repeat document,自動繰り返し文書内
Access Token,アクセストークン
Small Text,小さなテキスト
Edit {0},{0}を編集
Web Page,ウェブページ
Connection Success,接続成功
Completed By,によって完了
Bypass Two Factor Auth for users who login from restricted IP Address,制限付きIPアドレスからログインしているユーザーの場合、Two Factor認証を回避する
Missing Values Required,欠けている値が必要
My Settings,私の設定
Group name cannot be empty.,グループ名は空にできません。
road,道路
Source,ソース
Active Sessions,アクティブセッション
There can be only one Fold in a form,1つのフォームには1つだけフォールドがある
New Chat,新しいチャット
Scan the QR Code and enter the resulting code displayed.,QRコードをスキャンして、表示された結果のコードを入力してください。
map-marker,地図マーカー
Change Password,パスワードを変更する
More...,もっと...
Personal Data Deletion Request,個人データ削除依頼
Path to CA Certs File,CA証明書ファイルへのパス
Old Password,以前のパスワード
No of Columns,列数
