Connector Type,Type de connecteur
You are not allowed to create columns,Vous n&#39;êtes pas autorisé à créer des colonnes
This will log out {0} from all other devices,Cela déconnectera {0} de tous les autres appareils.
text-height,hauteur du texte
Successfully Updated,Mise à jour réussie
Suggested Username: {0},Nom d&#39;utilisateur suggéré: {0}
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Une liste de ressources auxquelles l&#39;application client aura accès après que l&#39;utilisateur l&#39;aura autorisée. <br> par exemple projet
Top Performer,Joueur le plus performant
Please find attached {0} #{1},Veuillez trouver ci-joint {0} # {1}
User '{0}' already has the role '{1}',L&#39;utilisateur &#39;{0}&#39; a déjà le rôle &#39;{1}&#39;
Unknown User,Utilisateur inconnu
Logout,Connectez - Out
Route Redirects,Route Redirects
Email Inbox,Courriel Boîte de réception
restored {0} as {1},restauré {0} comme {1}
Automatically Assign Documents to Users,Attribuer automatiquement des documents aux utilisateurs
Email Templates for common queries.,Modèles de courrier électronique pour les requêtes courantes.
Letter Head Based On,Tête de lettre basée sur
Please close this window,S&#39;il vous plaît fermer cette fenêtre
Payment Complete,Paiement complet
Designation,La désignation
Webhook,Webhook
Meta Tags,Meta Tags
{0}: Fieldname {1} appears multiple times in rows {2},{0}: le nom de champ {1} apparaît plusieurs fois dans les lignes {2}
Assign to the one who has the least assignments,Attribuer à celui qui a le moins d&#39;affectations
Folder {0} does not exist,Le dossier {0} n&#39;existe pas
Reset Password,réinitialiser le mot de passe
Optional: Always send to these ids. Each Email Address on a new row,Facultatif: envoyez toujours à ces identifiants. Chaque adresse électronique sur une nouvelle ligne
Webhook Data,Données Webhook
"Reverting length to {0} for '{1}' in '{2}';
							Setting the length as {3} will cause truncation of data.",Rétablissement de la longueur sur {0} pour &#39;{1}&#39; dans &#39;{2}&#39;; Définir la longueur sur {3} provoquera la troncature des données.
Password for Base DN,Mot de passe pour le DN de base
Allow Print for Cancelled,Autoriser l&#39;impression pour annulé
Chart Source,Source graphique
1 week,1 semaine
Note: Changing the Page Name will break previous URL to this page.,Remarque: La modification du nom de la page supprimera l&#39;URL précédente de cette page.
Total Rows,Nombre total de lignes
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,Impossible de modifier les détails de l&#39;utilisateur dans la démo. Veuillez vous inscrire pour un nouveau compte sur https://erpnext.com.
New Email,nouveau courriel
Cancel,Annuler
Print Style Name,Nom du style d&#39;impression
Standard Print Format cannot be updated,Le format d&#39;impression standard ne peut pas être mis à jour
Applicable For,Utilisable pour
Font Size (px),Taille de la police (px)
Only {0} emailed reports are allowed per user,Seuls les {0} rapports envoyés par courrier électronique sont autorisés par utilisateur.
Thank you for your comment. It will be published after approval,Merci pour votre commentaire. Il sera publié après approbation
Chat Operators,Opérateurs de chat
Success,Succès
Upload Failed,Échec du téléchargement
bullhorn,porte-voix
Address and Contacts,Adresse et contacts
Timezone,Fuseau horaire
Please enter Base URL,Veuillez entrer l&#39;URL de base
Email Reply Help,Réponse par courrier électronique Aide
Choose authentication method to be used by all users,Choisir la méthode d&#39;authentification à utiliser par tous les utilisateurs
Parent Error Snapshot,Instantané d&#39;erreur parent
GCalendar Account,Compte GCalendar
Language Name,Nom de la langue
Customize Form,Personnaliser le formulaire
Image Field,Champ d&#39;image
Added {0} ({1}),Ajouté {0} ({1})
Click here to post bugs and suggestions,Cliquez ici pour poster des bugs et des suggestions
No records deleted,Aucun enregistrement supprimé
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,Les autorisations aux niveaux supérieurs sont des autorisations de niveau champ. Un niveau d’autorisation est défini pour tous les champs et les règles définies pour ces autorisations s’appliquent au champ. Ceci est utile si vous souhaitez masquer ou rendre certains champs en lecture seule pour certains rôles.
Source Name,Nom de la source
Edit HTML,Modifier le code HTML
Printer Settings...,Paramètres de l&#39;imprimante ...
UID,UID
Move to Row Number,Déplacer vers le numéro de ligne
ap-northeast-1,ap-nord-est-1
Assigned,Attribué
QR Code,QR Code
Guest,Client
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Impossible de modifier la notification standard. Pour éditer, veuillez désactiver ceci et le dupliquer"
Newsletter Email Group,Groupe de courrier électronique
Mention transaction completion page URL,Mentionnez l&#39;URL de la page de fin de transaction
hand-down,main vers le bas
Direct room with {0} already exists.,La salle directe avec {0} existe déjà.
Invalid Output Format,Format de sortie invalide
PDF,PDF
{0} logged out: {1},{0} déconnecté: {1}
Doctype,Doctype
Not Sent,Pas envoyé
You have exceeded the max space of {0} for your plan. {1}.,Vous avez dépassé l&#39;espace maximal de {0} pour votre plan. {1}.
Limit Number of DB Backups,Nombre limite de sauvegardes de base de données
{0} criticized your work on {1} with {2} points,{0} a critiqué votre travail sur {1} avec {2} points
Send Me A Copy of Outgoing Emails,Envoyez-moi une copie des courriels sortants
Sorry! You are not permitted to view this page.,Pardon! Vous n&#39;êtes pas autorisé à voir cette page.
Letter Head in HTML,En-tête de lettre en HTML
Form Customization,Personnalisation de formulaire
Assign to me,Assigne moi
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","Trop d&#39;utilisateurs se sont inscrits récemment, l&#39;enregistrement est donc désactivé. S&#39;il vous plaît essayez de retour dans une heure"
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],Un fichier d&#39;icône avec l&#39;extension .ico. Devrait être 16 x 16 px. Généré à l&#39;aide d&#39;un générateur de favicon. [favicon-generator.org]
Setting this Address Template as default as there is no other default,Paramétrer ce modèle d’adresse par défaut car il n’y en a pas d’autre
QZ Tray Failed: ,QZ Tray Failed:
Google Maps integration is not enabled,L&#39;intégration de Google Maps n&#39;est pas activée
Apply this rule if the User is the Owner,Appliquer cette règle si l&#39;utilisateur est le propriétaire
Org History Heading,Titre de l&#39;histoire de l&#39;organisation
Server Error,erreur du serveur
Standard roles cannot be renamed,Les rôles standard ne peuvent pas être renommés
Review Points,Points d&#39;examen
Missing parameter Kanban Board Name,Paramètre manquant Nom de la carte Kanban
Added,Ajoutée
Doctype required,Doctype requis
Print Sent to the printer!,Imprimer Envoyé à l&#39;imprimante!
Password Updated,Mot de passe mis à jour
Shipping,livraison
Updated,Mis à jour
Image Link,Lien d&#39;image
You selected Draft or Cancelled documents,Vous avez sélectionné les documents brouillons ou annulés
Print,Impression
{0} does not exist in row {1},{0} n&#39;existe pas dans la ligne {1}
Currently updating {0},Mise à jour en cours {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Pas en mode développeur! Définissez dans site_config.json ou créez un DocType &#39;Personnalisé&#39;.
gained {0} points,a gagné {0} points
Success Message,Message de réussite
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Description pour la page de liste, en texte brut, seulement quelques lignes. (max 140 caractères)"
Show Permissions,Afficher les autorisations
Restrict To Domain,Restreindre au domaine
Sidebar Items,Éléments de la barre latérale
Not a valid User Image.,Pas une image d&#39;utilisateur valide.
Mark as Unread,Marquer comme non lu
The document has been assigned to {0},Le document a été attribué à {0}
{0} {1} not found,{0} {1} non trouvé
Chat Room User,Utilisateur du salon de discussion
Slideshow like display for the website,Diaporama comme affichage pour le site
Print Format,Format d&#39;impression
Auto Reply Message,Message de réponse automatique
Restored,Restauré
viewed,vu
Submit an Issue,Soumettre un problème
on_update,on_update
Invalid {0} condition,Condition {0} non valide
Not Ancestors Of,Pas ancêtres de
Set Quantity,Quantité définie
End Date,Date de fin
Next State,Etat suivant
Is First Startup,Est la première mise en route
updated to {0},mis à jour à {0}
Move To,Déménager à
Administrator Logged In,Administrateur connecté
Status,Statut
Please confirm your action to {0} this document.,Confirmez votre action sur {0} ce document.
Note:,Remarque:
bell,cloche
Template Name,Nom du modèle
Org History,Histoire de l&#39;organisation
Translatable,Traduisible
{0}: Cannot set Cancel without Submit,{0}: Impossible de définir Annuler sans envoyer
Send enquiries to this email address,Envoyer des demandes à cette adresse email
Temporarily Disabled,Temporairement désactivé
Unsubscribe,Se désabonner
Dashboard Chart Link,Lien de tableau de bord
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,Impossible de supprimer le fichier car il appartient à {0} {1} pour lequel vous ne disposez pas des autorisations.
Dear,cher
Generate New Report,Générer un nouveau rapport
This email is autogenerated,Cet email est généré automatiquement
Forgot Password,Mot de passe oublié
Child Tables are shown as a Grid in other DocTypes,Les tables enfants sont affichées sous forme de grille dans d&#39;autres DocTypes
Unselect All,Tout déselectionner
File Size,Taille du fichier
Unable to read file format for {0},Impossible de lire le format de fichier pour {0}
User Roles,Rôles d&#39;utilisateur
Text Align,Alignement du texte
Set Filters,Définir les filtres
Transitions,Les transitions
Invalid field name {0},Nom de champ non valide {0}
Web Form,Formulaire Web
Chat Room,Tchat
Data Migration Connector,Connecteur de migration de données
New Folder,Nouveau dossier
repeat,répéter
You must login to submit this form,Vous devez vous connecter pour soumettre ce formulaire
Sorry! You cannot delete auto-generated comments,Pardon! Vous ne pouvez pas supprimer les commentaires générés automatiquement
Track Views,Track Views
Allow events in timeline,Autoriser les événements dans la chronologie
Module Def,Module Def
Set Meta Tags,Définir les balises méta
{0}: Fieldtype {1} for {2} cannot be unique,{0}: le type de champ {1} pour {2} ne peut pas être unique
Created,Créé
Core,Coeur
Criticize,Critiquer
Warning: Unable to find {0} in any table related to {1},Avertissement: Impossible de trouver {0} dans une table associée à {1}.
{0} Calendar,{0} calendrier
Data Import Template,Modèle d&#39;importation de données
hand-left,main gauche
Backup Size:,Taille de la sauvegarde:
Linked with {0},Lié avec {0}
Private Key,Clé privée
{0}: Cannot set import as {1} is not importable,{0}: impossible de définir l&#39;importation car {1} n&#39;est pas importable
Away,Une façon
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Rétablissement de la longueur sur {0} pour &#39;{1}&#39; dans &#39;{2}&#39;; Définir la longueur sur {3} provoquera la troncature des données.
Select a group node first.,Sélectionnez d&#39;abord un nœud de groupe.
toggle Tag,bascule Tag
"Newsletters to contacts, leads.","Bulletins d&#39;information aux contacts, prospects."
Read Only,Lecture seulement
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Si cette option est activée, l&#39;utilisateur peut se connecter depuis n&#39;importe quelle adresse IP à l&#39;aide de l&#39;authentification à deux facteurs. Cette option peut également être définie pour tous les utilisateurs dans les paramètres système."
Auto Repeat has been {0},La répétition automatique a été {0}
John Doe,John Doe
This document has been modified after the email was sent.,Ce document a été modifié après l&#39;envoi de l&#39;e-mail.
Notify if unreplied,Notifier si non répondu
Introductory information for the Contact Us Page,Informations d&#39;introduction pour la page Contactez-nous
**Currency** Master,** Monnaie ** Master
Custom Sidebar Menu,Menu de la barre latérale personnalisée
Is Submittable,Est soumis
Only Administrator is allowed to use Recorder,Seul l&#39;administrateur est autorisé à utiliser l&#39;enregistreur
Password is required or select Awaiting Password,Le mot de passe est requis ou sélectionnez En attente du mot de passe
Note: Other permission rules may also apply,Remarque: d&#39;autres règles d&#39;autorisation peuvent également s&#39;appliquer
Notes: ,Remarques:
Custom CSS,CSS personnalisé
Invalid CSV Format,Format CSV non valide
Content Type,Type de contenu
Password not found,Mot de passe non trouvé
Clear,Clair
This document cannot be reverted,Ce document ne peut pas être annulé
Hello!,salut!
Report was not saved (there were errors),Le rapport n&#39;a pas été enregistré (il y a eu des erreurs)
Allow user to login only before this hour (0-24),Autoriser l&#39;utilisateur à se connecter uniquement avant cette heure (0-24)
Add More,Ajouter plus
You can also copy-paste this link in your browser,Vous pouvez également copier-coller ce lien dans votre navigateur
Add fields to forms.,Ajouter des champs aux formulaires.
User is mandatory for Share,L&#39;utilisateur est obligatoire pour Partager
Verify,Vérifier
Enter Email Recipient(s),Entrer destinataire (s)
Recorder,Enregistreur
Interest,Intérêt
Limit,Limite
Print taxes with zero amount,Imprimer les taxes avec un montant nul
Book,Livre
Access Key ID,Clé d&#39;accès
URLs,URL
Names and surnames by themselves are easy to guess.,Les noms et prénoms sont faciles à deviner.
Report {0},Rapport {0}
Team Members Heading,Membres de l&#39;équipe
Document {0} has been set to state {1} by {2},Le document {0} a été défini sur l&#39;état {1} par {2}.
Address Template,Modèle d&#39;adresse
step-backward,reculer
Not Found,Pas trouvé
Banner Image,Image de la bannière
Not a valid Workflow Action,Action de flux de travail non valide
API Endpoint Args,API Endpoint Args
Gateway,passerelle
Setup Auto Email,Configurer Email automatique
Represents the states allowed in one document and role assigned to change the state.,Représente les états autorisés dans un document et le rôle attribué pour changer d&#39;état.
Login with LDAP,Connexion avec LDAP
Please enable pop-ups,S&#39;il vous plaît activer les pop-ups
See the document at {0},Voir le document à {0}
Type,Type
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: L&#39;enregistrement soumis ne peut pas être supprimé.
refresh_token,refresh_token
Amend,Modifier
Export,Exportation
Show in filter,Afficher dans le filtre
It is necessary to take this action today itself for the above mentioned recurring,Il est nécessaire de prendre cette action aujourd&#39;hui elle-même pour les problèmes récurrents susmentionnés.
Export Custom Permissions,Exporter les autorisations personnalisées
None: End of Workflow,Aucun: Fin du flux de travail
Version,Version
6 months,6 mois
Group,Groupe
There is some problem with the file url: {0},Il y a un problème avec l&#39;URL du fichier: {0}
Customize Form Field,Personnaliser le champ de formulaire
Comment can only be edited by the owner,Les commentaires ne peuvent être édités que par le propriétaire
Document Follow,Document Suivre
Did not find {0} for {0} ({1}),Impossible de trouver {0} pour {0} ({1})
URL,URL
Parent is required to get child table data,Le parent est requis pour obtenir les données de la table enfant
A log of request errors,Un journal des erreurs de demande
User not allowed to delete {0}: {1},Utilisateur non autorisé à supprimer {0}: {1}
dd-mm-yyyy,jj-mm-aaaa
eject,éjecter
Drag and Drop tool to build and customize Print Formats.,Outil glisser-déposer pour créer et personnaliser les formats d&#39;impression.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Si cette case est cochée, ce champ ne sera pas écrasé en fonction de l&#39;extraction de si une valeur existe déjà."
Currently Viewing,Affichage en cours
Not allowed for {0}: {1}. Restricted field: {2},Non autorisé pour {0}: {1}. Champ restreint: {2}
Slack,Mou
Please duplicate this to make changes,Veuillez le dupliquer pour apporter des modifications
Repeat On,Répéter le
Login After,Se connecter après
Folder {0} is not empty,Le dossier {0} n&#39;est pas vide
File Type,Type de fichier
Enable Raw Printing,Activer l&#39;impression brute
Further nodes can be only created under 'Group' type nodes,D&#39;autres nœuds ne peuvent être créés que sous des nœuds de type &#39;Groupe&#39;
signal,signal
Cannot edit a standard report. Please duplicate and create a new report,Impossible de modifier un rapport standard. Veuillez dupliquer et créer un nouveau rapport
Sales Master Manager,Directeur principal des ventes
Bulk Edit {0},Modification en masse {0}
Preparing Report,Rapport de préparation
{0} criticized your work on {1} with {2} point,{0} a critiqué votre travail sur {1} avec {2} points
Verdana,Verdana
Unsubscribed,Désabonné
DocPerm,DocPerm
Fold can not be at the end of the form,Le pli ne peut pas être à la fin du formulaire
Server IP,IP du serveur
{0} Tree,{0} Arbre
Send Password,Envoyer mot de passe
All Day,Toute la journée
Parent is the name of the document to which the data will get added to.,Parent est le nom du document auquel les données seront ajoutées.
Block Module,Module de bloc
(Ctrl + G),(Ctrl + G)
Points,Points
API Endpoint,Point de terminaison de l&#39;API
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Voir https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region pour plus de détails.
App Client Secret,Secret du client de l&#39;application
Original Value,Valeur d&#39;origine
Attach Image,Joindre une image
Your system is being updated. Please refresh again after a few moments,Votre système est en cours de mise à jour. Veuillez rafraîchir à nouveau après quelques instants
Add / Manage Email Accounts.,Ajouter / gérer des comptes de messagerie.
Third Party Authentication,Authentification tierce
1 year,1 an
{0} reverted your points on {1},{0} a annulé vos points le {1}
arrow-down,flèche vers le bas
Ignore encoding errors,Ignorer les erreurs d&#39;encodage
Letter Head Name,Nom de l&#39;en-tête
Client Script,Script client
Higher priority rule will be applied first,La règle de priorité supérieure sera appliquée en premier
Content (HTML),Contenu (HTML)
{0} appreciation points for {1} {2},{0} points d&#39;appréciation pour {1} {2}
Search in a document type,Rechercher dans un type de document
Only Administrator is allowed to create Dashboard Chart Sources,Seul l&#39;administrateur est autorisé à créer des sources de graphique de tableau de bord
Only 200 inserts allowed in one request,Seulement 200 insertions autorisées dans une requête
Kanban Board Name,Nom du conseil Kanban
Group Label,Label de groupe
thumbs-up,pouces vers le haut
Reload,Recharger
{0} added,{0} ajouté
{0} to {1},{0} à {1}
Attach File,Pièce jointe
Expose Recipients,Exposer les destinataires
ToDo,Faire
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Différents &quot;états&quot; dans lesquels ce document peut exister. Comme &quot;ouvert&quot;, &quot;en attente d&#39;approbation&quot;, etc."
Weekly,Hebdomadaire
Preview HTML,Aperçu HTML
GSuite Templates,Modèles GSuite
Force Show,Force Show
Deleted Name,Nom supprimé
Home,Accueil
User can login using Email id or User Name,L&#39;utilisateur peut se connecter en utilisant son identifiant ou son nom d&#39;utilisateur
Error: Value missing for {0}: {1},Erreur: valeur manquante pour {0}: {1}
ap-northeast-3,ap-nord-est-3
Please enter Redirect URL,Veuillez entrer l&#39;URL de redirection
Allow on Submit,Autoriser sur Soumettre
Table {0} cannot be empty,La table {0} ne peut pas être vide
minus-sign,signe moins
Phone,Téléphone
Clear all roles,Effacer tous les rôles
Example,Exemple
You need write permission to rename,Vous avez besoin d&#39;une permission en écriture pour renommer
Advanced Control,Contrôle avancé
Path to Server Certificate,Chemin d&#39;accès au certificat de serveur
If Checked workflow status will not override status in list view,Si le statut du flux de travail coché ne remplace pas le statut dans la vue liste
Updating {0},Mise à jour {0}
Logged in as Guest or Administrator,Connecté en tant qu&#39;invité ou administrateur
Green,vert
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,Seuls les champs obligatoires sont nécessaires pour les nouveaux enregistrements. Vous pouvez supprimer des colonnes non obligatoires si vous le souhaitez.
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} doit commencer et se terminer par une lettre et ne peut contenir que des lettres, des tirets ou des traits de soulignement."
Create User Email,Créer un email d&#39;utilisateur
Sort field {0} must be a valid fieldname,Le champ de tri {0} doit être un nom de champ valide.
Filter Meta,Filtre Méta
Category Name,Nom de catégorie
Javascript to append to the head section of the page.,Javascript à ajouter à la section principale de la page.
Allow Delete,Autoriser la suppression
Authorize URL,Autoriser l&#39;URL
This feature is brand new and still experimental,Cette fonctionnalité est nouvelle et encore expérimentale
S3 Backup Settings,Paramètres de sauvegarde S3
Not Seen,Pas vu
Not Like,Pas comme
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Le champ Après insertion &#39;{0}&#39; mentionné dans le champ personnalisé &#39;{1}&#39;, avec le libellé &#39;{2}&#39;, n&#39;existe pas."
Refresh Form,Actualiser le formulaire
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,Essayez d&#39;utiliser un modèle de clavier plus long avec plus de tours.
Archive,Archiver
Your payment is cancelled.,Votre paiement est annulé.
Fieldname {0} cannot have special characters like {1},Le nom de champ {0} ne peut pas avoir de caractères spéciaux comme {1}
Traceback,Traceback
Route,Route
Workflow Name,Nom du flux de travail
Report,rapport
Incomplete login details,Informations de connexion incomplètes
Table,Table
Start a conversation.,Commencer une conversation.
Sync on Migrate,Synchroniser lors de la migration
Timeline Field,Champ de la timeline
Loading...,Chargement...
Half Yearly,Semestriel
Last Modified Date,Date de dernière modification
First Name,Prénom
Comments,commentaires
Assignment for {0} {1},Affectation pour {0} {1}
Cannot link cancelled document: {0},Impossible de lier le document annulé: {0}
BCC,BCC
Long Text,Texte long
Float Precision,Flotteur de précision
Please Enter Your Password to Continue,Veuillez entrer votre mot de passe pour continuer
Save Report,Enregistrer le rapport
"""Team Members"" or ""Management""",&quot;Membres de l&#39;équipe&quot; ou &quot;gestion&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - brouillon; 1 - soumis; 2 - annulé
SMTP Settings for outgoing emails,Paramètres SMTP pour les emails sortants
Is Your Company Address,Est l&#39;adresse de votre entreprise
Printer Name,Nom de l&#39;imprimante
Dropbox Settings,Paramètres Dropbox
The password of your account has expired.,Le mot de passe de votre compte a expiré.
System and Website Users,Utilisateurs du système et du site Web
Fieldname which will be the DocType for this link field.,Nom du champ qui sera le type de document pour ce champ de lien.
Content Hash,Contenu hachage
Posts by {0},Messages de {0}
{0} assigned {1}: {2},{0} affecté {1}: {2}
globe,globe
Average of {0},Moyenne de {0}
Clear Error Logs,Effacer les journaux d&#39;erreur
Friendly Title,Titre convivial
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Ajoutez le nom d&#39;une &quot;police Google Web&quot;, par exemple &quot;Open Sans&quot;"
Filter,Filtre
No of Rows (Max 500),Nombre de lignes (Max 500)
Label,Étiquette
Your account has been locked and will resume after {0} seconds,Votre compte a été verrouillé et reprendra après {0} secondes.
indent-left,indent-left
Identity Details,Détails d&#39;identité
Visitor,Visiteur
gift,cadeau
Run Tests,Exécuter des tests
LDAP Search String,Chaîne de recherche LDAP
Field {0} not found.,Champ {0} introuvable.
Select Languages,Sélectionnez les langues
You don't have any messages yet.,Vous n&#39;avez encore aucun message.
Event Type,Type d&#39;événement
"To get the updated report, click on {0}.","Pour obtenir le rapport mis à jour, cliquez sur {0}."
Home Settings,Paramètres d&#39;accueil
Apply to all Documents Types,Appliquer à tous les types de documents
Inverse,Inverse
Closed,Fermé
Query,Question
Days After,Des jours après
Request Timed Out,Demande expirée
Email Footer Address,Adresse de bas de page
Energy point update,Point d&#39;énergie
Click here to verify,Cliquez ici pour vérifier
You can use Customize Form to set levels on fields.,Vous pouvez utiliser Personnaliser le formulaire pour définir des niveaux sur les champs.
App Secret Key,Clé secrète de l&#39;application
Show Section Headings,Afficher les titres de section
Mentions,Mentions
Series {0} already used in {1},Série {0} déjà utilisée dans {1}
Clicked,Cliqué
Log,Bûche
Accept Payment,Accepter le paiement
Print Server,Serveur d&#39;imprimante
Welcome Message,Message de bienvenue
Reference DocType,Référence DocType
Shared,partagé
Unknown Column: {0},Colonne inconnue: {0}
Enabled,Activée
Setup Complete,Installation terminée
Shared with {0},Partagé avec {0}
Not a valid Comma Separated Value (CSV File),Pas une valeur séparée par des virgules (fichier CSV) valide
Your payment has failed.,Votre paiement a échoué.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Pour les liens, entrez le type de document comme plage. Pour Sélectionner, entrez une liste d’options, chacune sur une nouvelle ligne."
1 minute ago,il y a 1 minute
No Active Sessions,Aucune session active
Row,Rangée
Please try again,Veuillez réessayer
Chart Options,Options de graphique
Push Failed,Push Failed
Off,De
Default Outgoing,Sortant par défaut
1 year ago,il y a 1 an
View Subscribers,Afficher les abonnés
Allow Print,Autoriser l&#39;impression
Comment,Commentaire
{0} not allowed to be renamed,{0} non autorisé à être renommé
Success URL,URL de réussite
Document is only editable by users of role,Le document n&#39;est modifiable que par les utilisateurs du rôle
Outgoing email account not correct,Compte de messagerie sortant non correct
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,La fusion n&#39;est possible qu&#39;entre un groupe à groupe ou un nœud feuille à nœud
Select Language...,Choisir la langue...
Link,Lien
{0}: No basic permissions set,{0}: aucun jeu d&#39;autorisations de base
Value for a check field can be either 0 or 1,La valeur d&#39;un champ de contrôle peut être 0 ou 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Ajout de HTML dans la section &lt;head&gt; de la page Web, principalement utilisée pour la vérification de sites Web et le référencement."
plus,plus
Please Duplicate this Website Theme to customize.,Veuillez dupliquer ce thème de site Web pour le personnaliser.
Options not set for link field {0},Options non définies pour le champ de lien {0}
Must have report permission to access this report.,Doit avoir l&#39;autorisation de rapport pour accéder à ce rapport.
Rename {0},Renommer {0}
Note: Multiple sessions will be allowed in case of mobile device,Remarque: plusieurs sessions seront autorisées dans le cas d&#39;un appareil mobile.
resize-small,redimensionner-petit
Relinked,Relié
Roles HTML,Rôles HTML
Workflow will start after saving.,Le flux de travail commencera après la sauvegarde.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Si vos données sont en HTML, veuillez copier-coller le code HTML exact avec les balises."
Dates are often easy to guess.,Les dates sont souvent faciles à deviner.
Pincode,Code PIN
Update Value,Valeur de mise à jour
Has Web View,A vue sur le Web
Align Value,Aligner la valeur
Assignment Complete,Cession terminée
Header,Entête
This query style is discontinued,Ce style de requête est abandonné
Document Type is not submittable,Le type de document n&#39;est pas soumis
Display Depends On,L&#39;affichage dépend de
No Tags,Pas de tags
Script Code,Code de script
Updated successfully,Mis à jour avec succés
Hi {0},Bonjour {0}
{0} not a valid State,{0} pas un état valide
Accounts User,Comptes utilisateur
Groups of DocTypes,Groupes de DocTypes
Website Route Redirect,Redirection d&#39;itinéraire de site Web
Beginning with,Commençant par
Hello {0},Bonjour {0}
Start Time,Heure de début
{0} has been successfully added to the Email Group.,{0} a été ajouté au groupe de messagerie avec succès.
Cancelled Document restored as Draft,Document annulé restauré comme brouillon
Desktop Icon,Icône du bureau
cancelled this document,annulé ce document
Date Range,Plage de dates
{0} appreciated {1},{0} apprécié {1}
Values Changed,Valeurs modifiées
Error in Notification,Erreur de notification
Enable Report,Activer le rapport
No alerts for today,Aucune alerte pour aujourd&#39;hui
Redirect URI Bound To Auth Code,Rediriger l&#39;URI lié au code d&#39;authentification
Always use Account's Email Address as Sender,Toujours utiliser l&#39;adresse e-mail du compte comme expéditeur
Barcode,code à barre
{0} Dashboard,{0} Tableau de bord
Last Quarter,Le dernier quart
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Non autorisé à joindre un document {0}, activez l&#39;option Autoriser l&#39;impression pour {0} dans les paramètres d&#39;impression."
Attach,Attacher
Scopes,Portées
Deleted Documents,Documents supprimés
Workflow Action,Action de flux de travail
You can also copy-paste this ,Vous pouvez également copier-coller cette
Is Feedback request triggered manually ?,La demande de rétroaction est-elle déclenchée manuellement?
Select a chat to start messaging.,Sélectionnez une discussion pour démarrer la messagerie.
No permission to read {0},Aucune autorisation de lire {0}
Reply,Répondre
Braintree payment gateway settings,Paramètres de la passerelle de paiement Braintree
Scheduled to send to {0},Envoi prévu à {0}
"If enabled, changes to the document are tracked and shown in timeline","Si activé, les modifications apportées au document sont suivies et affichées dans la chronologie."
Send Welcome Email,Envoyer un email de bienvenue
asterisk,astérisque
This link is invalid or expired. Please make sure you have pasted correctly.,Ce lien n&#39;est pas valide ou a expiré. S&#39;il vous plaît assurez-vous que vous avez collé correctement.
New Value,Nouvelle valeur
Due Date,Date d&#39;échéance
"Include symbols, numbers and capital letters in the password","Inclure des symboles, des chiffres et des lettres majuscules dans le mot de passe"
Send Alert On,Envoyer une alerte sur
Home/Test Folder 1/Test Folder 3,Accueil / Dossier de test 1 / Dossier de test 3
Valid,Valide
Cannot edit cancelled document,Impossible de modifier le document annulé
App Access Key,Clé d&#39;accès à l&#39;application
Login Before,Connectez-vous avant
Private,Privé
Update many values at one time.,Mettez à jour plusieurs valeurs à la fois.
None,Aucun
Partial Success,Succès partiel
Emails will be sent with next possible workflow actions,Les courriels seront envoyés avec les prochaines actions possibles du workflow
adjust,régler
on_change,sur le changement
{0} Name,{0} Nom
Same Field is entered more than once,Le même champ est entré plus d&#39;une fois
Please select a Amount Field.,Veuillez sélectionner un champ de montant.
Company History,Histoire de l&#39;entreprise
No Printer is Available.,Aucune imprimante n&#39;est disponible.
Address Line 2,Adresse Ligne 2
Time Interval,Intervalle de temps
Message Preview,Aperçu du message
Purchase Master Manager,Directeur principal des achats
Is Default,Est par défaut
Row Index,Index de ligne
Allowed,Permis
