th-list,th-liste
Amount,Beløp
 to your browser,til nettleseren din
Event Category,Hendelse Kategori
Quick Help for Setting Permissions,Hurtig hjelp for å stille inn tillatelser
Press Esc to close,Trykk på Esc for å lukke
City/Town,Sted / by
Workflow Document State,Dokumentstatus for arbeidsflyt
Auth URL Data,Auth URL-data
QZ Tray Connection Active!,QZ Tray Connection Active!
Data Export,Data Eksport
Get Fields,Få felt
Insert Below,Sett inn nedenfor
Online,på nett
Page Length,Sidelengde
Applicable Document Types,Gjeldende dokumenttyper
Add custom forms.,Legg til egendefinerte skjemaer.
There were errors while sending email. Please try again.,"Det var feil mens du sendte e-post. Vær så snill, prøv på nytt."
"Enter static url parameters here (Eg. sender=ERPNext, username=ERPNext, password=1234 etc.)","Skriv inn statiske url-parametere her (f.eks. Sender = ERPNext, brukernavn = ERPNext, passord = 1234 etc.)"
Guest,Gjest
{0} records deleted,{0} poster slettet
Thank you,Takk skal du ha
Following fields have missing values:,Følgende felter har manglende verdier:
Complete,Fullstendig
tint,tint
Fetch If Empty,Hent hvis tom
Currency Precision,Valuta Presisjon
Document Type,dokumenttype
Not a valid User Image.,Ikke et gyldig brukerbilde.
Between,Mellom
Dynamic Report Filters,Dynamiske rapportfiltre
Enable Outgoing,Aktiver Utgående
Parent Error Snapshot,Foreldrefeil-stillbilde
Mapping Name,Mapping Name
Role Permissions,Rolle Tillatelser
My Account,Min konto
Settings,innstillinger
Read by Recipient,Les av mottaker
Share URL,Del nettadresse
Org History Heading,Org Historikk Overskrift
Export Report: {0},Eksportrapport: {0}
Chaining Hash,Chaining Hash
Option 1,valg 1
Text Color,Tekstfarge
List View Setting,Innstillinger for listevisning
Take Backup Now,Ta sikkerhetskopiering nå
Google API Credentials,Google API-legitimasjon
{0} created this {1},{0} opprettet dette {1}
Condition Detail,Tilstandsdetaljer
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.
<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URIer for mottak av autorisasjonskode når brukeren tillater tilgang, samt sviktsvar. Vanligvis et REST endepunkt eksponert av Client App. <br> f.eks http: //hostname//api/method/frappe.www.login.login_via_facebook"
Chart Name,Diagramnavn
Comment Type,Kommentar Type
Test_Folder,Test_Folder
Smallest Currency Fraction Value,Minste valuta Fraksjon Verdi
Tax Category,Skattkategori
Frames,rammer
Standard roles cannot be renamed,Standardroller kan ikke omdøpes
Unable to open attached file. Did you export it as CSV?,Kan ikke åpne vedlagt fil. Eksporterte du det som CSV?
Descendants Of,Etterkommere av
Fieldname {0} appears multiple times in rows {1},Feltnavn {0} vises flere ganger i rader {1}
Has Domain,Har Domene
Website Theme Image,Nettstedets temabilde
Slideshow Items,Lysbildefremvisningsposter
Purchase Manager,Innkjøpssjef
New {0} (Ctrl+B),Ny {0} (Ctrl + B)
Refresh,Forfriske
Red,rød
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},Autentisering mislyktes mens du mottok e-post fra e-postkonto {0}. Melding fra server: {1}
OTP secret can only be reset by the Administrator.,OTP-hemmelig kan bare tilbakestilles av administratoren.
Highlight,Fremheve
Chat Token,Chat Token
old_parent,old_parent
Unzipped {0} files,Unzipped {0} filer
Reply All,Svar alle
Run scheduled jobs only if checked,Kjør kun planlagte jobber hvis du er merket
Queue should be one of {0},Køen bør være en av {0}
Sunday,søndag
retweet,retweet
Rejected,avvist
Core DocTypes cannot be customized.,Core DocTypes kan ikke tilpasses.
Queued for backup. You will receive an email with the download link,Kjøtt for sikkerhetskopiering. Du vil motta en e-post med nedlastingskoblingen
Chat messages and other notifications.,Chat-meldinger og andre varsler.
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,Bruker e-postadressen som er nevnt i denne kontoen som avsender for alle e-postmeldinger som sendes ved hjelp av denne kontoen.
Participants,deltakere
User Social Login,Bruker sosial pålogging
Standard Print Format cannot be updated,Standard utskriftsformat kan ikke oppdateres
In Preview,I Preview
Data Migration Plan,Dataoverføringsplan
Title Case,Tittel Case
Uploaded To Dropbox,Lastet opp til Dropbox
You need to be in developer mode to edit a Standard Web Form,Du må være i utviklingsmodus for å redigere en standard webskjema
Webhook Request,Webhook-forespørsel
Report of all document shares,Rapport av alle dokumentaksjer
Email Sent,Epost sendt
User {0} cannot be disabled,Brukeren {0} kan ikke deaktiveres
Chat Room Name,Chat Room Name
"CC, BCC & Email Template","CC, BCC og Email Template"
Use socketio to upload file,Bruk socketio til å laste opp fil
You cannot unset 'Read Only' for field {0},Du kan ikke deaktivere &#39;Read Only&#39; for feltet {0}
Condition,Tilstand
Is Completed,Det er ferdig
Import Subscribers,Importer abonnenter
Auto Reply Message,Autosvar Melding
Error Snapshot,Feil øyeblikksbilde
Busy,Travelt
Current Mapping Start,Aktuell kartleggingstart
"Oops, you are not allowed to know that","Ups, du har ikke lov til å vite det"
Item cannot be added to its own descendents,Elementet kan ikke legges til sine egne etterkommere
Your Language,Ditt språk
Menu,Meny
Unknown User,Ukjent bruker
e.g. smtp.gmail.com,f.eks. smtp.gmail.com
Currency Name,Valuta Navn
Add Unsubscribe Link,Legg til abonnementslink
Set non-standard precision for a Float or Currency field,Angi ikke-standard presisjon for et Float eller Currency-felt
"Level 0 is for document level permissions, \
								higher levels for field level permissions.","Nivå 0 er for dokumentnivåtillatelser, \ høyere nivåer for feltnivåtillatelser."
Sidebar Items,Sidepanelelementer
The document has been assigned to {0},Dokumentet har blitt tilordnet {0}
Current Mapping Type,Aktuell kartleggingstype
Last Month,Forrige måned
Enable Gradients,Aktiver gradienter
There were errors while creating the document. Please try again.,"Det oppstod feil under oppretting av dokumentet. Vær så snill, prøv på nytt."
Notification,Melding
e.g. pop.gmail.com / imap.gmail.com,f.eks pop.gmail.com / imap.gmail.com
Use the field to filter records,Bruk feltet til å filtrere poster
To,Til
Breadcrumbs,Brødsmuler
Is Manual,Er manuell
Or login with,Eller logg inn med
See all past reports.,Se alle tidligere rapporter.
Background Email Queue,Bakgrunns e-postkø
Width of the input box,Bredde på inngangskassen
Record does not exist,Posten finnes ikke
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,Bruker e-postadressenavnet som er nevnt i denne kontoen som avsenderens navn for alle e-postmeldinger som sendes ved hjelp av denne kontoen.
Successfully Updated,Oppdatert med suksess
Max 500 records at a time,Maks 500 poster om gangen
Portal Settings,Portalinnstillinger
Setup &gt; User Permissions,Oppsett&gt; Brukerrettigheter
Find {0} in {1},Finn {0} i {1}
Column Name cannot be empty,Kolonnenavnet kan ikke være tomt
{0} months ago,{0} måneder siden
Delete {0} items permanently?,Slett {0} elementer permanent?
Is Single,Er singel
Kanban Board Column,Kanban Board Column
Medium,Medium
File Manager,Filbehandler
Backup job is already queued. You will receive an email with the download link,Sikkerhetskopieringsjobb er allerede i kø. Du vil motta en e-post med nedlastingskoblingen
Resume Sending,Fortsett sending
Add Row,Legg til rad
Hide field in Report Builder,Skjul felt i Report Builder
Next Actions HTML,Neste Handlinger HTML
Ancestors Of,Forfedre av
show,vise fram
Click on the link below to complete your registration and set a new password,Klikk på linken nedenfor for å fullføre din registrering og angi et nytt passord
Please select Entity Type first,Vennligst velg Entity Type først
User Name,Brukernavn
Label Help,Etikett Hjelp
Creating {0},Opprette {0}
Export Data in CSV / Excel format.,Eksporter data i CSV / Excel-format.
"Encryption key is invalid, Please check site_config.json","Krypteringsnøkkel er ugyldig, vennligst sjekk site_config.json"
Update,Oppdater
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",1 Valuta = [?] Fraksjon For eksempel 1 USD = 100 Cent
Mrs,Fru
Drag elements from the sidebar to add. Drag them back to trash.,Dra elementer fra sidefeltet for å legge til. Dra dem tilbake til søppel.
Invalid Mail Server. Please rectify and try again.,Ugyldig postserver. Vennligst utbedre og prøv igjen.
Track Changes,Sporendringer
Loading,Laster
Settings for OAuth Provider,Innstillinger for OAuth Provider
Next Scheduled Date,Neste planlagt dato
Your login id is,Ditt påloggings-ID er
or,eller
Public,Offentlig
Multiplier Field,Multiplikatorfelt
Total Pages,Totalt antall sider
Script URL,Skript URL
LDAP First Name Field,LDAP Fornavn Felt
"If the user has any role checked, then the user becomes a ""System User"". ""System User"" has access to the desktop","Hvis brukeren har noen rolle sjekket, blir brukeren en &quot;System bruker&quot;. &quot;System bruker&quot; har tilgang til skrivebordet"
headphones,hodetelefoner
Display,Vise
No permission for {0},Ingen tillatelse for {0}
Please select DocType first,Vennligst velg DocType først
Zero means send records updated at anytime,Null betyr at send poster oppdateres når som helst
Invalid Password,Ugyldig passord
Period,Periode
Document Status,Dokumentstatus
DefaultValue,Standardverdi
"Allowing DocType, DocType. Be careful!","Tillater DocType, DocType. Vær forsiktig!"
Reference,Henvisning
Column <b>{0}</b> already exist.,Kolonne <b>{0}</b> eksisterer allerede.
Is Global,Er global
Max Value,Maks verdi
ban-circle,ban-sirkel
System User,System bruker
Cannot move row,Kan ikke flytte rad
Not allowed to print draft documents,Ikke lov til å skrive ut utkastsdokumenter
Postal Code,postnummer
You do not have enough permissions to access this resource. Please contact your manager to get access.,Du har ikke nok tillatelser for å få tilgang til denne ressursen. Ta kontakt med din leder for å få tilgang.
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,Kan ikke endre brukerdetaljer i demo. Vennligst registrer deg for en ny konto på https://erpnext.com
Please add a subject to your email,Vennligst legg til et emne i din epost
Some of the features might not work in your browser. Please update your browser to the latest version.,Noen av funksjonene fungerer kanskje ikke i nettleseren din. Vennligst oppdater nettleseren din til den nyeste versjonen.
via automatic rule {0} on {1},via automatisk regel {0} på {1}
Validity,Gyldighet
Relapses,tilbakefall
Default Redirect URI,Standard omadressering URI
viewed,Vist
Document States,Dokumentstater
Channel,Kanal
eu-north-1,eu-nord-en
A4,A4
New Event,Ny begivenhet
Added {0},Lagt til {0}
Settings...,Innstillinger ...
If Owner,Hvis Eier
Is First Startup,Er første oppstart
Options required for Link or Table type field {0} in row {1},Valg som kreves for lenke- eller tabelltypefelt {0} i rad {1}
Printer Mapping,Skrivermapping
Feedback Rating,Tilbakemelding vurdering
Enable,Aktiver
Report End Time,Rapporter sluttidspunkt
bullhorn,bullhorn
{0} does not exist in row {1},{0} finnes ikke i rad {1}
OAuth Authorization Code,OAuth-autorisasjonskode
Options {0} must be the same as doctype name {1} for the field {2},Alternativ {0} må være det samme som doktypenavnet {1} for feltet {2}
Redis cache server not running. Please contact Administrator / Tech support,Redis cache server kjører ikke. Ta kontakt med Administrator / Teknisk støtte
Insert After,Sett inn etter
Success Action,Suksesshandling
You are not allowed to print this document,Du har ikke lov til å skrive ut dette dokumentet
This format is used if country specific format is not found,Dette formatet brukes hvis landsspesifikke format ikke er funnet
Select Print Format,Velg Skriv ut format
Google Maps Settings,Innstillinger for Google Maps
Field {0} in row {1} cannot be hidden and mandatory without default,Felt {0} i rad {1} kan ikke skjules og obligatorisk uten standard
File Upload Disconnected. Please try again.,"Filopplasting frakoblet. Vær så snill, prøv på nytt."
It is risky to delete this file: {0}. Please contact your System Manager.,Det er risikabelt å slette denne filen: {0}. Ta kontakt med din systemleder.
Currency,Valuta
Build Report,Bygg rapport
"Page to show on the website
",Side som skal vises på nettsiden
Only {0} entries shown. Please filter for more specific results.,Kun {0} oppføringer vist. Vennligst filtrer for mer spesifikke resultater.
Last Updated On,Sist oppdatert på
Create,Skape
New Email Account,Ny e-postkonto
Chat Room User,Chat Room Bruker
Home/Test Folder 2,Hjem / Testmappe 2
Text Editor,Tekstredigerer
Log of error during requests.,Feilmelding under forespørsler.
Opened,åpnet
1 month,1 måned
Skype,Skype
Refreshing...,Forfriskende ...
Avoid recent years.,Unngå de siste årene.
Font,Font
Set Quantity,Sett antall
Posts,innlegg
Next,neste
Login token required,Innloggingstegn kreves
Comments cannot have links or email addresses,Kommentarer kan ikke ha koblinger eller e-postadresser
Embed image slideshows in website pages.,Legg inn bildediashow på nettsider.
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","Angi standardverdier felt (taster) og verdier. Hvis du legger til flere verdier for et felt, blir den første plukket. Disse standardene brukes også til å angi &quot;match&quot; -lovgivningsregler. For å se liste over felt, gå til &quot;Tilpass skjema&quot;."
Revert,Tilbakestill
Simultaneous Sessions,Samtidige økter
Successfully Done,Vellykket ferdig
Columns based on,Kolonner basert på
"For comparison, use &gt;5, &lt;10 or =324. For ranges, use 5:10 (for values between 5 &amp; 10).","Til sammenligning bruk&gt; 5, &lt;10 eller = 324. For områder, bruk 5:10 (for verdier mellom 5 og 10)."
Milestone,Milestone
Filter must be a tuple or list (in a list),Filteret må være en tuple eller liste (i en liste)
Integrations can use this field to set email delivery status,Integrasjoner kan bruke dette feltet til å angi leveringsstatus for e-post
Edit,Redigere
"You are selecting Sync Option as ALL, It will resync all \
				read as well as unread message from server. This may also cause the duplication\
				of Communication (emails).","Du velger Synkroniseringsalternativ som ALLE, Det vil resyncere alle \ lese samt ulest melding fra serveren. Dette kan også føre til duplisering av kommunikasjon (e-post)."
Indicator,indikator
Every day events should finish on the same day.,Hvert dag bør arrangementene avsluttes samme dag.
Customizations for <b>{0}</b> exported to:<br>{1},Tilpasninger for <b>{0}</b> eksportert til: <br> {1}
Document Share Report,Dokumentdelrapport
Login and view in Browser,Innlogging og visning i nettleser
Active,Aktiv
Secret Key,Hemmelig nøkkel
Report Hide,Rapporter skjul
{0} cannot be set for Single types,{0} kan ikke settes for Enkeltyper
For,Til
{0} has left the conversation in {1} {2},{0} har forlatt samtalen i {1} {2}
Not Ancestors Of,Ikke forfedre av
"target = ""_blank""",target = &quot;_blank&quot;
Please specify which date field must be checked,Vennligst oppgi hvilket datafelt som skal kontrolleres
File size exceeded the maximum allowed size of {0} MB,Filstørrelsen oversteg den maksimalt tillatte størrelsen på {0} MB
Cannot have multiple printers mapped to a single print format.,Kan ikke ha flere skrivere kortlagt til ett enkelt utskriftsformat.
Like,Som
Google GSuite Templates to integration with DocTypes,Google GSuite Maler til integrering med DocTypes
Purple,Purple
Select an image of approx width 150px with a transparent background for best results.,Velg et bilde med en bredde på 150 px med en gjennomsiktig bakgrunn for best resultat.
Select an existing format to edit or start a new format.,Velg et eksisterende format for å redigere eller starte et nytt format.
Please enter values for App Access Key and App Secret Key,Vennligst skriv inn verdier for App Access Key og App Secret Key
Custom,Tilpasset
LDAP Settings,LDAP-innstillinger
leaf,blad
Confirm Your Email,Bekreft e-posten din
Failed to complete setup,Kunne ikke fullføre oppsettet
Download,nedlasting
Added,La til
QZ Tray Failed: ,QZ skuff mislyktes:
More content for the bottom of the page.,Mer innhold nederst på siden.
Pick Columns,Velg kolonner
Font Styles,Font stiler
Email Account Name,E-postkonto navn
Timeline field must be a Link or Dynamic Link,Tidslinjefeltet må være en lenke eller dynamisk lenke
Generate Keys,Generere nøkler
Marked As Spam,Merket som spam
Patch Log,Patch Log
Additional Permissions,Tilleggstillatelser
Secret Access Key,Hemmelig tilgangsnøkkel
Report Start Time,Rapport Starttid
Tree view not available for {0},Trærvisning er ikke tilgjengelig for {0}
Mandatory Information missing:,Obligatorisk informasjon mangler:
Print with letterhead,Skriv ut med brevpapir
Two Factor Authentication,To faktorautentisering
Based on Permissions For User,Basert på Tillatelser For Bruker
Content (Markdown),Innhold (Markdown)
Tag,stikkord
glass,glass
Specify the value of the field,Angi verdien av feltet
Move to Row Number,Flytt til radnummer
"Simple Python Expression, Example: Status in (""Closed"", ""Cancelled"")","Enkel Python Expression, Eksempel: Status i (&quot;Lukket&quot;, &quot;Avbrutt&quot;)"
Add custom field Auto Repeat in the doctype {0},Legg til egendefinert felt Auto Repeat i doktypen {0}
This document has been reverted,Dette dokumentet er blitt tilbakestilt
hand-right,hånd høyre
The CSV format is case sensitive,CSV-formatet er saksfølsomt
"PDF printing via ""Raw Print"" is not yet supported. Please remove the printer mapping in Printer Settings and try again.",PDF-utskrift via &quot;Raw Print&quot; støttes ikke. Vennligst fjern skriverkortet i skriverinnstillinger og prøv igjen.
Show Weekends,Vis helger
Mark as Spam,Marker som spam
Integration Request,Integrasjonsforespørsel
Allow,Tillate
Insert Code,Sett inn kode
Apply,Søke om
Locals,Lokalbefolkningen
wrench,skiftenøkkel
Value Changed,Verdi endret
Login Verification Code from {},Påloggingsbekreftelseskode fra {}
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","DocType navn skal starte med et brev, og det kan bare bestå av bokstaver, tall, mellomrom og understreker"
cn-northwest-1,cn-nordvest-en
Dashboard Name,Dashboard Navn
ok-circle,ok-sirkel
Page HTML,Side HTML
Notify users with a popup when they log in,Gi beskjed om brukere med en popup når de logger på
Verification code has been sent to your registered email address.,Bekreftelseskoden er sendt til din registrerte e-postadresse.
You don't have access to Report: {0},Du har ikke tilgang til Rapport: {0}
Add Contacts,Legg til kontakter
Showing only Numeric fields from Report,Viser bare Numeriske felt fra Rapport
CSS,CSS
User {0} does not have access to this document,Bruker {0} har ikke tilgang til dette dokumentet
Upload Failed,Opplasting mislyktes
City,By
Email Templates for common queries.,E-postmaler for vanlige spørsmål.
Not allowed to print cancelled documents,Ikke lov til å skrive ut kansellerte dokumenter
Updated,oppdatert
DocType or Field,DocType eller Field
Allow GCalendar Access,Tillat GCalendar Access
{0} and {1},{0} og {1}
cog,cog
Invalid module path,Ugyldig modulbane
use % as wildcard,bruk% som jokertegn
Sum,Sum
Send alert if date matches this field's value,Send varsel hvis datoen samsvarer med dette feltets verdi
Header Image,Header Image
{0}: Cannot set Assign Amend if not Submittable,{0}: Kan ikke angi Tilordne Endre hvis ikke Submitterbart
Sorry. You have reached the maximum user limit for your subscription. You can either disable an existing user or buy a higher subscription plan.,Unnskyld. Du har nådd maksimal brukergrense for abonnementet ditt. Du kan enten deaktivere en eksisterende bruker eller kjøpe en høyere abonnementsplan.
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Begrens brukeren kun fra denne IP-adressen. Flere IP-adresser kan legges ved å skille med kommaer. Accepterer også delvise IP-adresser som (111.111.111)
"Select your Country, Time Zone and Currency","Velg land, tidssone og valuta"
Goal,Mål
us-east-2,oss-øst-2
Login,Logg Inn
Last Modified By,Sist endret av
A new document {0} has been shared by with you {1}.,Et nytt dokument {0} har blitt delt av deg {1}.
Action Timeout (Seconds),Action Timeout (sekunder)
Home Page,Hjemmeside
Address and other legal information you may want to put in the footer.,Adresse og annen juridisk informasjon du kanskje vil legge inn i bunnteksten.
Enable Social Login,Aktiver sosial pålogging
Icon will appear on the button,Ikonet vises på knappen
SMS Parameter,SMS Parameter
SEO,SEO
"{0} {1} does not exist, select a new target to merge","{0} {1} eksisterer ikke, velg et nytt mål for å slå sammen"
chevron-up,Chevron-up
Currently updating {0},For tiden oppdaterer {0}
Search for '{0}',Søk etter &#39;{0}&#39;
Automation,Automasjon
Report Manager,Rapportbehandling
HTML for header section. Optional,HTML for header-seksjonen. Valgfri
Default Sort Order,Standard sorteringsordre
Options for select. Each option on a new line.,Valg for valg. Hvert alternativ på en ny linje.
Suspend Sending,Suspend Sending
Provider Name,Navn på leverandør
Newsletter has already been sent,Nyhetsbrev har allerede blitt sendt
Create a new {0},Opprett en ny {0}
Message Count,Meldingstelling
Not a zip file,Ikke en zip-fil
Send After,Send etter
You have used up all of the space allotted to you. Please buy more space in your subscription.,Du har brukt opp all ledig plass til deg. Vennligst kjøp mer plass i abonnementet ditt.
Both login and password required,Både innlogging og passord kreves
Route Redirects,Rute omadresser
Notifications,Varsler
Department,Avdeling
Recipient Unsubscribed,Mottaker Avmeldt
In Reply To,Som svar på
Unzipping files...,Unzipping filer ...
Automatically Assign Documents to Users,Tilordne dokumenter til brukere automatisk
Print,Skrive ut
Reference Document Type,Referansedokumenttype
{0} in row {1} cannot have both URL and child items,{0} i rad {1} kan ikke ha både nettadresse og barnelementer
Printer Settings...,Skriverinnstillinger ...
Timespan,Tidsrom
There were errors,Det var feil
Message ID,Meldings-ID
Re: {0},Re: {0}
Unknown Print Format: {0},Ukjent utskriftsformat: {0}
Use SSL,Bruk SSL
Contact,Ta kontakt med
About Us Team Member,Om oss Teammedlem
Update Field,Oppdateringsfelt
Unshared,udelte
Next Schedule Date,Neste planleggingsdato
Social Login Provider,Sosial innloggingsleverandør
"Note: For best results,  images must be of the same size and width must be greater than height.",Merk: For best resultat må bildene være av samme størrelse og bredden må være større enn høyden.
Invalid limit {0},Ugyldig grense {0}
No Preview Available,Ingen forhåndsvisning tilgjengelig
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Trigger på gyldige metoder som &quot;before_insert&quot;, &quot;after_update&quot;, etc (vil avhenge av den valgte DocType)"
Payments,betalinger
Trash,Søppel
Are you sure you want to delete the attachment?,Er du sikker på at du vil slette vedlegget?
1 month ago,1 måned siden
"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')",Endre type felt. (For øyeblikket er Type endring tillatt blant &#39;Valuta og Float&#39;)
Banner is above the Top Menu Bar.,Banner er over toppmenyen.
Cannot delete Home and Attachments folders,Kan ikke slette mapper for Hjem og Vedlegg
Test,Test
Enable Comments,Aktiver kommentarer
Click here to post bugs and suggestions,Klikk her for å legge inn feil og forslag
Choose authentication method to be used by all users,Velg autentiseringsmetode som skal brukes av alle brukere
'Recipients' not specified,&quot;Mottakere&quot; ikke spesifisert
There must be atleast one permission rule.,Det må være minst en tillatelsesregel.
"Customize Label, Print Hide, Default etc.","Tilpass etikett, Print Hide, Standard etc."
Client Secret,Klientshemmelighet
Printer Settings,Skriverinnstillinger
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript-format: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Det ser ut til å være et problem med serverens braintree-konfigurasjon. Ikke bekymre deg, i tilfelle feil, vil beløpet bli refundert til kontoen din."
Permanent,Fast
Home Address,Hjemmeadresse
Number of DB backups cannot be less than 1,Antall DB-sikkerhetskopier kan ikke være mindre enn 1
Write titles and introductions to your blog.,Skriv titler og introduksjoner til bloggen din.
You do not have enough review points,Du har ikke nok gjennomgangspunkter
Check this to pull emails from your mailbox,Sjekk dette for å trekke e-post fra postkassen din
Valid email and name required,Gyldig epost og navn kreves
Music,Musikk
Social Logins,Sosiale logins
Link Name,Link navn
fire,Brann
Google,Google
Go to {0} Page,Gå til {0} Side
Footer will display correctly only in PDF,Footer vil bare vises korrekt i PDF
Folder {0} does not exist,Mappe {0} eksisterer ikke
Fonts,fonter
Share,Dele
Cut,Kutte opp
Assign To,Tilordne til
Set Role For,Sett rolle for
Notification Recipient,Varsel mottaker
Rebuild,Gjenoppbygge
Search Help,Søkehjelp
Select,Å velge
Scheduler Last Event,Scheduler Last Event
Cannot change state of Cancelled Document. Transition row {0},Kan ikke endre tilstanden Annullert dokument. Overgangsrad {0}
Attachment,Vedlegg
Published On,Publisert på
Status: {0},Status: {0}
Link Title,Link Tittel
&gt; {0} year(s) ago,&gt; {0} år siden
Route to Success Link,Rute til suksesslink
Is Child Table,Er barnbordet
Date Format,Datoformat
From,Fra
Last Point Allocation Date,Siste punktallokeringsdato
Is Custom Field,Er egendefinert felt
You are not allowed to send emails related to this document,Du har ikke lov til å sende e-post relatert til dette dokumentet
Enter your password,Skriv inn passordet ditt
Addresses And Contacts,Adresser og kontakter
Report {0} is disabled,Rapport {0} er deaktivert
More,Mer
Amended From,Endret fra
Seems Publishable Key or Secret Key is wrong !!!,Synes publiserbar nøkkel eller hemmelig nøkkel er feil !!!
Same file has already been attached to the record,Samme fil er allerede knyttet til posten
Button Label,Knappetikett
The Condition '{0}' is invalid,Tilstanden &#39;{0}&#39; er ugyldig
 for {0},for {0}
Error Report,Feilrapport
Select Child Table,Velg Barnebord
API Password,API-passord
Password cannot be more than 100 characters long,Passordet kan ikke være mer enn 100 tegn langt
Facebook,Facebook
Capitalization doesn't help very much.,Kapitalisering hjelper ikke veldig mye.
Has Attachments,Har Vedlegg
Please ask your administrator to verify your sign-up,Be administratoren din om å bekrefte registreringen din
Text,Tekst
The name that will appear in Google Calendar,Navnet som vil vises i Google Kalender
"Filtered by ""{0}""",Filtrert av &quot;{0}&quot;
App Client ID,App Client ID
Limit Number of DB Backups,Begrens antall DB-sikkerhetskopier
Endpoint URL,Endpoint-URL
Next State,Neste stat
System,System
Property Type,Eiendomstype
Appreciate,Sette pris på
Misc,Diverse
Failed while amending subscription,Mislyktes mens du endret abonnement
System Manager,System Manager
You have unsaved changes in this form. Please save before you continue.,Du har ubehandlede endringer i dette skjemaet. Vennligst lagre før du fortsetter.
Payment Failed,Betalingen feilet
Primary,primær~~POS=TRUNC
Milestone Tracker,Milestone Tracker
Reset Permissions for {0}?,Tilbakestill tillatelser for {0}?
Allow Read On All Link Options,Tillat lesing på alle koblingsalternativer
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Feil feltnavn <b>{0}</b> i add_fetch-konfigurasjon av tilpasset skript
Enter keys to enable integration with Google GSuite,Skriv inn nøkler for å aktivere integrasjon med Google GSuite
Timeline DocType,Tidslinje DocType
Cannot change header content,Kan ikke endre topptekstinnhold
Get Alerts for Today,Få varsler for i dag
{0} logged out: {1},{0} logget ut: {1}
Submit {0} documents?,Send {0} dokumenter?
Only Allow Edit For,Tillat bare redigering for
Submit on Creation,Send inn på skapelsen
Update records,Oppdater poster
{0} changed {1} to {2},{0} endret {1} til {2}
Complete Setup,Fullfør oppsett
No Email Account,Ingen e-postkonto
Set Value,Angi verdi
Select DocType,Velg DocType
Action Failed,Handlingen mislyktes
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","For mange brukere registrerte seg nylig, så registreringen er deaktivert. Vennligst prøv igjen om en time"
Processing...,Behandling...
SUB-,UNDER-
Retake,gjenerobre
Assign,Tildele
Print Settings,Utskriftsinnstillinger
Saturday,lørdag
Sendgrid,Sendgrid
Raw Commands,Råkommandoer
Logout from all devices while changing Password,Logg ut fra alle enheter mens du endrer passord
Merchant ID,Selger-ID
Login not allowed at this time,Innlogging er ikke tillatt for øyeblikket
Default Letter Head,Standard brevhode
fairlogin,fairlogin
Equals,Er lik
You lost some energy points,Du mistet noen energipunkter
Track Email Status,Spor e-poststatus
Allow approval for creator of the document,Tillat godkjenning for skaperen av dokumentet
Added {0} ({1}),Lagt til {0} ({1})
In List View,I listevisning
Rule,Regel
Cannot edit standard fields,Kan ikke redigere standardfelter
Add,Legg til
Email not verified with {0},E-post ikke bekreftet med {0}
Set custom roles for page and report,Angi egendefinerte roller for side og rapport
Next Sync Token,Neste synkroniseringstegn
Unsupported File Format,Ikke-støttet filformat
UIDVALIDITY,UIDVALIDITY
This will log out {0} from all other devices,Dette logger ut {0} fra alle andre enheter
Use IMAP,Bruk IMAP
{0} {1} to {2},{0} {1} til {2}
Start entering data below this line,Begynn å skrive inn data under denne linjen
Global Unsubscribe,Global Avmeld
Edit HTML,Rediger HTML
Please select a valid csv file with data,Vennligst velg en gyldig csv-fil med data
Has  Attachment,Har vedlegg
Request URL,Be om URL
Password Updated,Passord oppdatert
Select Columns,Velg kolonner
Setup Reports to be emailed at regular intervals,Oppsettrapporter skal sendes med jevne mellomrom
Footer Items,Footer-elementer
Invalid Credentials,Ugyldige legitimasjon
Pending Verification,Venter på bekreftelse
Role Permission for Page and Report,Rolle Tillatelse til side og rapport
Reopen,Gjenåpne
Show as Grid,Vis som rutenett
Print Style Name,Skriv ut stilnavn
Mandatory:,"Påbudt, bindende:"
Width,Bredde
End date must be greater than start date,Sluttdato må være større enn startdato
No Results,Ingen resultater
updated to {0},oppdatert til {0}
Invalid Email Account,Ugyldig e-postkonto
