Connector Type,نوع اتصال
Successfully Updated,به روز شده موفق شد
Suggested Username: {0},نام کاربری پیشنهاد شده: {0}
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,لیستی از منابع که برنامه Client به آن دسترسی خواهد داشت پس از آن کاربر به آن اجازه می دهد. <br> مثلا پروژه
Top Performer,عمل کننده عالی
Please find attached {0} #{1},لطفا پیوست {0} # {1}
User '{0}' already has the role '{1}',کاربر {0} &#39;در حال حاضر نقش دارد {1}&#39;
Unknown User,کاربر ناشناس
Logout,خروج
Route Redirects,مسیرهای مسیریابی
Email Inbox,صندوق پست الکترونیکی
restored {0} as {1},{0} به عنوان {1} بازسازی شد
Automatically Assign Documents to Users,به طور خودکار اسناد را به کاربران اختصاص دهید
Email Templates for common queries.,قالب های ایمیل برای نمایش های معمولی.
Letter Head Based On,سر نامه بر اساس
Please close this window,لطفا این پنجره را ببندید
Payment Complete,پرداخت کامل
Designation,تعیین
Webhook,هارد دیسک
Meta Tags,برچسب های متا
Assign to the one who has the least assignments,اختصاص به کسی که حداقل تکالیف
Folder {0} does not exist,پوشه {0} وجود ندارد
Reset Password,بازنشانی گذرواژه
Optional: Always send to these ids. Each Email Address on a new row,اختیاری: همیشه به این شناسه ها ارسال کنید. هر آدرس ایمیل در یک ردیف جدید
Webhook Data,داده های Webhook
"Reverting length to {0} for '{1}' in '{2}';
							Setting the length as {3} will cause truncation of data.",بازگشت به {0} برای {1} &#39;در&#39; {2} &#39;؛ تنظیم طول به عنوان {3} باعث کاهش اطلاعات می شود.
Password for Base DN,رمز عبور برای DN اصلی
Allow Print for Cancelled,اجازه چاپ را لغو کنید
Chart Source,منبع نمودار
1 week,1 هفته
Note: Changing the Page Name will break previous URL to this page.,توجه: تغییر نام صفحه URL قبلی را به این صفحه بر می گرداند.
Total Rows,مجموع ردیف ها
Permissions can be managed via Setup &gt; Role Permissions Manager,مجوز ها را می توان از طریق راه اندازی&gt; مدیریت مجوز های مدیریت مدیریت کرد
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,جزئیات کاربر را نمی توان در نسخه ی نمایشی تغییر داد. لطفا ثبت نام برای یک حساب جدید در https://erpnext.com
New Email,ایمیل جدید
Cancel,لغو
Print Style Name,نام سبک چاپ
Standard Print Format cannot be updated,فرمت استاندارد چاپ را نمی توان به روز کرد
Applicable For,مناسب برای
Font Size (px),اندازه فونت (px)
Only {0} emailed reports are allowed per user,تنها {0} گزارش های ایمیل برای هر کاربر مجاز است
Thank you for your comment. It will be published after approval,ممنون از نظر شما. این بعد از تصویب منتشر خواهد شد
Chat Operators,اپراتورهای چت
Success,موفقیت
Upload Failed,آپلود نشد
bullhorn,بوقلمون
Address and Contacts,آدرس و مخاطبین
Timezone,منطقه زمانی
Please enter Base URL,لطفا آدرس پایه را وارد کنید
Email Reply Help,ایمیل پاسخ دادن به راهنما
Choose authentication method to be used by all users,روش احراز هویت را انتخاب کنید که تمام کاربران آن را استفاده کنند
Parent Error Snapshot,تصویربرداری خطا والدین
GCalendar Account,حساب GCalendar
Language Name,نام زبان
Customize Form,فرم سفارشی
Image Field,زمینه تصویر
Added {0} ({1}),اضافه شده {0} ({1})
Click here to post bugs and suggestions,برای ارسال اشکالات و پیشنهادات اینجا را کلیک کنید
No records deleted,هیچ پرونده حذف نشده است
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,مجوزها در سطوح بالاتر مجوزهای سطح زمین هستند. همه سطوح دارای مجوز سطح تعیین شده بر علیه آنها هستند و قوانین تعریف شده در آن مجوزها در زمینه اعمال می شوند. این کار مفید است در صورتی که می خواهید پنهان یا ایجاد زمینه خاص برای خواندن فقط برای برخی از نقش ها.
Source Name,نام منبع
Edit HTML,ویرایش HTML
Printer Settings...,تنظیمات چاپگر ...
UID,UID
Move to Row Number,به شماره ردیف بروید
ap-northeast-1,ap-north east-1
Assigned,اختصاص داده
QR Code,کد QR
Guest,مهمان
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",می توانید اعلان استاندارد را ویرایش کنید برای ویرایش، لطفا این را غیرفعال کنید و آن را کپی کنید
Newsletter Email Group,خبرنامه گروه ایمیل
Mention transaction completion page URL,URL مراحل تکمیل تراکنش را ذکر کنید
hand-down,دست پایین
Direct room with {0} already exists.,اتاق مستقیم با {0} در حال حاضر وجود دارد.
Invalid Output Format,فرمت خروجی نامعتبر است
PDF,PDF
{0} logged out: {1},{0} خارج شد: {1}
Doctype,Doctype
Not Sent,فرستاده نشد
You have exceeded the max space of {0} for your plan. {1}.,شما بیش از فضای حداکثر {0} برای برنامه خود بیش از حد است. {1}.
Limit Number of DB Backups,محدود کردن تعداد پشتیبان DB
{0} criticized your work on {1} with {2} points,{0} کار شما را در {1} با {2} امتیاز مورد انتقاد قرار داد
Send Me A Copy of Outgoing Emails,ارسال یک کپی از ایمیل های خروجی
Sorry! You are not permitted to view this page.,متاسف! شما مجاز به دیدن این صفحه نیستید.
Letter Head in HTML,سر نامه در HTML
Form Customization,سفارشی سازی فرم
Assign to me,اختصاص به من
"Too many users signed up recently, so the registration is disabled. Please try back in an hour",کاربران اخیرا اخیرا ثبت نام کرده اند، بنابراین ثبت نام غیر فعال است. لطفا ظرف یک ساعت دوباره امتحان کنید
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],یک فایل آیکون با افزونه .ico باید 16 × 16 پیکسل باشد تولید شده با استفاده از ژنراتور فاویکون [favicon-generator.org]
Setting this Address Template as default as there is no other default,تنظیم این آدرس الگو به طور پیش فرض به عنوان پیش فرض دیگر وجود دارد
QZ Tray Failed: ,سینی QZ سقوط کرد:
Google Maps integration is not enabled,ادغام Google Maps فعال نیست
Apply this rule if the User is the Owner,اگر این کاربر مالک باشد، این قانون را اعمال کنید
Org History Heading,تاریخچه سازمان
Server Error,خطای سرور
Standard roles cannot be renamed,نقش های استاندارد را نمی توان تغییر نام داد
Review Points,امتیازات را بررسی کنید
Missing parameter Kanban Board Name,نام پاراگراف Kanban نامعتبر است
Added,اضافه
Doctype required,Doctype مورد نیاز است
Print Sent to the printer!,چاپ فرستاده شده به چاپگر!
Password Updated,پسورد آپدیت شد
Shipping,حمل دریایی
Updated,به روز شد
Image Link,لینک تصویر
You selected Draft or Cancelled documents,شما پیش نویس یا لغو اسناد را انتخاب کردید
Print,چاپ
{0} does not exist in row {1},{0} در ردیف {1} وجود ندارد
Currently updating {0},در حال حاضر به روز رسانی {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,نه در حالت برنامه نویس! تنظیم در site_config.json یا DocType سفارشی.
gained {0} points,{0} به دست آورد
Success Message,پیام موفقیت
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",توضیحات برای لیست صفحه، در متن ساده، فقط چند خط. (حداکثر 140 کاراکتر)
Show Permissions,نمایش مجوزها
Restrict To Domain,محدود به دامنه
Sidebar Items,آیتم های کناری
Not a valid User Image.,یک تصویر کاربر معتبر نیست
Mark as Unread,به عنوان &quot;خوانده نشده&quot; علامت گذاری کن
The document has been assigned to {0},سند به {0} اختصاص داده شده است
{0} {1} not found,{0} {1} یافت نشد
Chat Room User,کاربر چت اتاق
Slideshow like display for the website,نمایش اسلاید مانند نمایش برای وب سایت
Print Format,فرمت چاپ
Auto Reply Message,پاسخ خودکار پاسخ
Restored,بازسازی شده
viewed,مشاهده شده
Submit an Issue,یک پرونده را وارد کنید
on_update,on_update
Invalid {0} condition,{0} نامعتبر است
Not Ancestors Of,نه اجداد
Set Quantity,مجموعه مقدار
End Date,تاریخ پایان
Next State,دولت بعدی
Is First Startup,آیا شروع اولیه است
updated to {0},به {0} به روز شد
Move To,حرکت به
Administrator Logged In,Administrator وارد سیستم شوید
Status,وضعیت
Please confirm your action to {0} this document.,لطفا اقدام خود را به {0} این سند تایید کنید
Note:,توجه داشته باشید:
bell,زنگ
Template Name,نام الگو
Org History,تاریخ سازمان
Translatable,ترجمه شده
{0}: Cannot set Cancel without Submit,{0}: لغو بدون ثبت را نمی توان تنظیم کرد
Send enquiries to this email address,ارسال سؤالات به این آدرس ایمیل
Temporarily Disabled,موقتا غیر فعال می باشد
Unsubscribe,لغو اشتراک
Dashboard Chart Link,لینک داشبورد
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,نمیتوان فایل را به عنوان {0} {1} تعریف کرد که مجوزی ندارد
Dear,عزیزم
Generate New Report,تولید گزارش جدید
This email is autogenerated,این ایمیل بصورت خودکار ساخته شده است
Forgot Password,رمز عبور را فراموش کرده اید
Child Tables are shown as a Grid in other DocTypes,جداول کودک به عنوان Grid در دیگر DocTypes نشان داده شده است
Unselect All,لغو انتخاب همه
File Size,حجم فایل
Unable to read file format for {0},قادر به خواندن فرمت فایل برای {0}
User Roles,نقشهای کاربر
Text Align,هماهنگی متن
Set Filters,تنظیم فیلترها
Transitions,گذار
Create a new ,ایجاد یک جدید
Invalid field name {0},نام فیلد نامناسب {0}
Web Form,فرم وب
Chat Room,اتاق گفتگو
Data Migration Connector,اتصال مهاجرت داده
New Folder,پوشه جدید
repeat,تکرار
You must login to submit this form,برای ارسال این فرم باید وارد شوید
Sorry! You cannot delete auto-generated comments,متاسف! نمیتوانید نظرهای خودکار ایجاد کنید
Track Views,مشاهدات پیگیری
Allow events in timeline,اجازه دادن به حوادث در جدول زمانی
Module Def,مدول دفاع
Set Meta Tags,تنظیم برچسب های متا
Created,ایجاد شده
Core,هسته
Criticize,انتقاد کردن
Warning: Unable to find {0} in any table related to {1},هشدار: در هر جدول مربوط به {1} {0} پیدا نشد
{0} Calendar,{0} تقویم
Data Import Template,الگو وارد کردن داده
hand-left,دست چپ
Backup Size:,حجم پشتیبان گیری:
Linked with {0},مرتبط با {0}
Private Key,کلید خصوصی
{0}: Cannot set import as {1} is not importable,{0}: وارد کردن نمی تواند به عنوان {1} وارد شود
Away,دور
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,بازگشت به {0} برای {1} &#39;در&#39; {2} &#39;؛ تنظیم طول به عنوان {3} باعث کاهش اطلاعات می شود.
Select a group node first.,ابتدا گره گروه را انتخاب کنید.
toggle Tag,برچسب زدن
"Newsletters to contacts, leads.",خبرنامه برای مخاطبین، منجر می شود.
Read Only,فقط خواندنی
No document selected,هیچ سندی انتخاب نشده است
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",در صورت فعال بودن، کاربر می تواند از هر آدرس IP با استفاده از دو فاکتور Auth وارد سیستم شوید، همچنین می توانید برای تمام کاربران در تنظیمات سیستم تنظیم کنید
Auto Repeat has been {0},خودکار تکرار شده است {0}
John Doe,جان دو
This document has been modified after the email was sent.,این سند بعد از فرستادن ایمیل اصلاح شده است.
Notify if unreplied,اطلاع رسانی اگر بدون رعایت شود
Introductory information for the Contact Us Page,اطلاعات مقدماتی برای تماس با ما
**Currency** Master,** ارز ** استاد
Custom Sidebar Menu,منوی نوار کناری سفارشی
Is Submittable,Submittable است
Only Administrator is allowed to use Recorder,فقط مدیر اجازه استفاده از ضبط را دارد
Password is required or select Awaiting Password,رمز عبور مورد نیاز است و یا در انتظار رمز عبور را انتخاب کنید
Note: Other permission rules may also apply,نکته: ممکن است قوانین مجوز دیگری نیز اعمال شوند
Notes: ,یادداشت:
Custom CSS,CSS سفارشی
Invalid CSV Format,قالب CSV نامعتبر است
Content Type,نوع محتوا
Password not found,رمز عبور یافت نشد
Clear,پاک کردن
This document cannot be reverted,این سند را نمی توان بازگشت
Hello!,سلام!
Report was not saved (there were errors),گزارش ذخیره نشد (خطاهایی وجود داشت)
Allow user to login only before this hour (0-24),اجازه دهید کاربر فقط قبل از این ساعت وارد شود (0-24)
Add More,اضافه کردن بیشتر
You can also copy-paste this link in your browser,شما همچنین می توانید این لینک را در مرورگر خود کپی کنید
Add fields to forms.,فیلدهای فرم را اضافه کنید
User is mandatory for Share,کاربر برای اشتراک گذاری اجباری است
Verify,تأیید کنید
Enter Email Recipient(s),گیرنده ایمیل را وارد کنید
Recorder,ضبط کننده
Interest,علاقه
Limit,حد
Print taxes with zero amount,مالیات را با مقدار صفر چاپ کنید
Book,کتاب
Access Key ID,شناسه دسترسی
URLs,URL ها
Names and surnames by themselves are easy to guess.,نام و نام خانوادگی خود را آسان می توان حدس زد.
Report {0},گزارش {0}
Team Members Heading,عنوان تیم کاربران
Document {0} has been set to state {1} by {2},سند {0} به حالت {1} توسط {2} تنظیم شده است
Address Template,قالب آدرس
step-backward,گام به عقب
Not Found,پیدا نشد
Banner Image,تصویر بنر
Not a valid Workflow Action,یک اقدام عملی کار معتبر نیست
API Endpoint Args,API Endpoint Args
Gateway,دروازه
Setup Auto Email,تنظیم ایمیل خودکار
Represents the states allowed in one document and role assigned to change the state.,دولتها را مجاز به یک سند و نقش تعیین شده برای تغییر دولت نشان می دهد.
Login with LDAP,با LDAP وارد شوید
Please enable pop-ups,لطفا پنجره های فعال را فعال کنید
See the document at {0},سند را در {0} مشاهده کنید
Type,تایپ کنید
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: ضبط شده قابل حذف نیست
refresh_token,refresh_token
Amend,اصلاح
Export,صادرات
Show in filter,نمایش در فیلتر
It is necessary to take this action today itself for the above mentioned recurring,لازم است که امروز این اقدام را برای این دوره زمانی که در بالا ذکر شد، انجام دهیم
Export Custom Permissions,صادرات مجوزهای سفارشی
None: End of Workflow,هیچکدام: End of Workflow
Version,نسخه
6 months,6 ماه
Group,گروه
There is some problem with the file url: {0},مشکل در آدرس فایل وجود دارد: {0}
Customize Form Field,سفارشی فیلد فرم
Comment can only be edited by the owner,نظر می تواند توسط مالک ویرایش شود
Document Follow,پیگیری سند
Did not find {0} for {0} ({1}),{0} را برای {0} ({1} پیدا نکرد)
URL,نشانی اینترنتی
Parent is required to get child table data,والدین باید داده های جدول کودک را بدست آورند
A log of request errors,ورودی از خطاهای درخواست
User not allowed to delete {0}: {1},کاربر مجاز به حذف {0}: {1}
dd-mm-yyyy,dd-mm-yyyy
eject,بیرون انداختن
Drag and Drop tool to build and customize Print Formats.,کشیدن و رها کردن برای ساخت و سفارشی کردن فرمت های چاپ.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.",اگر چک شده باشد، این فیلد بر اساس Fetch From صورت نمی گیرد اگر یک مقدار در حال حاضر وجود داشته باشد.
Currently Viewing,درحال مشاهده
Not allowed for {0}: {1}. Restricted field: {2},برای {0} مجاز نیست: {1}. زمینه محدود: {2}
Slack,چرت زدن
Please duplicate this to make changes,لطفا این را برای تغییرات کپی کنید
Repeat On,تکرار در
Login After,ورود پس از
Folder {0} is not empty,پوشه {0} خالی نیست
File Type,نوع فایل
Enable Raw Printing,فعال کردن چاپ خام
Further nodes can be only created under 'Group' type nodes,گره های اضافی فقط می توانند در گره های گروهی گروه ایجاد شوند
signal,سیگنال
Cannot edit a standard report. Please duplicate and create a new report,می توانید یک گزارش استاندارد را ویرایش کنید لطفا تکراری کنید و یک گزارش جدید ایجاد کنید
Sales Master Manager,مدیر استراتژیک فروش
Bulk Edit {0},فیدبک ویرایش {0}
Preparing Report,آماده سازی گزارش
{0} criticized your work on {1} with {2} point,{0} کار شما را در {1} با {2} نقطه انتقاد کرد
Verdana,وردانا
Unsubscribed,لغو اشتراک
DocPerm,DocPerm
Fold can not be at the end of the form,بسته شدن در پایان فرم نمی تواند باشد
Server IP,آی پی سرور
{0} Tree,{0} درخت
Send Password,ارسال رمز عبور
All Day,تمام روز
Parent is the name of the document to which the data will get added to.,پدر و مادر نام اسنادی است که داده ها به آن اضافه می شوند.
Block Module,بلوک ماژول
(Ctrl + G),(Ctrl + G)
Points,نکته ها
API Endpoint,نقطه پایانی API
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,برای جزئیات بیشتر به https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region مراجعه کنید.
App Client Secret,برنامه مشتری راز
Original Value,ارزش اصلی
Attach Image,ضمیمه تصویر
Your system is being updated. Please refresh again after a few moments,سیستم شما به روز می شود لطفا چند لحظه بعد دوباره تازه بشوید
Add / Manage Email Accounts.,افزودن / مدیریت حسابهای ایمیل
Third Party Authentication,احراز هویت شخص ثالث
1 year,1 سال
{0} reverted your points on {1},{0} نقاط خود را در {1}
arrow-down,فلش کردن
Ignore encoding errors,نادیده گرفتن خطاهای کدگذاری
Letter Head Name,نام سربرگ
Client Script,اسکریپت مشتری
Higher priority rule will be applied first,اولویت بالاترین اولویت اعمال خواهد شد
Content (HTML),محتوا (HTML)
{0} appreciation points for {1} {2},{0} امتیازهای تقدیر برای {1} {2}
Search in a document type,جستجو در یک نوع سند
Only Administrator is allowed to create Dashboard Chart Sources,فقط مدیر مجاز است برای ایجاد منابع نمودار داشبورد
Only 200 inserts allowed in one request,فقط 200 درج اجازه داده شده در یک درخواست
Kanban Board Name,نام انجمن کانبان
Group Label,برچسب گروه
thumbs-up,شست
Reload,بارگیری مجدد
{0} added,{0} اضافه شد
{0} to {1},{0} تا {1}
Attach File,ضمیمه فایل
Expose Recipients,نمایش دهنده گیرندگان
ToDo,انجام دادن
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.",مختلف &quot;ایالات&quot; این سند می تواند وجود داشته باشد مانند &quot;باز&quot;، &quot;تایید در انتظار&quot; و غیره
Weekly,هفتگی
Preview HTML,پیشنمایش HTML
GSuite Templates,قالبهای GSuite
Force Show,نیروی نمایش
Deleted Name,نام حذف شده
Home,خانه
User can login using Email id or User Name,کاربر می تواند با استفاده از شناسه ایمیل یا نام کاربری وارد سیستم شوید
Assign a permission level to the field.,سطح مجوز را به فیلد اختصاص دهید.
ap-northeast-3,ap-north-east-3
Please enter Redirect URL,لطفا URL تغییر مسیر را وارد کنید
Allow on Submit,اجازه در ارسال
Table {0} cannot be empty,جدول {0} نمیتواند خالی باشد
minus-sign,منهای علامت
Phone,تلفن
Clear all roles,پاک کردن تمام نقش ها
Example,مثال
You need write permission to rename,شما نیاز به نوشتن مجوز دارید
Advanced Control,کنترل پیشرفته
Path to Server Certificate,مسیر گواهی سرور
If Checked workflow status will not override status in list view,اگر وضعیت گردش کار Checked وضعیت را در نمای لیست نادیده نگیرد
Updating {0},به روز رسانی {0}
Logged in as Guest or Administrator,به عنوان مهمان یا مدیر ثبت نام کرده اید
Green,سبز
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,فقط فیلدهای اجباری برای پرونده های جدید لازم است. اگر می خواهید ستون های غیر ضروری را حذف کنید.
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.",{0} باید با یک حرف شروع و پایان کند و فقط می تواند شامل حروف، خط و یا زیر خط دار باشد.
Create User Email,ایجاد ایمیل کاربر
Sort field {0} must be a valid fieldname,فیلد مرتبسازی {0} باید یک فیلد معتبر باشد
Filter Meta,فیلتر متا
Category Name,نام دسته
Javascript to append to the head section of the page.,جاوا اسکریپت برای اضافه کردن به بخش سر صفحه.
Allow Delete,اجازه حذف
Authorize URL,مجاز URL
This feature is brand new and still experimental,این ویژگی با نام تجاری جدید و هنوز هم تجربی است
S3 Backup Settings,S3 تنظیمات پشتیبان گیری
Not Seen,نمی بینم
Not Like,دوست ندارم
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",Insert بعد از فیلد &#39;{0}&#39; در فیلد سفارشی &#39;{1}&#39;، با برچسب &#39;{2}&#39;، وجود ندارد
Refresh Form,فرم تازه کردن
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,سعی کنید از یک الگوی صفحه کلید دیگر با چرخش بیشتر استفاده کنید
Archive,بایگانی
Your payment is cancelled.,پرداخت شما لغو شده است
Fieldname {0} cannot have special characters like {1},فیلد نام {0} نمیتواند کاراکترهای خاصی مانند {1}
Traceback,ردیابی
Route,مسیر
Workflow Name,نام گردش کار
Report,گزارش
Incomplete login details,جزئیات ورود ناقص
Table,جدول
Start a conversation.,یک مکالمه شروع کنید
Sync on Migrate,همگام سازی در مهاجرت
Timeline Field,فیلد جدول زمانی
Fieldtype {0} for {1} cannot be indexed,Fieldtype {0} برای {1} نمیتواند نمایه شود
Loading...,بارگذاری...
Half Yearly,نیم سال
Last Modified Date,آخرین تاریخ اصلاح شده
First Name,نام کوچک
Comments,نظرات
Assignment for {0} {1},تخصیص برای {0} {1}
Cannot link cancelled document: {0},سند لغو شده را نمی توان پیوند داد: {0}
BCC,BCC
Long Text,متن طولانی
Float Precision,دقیق شناور
Please Enter Your Password to Continue,لطفا برای ادامه لطفا وارد کنید
Save Report,ذخیره گزارش
"""Team Members"" or ""Management""",&quot;اعضای تیم&quot; یا &quot;مدیریت&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - پیش نویس؛ 1 - ارسال شده؛ 2 - لغو شد
SMTP Settings for outgoing emails,تنظیمات SMTP برای ایمیل های خروجی
Is Your Company Address,آدرس شرکت شماست
Printer Name,نام چاپگر
Dropbox Settings,تنظیمات Dropbox
System and Website Users,سیستم و کاربران وب سایت
Fieldname which will be the DocType for this link field.,Fieldname که DocType برای این زمینه لینک خواهد بود.
Content Hash,هش محتوا
Posts by {0},نوشته های {0}
{0} assigned {1}: {2},{0} اختصاص {1}: {2}
globe,جهان
Average of {0},میانگین {0}
Clear Error Logs,پاک کردن خطاهای خطا
Friendly Title,عنوان دوستانه
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",نام &quot;فونت گوگل وب&quot; را به عنوان مثال &quot;Open Sans&quot; اضافه کنید
Filter,فیلتر کردن
No of Rows (Max 500),هیچ ردیف (حداکثر 500)
Label,برچسب
Your account has been locked and will resume after {0} seconds,حساب شما قفل شده است و بعد از {0} ثانیه باز خواهد گشت
indent-left,عقب - چپ
Identity Details,جزئیات هویت
Visitor,بازدید کننده
gift,هدیه
Run Tests,تستها را اجرا کنید
LDAP Search String,مسیر جستجو LDAP
Field {0} not found.,فیلد {0} یافت نشد
Select Languages,انتخاب زبانها
You don't have any messages yet.,شما هنوز پیامی ندارید
Event Type,نوع رویداد
"To get the updated report, click on {0}.",برای دریافت گزارش به روز، روی {0} کلیک کنید.
Home Settings,تنظیمات صفحه اصلی
Apply to all Documents Types,درخواست همه انواع اسناد
Inverse,معکوس
Closed,بسته شده
Query,پرس و جو
Days After,روز بعد
Request Timed Out,مهلت درخواست به پایان رسیده است
Email Footer Address,آدرس پست الکترونیک ایمیل
Energy point update,به روز رسانی نقطه انرژی
Click here to verify,برای تأیید اینجا کلیک کنید
You can use Customize Form to set levels on fields.,شما می توانید فرم سفارشی را برای تنظیم سطوح در زمینه ها استفاده کنید.
App Secret Key,رمز کلیدی نرم افزار
Show Section Headings,نمایش قسمت های بخش
Mentions,ذکر شده است
Series {0} already used in {1},سری {0} که قبلا در {1} استفاده شده است
Clicked,کلیک کرده
Log,ورود
Accept Payment,قبول پرداخت
Print Server,سرور چاپ
Welcome Message,پیام خوش امد گویی
Reference DocType,DocType مرجع
Shared,به اشتراک گذاشته شده
Unknown Column: {0},ستون ناشناخته: {0}
Enabled,فعال شده است
Setup Complete,راه اندازی کامل
Shared with {0},به اشتراک گذاشته شده با {0}
Not a valid Comma Separated Value (CSV File),مقادیر جدا شده مجذور معتبر (فایل CSV)
Your payment has failed.,پرداخت شما شکست خورده است.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",برای لینک ها، DocType را به عنوان محدوده وارد کنید. برای انتخاب، لیست گزینه ها را وارد کنید، هر کدام در یک خط جدید.
1 minute ago,1 دقیقه پیش
No Active Sessions,هیچ جلسه فعال
Row,ردیف
Please try again,لطفا دوباره تلاش کنید
Chart Options,گزینه های نمودار
Push Failed,فشار ناکرده
Off,خاموش
Default Outgoing,پیشفرض خروجی
1 year ago,1 سال پیش
View Subscribers,مشاهده مشترکین
Allow Print,اجازه چاپ
Comment,اظهار نظر
{0} not allowed to be renamed,{0} مجاز به تغییر نام نیست
Success URL,URL موفقیت
Document is only editable by users of role,سند تنها توسط کاربران نقش قابل ویرایش است
Outgoing email account not correct,حساب ایمیل خروجی نادرست است
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,ادغام تنها بین گروهی به گروه یا گره نودهی به لبه امکان پذیر است
Select Language...,زبان را انتخاب کنید...
Link,ارتباط دادن
{0}: No basic permissions set,{0}: مجوزهای اساسی تنظیم نشده است
Value for a check field can be either 0 or 1,مقدار برای یک فیلد چک می تواند 0 یا 1 باشد
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",HTML در قسمت &lt;head&gt; صفحه وب اضافه شده است، که عمدتا برای تأیید وب سایت و SEO استفاده می شود
plus,به علاوه
Please Duplicate this Website Theme to customize.,لطفا این تم وب سایت را سفارشی کنید.
Options not set for link field {0},تنظیمات برای فیلد لینک تنظیم نشده است {0}
Must have report permission to access this report.,مجوز گزارش برای دسترسی به این گزارش باید داشته باشد.
Rename {0},تغییر نام {0}
Note: Multiple sessions will be allowed in case of mobile device,توجه: جلسات متعدد در مورد دستگاه تلفن همراه مجاز خواهد بود
resize-small,تغییر اندازه کوچک
Relinked,تغییر یافته
Roles HTML,نقش HTML
Workflow will start after saving.,گردش کار پس از صرفه جویی شروع خواهد شد.
"If your data is in HTML, please copy paste the exact HTML code with the tags.",اگر داده های شما در HTML باشد، لطفا کدهای HTML دقیق را با برچسب تگ کنید.
Dates are often easy to guess.,داده ها اغلب آسان است حدس بزنند.
Pincode,Pincode
Update Value,به روز رسانی ارزش
Has Web View,دارای نمایش وب است
Align Value,همسان سازی مقدار
Assignment Complete,تخصیص کامل
Header,سرتیتر
This query style is discontinued,این سبک پرس و جو متوقف شده است
Document Type is not submittable,نوع سند قابل پخش نیست
Display Depends On,نمایش وابسته است
No Tags,بدون برچسب
Script Code,کد اسکریپت
Updated successfully,با موفقیت به روز شد
Hi {0},سلام {0}
{0} not a valid State,{0} دولت معتبر نیست
Accounts User,کاربر حساب
Groups of DocTypes,گروه های DocTypes
Website Route Redirect,وب سایت مسیر هدایت
Beginning with,شروع با
Hello {0},سلام {0}
Start Time,زمان شروع
{0} has been successfully added to the Email Group.,{0} با موفقیت به گروه ایمیل افزوده شد.
Cancelled Document restored as Draft,سند لغو شده به عنوان پیش نویس بازسازی شد
Desktop Icon,آیکون دسکتاپ
cancelled this document,این سند را لغو کرد
Date Range,محدوده زمانی
{0} appreciated {1},{0} قدردانی {1}
Values Changed,ارزش ها تغییر کرده اند
Error in Notification,خطا در اعلان
Enable Report,فعال کردن گزارش
No alerts for today,هشدار برای امروز وجود ندارد
Redirect URI Bound To Auth Code,تغییر مسیر URI مربوط به کد Auth
Always use Account's Email Address as Sender,همیشه آدرس ایمیل حساب را به عنوان فرستنده استفاده کنید
Barcode,بارکد
{0} Dashboard,{0} داشبورد
Last Quarter,آخر هفته
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings",مجاز به ضمیمه {0} سند نیست، لطفا اجازه دهید برای {0} اجازه چاپ را در تنظیمات چاپ فعال کنید
Attach,پیوستن
Scopes,محدوده ها
Deleted Documents,اسناد حذف شده
Workflow Action,عملیات گردش کار
You can also copy-paste this ,شما همچنین می توانید این را کپی کنید
Is Feedback request triggered manually ?,آیا درخواست بازخورد به صورت دستی انجام می شود؟
Select a chat to start messaging.,گپ را انتخاب کنید تا پیام را شروع کنید
No permission to read {0},مجوز خواندن {0}
Reply,پاسخ
Braintree payment gateway settings,تنظیمات دروازه پرداخت Braintree
Scheduled to send to {0},برنامه ریزی شده برای ارسال {0}
"If enabled, changes to the document are tracked and shown in timeline",در صورت فعال بودن، تغییرات در سند ردیابی می شوند و در جدول زمانی نمایش داده می شوند
Send Welcome Email,ارسال ایمیل خوش آمدید
asterisk,ستاره
