Connector Type,Tilslutningstype
Thank you for your comment. It will be published after approval,Tak for din kommentar. Det vil blive offentliggjort efter godkendelse
Chat Operators,Chatoperatører
Success,Succes
Upload Failed,Upload fejlede
bullhorn,bullhorn
Address and Contacts,Adresse og Kontakter
Timezone,Tidszone
Please enter Base URL,Indtast venligst basiswebadresse
Email Reply Help,Email Svar Hjælp
Choose authentication method to be used by all users,"Vælg autentificeringsmetode, der skal bruges af alle brugere"
Parent Error Snapshot,Forældre Fejl-billede
GCalendar Account,GCalendar-konto
Language Name,Sprognavn
Customize Form,Tilpas Formular
Image Field,Billedfelt
Added {0} ({1}),Tilføjet {0} ({1})
Click here to post bugs and suggestions,Klik her for at sende fejl og forslag
No records deleted,Ingen poster slettet
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Tilladelser på højere niveauer er Felt niveau tilladelser. Alle felter har et tilladelsesniveau sat mod dem, og reglerne der er defineret ved disse tilladelser gælder for feltet. Dette er nyttigt, hvis du vil skjule eller gøre visse feltbeskyttet for bestemte roller."
Source Name,Kildenavn
Edit HTML,Rediger HTML
Printer Settings...,Printerindstillinger ...
UID,UID
Move to Row Number,Flyt til række nummer
ap-northeast-1,ap-nordøst-1
Assigned,tildelt
QR Code,QR kode
Guest,Gæst
"Cannot edit Standard Notification. To edit, please disable this and duplicate it","Kan ikke redigere standardmeddelelse. For at redigere, skal du deaktivere dette og duplikere det"
Newsletter Email Group,Nyhedsbrev Email Group
Mention transaction completion page URL,Angiv webstedets URL for transaktionsafslutning
hand-down,hånd-down
Direct room with {0} already exists.,Direkte rum med {0} eksisterer allerede.
Invalid Output Format,Ugyldigt outputformat
PDF,PDF
{0} logged out: {1},{0} logget ud: {1}
Doctype,doctype
Not Sent,Ikke sendt
You have exceeded the max space of {0} for your plan. {1}.,Du har overskredet maksimumsrummet på {0} til din plan. {1}.
Limit Number of DB Backups,Begræns antal DB-sikkerhedskopier
{0} criticized your work on {1} with {2} points,{0} kritiserede dit arbejde på {1} med {2} point
Send Me A Copy of Outgoing Emails,Send mig en kopi af udgående e-mails
Sorry! You are not permitted to view this page.,Undskyld! Du har ikke lov til at se denne side.
Letter Head in HTML,Brevhoved i HTML
Form Customization,Form Tilpasning
Assign to me,Tildel mig
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","For mange brugere har tilmeldt sig for nylig, så registreringen er deaktiveret. Prøv igen om en time"
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],En ikonfil med .ico-udvidelse. Skal være 16 x 16 px. Genereret ved hjælp af en favicon generator. [Favicon-generator.org]
Setting this Address Template as default as there is no other default,"Indstilling af denne adresseskabelon som standard, da der ikke er nogen anden standard"
QZ Tray Failed: ,QZ-bakke mislykkedes:
Google Maps integration is not enabled,Integration af Google Maps er ikke aktiveret
Apply this rule if the User is the Owner,"Anvend denne regel, hvis brugeren er ejeren"
Org History Heading,Org History Overskrift
Server Error,Server Fejl
Standard roles cannot be renamed,Standardroller kan ikke omdøbes
Review Points,Gennemgangspunkter
Missing parameter Kanban Board Name,Manglende parameter Kanban Board Name
Added,Lagt
Doctype required,Doktype kræves
Print Sent to the printer!,Udskriv sendt til printeren!
Password Updated,Adgangskode opdateret
Shipping,Forsendelse
Updated,Opdateret
Image Link,Billede Link
You selected Draft or Cancelled documents,Du har valgt Udkast eller Annullerede dokumenter
Print,Print
{0} does not exist in row {1},{0} findes ikke i række {1}
Currently updating {0},I øjeblikket opdaterer {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Ikke i udviklertilstand! Indstil i site_config.json eller lav &#39;Custom&#39; DocType.
gained {0} points,opnåede {0} point
Success Message,Succesmeddelelse
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Beskrivelse til noteringsside, i almindelig tekst, kun et par linjer. (maks 140 tegn)"
Show Permissions,Vis tilladelser
Restrict To Domain,Begræns til domæne
Sidebar Items,Sidepanelelementer
Not a valid User Image.,Ikke et gyldigt brugerbillede.
Mark as Unread,Marker som ulæst
The document has been assigned to {0},Dokumentet er blevet tildelt til {0}
{0} {1} not found,{0} {1} ikke fundet
Chat Room User,Chat Room User
Slideshow like display for the website,Slideshow som visning til hjemmesiden
Print Format,Udskrivningsformat
Auto Reply Message,Autosvar Besked
Restored,Restaureret
viewed,har set
Submit an Issue,Indsend et problem
on_update,on_update
Invalid {0} condition,Ugyldig {0} betingelse
Not Ancestors Of,Ikke forældre af
Set Quantity,Indstil mængde
End Date,Slutdato
Next State,Næste stat
Is First Startup,Er første opstart
updated to {0},opdateret til {0}
Move To,Flytte til
Administrator Logged In,Administrator logget ind
Status,status
Please confirm your action to {0} this document.,Bekræft venligst din handling til {0} dette dokument.
Note:,Bemærk:
bell,klokke
Template Name,Skabelonnavn
Org History,Org History
Translatable,oversætbare
{0}: Cannot set Cancel without Submit,{0}: Kan ikke indstille Annuller uden Send
Send enquiries to this email address,Send forespørgsler til denne email adresse
Temporarily Disabled,Midlertidigt deaktiveret
Unsubscribe,Opsige abonnement
Dashboard Chart Link,Dashboard Chart Link
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Kan ikke slette filen, da den tilhører {0} {1}, som du ikke har tilladelser til"
Dear,Kære
Generate New Report,Generer ny rapport
This email is autogenerated,Denne email er autogenereret
Forgot Password,Glemt kodeord
Child Tables are shown as a Grid in other DocTypes,Børneborde vises som et gitter i andre Doktypes
Unselect All,Fjern markering af alle
File Size,Filstørrelse
Unable to read file format for {0},Kan ikke læse filformat for {0}
User Roles,Brugerroller
Text Align,Tekstjustering
Set Filters,Indstil filtre
Transitions,Overgange
Create a new ,Opret en ny
Invalid field name {0},Ugyldigt feltnavn {0}
Web Form,Webformular
Chat Room,Chatrum
Data Migration Connector,Data Migration Connector
New Folder,Ny mappe
repeat,gentage
You must login to submit this form,Du skal logge ind for at indsende denne formular
Sorry! You cannot delete auto-generated comments,Undskyld! Du kan ikke slette automatisk genererede kommentarer
Track Views,Sporvisninger
Allow events in timeline,Tillad begivenheder i tidslinjen
Module Def,Modul Def
Set Meta Tags,Indstil metatags
Created,lavet
Core,Core
Criticize,Kritisere
Warning: Unable to find {0} in any table related to {1},Advarsel: Kan ikke finde {0} i nogen tabel relateret til {1}
{0} Calendar,{0} Kalender
Data Import Template,Data Import Template
hand-left,hånd-venstre
Backup Size:,Backup størrelse:
Linked with {0},Forbundet med {0}
Private Key,Privat nøgle
{0}: Cannot set import as {1} is not importable,"{0}: Kan ikke angive import, da {1} ikke kan importeres"
Away,Væk
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Gendannelse af længden til {0} for &#39;{1}&#39; i &#39;{2}&#39;; Indstilling af længden som {3} vil medføre afkortning af data.
Select a group node first.,Vælg først en gruppe knude.
toggle Tag,skifte tag
"Newsletters to contacts, leads.","Nyhedsbreve til kontakter, fører."
Read Only,Læs kun
No document selected,Intet dokument valgt
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Hvis den er aktiveret, kan brugeren logge ind fra en hvilken som helst IP-adresse ved hjælp af Two Factor Auth. Dette kan også indstilles for alle brugere i Systemindstillinger"
Auto Repeat has been {0},Automatisk gentagelse har været {0}
John Doe,John Doe
This document has been modified after the email was sent.,"Dette dokument er blevet ændret, efter at e-mailen blev sendt."
Notify if unreplied,Underret om hvis ubesvaret
Introductory information for the Contact Us Page,Indledende oplysninger til Kontakt os side
**Currency** Master,** Valuta ** Master
Custom Sidebar Menu,Brugerdefineret sidebjælkemenu
Is Submittable,Kan indsendes
Only Administrator is allowed to use Recorder,Kun administrator har tilladelse til at bruge optager
Password is required or select Awaiting Password,"Adgangskode er påkrævet, eller vælg Afventer kodeord"
Note: Other permission rules may also apply,Bemærk: Andre tilladelsesregler kan også gælde
Notes: ,Bemærkninger:
Custom CSS,Brugerdefineret CSS
Invalid CSV Format,Ugyldigt CSV-format
Content Type,Indholdstype
Password not found,Adgangskode ikke fundet
Clear,Klar
This document cannot be reverted,Dette dokument kan ikke vende tilbage
Hello!,Hej!
Report was not saved (there were errors),Rapporten blev ikke gemt (der var fejl)
Allow user to login only before this hour (0-24),Tillad brugeren kun at logge ind før denne time (0-24)
Add More,Tilføj mere
You can also copy-paste this link in your browser,Du kan også kopiere-indsæt dette link i din browser
Add fields to forms.,Tilføj felter til formularer.
User is mandatory for Share,Bruger er obligatorisk for Del
Verify,Verificere
Enter Email Recipient(s),Indtast Email Modtager (s)
Recorder,optager
Interest,Interesse
Limit,Begrænse
Print taxes with zero amount,Udskriv skat med nul beløb
Book,Bestil
Access Key ID,Adgangskode ID
URLs,URL&#39;er
Names and surnames by themselves are easy to guess.,Navne og efternavne i sig selv er nemme at gætte.
Report {0},Rapport {0}
Team Members Heading,Team medlemmer overskrift
Document {0} has been set to state {1} by {2},Dokumentet {0} er sat til at angive {1} ved {2}
Address Template,Adresseskabelon
step-backward,trin-baglæns
Not Found,Ikke fundet
Banner Image,Bannerbillede
Not a valid Workflow Action,Ikke en gyldig Workflow Action
API Endpoint Args,API Endpoint Args
Gateway,Gateway
Setup Auto Email,Indstil automatisk e-mail
Represents the states allowed in one document and role assigned to change the state.,"Representerer de stater, der tillades i et dokument og en rolle, der er udpeget til at ændre staten."
Login with LDAP,Log ind med LDAP
Please enable pop-ups,Aktivér pop op-vinduer
See the document at {0},Se dokumentet på {0}
Type,Type
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Indsendt post kan ikke slettes.
refresh_token,refresh_token
Amend,Ændre
Export,Eksport
Show in filter,Vis i filter
It is necessary to take this action today itself for the above mentioned recurring,Det er nødvendigt at tage denne handling i dag selv for ovennævnte tilbagevendende
Export Custom Permissions,Udfør brugerdefinerede tilladelser
None: End of Workflow,Ingen: Afslutning af Workflow
Version,Version
6 months,6 måneder
Group,Gruppe
There is some problem with the file url: {0},Der er noget problem med filadressen: {0}
Customize Form Field,Tilpas formularfelt
Comment can only be edited by the owner,Kommentar kan kun redigeres af ejeren
Document Follow,Dokument Følg
Did not find {0} for {0} ({1}),Fandt ikke {0} for {0} ({1})
URL,URL
Parent is required to get child table data,Forældre er forpligtet til at få børnetabeldata
A log of request errors,En log af anmodningsfejl
User not allowed to delete {0}: {1},Bruger ikke tilladt at slette {0}: {1}
dd-mm-yyyy,dd-mm-yyyy
eject,udstøde
Drag and Drop tool to build and customize Print Formats.,Træk og slip værktøj til at opbygge og tilpasse udskriftsformater.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Hvis markeret, overskrives dette felt ikke baseret på Hent fra, hvis der allerede findes en værdi."
Currently Viewing,I øjeblikket ser
Not allowed for {0}: {1}. Restricted field: {2},Ikke tilladt for {0}: {1}. Begrænset felt: {2}
Slack,slack
Please duplicate this to make changes,Du skal duplikere dette for at foretage ændringer
Repeat On,Gentag på
Login After,Log ind efter
Folder {0} is not empty,Mappen {0} er ikke tom
File Type,Filtype
Enable Raw Printing,Aktivér Raw Printing
Further nodes can be only created under 'Group' type nodes,Yderligere noder kan kun oprettes under &#39;Gruppe&#39; type noder
signal,signal
Cannot edit a standard report. Please duplicate and create a new report,Kan ikke redigere en standardrapport. Du skal duplikere og oprette en ny rapport
Sales Master Manager,Sales Master Manager
Bulk Edit {0},Bulk Rediger {0}
Preparing Report,Forbereder rapport
{0} criticized your work on {1} with {2} point,{0} kritiserede dit arbejde på {1} med {2} point
Verdana,Verdana
Unsubscribed,afmeldt
DocPerm,DocPerm
Fold can not be at the end of the form,Fold kan ikke være i slutningen af formularen
Server IP,Server IP
{0} Tree,{0} Træ
Send Password,Send adgangskode
All Day,Hele dagen
Parent is the name of the document to which the data will get added to.,"Forældre er navnet på det dokument, som dataene vil blive tilføjet til."
Block Module,Blokmodul
(Ctrl + G),(Ctrl + G)
Points,Points
API Endpoint,API Endpoint
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Se https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for detaljer.
App Client Secret,App Client Secret
Original Value,Originalværdi
Attach Image,Vedhæft billede
Your system is being updated. Please refresh again after a few moments,Dit system opdateres. Opdater venligst igen efter et øjeblik
Add / Manage Email Accounts.,Tilføj / administrer e-mail-konti.
Third Party Authentication,Tredjeparts godkendelse
1 year,1 år
{0} reverted your points on {1},{0} vendte dine point tilbage på {1}
arrow-down,pil-ned
Ignore encoding errors,Ignorer kodningsfejl
Letter Head Name,Bogstavsnavn
Client Script,Client Script
Higher priority rule will be applied first,Højere prioritetsregel anvendes først
Content (HTML),Indhold (HTML)
{0} appreciation points for {1} {2},{0} påskønnelsespunkter for {1} {2}
Search in a document type,Søg i en dokumenttype
Only Administrator is allowed to create Dashboard Chart Sources,Kun administrator har lov til at oprette Dashboard Diagramkilder
Only 200 inserts allowed in one request,Kun 200 indsatser tilladt i en forespørgsel
Kanban Board Name,Kanban Board Name
Group Label,Gruppelabel
thumbs-up,tommel op
Reload,Opdater
{0} added,{0} tilføjet
{0} to {1},{0} til {1}
Attach File,Vedhæft fil
Expose Recipients,Udsende modtagere
ToDo,At gøre
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Forskellige &quot;stater&quot; dette dokument kan eksistere i. Som &quot;Åbent&quot;, &quot;Afventer godkendelse&quot; etc."
Weekly,Ugentlig
Preview HTML,Forhåndsvis HTML
GSuite Templates,GSuite Skabeloner
Force Show,Force Show
Deleted Name,Slettet navn
Home,Hjem
User can login using Email id or User Name,Bruger kan logge ind med e-mail-id eller brugernavn
Assign a permission level to the field.,Tildel et tilladelsesniveau til feltet.
Error: Value missing for {0}: {1},Fejl: Værdi mangler for {0}: {1}
ap-northeast-3,ap-nordøst-3
Please enter Redirect URL,Indtast venligst omdirigeringswebadresse
Allow on Submit,Tillad ved afsendelse
Table {0} cannot be empty,Tabel {0} kan ikke være tom
minus-sign,minus-tegn
Phone,telefon
Clear all roles,Ryd alle roller
Example,Eksempel
You need write permission to rename,Du skal skrive tilladelse til at omdøbe
Advanced Control,Avanceret kontrol
Path to Server Certificate,Sti til servercertifikat
If Checked workflow status will not override status in list view,Hvis statusen Checked workflow ikke tilsidesætter status i listevisning
Updating {0},Opdatering {0}
Logged in as Guest or Administrator,Logget ind som gæst eller administrator
Green,Grøn
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"Kun obligatoriske felter er nødvendige for nye optegnelser. Du kan slette ikke-obligatoriske kolonner, hvis du ønsker det."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} skal begynde og slutte med et bogstav og kan kun indeholde bogstaver, bindestreg eller understregning."
Create User Email,Opret bruger e-mail
Sort field {0} must be a valid fieldname,Sorter felt {0} skal være et gyldigt feltnavn
Filter Meta,Filter Meta
Category Name,Kategori Navn
Javascript to append to the head section of the page.,Javascript til at føje til hovedafsnittet på siden.
Allow Delete,Tillad sletning
Authorize URL,Tillad URL
This feature is brand new and still experimental,Denne funktion er helt ny og stadig eksperimentel
S3 Backup Settings,S3 Backup-indstillinger
Not Seen,Ikke set
Not Like,Ikke som
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Indsæt Efter feltet &#39;{0}&#39; nævnt i brugerdefineret felt &#39;{1}&#39;, med mærket &#39;{2}&#39;, findes der ikke"
Refresh Form,Opdateringsformular
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,Prøv at bruge et længere tastaturmønster med flere drejninger
Archive,Arkiv
Your payment is cancelled.,Din betaling er annulleret.
Fieldname {0} cannot have special characters like {1},Feltnavn {0} kan ikke have specialtegn som {1}
Traceback,Spore tilbage
Route,Rute
Workflow Name,Workflow-navn
Report,Rapport
Incomplete login details,Ufuldstændige loginoplysninger
Table,Bord
Start a conversation.,Start en samtale.
Sync on Migrate,Synkronisere migrere
Timeline Field,Tidslinjefelt
Fieldtype {0} for {1} cannot be indexed,Felttype {0} til {1} kan ikke indekseres
Loading...,Indlæser...
Half Yearly,Halvårlig
Last Modified Date,Senest ændret dato
First Name,Fornavn
Comments,Kommentarer
Assignment for {0} {1},Opgave for {0} {1}
Cannot link cancelled document: {0},Kan ikke linke annulleret dokument: {0}
BCC,BCC
Long Text,Lang tekst
Float Precision,Float Precision
Please Enter Your Password to Continue,Indtast venligst dit kodeord for at fortsætte
Save Report,Gem rapport
"""Team Members"" or ""Management""",&quot;Team Members&quot; eller &quot;Management&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Udkast 1 - indsendt 2 - Annulleret
SMTP Settings for outgoing emails,SMTP-indstillinger for udgående e-mails
Is Your Company Address,Er dit firma adresse
Printer Name,Printernavn
Dropbox Settings,Dropbox-indstillinger
System and Website Users,System- og Website-brugere
Fieldname which will be the DocType for this link field.,"Feltnavn, som vil være DocType for dette linkfelt."
Content Hash,Content Hash
Posts by {0},Indlæg af {0}
{0} assigned {1}: {2},{0} tildelt {1}: {2}
globe,globus
Average of {0},Gennemsnit på {0}
Clear Error Logs,Ryd fejllogger
Friendly Title,Venligt afsnit
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",Tilføj navnet på en &quot;Google Web Font&quot; f.eks. &quot;Open Sans&quot;
Filter,Filter
No of Rows (Max 500),Ingen af rækker (maks 500)
Label,Etiket
Your account has been locked and will resume after {0} seconds,Din konto er blevet låst og vil genoptage efter {0} sekunder
indent-left,led-venstre
Identity Details,Identitetsoplysninger
Visitor,Besøgende
gift,gave
Run Tests,Kør test
LDAP Search String,LDAP Search String
Field {0} not found.,Felt {0} ikke fundet.
Select Languages,Vælg sprog
You don't have any messages yet.,Du har endnu ingen beskeder.
Event Type,Hændelsestype
"To get the updated report, click on {0}.","For at få den opdaterede rapport, klik på {0}."
Home Settings,Hjemindstillinger
Apply to all Documents Types,Ansøg på alle Dokumenter Typer
Inverse,Inverse
Closed,Lukket
Query,Forespørgsel
Days After,Dage efter
Request Timed Out,Anmodning Timed Out
Email Footer Address,E-mail-fodboldadresse
Energy point update,Energipunkt opdatering
Click here to verify,Klik her for at bekræfte
You can use Customize Form to set levels on fields.,Du kan bruge Tilpas Formular til at indstille niveauer på felter.
App Secret Key,App Secret Key
Show Section Headings,Vis afsnit overskrifter
Mentions,Mentions
Series {0} already used in {1},"Serie {0}, der allerede er brugt i {1}"
Clicked,klikkede
Log,Log
Accept Payment,Acceptér betaling
Print Server,Print Server
Welcome Message,Velkomstbesked
Reference DocType,Reference DocType
Shared,Delt
Unknown Column: {0},Ukendt kolonne: {0}
Enabled,Aktiveret
Setup Complete,Opsætning Komplet
Shared with {0},Delt med {0}
Not a valid Comma Separated Value (CSV File),Ikke en gyldig Comma Separated Value (CSV-fil)
Your payment has failed.,Din betaling er mislykket.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","For Links skal du indtaste DocType som interval. For Vælg, indtast listen over indstillinger, hver på en ny linje."
1 minute ago,For 1 minut siden
No Active Sessions,Ingen aktive sessioner
Row,Række
Please try again,Prøv igen
Chart Options,Diagramindstillinger
Push Failed,Push mislykkedes
Off,Af
Default Outgoing,Standard udgående
1 year ago,1 år siden
View Subscribers,Se abonnenter
Allow Print,Tillad udskrivning
Comment,Kommentar
{0} not allowed to be renamed,{0} må ikke omdøbes
Success URL,Succes URL
Document is only editable by users of role,Dokumentet kan kun redigeres af brugere af rolle
Outgoing email account not correct,Udgående e-mail-konto er ikke korrekt
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Sammensmeltning er kun mulig mellem gruppe-til-gruppe eller blad-node-til-blad-node
Select Language...,Vælg sprog...
Link,Link
{0}: No basic permissions set,{0}: Ingen grundlæggende tilladelser indstillet
Value for a check field can be either 0 or 1,Værdien for et afkrydsningsfelt kan enten være 0 eller 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Tilføjet HTML i sektionen &lt;head&gt; på websiden, primært brugt til websiderverifikation og SEO"
plus,plus
Please Duplicate this Website Theme to customize.,Venligst duplicér denne hjemmeside tema for at tilpasse.
Options not set for link field {0},Valg ikke angivet til linkfelt {0}
Must have report permission to access this report.,Skal have rapporttilladelse for at få adgang til denne rapport.
Rename {0},Omdøb {0}
Note: Multiple sessions will be allowed in case of mobile device,Bemærk: Flere sessioner vil blive tilladt i tilfælde af mobilenhed
resize-small,resize-small
Relinked,Relinked
Roles HTML,Roller HTML
Workflow will start after saving.,Workflow starter efter opbevaring.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Hvis dine data er i HTML, skal du kopiere indsæt den nøjagtige HTML-kode med tags."
Dates are often easy to guess.,Datoer er ofte nemme at gætte.
Pincode,Pinkode
Update Value,Opdater værdi
Has Web View,Har webvisning
Align Value,Juster værdi
Assignment Complete,Opgave Komplet
Header,Header
This query style is discontinued,Denne forespørgselsstil ophører
Document Type is not submittable,Dokumenttype kan ikke indsendes
Display Depends On,Skærm afhænger
No Tags,Ingen mærker
Script Code,Scriptkode
Updated successfully,Opdateret med succes
Hi {0},Hej {0}
{0} not a valid State,{0} ikke en gyldig stat
Accounts User,Brugerkonti
Groups of DocTypes,Grupper af DocTypes
Website Route Redirect,Hjemmeside Rute omdirigering
Beginning with,Begynder med
Hello {0},Hej {0}
Start Time,Starttidspunkt
{0} has been successfully added to the Email Group.,{0} er blevet tilføjet til e-mail-gruppen.
Cancelled Document restored as Draft,Annulleret dokument genoprettet som Udkast
Desktop Icon,Desktop ikon
cancelled this document,annulleret dette dokument
Date Range,Datointerval
{0} appreciated {1},{0} værdsat {1}
Values Changed,Værdier ændret
Error in Notification,Fejl i meddelelse
Enable Report,Aktivér rapport
No alerts for today,Ingen advarsler til i dag
Redirect URI Bound To Auth Code,Omdirigere URI Bound To Auth Code
Always use Account's Email Address as Sender,Brug altid kontos e-mail-adresse som afsender
Barcode,Stregkode
{0} Dashboard,{0} Dashboard
Last Quarter,Sidste kvarter
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Ikke tilladt at vedhæfte {0} dokument, skal du aktivere Tillad udskrivning til {0} i Udskriftsindstillinger"
Attach,Vedhæft
Scopes,Scopes
Deleted Documents,Slette dokumenter
Workflow Action,Workflow Action
You can also copy-paste this ,Du kan også kopiere-indsætte dette
Is Feedback request triggered manually ?,Er feedbackanmodningen udløst manuelt?
Select a chat to start messaging.,Vælg en chat for at starte meddelelsen.
No permission to read {0},Ingen tilladelse til at læse {0}
Reply,Svar
Braintree payment gateway settings,Braintree betalings gateway indstillinger
Scheduled to send to {0},Planlagt at sende til {0}
"If enabled, changes to the document are tracked and shown in timeline","Hvis aktiveret, bliver ændringer i dokumentet sporet og vist i tidslinjen"
Send Welcome Email,Send Velkommen Email
asterisk,stjerne
This link is invalid or expired. Please make sure you have pasted correctly.,"Dette link er ugyldigt eller udløbet. Sørg for, at du har indsat korrekt."
New Value,Ny værdi
Due Date,Afleveringsdato
"Include symbols, numbers and capital letters in the password","Inkluder symboler, tal og store bogstaver i adgangskoden"
Send Alert On,Send Alert On
Home/Test Folder 1/Test Folder 3,Hjem / Testmappe 1 / Testmappe 3
Valid,Gyldig
Cannot edit cancelled document,Kan ikke redigere annulleret dokument
App Access Key,Appadgangstast
Login Before,Log ind før
Private,Privat
Update many values at one time.,Opdater mange værdier ad gangen.
None,Ingen
Partial Success,Delvis succes
{0} comments,{0} kommentarer
Emails will be sent with next possible workflow actions,E-mails sendes med næste mulige workflow-handlinger
adjust,justere
on_change,on_change
{0} Name,{0} Navn
Same Field is entered more than once,Samme felt er indtastet mere end én gang
Please select a Amount Field.,Vælg venligst et beløbsfelt.
Company History,Virksomhedshistorie
No Printer is Available.,Ingen printer er tilgængelig.
Address Line 2,Adresselinje 2
Time Interval,Tids interval
Message Preview,Forhåndsvisning af besked
Purchase Master Manager,Purchase Master Manager
Is Default,Er standard
Row Index,Rækkeindeks
Allowed,Tilladt
"If you are uploading new records, leave the ""name"" (ID) column blank.","Hvis du uploader nye poster, skal du forlade kolonnen &quot;Navn&quot; (ID)."
Events in Today's Calendar,Begivenheder i dagens kalender
GCalendar is not configured.,GCalendar er ikke konfigureret.
Entity Type,Entity Type
Mandatory field: set role for,Obligatorisk felt: sætte rolle for
Bulk Delete,Bulk Slet
Document Name,Dokumentnavn
Add your own translations,Tilføj dine egne oversættelser
eu-central-1,eu-central-1
Yearly,årlig
Rename,Omdøb
Remote Primary Key,Fjern primærnøgle
Script or Query reports,Script eller Query rapporter
Next Action Email Template,Næste handling e-mail skabelon
Chain Integrity,Kæde integritet
Illegal Access Token. Please try again,Ulovlig adgangstoken. Prøv igen
"You need to have ""Share"" permission",Du skal have &quot;Del&quot; tilladelse
Let's prepare the system for first use.,Lad os forberede systemet til første gang.
circle-arrow-up,cirkel-pil-op
play,Spille
You have been successfully logged out,Du er blevet logget ud med succes
Require Trusted Certificate,Kræver tillidskort
Preview,Eksempel
Reference Owner,Reference ejer
Cannot cancel before submitting. See Transition {0},Kan ikke annullere før indsendelse. Se overgang {0}
Setup &gt; Customize Form,Opsætning&gt; Tilpas formular
Unable to update event,Kan ikke opdatere hændelsen
Queued,I kø
Webhook Header,Webhook Header
Allow GSuite access,Tillad GSuite adgang
New Newsletter,Ny Nyhedsbrev
Updated To New Version,Opdateret til ny version
No {0} mail,Ingen {0} mail
Password Reset,Nulstil kodeord
From Full Name,Fra fuldt navn
Newsletter,Nyhedsbrev
Section Break,Afsnit Break
play-circle,play-cirkel
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".","Ingen felter fundet, der kan bruges som en Kanban-kolonne. Brug Tilpas formularen til at tilføje et brugerdefineret felt af typen &quot;Vælg&quot;."
Column,Kolonne
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Hvis det er aktiveret, bliver brugere, der logger ind fra Begrænset IP-adresse, ikke bedt om Two Factor Auth"
You do not have enough points,Du har ikke nok point
More Information,Mere information
DocShare,DocShare
Filters,filtre
Room,Værelse
{0} items selected,{0} elementer valgt
Leave a Comment,Efterlad en kommentar
Stripe Settings,Stripe Settings
Background Workers,Baggrundsarbejdere
Customize...,Tilpas ...
<p>No results found for '</p>,<p> Ingen resultater fundet for &#39; </p>
Last Year,Sidste år
Remote Objectname,Fjern objektnavn
yyyy-mm-dd,yyyy-mm-dd
Flag,Flag
plane,fly
Nested set error. Please contact the Administrator.,Nested set error. Kontakt venligst administratoren.
Show Report,Vis rapport
Auto Repeat Schedule,Automatisk gentagelsesplan
Office,Kontor
StartTLS,STARTTLS
{0} days ago,{0} dage siden
Check,Kontrollere
Fetch From,Hent fra
Not in Developer Mode,Ikke i udviklertilstand
Verifying...,Bekræfter ...
Printer,Printer
A symbol for this currency. For e.g. $,Et symbol for denne valuta. For eksempel $
Cannot remove ID field,Kan ikke fjerne ID-feltet
removed,fjernet
Add Review,Tilføj anmeldelse
circle-arrow-left,cirkel-pil-venstre
Dr,Dr.
Apply To All Document Types,Ansøg til alle dokumenttyper
"There were some errors setting the name, please contact the administrator","Der var nogle fejl, der angav navnet, kontakt venligst administratoren"
Allow Login After Fail,Tillad login efter fejl
Documents,Dokumenter
Track Field,Løbebane
Compiled Successfully,Udarbejdet succesfuldt
{0} criticism points for {1} {2},{0} kritikpunkter for {1} {2}
Warning: This Print Format is in old style and cannot be generated via the API.,Advarsel: Dette udskriftsformat er i gammel stil og kan ikke genereres via API&#39;en.
in the Auto Repeat document,i dokumentet Auto Repeat
Access Token,Adgangst Token
Small Text,Lille tekst
Edit {0},Rediger {0}
Web Page,Hjemmeside
Connection Success,Forbindelse Succes
Completed By,Færdiggjort af
Bypass Two Factor Auth for users who login from restricted IP Address,"Bypass Two Factor Auth for brugere, der logger ind fra begrænset IP-adresse"
