Connector Type,Тип на конектор
Document {0} has been set to state {1} by {2},Документот {0} е поставен да напише {1} за {2}
Address Template,Образец за адреси
step-backward,чекор назад
Not Found,Не е најдено
Banner Image,Банер слика
Not a valid Workflow Action,Не е валидна акција за работното дејство
API Endpoint Args,АПИ на крајните точки
Gateway,Портал
Setup Auto Email,Поставување автоматска е-пошта
Represents the states allowed in one document and role assigned to change the state.,Ги претставува државите дозволени во еден документ и улога доделена за промена на државата.
Login with LDAP,Пријавете се со LDAP
Please enable pop-ups,Ве молиме вклучете ги прозорците
See the document at {0},Погледнете го документот во {0}
Type,Тип
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Поднесениот запис не може да се избрише.
refresh_token,refresh_token
Amend,Измени
Export,Извоз
Show in filter,Прикажи во филтер
It is necessary to take this action today itself for the above mentioned recurring,Неопходно е да се преземе оваа акција денес сама за горенаведените периодични
Export Custom Permissions,Извези дозволи за дозволи
None: End of Workflow,Никој: крај на работниот тек
Version,Верзија
6 months,6 месеци
Group,Група
There is some problem with the file url: {0},Има некој проблем со url-датотеката: {0}
Customize Form Field,Прилагоди полето за формата
Comment can only be edited by the owner,Коментарот може да биде изменет само од сопственикот
Document Follow,Следете го документот
Did not find {0} for {0} ({1}),Не најде {0} за {0} ({1})
URL,URL
Parent is required to get child table data,Од родителите се бара да добијат податоци за табелата за деца
A log of request errors,Дневник за грешки при барање
User not allowed to delete {0}: {1},Корисникот не смее да избрише {0}: {1}
dd-mm-yyyy,dd-mm-yyyy
eject,извади
Drag and Drop tool to build and customize Print Formats.,Drag &amp; Drop алатката за да се изгради и приспособат формати за печатење.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Ако е означено, ова поле нема да биде презапишано врз основа на Fetch From ако веќе постои вредност."
Currently Viewing,Во моментов Прикажување
Not allowed for {0}: {1}. Restricted field: {2},Не е дозволено за {0}: {1}. Ограничено поле: {2}
Slack,Slack
Please duplicate this to make changes,Ве молиме дуплирајте го ова за да направите промени
Repeat On,Повторете го
Login After,Пријавете се после
Folder {0} is not empty,Папката {0} не е празна
File Type,Тип на датотека
Enable Raw Printing,Овозможи сурово печатење
Further nodes can be only created under 'Group' type nodes,Дополнителни јазли можат да бидат создадени само под јазли тип &quot;Група&quot;
signal,сигнал
Cannot edit a standard report. Please duplicate and create a new report,Не може да се уреди стандарден извештај. Ве молиме дуплирајте и креирајте нов извештај
Sales Master Manager,Продај господар менаџер
Bulk Edit {0},Масовно Уреди {0}
Preparing Report,Подготовка на извештај
{0} criticized your work on {1} with {2} point,{0} ја критикуваше вашата работа на {1} со {2} точка
Verdana,Verdana
Unsubscribed,Отписан
DocPerm,DocPerm
Fold can not be at the end of the form,Преклопеното не може да биде на крајот на формата
Server IP,Серверска IP адреса
{0} Tree,{0} Дрво
Send Password,Испрати лозинка
All Day,Цел ден
Parent is the name of the document to which the data will get added to.,Родител е името на документот на кој ќе се додадат податоците.
Block Module,Блок модул
(Ctrl + G),(Ctrl + G)
Points,Поени
API Endpoint,Крајна точка на API
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Погледнете https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region за детали.
App Client Secret,Тајната на клиентот на апликации
Original Value,Оригинална вредност
Attach Image,Прикачи слика
Your system is being updated. Please refresh again after a few moments,Вашиот систем се ажурира. Те молам освежи се повторно по неколку моменти
Add / Manage Email Accounts.,Додајте / управувајте со сметките за е-пошта.
Third Party Authentication,Идентификација на трети страни
1 year,1 година
{0} reverted your points on {1},{0} ги преврти своите точки на {1}
arrow-down,стрелка-надолу
Ignore encoding errors,Игнорирај грешки при кодирање
Letter Head Name,Писмото на главата Име
Client Script,Клиентско сценарио
Higher priority rule will be applied first,Прво ќе се применува правилото за повисок приоритет
Content (HTML),Содржина (HTML)
{0} appreciation points for {1} {2},{0} почитување поени за {1} {2}
Search in a document type,Пребарувај во тип на документ
Only Administrator is allowed to create Dashboard Chart Sources,Само администраторот може да создава извори на табелата на табелата
Only 200 inserts allowed in one request,Дозволени се само 200 внесувања во едно барање
Kanban Board Name,Name of Board Kanban
Group Label,Група Етикета
thumbs-up,палците горе
Reload,Вчитај
{0} added,Додадено е {0}
{0} to {1},{0} до {1}
Attach File,Прикачи датотека
Expose Recipients,Изложувај ги примачите
ToDo,Да направиш
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различни &quot;држави&quot; на кои може да постои овој документ. Како &quot;Отвори&quot;, &quot;Одобрување за чекање&quot; итн."
Weekly,Неделен
Preview HTML,Преглед на HTML
GSuite Templates,GSuite шаблони
Force Show,Сила шоу
Deleted Name,Избришано име
Home,Дома
User can login using Email id or User Name,Корисникот може да се логира користејќи го id на е-пошта или корисничко име
Error: Value missing for {0}: {1},Грешка: Недостасува вредност за {0}: {1}
ap-northeast-3,ap-северо-исток-3
Please enter Redirect URL,Ве молиме внесете URL за пренасочување
Allow on Submit,Дозволи да поднесете
Table {0} cannot be empty,Табелата {0} не може да биде празна
minus-sign,минус-знак
Phone,Телефон
Clear all roles,Исчистете ги сите улоги
Example,Пример
You need write permission to rename,Потребна е дозвола за запишување да се преименува
Advanced Control,Напредна контрола
Path to Server Certificate,Сертификат за патека до сервер
If Checked workflow status will not override status in list view,Ако Проверениот работен тек нема да го замени статусот во приказот на листа
Updating {0},Ажурирање {0}
Logged in as Guest or Administrator,Најавени се како гостин или администратор
Green,Зелена
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"За новите записи се неопходни само задолжителни полиња. Ако сакате, можете да ги избришете необврзувачките колони."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} мора да започне и да заврши со буква и може да содржи само букви, цртички или долни црти."
Create User Email,Креирај корисничка е-пошта
Sort field {0} must be a valid fieldname,Полето сортирања {0} мора да биде валидно поле
Filter Meta,Филтер Мета
Category Name,Име на категорија
Javascript to append to the head section of the page.,Javascript да се додаде во главата дел од страната.
Allow Delete,Дозволи Избриши
Authorize URL,Овластете URL
This feature is brand new and still experimental,Оваа функција е сосема нова и сеуште е експериментална
S3 Backup Settings,S3 Резервни копии
Not Seen,Не видено
Not Like,Не како
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Вметни По полето &quot;{0}&quot; споменато во прилагоденото поле &quot;{1}&quot;, со ознака &quot;{2}&quot;, не постои"
Refresh Form,Освежи форма
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,Обидете се да користите подолга тастатура со повеќе вртења
Archive,Архива
Your payment is cancelled.,Вашето плаќање е откажано.
Fieldname {0} cannot have special characters like {1},Име на полето {0} не може да има специјални знаци како {1}
Traceback,Traceback
Route,Пат
Workflow Name,Име на работното
Report,Извештај
Incomplete login details,Нецелосни детали за најава
Table,Табела
Start a conversation.,Започни разговор.
Sync on Migrate,Синхронизација на мигрирање
Timeline Field,Полето на временската линија
Loading...,Се вчитува ...
Half Yearly,Половина Годишно
Last Modified Date,Последен пат изменето
First Name,Име
Comments,Коментари
Assignment for {0} {1},Доделување за {0} {1}
Cannot link cancelled document: {0},Не може да се поврзе откажаниот документ: {0}
BCC,BCC
Long Text,Долг текст
Float Precision,Плови прецизност
Please Enter Your Password to Continue,Ве молиме внесете ја вашата лозинка за да продолжите
Save Report,Зачувај извештај
"""Team Members"" or ""Management""",&quot;Членови на тимот&quot; или &quot;Управување&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - нацрт; 1 - поднесено; 2 - Откажано
SMTP Settings for outgoing emails,SMTP Поставки за појдовни пораки
Is Your Company Address,Е вашата адреса на компанијата
Printer Name,Име на печатачот
Dropbox Settings,Поставки за Dropbox
The password of your account has expired.,Лозинката на вашата сметка е истечена.
System and Website Users,Систем и корисници на Интернет
Fieldname which will be the DocType for this link field.,Fieldname што ќе биде DocType за полето за врска.
Content Hash,Content Hash
Posts by {0},Мислења од {0}
{0} assigned {1}: {2},{0} доделен {1}: {2}
globe,свет
Average of {0},Просек на {0}
Clear Error Logs,Исчисти логови за грешки
Friendly Title,Пријателско име
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Додајте го името на &quot;Google Web Font&quot;, на пр. &quot;Open Sans&quot;"
Filter,Филтрирај
No of Rows (Max 500),Број на редови (Макс 500)
Label,Етикета
Your account has been locked and will resume after {0} seconds,Вашата сметка е заклучена и ќе продолжи по {0} секунди
indent-left,лево-лево
Identity Details,Детали за идентитет
Visitor,Посетител
gift,подарок
Run Tests,Испратете ги тестовите
LDAP Search String,Лозинка за пребарување LDAP
Field {0} not found.,Полето {0} не е пронајдено.
Select Languages,Изберете Јазици
You don't have any messages yet.,Сеуште немате пораки.
Event Type,Вид на настан
"To get the updated report, click on {0}.","За да го добиете ажурираниот извештај, кликнете на {0}."
Home Settings,Подесувања на домот
Apply to all Documents Types,Примени кон сите типови на документи
Inverse,Обратно
Closed,Затворено
Query,Барањето
Days After,Денови потоа
Request Timed Out,Барање замислено
Email Footer Address,Адреса со е-пошта
Energy point update,Ажурирање на енергетската точка
Click here to verify,Кликни тука за да се потврди
You can use Customize Form to set levels on fields.,Можете да го користите Прилагоди форма за да ги поставите нивоата на полињата.
App Secret Key,Таен клуч за апликација
Show Section Headings,Прикажи наслови на секции
Mentions,Менции
Series {0} already used in {1},Серии {0} веќе се користат во {1}
Clicked,Кликни
Log,Пријавете се
Accept Payment,Прифати исплата
Print Server,Сервер за печатење
Welcome Message,Добредојдовте порака
Reference DocType,Референтен DocType
Shared,Муабет
Unknown Column: {0},Непознат колона: {0}
Enabled,Овозможено
Setup Complete,Поставувањето е завршено
Shared with {0},Споделено со {0}
Not a valid Comma Separated Value (CSV File),Не е валидна вредност со запирка со запирка (CSV датотека)
Your payment has failed.,Вашата исплата не успеа.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","За Линкови, внесете го DocType како опсег. За Избери, внесете листа на Опции, секој на нова линија."
1 minute ago,Пред 1 минута
No Active Sessions,Нема активни сесии
Row,Ред
Please try again,Обидете се повторно
Chart Options,Опции на табели
Push Failed,Притисни не успеа
Off,Исклучено
Default Outgoing,Стандардно појдовно
1 year ago,Пред 1 година
View Subscribers,Преглед на претплатници
Allow Print,Дозволи печатење
Comment,Коментар
{0} not allowed to be renamed,{0} не смее да се преименува
Success URL,URL за успех
Document is only editable by users of role,Документот може да се уредува само од корисници на улоги
Outgoing email account not correct,Излезна е-пошта не е точна
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Спојувањето е можно само помеѓу јазол од група до групата или лист-јазол до лист
Select Language...,Одбери јазик...
Link,Линк
{0}: No basic permissions set,{0}: Не се поставени основни дозволи
Value for a check field can be either 0 or 1,Вредноста за полето за проверка може да биде или 0 или 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додаден HTML во делот &lt;head&gt; на веб-страницата, првенствено се користи за верификација на веб-страници и оптимизација"
plus,Плус
Please Duplicate this Website Theme to customize.,Ве молиме дуплирајте ја оваа тема на веб-страница за да ја прилагодите.
Options not set for link field {0},Опции не се поставени за полето за врски {0}
Must have report permission to access this report.,Мора да имате дозвола за извештај за пристап до овој извештај.
Rename {0},Преименувај {0}
Note: Multiple sessions will be allowed in case of mobile device,Забелешка: Ќе бидат дозволени повеќе сесии во случај на мобилен уред
resize-small,големина-мала
Relinked,Реингиниран
Roles HTML,Улоги HTML
Workflow will start after saving.,Работен тек ќе започне по зачувувањето.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Доколку вашите податоци се во HTML, ве молиме копирајте го точниот HTML код со ознаките."
Dates are often easy to guess.,Датумите често се лесно да се погодат.
Pincode,PIN кодот
Update Value,Ажурирај вредност
Has Web View,Има веб преглед
Align Value,Порамни вредност
Assignment Complete,Целосна задача
Header,Заглавие
This query style is discontinued,Овој стил на барање се прекинува
Document Type is not submittable,Тип на документ не може да се поднесе
Display Depends On,Приказот зависи од
No Tags,Нема ознаки
Script Code,Код на сценариото
Updated successfully,Ажурирано успешно
Hi {0},Здраво {0}
{0} not a valid State,{0} не е валидна држава
Accounts User,Кориснички сметки
Groups of DocTypes,Групи на DocTypes
Website Route Redirect,Пренасочување на веб-страницата
Beginning with,Почнувајќи со
Hello {0},Здраво {0}
Start Time,Започни време
{0} has been successfully added to the Email Group.,{0} е успешно додаден во групата за е-пошта.
Cancelled Document restored as Draft,Откажаниот документ е обновен како Нацрт
Desktop Icon,Икона на работната површина
cancelled this document,го откажа овој документ
Date Range,Датумски опсег
{0} appreciated {1},{0} ценети {1}
Values Changed,Променети вредности
Error in Notification,Грешка во известувањето
Enable Report,Овозможи извештај
No alerts for today,Нема предупредувања за денес
Redirect URI Bound To Auth Code,Пренасочување на URI врзан за авт код
Always use Account's Email Address as Sender,Секогаш користете е-поштенска адреса на сметката како Испраќач
Barcode,Баркод
{0} Dashboard,{0} Табла
Last Quarter,Последното тримесечје
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Не е дозволено да приложите {0} документ, ве молиме овозможете Дозволи печатење за {0} во Поставки за печатење"
Attach,Прикачи
Scopes,Опсег
Deleted Documents,Избришани документи
Workflow Action,Акција на работното
You can also copy-paste this ,"Исто така, можете да го копирате и залепите"
Is Feedback request triggered manually ?,Дали барањето за повраќање се активира рачно?
Select a chat to start messaging.,Одберете разговор за да започнете пораки.
No permission to read {0},Нема дозвола за читање {0}
Reply,Одговори
Braintree payment gateway settings,Подесувања за исплата на Бреинтри платежни средства
Scheduled to send to {0},Планирано да испратите {0}
"If enabled, changes to the document are tracked and shown in timeline","Ако е овозможено, промените во документот се следат и се прикажуваат во временската линија"
Send Welcome Email,Испрати Добредојдовте Е-пошта
asterisk,ѕвездичка
This link is invalid or expired. Please make sure you have pasted correctly.,Оваа врска е невалидна или е истечена. Ве молиме проверете дали сте правилно вметнати.
New Value,Нова вредност
Due Date,Датум на достасаност
"Include symbols, numbers and capital letters in the password","Вклучете симболи, броеви и големи букви во лозинката"
Send Alert On,Испрати предупредување
Home/Test Folder 1/Test Folder 3,Насловна / тест папка 1 / тест папка 3
Valid,Валидно
Cannot edit cancelled document,Не може да се уреди откажаниот документ
App Access Key,Клуч за пристап на апликација
Login Before,Пријавете се претходно
Private,Приватен
Update many values at one time.,Ажурирај многу вредности одеднаш.
None,Никој
Partial Success,Делумен успех
{0} comments,{0} коментари
Emails will be sent with next possible workflow actions,Е-пораките ќе бидат испратени со следните можни акции за работа
adjust,се прилагоди
on_change,on_change
{0} Name,{0} Име
Same Field is entered more than once,Исто поле се внесува повеќе од еднаш
Please select a Amount Field.,Ве молиме изберете поле за износот.
Company History,Историја на компанијата
No Printer is Available.,Не е достапно печатење.
Address Line 2,Адреса Линија 2
Time Interval,Временски интервал
Message Preview,Преглед на пораки
Purchase Master Manager,Набавка господар менаџер
Is Default,Е стандардно
Row Index,Индекс на редови
Allowed,Дозволено
"If you are uploading new records, leave the ""name"" (ID) column blank.","Ако поставувате нови записи, оставете го полето &quot;Име&quot; (ID) празно."
Events in Today's Calendar,Настани во денешниот календар
GCalendar is not configured.,GCalendar не е конфигуриран.
Entity Type,Тип на ентитет
Mandatory field: set role for,Задолжително поле: поставете ја улогата за
Bulk Delete,Масовно бришење
Document Name,Име на документ
Add your own translations,Додај свои преводи
eu-central-1,eu-central-1
Yearly,Годишно
Rename,Преименувај
Remote Primary Key,Далечен примарен клуч
Script or Query reports,Скрипта или извештаи за пребарување
Next Action Email Template,Следна Шаблон за акција за е-пошта
Chain Integrity,Интегритет на синџири
Illegal Access Token. Please try again,Нелегален приклучок за пристап. Обидете се повторно
"You need to have ""Share"" permission",Треба да имате дозвола за &quot;Сподели&quot;
Let's prepare the system for first use.,Ајде да го подготвиме системот за прва употреба.
circle-arrow-up,круг-стрелка-нагоре
play,игра
You have been successfully logged out,Успешно сте одјавени
Require Trusted Certificate,Потребен доверлив сертификат
Preview,Преглед
Reference Owner,Референтен сопственик
Cannot cancel before submitting. See Transition {0},Не може да се откаже пред да поднесете. Види Транзиција {0}
Unable to update event,Не може да се ажурира настан
Queued,Останати
Webhook Header,Заглавие за веб-уво
Allow GSuite access,Дозволи пристап до GSuite
New Newsletter,Нов билтен
Updated To New Version,Ажурирано до нова верзија
No {0} mail,Нема {0} пошта
Password Reset,Ресетирање лозинка
From Full Name,Од полно име
Newsletter,Билтен
Section Break,Разлом на дел
play-circle,игра-круг
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",Не се пронајдени полиња кои можат да се користат како канбанска колона. Користете го Форматот за прилагодување за да додадете Специјално поле од типот &quot;Избери&quot;.
Column,Колона
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Ако е овозможено, корисниците кои се најавуваат од ограничена IP адреса, нема да бидат повикани за Two Factor Auth"
You do not have enough points,Немате доволно поени
More Information,Повеќе информации
DocShare,DocShare
Filters,Филтри
Room,Соба
{0} items selected,{0} избрани ставки
Leave a Comment,Остави коментар
Stripe Settings,Појасни подесувања
Background Workers,Работници во позадина
Customize...,Прилагоди ...
Last Year,Минатата година
Remote Objectname,Далечен објект
yyyy-mm-dd,yyyy-mm-dd
Flag,Знаме
plane,рамнина
Nested set error. Please contact the Administrator.,Грешка во вгнездениот налог. Ве молиме контактирајте го администраторот.
Show Report,Прикажи го извештајот
Auto Repeat Schedule,Автоматско повторување на распоред
Office,Канцеларија
StartTLS,StartTLS
{0} days ago,{0} дена пред
Check,Провери
Fetch From,Земи од
Not in Developer Mode,Не во режим на програмер
Verifying...,Потврдување ...
Printer,Печатач
A symbol for this currency. For e.g. $,"Симбол за оваа валута. За пример, $"
Cannot remove ID field,Не може да се отстрани полето за идентификација
removed,отстранети
Add Review,Додај преглед
circle-arrow-left,круг-стрелка-лево
Dr,Д-р
Apply To All Document Types,Примени кон сите видови документи
"There were some errors setting the name, please contact the administrator","Имаше некои грешки при поставувањето на името, молам контактирајте го администраторот"
Allow Login After Fail,Дозволи пријавување по неуспех
Documents,Документи
Track Field,Песна поле
Compiled Successfully,Компилирано успешно
{0} criticism points for {1} {2},{0} критички точки за {1} {2}
in the Auto Repeat document,во документот Auto Repeat
Access Token,Пристапен знак
Small Text,Мал текст
Edit {0},Уреди {0}
Web Page,Веб страна
Connection Success,Успех во поврзувањето
Completed By,Завршено од
Bypass Two Factor Auth for users who login from restricted IP Address,Обиколен пат Двоен фактор за корисници кои се најавуваат од ограничена IP адреса
Missing Values Required,Потребни недостасува вредности
My Settings,Мои подесувања
Group name cannot be empty.,Името на групата не може да биде празна.
road,патот
Source,Извор
Active Sessions,Активни сесии
There can be only one Fold in a form,Може да има само еден преклопен во форма
New Chat,Нов разговор
Scan the QR Code and enter the resulting code displayed.,Скенирајте го QR кодот и внесете го добиениот код.
map-marker,маркер-маркер
Change Password,Промени го пасвордот
More...,Повеќе...
Personal Data Deletion Request,Барање за бришење на лични податоци
Path to CA Certs File,Патека до датотека на CA сертификати
Old Password,стара лозинка
No of Columns,Број на колони
Sending,Испраќање
Google GSuite is not configured.,Google GSuite не е конфигуриран.
Dropbox access is approved!,Dropbox пристап е одобрен!
Call,Повик
Day,Ден
Shop,Продавница
Under Development,Во фаза на развој
Please enter Authorize URL,Ве молиме внесете URL на овластување
Send Notification to,Испрати известување до
Dropbox backup settings,Поставки на резервната копија Dropbox
Remove all customizations?,Отстрани ги сите прилагодувања?
Only Administrator can edit,Само администраторот може да уредува
Reference Document,Референтен документ
Liked,Се допадна
This is a background report. Please set the appropriate filters and then generate a new one.,Ова е извештај за позадина. Поставете ги соодветните филтри и потоа генерирајте нова.
Viewed By,Гледано од
Please select another payment method. PayPal does not support transactions in currency '{0}',Изберете друг начин на плаќање. PayPal не поддржува трансакции во валута &#39;{0}&#39;
Document can't saved.,Документот не може да се зачува.
Did not cancel,Не се откажа
"Must be of type ""Attach Image""",Мора да биде од типот &quot;Прикачи слика&quot;
Send Password Update Notification,Испрати известување за ажурирање на лозинка
XLSX,XLSX
Select a DocType to make a new format,Изберете DocType за да направите нов формат
Deleted Document,Избришан документ
Please select a file or url,Изберете датотека или URL
Length,Должина
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},Изберете табеларни колони за {0}
Tag Category,Категорија на ознаки
A new account has been created for you at {0},За вас е создадена нова сметка во {0}
Roles can be set for users from their User page.,Улогите можат да бидат поставени за корисниците од нивната Корисничка страница.
Include Search in Top Bar,Вклучете пребарување во горната лента
[Urgent] Error while creating recurring %s for %s,[Итно] Грешка при создавање на повторувачки% s за% s
Author,Автор
on_cancel,on_cancel
No document found for given filters,Не е пронајден документ за дадени филтри
Users and Permissions,Корисници и дозволи
Roles,Улоги
Attachments,Прилози
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Кога ќе го Измени документот по Откажи и ќе го зачувате, тој ќе добие нов број кој е верзија на стариот број."
Manage Third Party Apps,Управување со апликации од трети страни
No records tagged.,Нема означени ознаки.
User Emails,Кориснички пораки
Website Theme Image Link,Врска со тема на сликата на веб-страница
Hide Weekends,Сокриј ги викендите
Criticism,Критика
Download with Data,Преземи со податоци
Add meta tags to your web pages,Додајте мета тагови на вашите веб-страници
john@doe.com,john@doe.com
Days Before,Денови пред
Notify by Email,Извести преку е-пошта
Response Type,Тип на одговор
resize-horizontal,големина-хоризонтална
App {0} already installed,Апликацијата {0} веќе е инсталирана
Time Zone,Временска зона
Fill Screen,Пополнете го екранот
County,Округот
First Transaction,Прва трансакција
Click to Set Filters,Кликни за да поставите филтри
Background Style,Стил на позадина
Collapsible,Соодветни
PDF generation failed because of broken image links,Формирањето PDF не успеа поради скршени линкови на слики
Migration ID Field,Поле за идентификација на миграција
Not a valid LDAP user,Не е валиден корисник на LDAP
Create a new record,Направете нов запис
"{0}, Row {1}","{0}, ред {1}"
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","Ако ставате нови записи, &quot;Серијата на имиња&quot; станува задолжителна, доколку е присутна."
Edit Properties,Уредете ги својствата
Cannot open instance when its {0} is open,Не може да се отвори инстанца кога нејзината {0} е отворена
Timeline Name,Име на временската линија
Workflow,Работен процес
Please set Base URL in Social Login Key for Frappe,Ве молиме поставете база на URL-то во клучот за социјална најава за Frappe
Custom Menu Items,Прилагодени ставки на мени
Length of {0} should be between 1 and 1000,Должината на {0} треба да биде помеѓу 1 и 1000
Connection lost. Some features might not work.,Изгубена конекција. Некои функции можеби нема да работат.
LDAP is not enabled.,LDAP не е овозможено.
Every Year,Секоја година
Feedback Submitted,Поднесени повратни информации
Allow Comments,Дозволи ги коментарите
Show Title,Прикажи наслов
Not Saved,Не е зачувано
Can Write,Може да пишува
Main Section,Главен дел
Enabled email inbox for user {0},Овозможено сандаче за е-пошта за корисникот {0}
Current Mapping Delete Start,Тековно мапирање Избриши го проектот
Client side script extensions in Javascript,Клиентни екстензии на скрипти во Javascript
Reference Report,Референтен извештај
Could not find {0},Не можам да најдам {0}
Start,Започнете
Missing Fields,Недостасува полиња
File Backup,Датотека резервна копија
Is Attachments Folder,Е папка за прилози
Download Your Data,Преземете ги вашите податоци
Permissions get applied on Users based on what Roles they are assigned.,Дозволите се применуваат на Корисниците врз основа на тоа што Роли им се доделуваат.
"Default: ""Contact Us""",Стандардно: &quot;Контакт со нас&quot;
Image field must be of type Attach Image,Полето за слика мора да биде од типот Прикачи слика
Please click on the following link to set your new password,Ве молиме кликнете на следниот линк за да ја поставите новата лозинка
Last User,Последен корисник
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",Повторувањата како &quot;abcabcabc&quot; се само малку потешко да се погоди од &quot;ABC&quot;
Country,Земја
Password Update,Ажурирање на лозинка
dd.mm.yyyy,dd.mm.yyyy
Int,Int
Posts filed under {0},Мислењата поднесени под {0}
Insufficient Permission for {0},Недоволна дозвола за {0}
Documents assigned to you and by you.,Документи доделени на вас и вас.
Web Site,Веб-страница
Re: ,Одг:
Push,Притисни
HTML Editor,HTML Editor
Reset your password,Ресетирајте ја лозинката
Recurring document creation failure,Повторно создавање неуспех на документ
Send Email Print Attachments as PDF (Recommended),Испрати е-пошта Принтови за печатење како PDF (препорачано)
Fold,Свиткај
Document Restored,Документот е реставриран
{0} saved successfully,{0} успешно зачувана
Database Size:,Големина на база на податоци:
Check this if you are testing your payment using the Sandbox API,Проверете го ова ако ја тестирате вашата исплата со помош на API на Sandbox
Test Runner,Тест ранер
Please enter Access Token URL,Те молам внеси URL-то за пристапност
{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.,{{{0}}} не е валидна шема име. Тоа треба да биде {{field_name}}.
Operation,Операција
An error occured during the payment process. Please contact us.,Се појави грешка за време на процесот на плаќање. Ве молиме контактирајте со нас.
"Meaning of Submit, Cancel, Amend","Значење на поднесување, откажување, измени"
Incorrect Verification code,Неточен код за верификација
volume-off,волумен-оф
e.g. (55 + 434) / 4 or =Math.sin(Math.PI/2)...,на пр. (55 + 434) / 4 или = Math.sin (Math.PI / 2) ...
facetime-video,facetime-video
"Please setup SMS before setting it as an authentication method, via SMS Settings","Те молам подесете СМС порака, пред да ја поставите како метод за автентикација, преку SMS Settings"
Test Email Address,Тест-пошта адреса
Rows Added,Додадени се редови
Setup,Поставување
{0} created successfully,{0} успешно креиран
New Password,нова лозинка
Leave this conversation,Остави го овој разговор
Team Members,Членови на тимот
Writers Introduction,Писатели Вовед
API Key cannot be  regenerated,АПИ-клучот не може да се регенерира
"Error connecting to QZ Tray Application...<br><br> You need to have QZ Tray application installed and running, to use the Raw Print feature.<br><br><a href=""https://qz.io/download/"" target=""_blank"">Click here to Download and install QZ Tray</a>.<br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Click here to learn more about Raw Printing</a>.","Грешка при поврзување со апликацијата QZ Tray ... <br><br> Треба да ја инсталирате и да ја користите апликацијата QZ Tray за да ја користите функцијата Raw Print. <br><br> <a href=""https://qz.io/download/"" target=""_blank"">Кликни тука за да преземете и инсталирате QZ лента</a> . <br> <a href=""https://erpnext.com/docs/user/manual/en/setting-up/print/raw-printing"" target=""_blank"">Кликни тука за да дознаете повеќе за суровини за печатење</a> ."
Use ASCII encoding for password,Користете ASCII кодирање за лозинка
Pull Failed,Повлече не успеа
Timeseries,Timeseries
Forgot Password?,Ја заборави лозинката?
For top bar,За врвот бар
From Document Type,Од тип на документ
{0} is now default print format for {1} doctype,{0} е стандарден формат на печатење за {1} докт
Save filters,Зачувај филтри
Start Import,Започни увоз
Standard Sidebar Menu,Стандардна лента Мени
Translated Text,Преведен текст
Footer Item,Подножје точка
text in document type,текст во вид на документ
Bold,Задебелен
Script Report,Извештај за сценарио
This form does not have any input,Оваа форма нема влез
Top Bar,Топ Бар
NO,НЕ
Related DocType,Поврзан DocType
"Track if your email has been opened by the recipient.
<br>
Note: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""","Следете дали вашата е-пошта е отворена од страна на примачот. <br> Забелешка: Ако праќате повеќе примачи, дури и ако 1 примач ја чита е-поштата, ќе се смета за &quot;Отворено&quot;"
Filter {0} missing,Филтер {0} недостасува
Search results for,Резултати од пребарувањето за
Title,Наслов
Please specify which value field must be checked,Ве молиме наведете кој поле за вредност мора да се провери
Doc Event,Док настан
Quarterly,Квартален
DocType <b>{0}</b> provided for the field <b>{1}</b> must have atleast one Link field,DocType <b>{0}</b> предвиден за полето <b>{1}</b> мора да има најмалку едно поле за врска
Calendar View,Календарски приказ
Naming,Именување
Role and Level,Улога и ниво
Content web page.,Веб-страница со содржина.
Recipients,Приматели
Data Migration Run,Стартувај миграција на податоци
