Connector Type,Typ konektora
Print,vytlačiť
{0} does not exist in row {1},{0} neexistuje v riadku {1}
Currently updating {0},Momentálne sa aktualizuje {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Nie je v režime vývojára! Nastavte v site_config.json alebo vytvorte &#39;Custom&#39; DocType.
gained {0} points,získal {0} bodov
Success Message,Správa o úspechu
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Popis pre výpis stránky, v jednoduchom texte, len pár riadkov. (max. 140 znakov)"
Show Permissions,Zobraziť povolenia
Restrict To Domain,Obmedziť na doménu
Sidebar Items,Položky bočného panela
Not a valid User Image.,Nie je platný používateľský obrázok.
Mark as Unread,Označiť ako neprečítané
The document has been assigned to {0},Dokument bol priradený k {0}
{0} {1} not found,{0} {1} sa nenašlo
Chat Room User,Užívateľ chatovacej miestnosti
Slideshow like display for the website,Prezentácia ako zobrazenie webovej stránky
Print Format,Formát tlače
Auto Reply Message,Automatická odpoveď
Restored,obnovená
viewed,zobrazené
Submit an Issue,Odošlite problém
on_update,on_update
Invalid {0} condition,Neplatná podmienka {0}
Not Ancestors Of,Nie predkovia
Set Quantity,Nastavte množstvo
End Date,Dátum ukončenia
Next State,Ďalší štát
Is First Startup,Je prvé spustenie
updated to {0},aktualizované na {0}
Move To,Presunúť do
Administrator Logged In,Administrátor prihlásený
Status,Postavenie
Please confirm your action to {0} this document.,Potvrďte svoju akciu na tomto dokumente v hodnote {0}.
Note:,Poznámka:
bell,zvon
Template Name,Názov šablóny
Org History,Org História
Translatable,preložiteľný
{0}: Cannot set Cancel without Submit,{0}: Nie je možné nastaviť Cancel bez Submit
Send enquiries to this email address,Pošlite otázky na túto e-mailovú adresu
Temporarily Disabled,Dočasne vypnuté
Unsubscribe,odhlásiť
Dashboard Chart Link,Dashboard Chart Link
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Súbor sa nedá odstrániť, pretože patrí do {0} {1}, pre ktorý nemáte povolenia"
Dear,drahá
Generate New Report,Vytvoriť novú správu
This email is autogenerated,Tento e-mail je automaticky generovaný
Forgot Password,Zabudol si heslo
Child Tables are shown as a Grid in other DocTypes,Detské tabuľky sú zobrazené ako mriežka v iných DocTypes
Unselect All,Odznačiť všetko
File Size,Veľkosť súboru
Unable to read file format for {0},Nepodarilo sa prečítať formát súboru pre {0}
User Roles,Užívateľské role
Text Align,Zarovnanie textu
Set Filters,Nastaviť filtre
Transitions,prechody
Invalid field name {0},Neplatný názov poľa {0}
Web Form,Webový formulár
Chat Room,Chatová miestnosť
Data Migration Connector,Data Migration Connector
New Folder,Nový priečinok
repeat,opakovať
You must login to submit this form,"Ak chcete odoslať tento formulár, musíte sa prihlásiť"
Sorry! You cannot delete auto-generated comments,Prepáč! Automatické generované komentáre nie je možné odstrániť
Track Views,Sledovať pohľady
Allow events in timeline,Povoliť udalosti na časovej osi
Module Def,Modul Def
Set Meta Tags,Nastaviť Meta Tagy
{0}: Fieldtype {1} for {2} cannot be unique,{0}: Fieldtype {1} pre {2} nemôže byť jedinečný
Created,Vytvorené
Core,jadro
Criticize,kritizovať
Warning: Unable to find {0} in any table related to {1},Upozornenie: {0} nie je možné nájsť v žiadnej tabuľke súvisiacej s {1}
{0} Calendar,{0} Kalendár
Data Import Template,Šablóna importu údajov
hand-left,hand-left
Backup Size:,Veľkosť zálohy:
Linked with {0},Prepojené s {0}
Private Key,Súkromný kľúč
{0}: Cannot set import as {1} is not importable,"{0}: Nie je možné nastaviť import, pretože {1} nie je možné importovať"
Away,preč
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Dĺžka návratu na {0} pre &#39;{1}&#39; v &#39;{2}&#39;; Nastavenie dĺžky ako {3} spôsobí skrátenie údajov.
Select a group node first.,Najprv vyberte uzol skupiny.
toggle Tag,prepínač Tag
"Newsletters to contacts, leads.","Spravodaje pre kontakty, vedie."
Read Only,Iba na čítanie
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Ak je táto možnosť povolená, používateľ sa môže prihlásiť z ktorejkoľvek adresy IP pomocou funkcie Two Factor Auth (Obojkový faktor), ktorú možno nastaviť aj pre všetkých používateľov v ponuke System Settings (Nastavenia systému)"
Auto Repeat has been {0},Automatické opakovanie bolo {0}
John Doe,John Doe
This document has been modified after the email was sent.,Tento dokument bol upravený po odoslaní e-mailu.
Notify if unreplied,"Oznámte, ak nie je aplikovaný"
Introductory information for the Contact Us Page,Úvodné informácie pre kontaktnú stránku
**Currency** Master,** Mena ** Majster
Custom Sidebar Menu,Menu Vlastný bočný panel
Is Submittable,Je možné predložiť
Only Administrator is allowed to use Recorder,Rekordér môže používať iba administrátor
Password is required or select Awaiting Password,Heslo je povinné alebo vyberte Čaká na heslo
Note: Other permission rules may also apply,Poznámka: Môžu platiť aj iné pravidlá povolenia
Notes: ,Poznámky:
Custom CSS,Vlastné CSS
Invalid CSV Format,Neplatný formát CSV
Content Type,Druh obsahu
Password not found,Heslo sa nenašlo
Clear,jasný
This document cannot be reverted,Tento dokument nie je možné vrátiť späť
Hello!,Ahoj!
Report was not saved (there were errors),Prehľad nebol uložený (vyskytli sa chyby)
Allow user to login only before this hour (0-24),Povoliť používateľovi prihlásiť sa iba pred touto hodinou (0-24)
Add More,Pridať VIAC
You can also copy-paste this link in your browser,Tento odkaz môžete tiež skopírovať do svojho prehliadača
Add fields to forms.,Pridajte polia do formulárov.
User is mandatory for Share,Používateľ je povinný zdieľať
Verify,overiť
Enter Email Recipient(s),Zadajte príjemcu e-mailu
Recorder,zapisovač
Interest,záujem
Limit,limit
Print taxes with zero amount,Tlač daní s nulovou sumou
Book,kniha
Access Key ID,ID prístupového kľúča
URLs,URL
Names and surnames by themselves are easy to guess.,Mená a priezviská sa dajú ľahko odhadnúť.
Report {0},Nahlásiť {0}
Team Members Heading,Nadpis členov tímu
Document {0} has been set to state {1} by {2},Dokument {0} bol nastavený na stav {1} podľa {2}
Address Template,Šablóna adresy
step-backward,krok vzad
Not Found,Nenájdené
Banner Image,Banner Obrázok
Not a valid Workflow Action,Nie je platná akcia Workflow
API Endpoint Args,Endpoint Args API
Gateway,brána
Setup Auto Email,Nastavenie automatického e-mailu
Represents the states allowed in one document and role assigned to change the state.,Predstavuje povolené stavy v jednom dokumente a úlohu priradenú na zmenu stavu.
Login with LDAP,Prihláste sa pomocou LDAP
Please enable pop-ups,Povolte kontextové okná
See the document at {0},Pozrite si dokument na adrese {0}
Type,typ
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Odoslaný záznam nie je možné vymazať.
refresh_token,refresh_token
Amend,pozmeniť
Export,Export
Show in filter,Zobraziť vo filtri
It is necessary to take this action today itself for the above mentioned recurring,Pre vyššie uvedené opakujúce sa prípady je potrebné prijať túto akciu aj dnes
Export Custom Permissions,Exportovať vlastné povolenia
None: End of Workflow,Žiadne: Koniec pracovného toku
Version,verzia
6 months,6 mesiacov
Group,skupina
There is some problem with the file url: {0},Vyskytol sa problém s url súboru: {0}
Customize Form Field,Prispôsobiť pole formulára
Comment can only be edited by the owner,Komentár môže upravovať iba vlastník
Document Follow,Dokument Sledujte
Did not find {0} for {0} ({1}),Nenašiel sa {0} pre {0} ({1})
URL,URL
Parent is required to get child table data,Rodič je povinný získať údaje tabuľky dieťaťa
A log of request errors,Denník chýb žiadosti
User not allowed to delete {0}: {1},Používateľ nemá povolenie odstrániť {0}: {1}
dd-mm-yyyy,dd-mm-rrrr
eject,vyhodiť
Drag and Drop tool to build and customize Print Formats.,Nástroj Drag and Drop na vytvorenie a prispôsobenie formátov tlače.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Ak je začiarknuté, toto pole nebude prepísané na základe Fetch From, ak už hodnota existuje."
Currently Viewing,Momentálne sa zobrazuje
Not allowed for {0}: {1}. Restricted field: {2},Nie je povolené pre {0}: {1}. Obmedzené pole: {2}
Slack,voľný
Please duplicate this to make changes,"Ak chcete vykonať zmeny, skopírujte to"
Repeat On,Opakované zapnutie
Login After,Prihlásenie Po
Folder {0} is not empty,Priečinok {0} nie je prázdny
File Type,Typ súboru
Enable Raw Printing,Povoliť hrubú tlač
Further nodes can be only created under 'Group' type nodes,Ďalšie uzly môžu byť vytvorené iba v rámci uzlov typu „Skupina“
signal,signál
Cannot edit a standard report. Please duplicate and create a new report,Štandardný prehľad nie je možné upraviť. Zopakujte a vytvorte nový prehľad
Sales Master Manager,Manažér hlavného predaja
Bulk Edit {0},Hromadná úprava {0}
Preparing Report,Príprava správy
{0} criticized your work on {1} with {2} point,{0} kritizovalo vašu prácu na {1} s {2} bodom
Verdana,Verdana
Unsubscribed,odhlásený
DocPerm,DocPerm
Fold can not be at the end of the form,Fold nemôže byť na konci formulára
Server IP,Server IP
{0} Tree,{0} Strom
Send Password,Odoslať heslo
All Day,Celý deň
Parent is the name of the document to which the data will get added to.,"Rodič je názov dokumentu, ku ktorému sa údaje pridajú."
Block Module,Blokový modul
(Ctrl + G),(Ctrl + G)
Points,body
API Endpoint,Koncový bod rozhrania API
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Podrobnosti nájdete na stránke https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region.
App Client Secret,Aplikácia Client Client Secret
Original Value,Pôvodná hodnota
Attach Image,Pripojiť obrázok
Your system is being updated. Please refresh again after a few moments,Váš systém sa aktualizuje. Obnovte po niekoľkých okamihoch znova
Add / Manage Email Accounts.,Pridať alebo spravovať e-mailové kontá.
Third Party Authentication,Overenie treťou stranou
1 year,1 rok
{0} reverted your points on {1},{0} vrátilo vaše body na {1}
arrow-down,šípka dole
Ignore encoding errors,Ignorovať chyby kódovania
Letter Head Name,Názov hlavičky písmen
Client Script,Klientský skript
Higher priority rule will be applied first,Najprv sa uplatní pravidlo vyššej priority
Content (HTML),Obsah (HTML)
{0} appreciation points for {1} {2},{0} body za zhodnotenie {1} {2}
Search in a document type,Hľadať v type dokumentu
Only Administrator is allowed to create Dashboard Chart Sources,Iba administrátor môže vytvárať Dashboard Chart Sources
Only 200 inserts allowed in one request,V jednej žiadosti je povolených len 200 vložiek
Kanban Board Name,Názov Kanban Board
Group Label,Označenie skupiny
thumbs-up,palec hore
Reload,obnoviť
{0} added,{0} pridané
{0} to {1},{0} až {1}
Attach File,Priložiť súbor
Expose Recipients,Odhaliť príjemcov
ToDo,Robiť
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Tento dokument môže existovať v rôznych „Štátoch“. Ako „Otvorené“, „Čakajúce schválenie“ atď."
Weekly,týždenné
Preview HTML,Ukážka HTML
GSuite Templates,Šablóny GSuite
Force Show,Force Show
Deleted Name,Vymazaný názov
Home,Domov
User can login using Email id or User Name,Užívateľ sa môže prihlásiť pomocou e-mailového id alebo užívateľského mena
Error: Value missing for {0}: {1},Chyba: Chýba hodnota pre {0}: {1}
ap-northeast-3,ap-severovýchod-3
Please enter Redirect URL,Zadajte adresu URL presmerovania
Allow on Submit,Povoliť na Odoslať
Table {0} cannot be empty,Tabuľka {0} nemôže byť prázdna
minus-sign,mínus-sign
Phone,telefón
Clear all roles,Vymazať všetky úlohy
Example,príklad
You need write permission to rename,Na premenovanie potrebujete povolenie na zápis
Advanced Control,Rozšírené ovládanie
Path to Server Certificate,Cesta k certifikátu servera
If Checked workflow status will not override status in list view,Ak Stav skontrolovaného pracovného postupu neprevýši stav v zozname
Updating {0},Aktualizácia {0}
Logged in as Guest or Administrator,Prihlásený ako hosť alebo administrátor
Green,zelená
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"Pre nové záznamy sú potrebné len povinné polia. Nepovinné stĺpce môžete odstrániť, ak si želáte."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} musí začínať a končiť písmenom a môže obsahovať iba písmená, pomlčku alebo podčiarkovník."
Create User Email,Vytvoriť e-mail používateľa
Sort field {0} must be a valid fieldname,Pole zoradenia {0} musí byť platné meno poľa
Filter Meta,Filter Meta
Category Name,meno kategórie
Javascript to append to the head section of the page.,Javascript sa pripojí k hlavovej časti stránky.
Allow Delete,Povoliť odstránenie
Authorize URL,Autorizovať adresu URL
This feature is brand new and still experimental,Táto funkcia je úplne nová a stále experimentálna
S3 Backup Settings,S3 Nastavenia zálohovania
Not Seen,Nevidený
Not Like,Nie ako
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",Insert Po poli &#39;{0}&#39; uvedené v Vlastnom poli &#39;{1}&#39; s menovkou &#39;{2}&#39; neexistuje
Refresh Form,Obnoviť formulár
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,Skúste použiť dlhší vzor klávesnice s viacerými otáčkami
Archive,Archív
Your payment is cancelled.,Vaša platba je zrušená.
Fieldname {0} cannot have special characters like {1},Názov poľa {0} nemôže mať špeciálne znaky ako {1}
Traceback,Vystopovať
Route,trasa
Workflow Name,Názov pracovného toku
Report,správa
Incomplete login details,Neúplné prihlasovacie údaje
Table,stôl
Start a conversation.,Začať konverzáciu.
Sync on Migrate,Synchronizovať pri migrácii
Timeline Field,Pole časovej osi
Loading...,Načítava...
Half Yearly,Polročne
Last Modified Date,Dátum poslednej zmeny
First Name,Krstné meno
Comments,Komentáre
Assignment for {0} {1},Pridelenie pre {0} {1}
Cannot link cancelled document: {0},Zrušený dokument nie je možné prepojiť: {0}
BCC,BCC
Long Text,Dlhý text
Float Precision,Presnosť plaváka
Please Enter Your Password to Continue,"Ak chcete pokračovať, zadajte svoje heslo"
Save Report,Uložiť správu
"""Team Members"" or ""Management""",&quot;Členovia tímu&quot; alebo &quot;Manažment&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Návrh; 1 - Odoslané; 2 - Zrušené
SMTP Settings for outgoing emails,Nastavenia SMTP pre odchádzajúce e-maily
Is Your Company Address,Je vaša adresa spoločnosti
Printer Name,Názov tlačiarne
Dropbox Settings,Nastavenia Dropbox
The password of your account has expired.,Platnosť hesla vášho účtu vypršala.
System and Website Users,Používatelia systému a webových stránok
Fieldname which will be the DocType for this link field.,"Pole, ktoré bude DocType pre toto pole odkazu."
Content Hash,Obsah Hash
Posts by {0},Príspevky od používateľa {0}
{0} assigned {1}: {2},{0} pridelené {1}: {2}
globe,zemegule
Average of {0},Priemer z {0}
Clear Error Logs,Vymazať protokoly chýb
Friendly Title,Priateľský titul
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Pridajte názov &quot;Webového písma Google&quot;, napr."
Filter,filter
No of Rows (Max 500),Počet riadkov (max. 500)
Label,štítok
Your account has been locked and will resume after {0} seconds,Váš účet bol zablokovaný a bude pokračovať po {0} sekundách
indent-left,zarážky-left
Identity Details,Podrobnosti o totožnosti
Visitor,návštevník
gift,darček
Run Tests,Spustiť testy
LDAP Search String,Reťazec vyhľadávania LDAP
Field {0} not found.,Pole {0} sa nenašlo.
Select Languages,Vyberte položku Jazyky
You don't have any messages yet.,Zatiaľ nemáte žiadne správy.
Event Type,Typ udalosti
"To get the updated report, click on {0}.","Ak chcete získať aktualizovaný prehľad, kliknite na tlačidlo {0}."
Home Settings,Nastavenia domov
Apply to all Documents Types,Použiť na všetky typy dokumentov
Inverse,obrátený
Closed,Zatvorené
Query,Dopyt
Days After,Dni po
Request Timed Out,Požiadavka vypršala
Email Footer Address,Adresa päty e-mailu
Energy point update,Aktualizácia energetického bodu
Click here to verify,"Ak chcete overiť, kliknite tu"
You can use Customize Form to set levels on fields.,Môžete použiť Prispôsobiť formulár na nastavenie úrovní na poliach.
App Secret Key,App Secret Key
Show Section Headings,Zobraziť nadpisy sekcií
Mentions,zmieňuje
Series {0} already used in {1},Séria {0} sa už použila v {1}
Clicked,klikol
Log,log
Accept Payment,Prijať platbu
Print Server,Tlačový server
Welcome Message,Uvítacia správa
Reference DocType,Referenčný dokument DocType
Shared,zdieľaná
Unknown Column: {0},Neznámy stĺpec: {0}
Enabled,povolené
Setup Complete,Nastavenie je dokončené
Shared with {0},Zdieľané s hodnotou {0}
Not a valid Comma Separated Value (CSV File),Neplatná hodnota oddelená čiarkou (súbor CSV)
Your payment has failed.,Vaša platba zlyhala.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Pre prepojenie zadajte rozsah dokumentov DocType. Pre položku Vybrať zadajte zoznam možností, každý na novom riadku."
1 minute ago,Pred 1 minútou
No Active Sessions,Žiadne aktívne relácie
Row,riadok
Please try again,Prosím skúste znova
Chart Options,Možnosti grafu
Push Failed,Push Failed
Off,preč
Default Outgoing,Predvolené odchádzajúce
1 year ago,Pred 1 rokom
View Subscribers,Zobraziť odberateľov
Allow Print,Povoliť tlač
Comment,komentár
{0} not allowed to be renamed,{0} nie je povolené premenovať
Success URL,URL úspechu
Document is only editable by users of role,Dokument je možné upravovať iba používateľom roly
Outgoing email account not correct,Odchádzajúci e-mailový účet nie je správny
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Zlúčenie je možné len medzi uzlom Group-to-Group alebo Leaf Node-to-Leaf
Select Language...,Zvoľ jazyk...
Link,odkaz
{0}: No basic permissions set,{0}: Nie sú nastavené žiadne základné povolenia
Value for a check field can be either 0 or 1,Hodnota pre kontrolné pole môže byť buď 0 alebo 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Pridané HTML v sekcii &lt;head&gt; webovej stránky, primárne používané na overovanie webových stránok a SEO"
plus,plus
Please Duplicate this Website Theme to customize.,Duplikujte túto tému webových stránok a prispôsobte ju.
Options not set for link field {0},"Možnosti, ktoré nie sú nastavené pre pole odkazu {0}"
Must have report permission to access this report.,Pre prístup k tomuto prehľadu musí mať povolenie na prehľad.
Rename {0},Premenovať {0}
Note: Multiple sessions will be allowed in case of mobile device,Poznámka: V prípade mobilného zariadenia budú povolené viaceré relácie
resize-small,veľkosť-small
Relinked,Relinked
Roles HTML,Roly HTML
Workflow will start after saving.,Po uložení sa spustí pracovný postup.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Ak sú vaše údaje v kóde HTML, skopírujte, prosím, presný kód HTML so značkami."
Dates are often easy to guess.,Termíny sú často ľahko odhadnúť.
Pincode,PIN kód
Update Value,Aktualizovať hodnotu
Has Web View,Má webové zobrazenie
Align Value,Zarovnať hodnotu
Assignment Complete,Zadanie je dokončené
Header,hlavička
This query style is discontinued,Tento štýl dotazu sa preruší
Document Type is not submittable,Typ dokumentu nie je možné odoslať
Display Depends On,Zobrazenie Závisí na
No Tags,Žiadne značky
Script Code,Kód skriptu
Updated successfully,Aktualizované úspešne
Hi {0},Ahoj {0}
{0} not a valid State,{0} nie je platný štát
Accounts User,Používateľ účtu
Groups of DocTypes,Skupiny DocTypes
Website Route Redirect,Presmerovanie trasy webových stránok
Beginning with,Začiatok
Hello {0},"Dobrý deň, {0}"
Start Time,Doba spustenia
{0} has been successfully added to the Email Group.,{0} bolo úspešne pridané do e-mailovej skupiny.
Cancelled Document restored as Draft,Zrušený dokument obnovený ako koncept
Desktop Icon,Ikona na ploche
cancelled this document,zrušil tento dokument
Date Range,Rozsah dátumov
{0} appreciated {1},{0} ocenené {1}
Values Changed,Hodnoty boli zmenené
Error in Notification,Chyba v oznámení
Enable Report,Povoliť prehľad
No alerts for today,Pre dnešok nie sú žiadne upozornenia
Redirect URI Bound To Auth Code,Presmerovanie URI viazané na overovací kód
Always use Account's Email Address as Sender,Vždy používajte e-mailovú adresu účtu ako odosielateľa
Barcode,čiarový kód
{0} Dashboard,{0} Informačný panel
Last Quarter,Posledná štvrtina
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Nie je dovolené pripájať dokument {0}, zapnite možnosť Povoliť tlač pre {0} v nastaveniach tlače"
Attach,priložiť
Scopes,Scopes
Deleted Documents,Odstránené dokumenty
Workflow Action,Akcia pracovného toku
You can also copy-paste this ,Môžete ho tiež skopírovať a prilepiť
Is Feedback request triggered manually ?,Je požiadavka na spätnú väzbu spustená manuálne?
Select a chat to start messaging.,"Vyberte chat, na ktorom chcete začať správu."
No permission to read {0},Žiadne povolenie na čítanie {0}
Reply,odpoveď
Braintree payment gateway settings,Nastavenia platobnej brány Braintree
Scheduled to send to {0},Plánované odoslanie na {0}
"If enabled, changes to the document are tracked and shown in timeline","Ak je táto možnosť povolená, zmeny v dokumente sa sledujú a zobrazujú na časovej osi"
Send Welcome Email,Odoslať uvítací e-mail
asterisk,hviezdička
This link is invalid or expired. Please make sure you have pasted correctly.,"Tento odkaz je neplatný alebo stratil platnosť. Uistite sa, že ste vložili správne."
New Value,Nová hodnota
Due Date,Dátum splatnosti
"Include symbols, numbers and capital letters in the password","Do hesla zahrňte symboly, čísla a veľké písmená"
Send Alert On,Odoslať upozornenie
Home/Test Folder 1/Test Folder 3,Home / Test Folder 1 / Testovací priečinok 3
Valid,platný
Cannot edit cancelled document,Zrušený dokument nie je možné upraviť
App Access Key,Prístupový kľúč aplikácie
Login Before,Prihlásenie Pred
Private,Súkromné
Update many values at one time.,Aktualizujte naraz množstvo hodnôt.
None,nikto
Partial Success,Čiastočný úspech
{0} comments,{0} komentáre
Emails will be sent with next possible workflow actions,E-maily budú odoslané s ďalšími možnými akciami pracovného toku
adjust,nastaviť
on_change,on_change
{0} Name,{0} Názov
Same Field is entered more than once,Rovnaké pole sa zadáva viac ako raz
Please select a Amount Field.,Vyberte pole Suma.
Company History,História spoločnosti
No Printer is Available.,Nie je k dispozícii žiadna tlačiareň.
Address Line 2,2. riadok adresy
Time Interval,Časový interval
Message Preview,Náhľad správy
Purchase Master Manager,Nákup Master Manager
Is Default,Je predvolené
Row Index,Riadkový index
Allowed,Povolený
"If you are uploading new records, leave the ""name"" (ID) column blank.","Ak odovzdávate nové záznamy, nechajte stĺpec „name“ (ID) prázdny."
Events in Today's Calendar,Udalosti v dnešnom kalendári
GCalendar is not configured.,GCalendar nie je nakonfigurovaný.
Entity Type,Typ entity
Mandatory field: set role for,Povinné pole: nastavte úlohu pre
Bulk Delete,Hromadné vymazanie
Document Name,Názov dokumentu
Add your own translations,Pridajte vlastné preklady
eu-central-1,eu-stredná-1
Yearly,ročne
Rename,premenovať
Remote Primary Key,Vzdialený primárny kľúč
Script or Query reports,Prehľady skriptov alebo dopytov
Next Action Email Template,Ďalšia akcia Email Template
Chain Integrity,Integrita reťazca
Illegal Access Token. Please try again,Nezákonný prístupový token. Prosím skúste znova
"You need to have ""Share"" permission",Musíte mať povolenie na zdieľanie
Let's prepare the system for first use.,Pripravme systém na prvé použitie.
circle-arrow-up,krúžku so šípkou nahor
play,hrať
You have been successfully logged out,Boli ste úspešne odhlásení
Require Trusted Certificate,Vyžadovať dôveryhodný certifikát
Preview,Náhľad
Reference Owner,Referenčný vlastník
Cannot cancel before submitting. See Transition {0},Pred odoslaním sa nedá zrušiť. Pozri Prechod {0}
Unable to update event,Udalosť sa nedá aktualizovať
Queued,vo fronte
Webhook Header,Webhook Header
Allow GSuite access,Povoliť prístup k službe GSuite
New Newsletter,Nový Newsletter
Updated To New Version,Aktualizované na novú verziu
No {0} mail,Nie {0} mail
Password Reset,Resetovanie hesla
From Full Name,Z celého mena
Newsletter,Newsletter
Section Break,Sekcia Break
play-circle,play-kruh
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".","Nenašli sa žiadne polia, ktoré by sa mohli použiť ako stĺp Kanban. Pomocou formulára Prispôsobiť pridajte vlastné pole typu &quot;Vybrať&quot;."
Column,stĺp
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Ak je táto možnosť povolená, používatelia, ktorí sa prihlásia z obmedzenej adresy IP, nebudú vyzvaní na overenie dvoch faktorov"
You do not have enough points,Nemáte dostatok bodov
More Information,Viac informácií
DocShare,DocShare
Filters,filtre
Room,izba
{0} items selected,Počet vybratých položiek: {0}
Leave a Comment,Zanechať komentár
Stripe Settings,Nastavenia pruhu
Background Workers,Pracovníci na pozadí
Customize...,Vlastné ...
Last Year,Minulý rok
Remote Objectname,Názov vzdialeného objektu
yyyy-mm-dd,rrrr-mm-dd
Flag,vlajka
plane,lietadlo
Nested set error. Please contact the Administrator.,Vnorená nastavená chyba. Obráťte sa na administrátora.
Show Report,Zobraziť prehľad
Auto Repeat Schedule,Automatické opakovanie plánu
Office,Kancelária
StartTLS,STARTTLS
{0} days ago,{0} dní
Check,check
Fetch From,Načítať od
Not in Developer Mode,Nie je v režime Vývojár
Verifying...,Overovanie ...
Printer,tlačiareň
A symbol for this currency. For e.g. $,Symbol pre túto menu. Pre napr
Cannot remove ID field,Pole ID nie je možné odstrániť
removed,odstránený
Add Review,Pridať recenziu
circle-arrow-left,krúžku sa šípkou doľava
Dr,DR
Apply To All Document Types,Použiť na všetky typy dokumentov
"There were some errors setting the name, please contact the administrator","Pri nastavovaní mena sa vyskytli chyby, obráťte sa na správcu"
Allow Login After Fail,Povoliť prihlásenie po zlyhaní
Documents,Dokumenty
Track Field,Traťové pole
Compiled Successfully,Úspešne
{0} criticism points for {1} {2},{0} kritické body za {1} {2}
in the Auto Repeat document,v dokumente Auto Repeat
Access Token,Prístupový token
Small Text,Malý text
Edit {0},Upraviť {0}
Web Page,Webstránka
Connection Success,Úspech spojenia
Completed By,Dokončené o
Bypass Two Factor Auth for users who login from restricted IP Address,"Bypass Two Factor Auth pre používateľov, ktorí sa prihlásia z obmedzenej adresy IP"
Missing Values Required,Vyžadované chýbajúce hodnoty
My Settings,Moje nastavenia
Group name cannot be empty.,Názov skupiny nemôže byť prázdny.
road,cestné
Source,zdroj
Active Sessions,Aktívne relácie
There can be only one Fold in a form,Vo formulári môže byť len jedno zloženie
New Chat,Nový chat
Scan the QR Code and enter the resulting code displayed.,Naskenujte QR kód a zadajte zobrazený výsledný kód.
map-marker,máp-fix
Change Password,Zmeniť heslo
More...,Viac ...
Personal Data Deletion Request,Žiadosť o vymazanie osobných údajov
Path to CA Certs File,Cesta k certifikačnému súboru CA
Old Password,Staré heslo
No of Columns,Počet stĺpcov
Sending,odoslanie
Google GSuite is not configured.,Služba Google GSuite nie je nakonfigurovaná.
Dropbox access is approved!,Prístup Dropbox je schválený!
Call,volanie
Day,deň
Shop,predajňa
Under Development,Vo vývoji
Please enter Authorize URL,Zadajte Autorizačnú adresu URL
Send Notification to,Odoslať upozornenie na
Dropbox backup settings,Nastavenia záloh Dropbox
Remove all customizations?,Odstrániť všetky prispôsobenia?
Only Administrator can edit,Upraviť môže iba administrátor
Reference Document,Referenčný dokument
Liked,páčilo
This is a background report. Please set the appropriate filters and then generate a new one.,Toto je podkladová správa. Nastavte vhodné filtre a potom vytvorte nový.
Viewed By,Pri pohľade do
Please select another payment method. PayPal does not support transactions in currency '{0}',Vyberte iný spôsob platby. PayPal nepodporuje transakcie v mene &#39;{0}&#39;
Document can't saved.,Dokument sa nedá uložiť.
Did not cancel,Nebolo zrušené
"Must be of type ""Attach Image""",Musí byť typu &quot;Pripojiť obrázok&quot;
Send Password Update Notification,Odoslať oznámenie o aktualizácii hesla
XLSX,XLSX
Select a DocType to make a new format,"Vyberte DocType, aby ste vytvorili nový formát"
Deleted Document,Odstránený dokument
Please select a file or url,Vyberte súbor alebo adresu URL
Length,dĺžka
JSON,JSON
Helvetica,Helvetica
Select Table Columns for {0},Vyberte stĺpce tabuľky pre {0}
Tag Category,Kategória značky
A new account has been created for you at {0},Nový účet bol vytvorený pre vás na adrese {0}
Roles can be set for users from their User page.,Roly môžu byť nastavené pre používateľov z ich stránky používateľa.
Include Search in Top Bar,Zahrnúť vyhľadávanie v hornej lište
[Urgent] Error while creating recurring %s for %s,[Urgent] Chyba pri vytváraní opakujúcich sa% s pre% s
Author,autor
on_cancel,on_cancel
No document found for given filters,Pre dané filtre nebol nájdený žiadny dokument
