Connector Type,Liittimen tyyppi
Chat Operators,Chat-operaattorit
Success,Menestys
Upload Failed,Lähetys epäonnistui
bullhorn,bullhorn
Address and Contacts,Osoite ja yhteystiedot
Timezone,Aikavyöhyke
Please enter Base URL,Anna Perus-URL-osoite
Email Reply Help,Sähköpostin vastaus Ohje
Choose authentication method to be used by all users,Valitse kaikkien käyttäjien käyttämä todennustapa
Parent Error Snapshot,Parent Error Snapshot
GCalendar Account,GCalendar-tili
Language Name,Kielen nimi
Customize Form,Muokkaa lomaketta
Image Field,Kuvan kenttä
Added {0} ({1}),Lisätty {0} ({1})
Click here to post bugs and suggestions,Klikkaa tästä lähettääksesi vikoja ja ehdotuksia
No records deleted,Tietueita ei poistettu
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,"Korkeamman tason käyttöoikeudet ovat kenttätaso-oikeuksia. Kaikilla kentillä on heille asetettu lupataso ja siihen sovellettavat säännöt. Tämä on hyödyllistä, jos haluat piilottaa tai tehdä tietyn kentän vain tietyille rooleille."
Source Name,Lähdekoodin nimi
Edit HTML,Muokkaa HTML-koodia
Printer Settings...,Tulostimen asetukset ...
UID,UID
Move to Row Number,Siirry rivinumeroon
ap-northeast-1,ap-koilliseen-1
Assigned,sidotut
QR Code,QR koodi
Guest,vieras
"Cannot edit Standard Notification. To edit, please disable this and duplicate it",Standardimerkintää ei voi muokata. Voit muokata tätä käytöstä ja kopioida sen
Newsletter Email Group,Newsletter Email Group
Mention transaction completion page URL,Mainitse tapahtuman loppuun saattamisen sivun URL-osoite
hand-down,käsi alas
Direct room with {0} already exists.,"Suora huone, jossa on {0}, on jo olemassa."
Invalid Output Format,Virheellinen tulostusmuoto
PDF,PDF
{0} logged out: {1},{0} kirjautunut ulos: {1}
Doctype,dOCTYPE
Not Sent,Ei lähetetty
You have exceeded the max space of {0} for your plan. {1}.,Olet ylittänyt suunnitelman {0} maksimi-tilan. {1}.
Limit Number of DB Backups,DB-varmuuskopioiden raja-arvo
{0} criticized your work on {1} with {2} points,{0} arvosteli työtäsi {1} {2} -pisteillä
Send Me A Copy of Outgoing Emails,Lähetä minulle kopio lähtevistä sähköpostiviesteistä
Sorry! You are not permitted to view this page.,Sorry! Et voi tarkastella tätä sivua.
Letter Head in HTML,Kirje pää HTML-muodossa
Form Customization,Lomakkeen räätälöinti
Assign to me,Anna minulle
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","Liian monta käyttäjää on rekisteröitynyt viime aikoina, joten rekisteröinti on poistettu käytöstä. Yritä takaisin tunnin kuluttua"
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],"Kuvake-tiedosto, jossa on .ico-laajennus. Pitäisi olla 16 x 16 px. Luodaan favicon-generaattorilla. [Favicon-generator.org]"
Setting this Address Template as default as there is no other default,"Tämän osoitemallin asettaminen oletusarvoksi, koska muita oletusasetuksia ei ole"
QZ Tray Failed: ,QZ-lokero epäonnistui:
Google Maps integration is not enabled,Google Mapsin integrointi ei ole käytössä
Apply this rule if the User is the Owner,"Käytä tätä sääntöä, jos käyttäjä on omistaja"
Org History Heading,Org-historian otsikko
Server Error,palvelinvirhe
Standard roles cannot be renamed,Standardirooleja ei voi nimetä uudelleen
Review Points,Tarkastuspisteet
Missing parameter Kanban Board Name,Puuttuva parametri Kanban Board Name
Added,lisätty
Doctype required,Asiakirjatyyppi tarvitaan
Print Sent to the printer!,Tulosta Tulostimeen lähetetty!
Password Updated,Salasana päivitetty
Shipping,laivaus
Updated,Päivitetty
Image Link,Kuvalinkki
You selected Draft or Cancelled documents,Valitsit Luonnos tai Peruutetut asiakirjat
Print,Tulosta
{0} does not exist in row {1},{0} ei ole rivissä {1}
Currently updating {0},Päivitetään tällä hetkellä {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Ei kehittäjätilassa! Aseta site_config.json tai tee &#39;Custom&#39; DocType.
gained {0} points,saavutti {0} pistettä
Success Message,Menestysviesti
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)",Kuvaus sivun luettelosta tavallisessa tekstissä vain pari riviä. (enintään 140 merkkiä)
Show Permissions,Näytä käyttöoikeudet
Restrict To Domain,Rajoita verkkotunnukseen
Sidebar Items,Sivupalkin kohteet
Not a valid User Image.,Ei kelvollinen käyttäjäkuva.
Mark as Unread,Merkitse lukemattomaksi
The document has been assigned to {0},Asiakirja on osoitettu {0}
{0} {1} not found,{0} {1} ei löytynyt
Chat Room User,Chat-huoneen käyttäjä
Slideshow like display for the website,Diaesityksen kaltainen näyttö verkkosivustolle
Print Format,Tulostusmuoto
Auto Reply Message,Automaattinen vastausviesti
Restored,palautettu
viewed,katsottu
Submit an Issue,Lähetä ongelma
on_update,on_update
Invalid {0} condition,Virheellinen {0} -tilanne
Not Ancestors Of,Ei esi-isiä
Set Quantity,Määritä määrä
End Date,Päättymispäivä
Next State,Seuraava valtio
Is First Startup,Onko ensimmäinen käynnistys
updated to {0},päivitetty osoitteeseen {0}
Move To,Muuttaa
Administrator Logged In,Järjestelmänvalvoja on kirjautunut sisään
Status,Status
Please confirm your action to {0} this document.,Vahvista toimenpide {0} tähän asiakirjaan.
Note:,Huomautus:
bell,soittokello
Template Name,Mallin nimi
Org History,Org-historia
Translatable,käännettävää
{0}: Cannot set Cancel without Submit,{0}: Ei voi asettaa Peruuta-painiketta ilman Lähetä
Send enquiries to this email address,Lähetä kyselyjä tähän sähköpostiosoitteeseen
Temporarily Disabled,Tilapäisesti poistettu käytöstä
Unsubscribe,Lopeta tilaus
Dashboard Chart Link,Dashboard Chart Link
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,"Tiedostoa ei voi poistaa, koska se kuuluu {0} {1}, jolle sinulla ei ole oikeuksia"
Dear,Rakas
Generate New Report,Luo uusi raportti
This email is autogenerated,Tämä sähköposti on automaattinen
Forgot Password,Unohtuiko salasana
Child Tables are shown as a Grid in other DocTypes,Lapsitaulukot näkyvät verkkona muissa DocTypes-sarjoissa
Unselect All,Poista kaikki
File Size,Tiedoston koko
Unable to read file format for {0},{0}: n tiedostomuotoa ei voi lukea
User Roles,Käyttäjän roolit
Text Align,Tekstin kohdistus
Set Filters,Aseta suodattimet
Transitions,siirtymät
Create a new ,Luoda uusi
Invalid field name {0},Virheellinen kentän nimi {0}
Web Form,Web-lomake
Chat Room,Chattihuone
Data Migration Connector,Data Migration Connector
New Folder,Uusi kansio
repeat,toistaa
You must login to submit this form,Sinun täytyy kirjautua lähettääksesi tämän lomakkeen
Sorry! You cannot delete auto-generated comments,Sorry! Et voi poistaa automaattisesti luotuja kommentteja
Track Views,Seuraa näkymiä
Allow events in timeline,Salli tapahtumat aikajanalla
Module Def,Moduuli Def
Set Meta Tags,Aseta metatunnisteet
Created,Luotu
Core,Ydin
Criticize,Arvostella
Warning: Unable to find {0} in any table related to {1},"Varoitus: {0} ei löydy mistään taulukosta, joka liittyy {1}"
{0} Calendar,{0} Kalenteri
Data Import Template,Tietojen tuontimalli
hand-left,hand-vasen
Backup Size:,Varmuuskopion koko:
Linked with {0},Linkitetty {0}
Private Key,Yksityinen avain
{0}: Cannot set import as {1} is not importable,"{0}: Tuontia ei voi asettaa, koska {1} ei ole tuontia"
Away,Pois
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Pituus palautetaan arvoon {0} kohdasta &#39;{1}&#39; kohdassa &#39;{2}&#39;; Pituuden asettaminen {3}: ksi aiheuttaa tietojen katkaisemisen.
Select a group node first.,Valitse ensin ryhmän solmu.
toggle Tag,Vaihda tunniste
"Newsletters to contacts, leads.","Uutiskirjeet yhteystietoihin, johtajat."
Read Only,Lue ainoastaan
No document selected,Asiakirjaa ei ole valittu
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Jos tämä on käytössä, käyttäjä voi kirjautua mihin tahansa IP-osoitteeseen käyttämällä kahta tekijää. Tämä voidaan asettaa myös kaikille käyttäjille Järjestelmäasetuksissa"
Auto Repeat has been {0},Automaattinen toisto on ollut {0}
John Doe,John Doe
This document has been modified after the email was sent.,Tätä asiakirjaa on muutettu sähköpostin lähettämisen jälkeen.
Notify if unreplied,"Ilmoita, jos se ei vastaa"
Introductory information for the Contact Us Page,Esittelytiedot Yhteystiedot-sivulle
**Currency** Master,** Valuutta ** Päällikön
Custom Sidebar Menu,Mukautettu sivupalkkivalikko
Is Submittable,On alistettavissa
Only Administrator is allowed to use Recorder,Vain järjestelmänvalvoja saa käyttää tallentinta
Password is required or select Awaiting Password,Salasana on pakollinen tai valitse Odottaa salasanaa
Note: Other permission rules may also apply,Huomautus: Myös muita lupasääntöjä voidaan soveltaa
Notes: ,Huomautuksia:
Custom CSS,Mukautettu CSS
Invalid CSV Format,Virheellinen CSV-muoto
Content Type,Sisältötyyppi
Password not found,Salasanaa ei löytynyt
Clear,Asia selvä
This document cannot be reverted,Tätä asiakirjaa ei voi palauttaa
Hello!,Hei!
Report was not saved (there were errors),Raporttia ei tallennettu (oli virheitä)
Allow user to login only before this hour (0-24),Salli käyttäjän kirjautua vain ennen tätä tuntia (0-24)
Add More,Lisää enemmän
You can also copy-paste this link in your browser,Voit myös kopioida tämän linkin selaimeen
Add fields to forms.,Lisää kentät lomakkeisiin.
User is mandatory for Share,Käyttäjä on pakollinen Share
Verify,tarkistaa
Enter Email Recipient(s),Anna sähköpostin vastaanottajat
Recorder,nauhuri
Interest,Kiinnostuksen kohde
Limit,Raja
Print taxes with zero amount,"Tulosta verot, joiden määrä on nolla"
Book,Kirja
Access Key ID,Tunnusluvun tunnus
URLs,URL-osoitteita
Names and surnames by themselves are easy to guess.,Nimet ja sukunimet ovat itsessään helposti arvattavia.
Report {0},Ilmoita {0}
Team Members Heading,Tiimin jäsenet Otsikko
Document {0} has been set to state {1} by {2},Asiakas {0} on asetettu tilaan {1} {2}
Address Template,Osoitemalli
step-backward,step-taaksepäin
Not Found,Ei löydetty
Banner Image,Bannerikuva
Not a valid Workflow Action,Ei ole kelvollinen työnkulun toiminto
API Endpoint Args,API-päätepisteen asetukset
Gateway,portti
Setup Auto Email,Aseta automaattinen sähköposti
Represents the states allowed in one document and role assigned to change the state.,"Edustaa yhdessä asiakirjassa sallittuja tiloja ja roolia, joka on määritetty tilan muuttamiseksi."
Login with LDAP,Kirjaudu LDAPiin
Please enable pop-ups,Ota ponnahdusikkunat käyttöön
See the document at {0},Katso asiakirja osoitteesta {0}
Type,Tyyppi
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Lähetettyä tietuetta ei voi poistaa.
refresh_token,refresh_token
Amend,Muuttaa
Export,Viedä
Show in filter,Näytä suodattimessa
It is necessary to take this action today itself for the above mentioned recurring,"On välttämätöntä, että tämä toimenpide toteutetaan tänään itse edellä mainitulle toistuvalle"
Export Custom Permissions,Vie mukautetut käyttöoikeudet
None: End of Workflow,Ei mitään: Työnkulun loppu
Version,Versio
6 months,6 kuukautta
Group,Ryhmä
There is some problem with the file url: {0},Tiedoston URL-osoitteessa on ongelma: {0}
Customize Form Field,Muokkaa lomakekenttää
Comment can only be edited by the owner,Kommenttia voi muokata vain omistaja
Document Follow,Asiakirjan seuranta
Did not find {0} for {0} ({1}),Ei löytänyt {0} {0} ({1})
URL,URL-
Parent is required to get child table data,Vanhempien on saatava lapsitaulukkoa koskevia tietoja
A log of request errors,Pyyntövirheiden loki
User not allowed to delete {0}: {1},Käyttäjä ei saa poistaa {0}: {1}
dd-mm-yyyy,dd-mm-yyyy
eject,eject
Drag and Drop tool to build and customize Print Formats.,"Vedä ja pudota -työkalu, jolla voit luoda ja muokata Tulostusmuotoja."
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Jos tämä on valittuna, tätä kenttää ei korvata Fetch From -toiminnon perusteella, jos arvo on jo olemassa."
Currently Viewing,Tällä hetkellä katselu
Not allowed for {0}: {1}. Restricted field: {2},Ei sallittu {0}: {1}. Rajoitettu kenttä: {2}
Slack,löysä
Please duplicate this to make changes,Voit tehdä muutoksia toistamalla
Repeat On,Toista uudelleen
Login After,Kirjaudu sisään
Folder {0} is not empty,Kansio {0} ei ole tyhjä
File Type,Tiedostotyyppi
Enable Raw Printing,Ota raakatulostus käyttöön
Further nodes can be only created under 'Group' type nodes,Muita solmuja voidaan luoda vain ryhmätyyppisissä solmuissa
signal,signaali-
Cannot edit a standard report. Please duplicate and create a new report,Standardiraporttia ei voi muokata. Kopioi ja luo uusi raportti
Sales Master Manager,Myyntipäällikkö
Bulk Edit {0},Massiivinen muokkaus {0}
Preparing Report,Raportin valmistelu
{0} criticized your work on {1} with {2} point,{0} arvosteli työtäsi {1} {2} -pisteellä
Verdana,Verdana
Unsubscribed,tilaamattomat
DocPerm,DocPerm
Fold can not be at the end of the form,Taita ei voi olla lomakkeen lopussa
Server IP,Palvelimen IP
{0} Tree,{0} Puu
Send Password,Lähetä salasana
All Day,Koko päivä
Parent is the name of the document to which the data will get added to.,"Vanhempi on sen asiakirjan nimi, johon tiedot lisätään."
Block Module,Estä moduuli
(Ctrl + G),(Ctrl + G)
Points,pistettä
API Endpoint,API-päätepiste
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Lisätietoja on osoitteessa https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region.
App Client Secret,App Client Secret
Original Value,Alkuperäinen arvo
Attach Image,Liitä kuva
Your system is being updated. Please refresh again after a few moments,Järjestelmääsi päivitetään. Päivitä uudelleen hetken kuluttua
Add / Manage Email Accounts.,Lisää / hallinnoi sähköpostitilejä.
Third Party Authentication,Kolmannen osapuolen todennus
1 year,1 vuosi
{0} reverted your points on {1},{0} palautti pisteesi {1}
arrow-down,nuoli alaspäin
Ignore encoding errors,Ohita koodausvirheet
Letter Head Name,Letter Head Name
Client Script,Client Script
Higher priority rule will be applied first,Ensisijaisempaa sääntöä sovelletaan ensin
Content (HTML),Sisältö (HTML)
{0} appreciation points for {1} {2},{0} arvostuskohdat {1} {2}
Search in a document type,Etsi asiakirjan tyypistä
Only Administrator is allowed to create Dashboard Chart Sources,Vain järjestelmänvalvoja voi luoda Dashboard Chart -lähteitä
Only 200 inserts allowed in one request,Vain 200 lisäystä sallitaan yhdessä pyynnössä
Kanban Board Name,Kanbanin hallituksen nimi
Group Label,Ryhmämerkintä
thumbs-up,peukut pystyyn
Reload,ladata
{0} added,{0} lisätty
{0} to {1},{0} - {1}
Attach File,Liitä tiedosto
Expose Recipients,Ota vastaanottajat
ToDo,Tehdä
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Eri &quot;valtiot&quot;, jotka tämä asiakirja voi olla. Kuten &quot;Avaa&quot;, &quot;Odottaa hyväksyntää&quot; jne."
Weekly,Viikoittain
Preview HTML,Esikatsele HTML-koodia
GSuite Templates,GSuite-mallit
Force Show,Force Show
Deleted Name,Poistettu nimi
Home,Koti
User can login using Email id or User Name,Käyttäjä voi kirjautua käyttämällä sähköpostiosoitetta tai käyttäjätunnusta
Assign a permission level to the field.,Anna kentälle lupataso.
Error: Value missing for {0}: {1},Virhe: puuttuu arvo {0}: {1}
ap-northeast-3,ap-koilliseen-3
Please enter Redirect URL,Anna uudelleenohjaus-URL-osoite
Allow on Submit,Salli Lähetä
Table {0} cannot be empty,Taulukko {0} ei voi olla tyhjä
minus-sign,miinus-merkki
Phone,Puhelin
Clear all roles,Tyhjennä kaikki roolit
Example,esimerkki
You need write permission to rename,Sinun täytyy kirjoittaa kirjoitusoikeus nimetä uudelleen
Advanced Control,Advanced Control
Path to Server Certificate,Palvelinvarmenteen polku
If Checked workflow status will not override status in list view,Jos Tarkistettu työnkulun tila ei korvaa luettelonäkymän tilaa
Updating {0},Päivitetään {0}
Logged in as Guest or Administrator,Kirjaudu sisään vieraaksi tai järjestelmänvalvojaksi
Green,Vihreä
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"Vain pakolliset kentät ovat uusia tietueita varten. Voit poistaa ei-pakollisia sarakkeita, jos haluat."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} täytyy aloittaa ja päättyä kirjaimella ja sisältää vain kirjaimia, tavuviivoja tai alaviivoja."
Create User Email,Luo käyttäjän sähköposti
Sort field {0} must be a valid fieldname,Lajittelukentän {0} on oltava kelvollinen kentänimi
Filter Meta,Suodata Meta
Category Name,Kategorian nimi
Javascript to append to the head section of the page.,"Javascript, joka liitetään sivun pääosaan."
Allow Delete,Salli Poista
Authorize URL,Anna URL-osoite
This feature is brand new and still experimental,Tämä ominaisuus on aivan uusi ja edelleen kokeellinen
S3 Backup Settings,S3-varmuuskopiointiasetukset
Not Seen,Ei nähty
Not Like,Ei niin kuin
Refresh Form,Päivitä lomake
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,"Yritä käyttää pidempää näppäimistömallia, jossa on enemmän käännöksiä"
Archive,Arkisto
Your payment is cancelled.,Maksusi peruutetaan.
Fieldname {0} cannot have special characters like {1},"Kentänimellä {0} ei voi olla erikoismerkkejä, kuten {1}"
Traceback,Jäljittää
Route,Reitti
Workflow Name,Työnkulun nimi
Report,raportti
Incomplete login details,Virheelliset kirjautumistiedot
Table,Pöytä
Start a conversation.,Aloita keskustelu.
Sync on Migrate,Synkronoi siirtyminen
Timeline Field,Aikajana-kenttä
Fieldtype {0} for {1} cannot be indexed,Kenttätyyppiä {0} {1} ei voida indeksoida
Loading...,Ladataan...
Half Yearly,Puolivuosittain
Last Modified Date,Viimeksi muokattu päivämäärä
First Name,Etunimi
Comments,Kommentit
Assignment for {0} {1},Tehtävä {0} {1}
Cannot link cancelled document: {0},Peruutettua asiakirjaa ei voi linkittää: {0}
BCC,BCC
Long Text,Pitkä teksti
Float Precision,Float Precision
Please Enter Your Password to Continue,Anna Salasana jatkaaksesi
Save Report,Tallenna raportti
"""Team Members"" or ""Management""",&quot;Tiimin jäsenet&quot; tai &quot;hallinta&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Luonnos; 1 - Lähetetty; 2 - Peruutettu
SMTP Settings for outgoing emails,SMTP-asetukset lähteville sähköpostiviesteille
Is Your Company Address,Onko yrityksesi osoite
Printer Name,Tulostimen nimi
Dropbox Settings,Dropbox-asetukset
System and Website Users,Järjestelmän ja verkkosivuston käyttäjät
Fieldname which will be the DocType for this link field.,"Kentänimi, joka on tämän linkkikentän DocType."
Content Hash,Sisältö Hash
Posts by {0},Viestejä {0}
{0} assigned {1}: {2},{0} osoitettu {1}: {2}
globe,maapallo
Average of {0},Keskiarvo {0}
Clear Error Logs,Poista virheraportit
Friendly Title,Ystävällinen otsikko
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",Lisää Google-fontin nimi esim. &quot;Open Sans&quot;
Filter,Suodattaa
No of Rows (Max 500),Rivien lukumäärä (enintään 500)
Label,etiketti
Your account has been locked and will resume after {0} seconds,Tilisi on lukittu ja se jatkuu {0} sekunnin kuluttua
indent-left,luetelmakohta vasemmassa
Identity Details,Identiteettitiedot
Visitor,Vierailija
gift,lahja
Run Tests,Suorita testit
LDAP Search String,LDAP-hakusarja
Field {0} not found.,Kenttä {0} ei löytynyt.
Select Languages,Valitse kielet
You don't have any messages yet.,Sinulla ei ole vielä viestejä.
Event Type,Tapahtumatyyppi
"To get the updated report, click on {0}.",Saat päivitetyn raportin napsauttamalla {0}.
Home Settings,Koti-asetukset
Apply to all Documents Types,Käytä kaikkia dokumenttityyppejä
Inverse,käänteinen
Closed,Suljettu
Query,tiedustelu
Days After,Päivät jälkeen
Request Timed Out,Pyyntö aikakatkaistiin
Email Footer Address,Sähköpostin alatunnisteen osoite
Energy point update,Energiapisteen päivitys
Click here to verify,Vahvista napsauttamalla tätä
You can use Customize Form to set levels on fields.,Voit mukauttaa lomakkeita asettamalla kentät tasoille.
App Secret Key,Sovelluksen salainen avain
Show Section Headings,Näytä osion otsikot
Mentions,mainitsee
Series {0} already used in {1},Sarja {0} on jo käytössä {1}
Clicked,napsautetaan
Log,log
Accept Payment,Hyväksy maksu
Print Server,Tulostuspalvelin
Welcome Message,Tervetuloviesti
Reference DocType,Viite DocType
Shared,yhteinen
Unknown Column: {0},Tuntematon sarake: {0}
Enabled,käytössä
Setup Complete,Asennus valmis
Shared with {0},Jaettu {0}
Not a valid Comma Separated Value (CSV File),Ei kelvollinen erillinen arvo (CSV-tiedosto)
Your payment has failed.,Maksusi on epäonnistunut.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Linkkien kohdalla kirjoita DocType alueeksi. Valitse Valitse-kohdasta luettelo vaihtoehdoista, jokainen uudella rivillä."
1 minute ago,1 minuutti sitten
No Active Sessions,Ei aktiivisia istuntoja
Row,Rivi
Please try again,Yritä uudelleen
Chart Options,Kaavioasetukset
Push Failed,Push epäonnistui
Off,Pois päältä
Default Outgoing,Oletuslähtö
1 year ago,1 vuosi sitten
View Subscribers,Näytä tilaajat
Allow Print,Salli tulostus
Comment,Kommentti
{0} not allowed to be renamed,{0} ei saa nimetä uudelleen
Success URL,Menestyksen URL-osoite
Document is only editable by users of role,Asiakirjan käyttäjät voivat muokata asiakirjan vain
Outgoing email account not correct,Lähtevä sähköpostitili ei ole oikea
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Yhdistäminen on mahdollista vain ryhmästä ryhmään tai Leaf Node-Leaf-solmuun
Select Language...,Valitse kieli...
Link,Linkki
{0}: No basic permissions set,{0}: Ei perustietoja
Value for a check field can be either 0 or 1,Tarkistuskentän arvo voi olla joko 0 tai 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Lisätty HTML-koodi verkkosivun &lt;head&gt; -osioon, jota käytetään ensisijaisesti verkkosivujen tarkistamiseen ja SEO: hen"
plus,plus
Please Duplicate this Website Theme to customize.,Duplicate this Website Theme muokata.
Options not set for link field {0},Vaihtoehtoja ei ole määritetty linkkikenttään {0}
Must have report permission to access this report.,Sinun täytyy olla raporttioikeus tämän raportin käyttämiseen.
Rename {0},Nimeä uudelleen {0}
Note: Multiple sessions will be allowed in case of mobile device,Huomautus: Mobiililaitteen tapauksessa sallitaan useita istuntoja
resize-small,kokoa-small
Relinked,Relinked
Roles HTML,HTML-roolit
Workflow will start after saving.,Työnkulku alkaa tallennuksen jälkeen.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Jos tiedot ovat HTML-muodossa, kopioi tarkka HTML-koodi tunnisteisiin."
Dates are often easy to guess.,Päivämäärät on usein helppo arvata.
Pincode,Pin-koodi
Update Value,Päivitä arvo
Has Web View,Onko Web-näkymä
Align Value,Tasaa arvo
Assignment Complete,Tehtävä on valmis
Header,ylätunniste
This query style is discontinued,Tämä kyselyn tyyli lopetetaan
Document Type is not submittable,Asiakirjan tyyppi ei ole alistettavissa
Display Depends On,Näyttö on käytössä
No Tags,Ei tunnisteita
Script Code,Komentosarjan koodi
Updated successfully,Päivitetty onnistuneesti
Hi {0},Hei {0}
{0} not a valid State,{0} ei ole kelvollinen valtio
Accounts User,Tilien käyttäjä
Groups of DocTypes,DocTypes-ryhmät
Website Route Redirect,Sivuston reitin uudelleenohjaus
Beginning with,Alkaen
Hello {0},Hei {0}
Start Time,Aloitusaika
{0} has been successfully added to the Email Group.,{0} on lisätty onnistuneesti sähköpostiryhmään.
Cancelled Document restored as Draft,Peruutettu asiakirja palautettiin luonnokseksi
Desktop Icon,Työpöydän kuvake
cancelled this document,peruutti tämän asiakirjan
Date Range,Ajanjakso
{0} appreciated {1},{0} arvostettu {1}
Values Changed,Arvot muuttuvat
Error in Notification,Ilmoitusvirhe
Enable Report,Ota raportti käyttöön
No alerts for today,Ei hälytyksiä tänään
Redirect URI Bound To Auth Code,Ohjaa URI: n sidottu tunnistus
Always use Account's Email Address as Sender,Käytä aina Tilin sähköpostiosoitetta lähettäjänä
Barcode,Viivakoodi
{0} Dashboard,{0} Kojelauta
Last Quarter,Viimeinen neljännes
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Ei saa liittää {0} -asiakirjaa, ota käyttöön Tulostusasetuksissa Salli tulostus {0} -kohdassa"
Attach,Liittää
Scopes,laajuudet
Deleted Documents,Poistetut asiakirjat
Workflow Action,Työnkulun toiminta
You can also copy-paste this ,Voit myös kopioida tämän
Is Feedback request triggered manually ?,Onko palautepyyntö käynnistetty manuaalisesti?
Select a chat to start messaging.,"Valitse chat, johon haluat aloittaa viestin."
No permission to read {0},Ei lupaa lukea {0}
Reply,Vastaa
Braintree payment gateway settings,Braintree-maksuyhdyskäytävän asetukset
Scheduled to send to {0},Aikataulu lähetetään osoitteeseen {0}
"If enabled, changes to the document are tracked and shown in timeline","Jos tämä on käytössä, asiakirjan muutokset seurataan ja näytetään aikajanalla"
Send Welcome Email,Lähetä tervetuloa sähköposti
asterisk,tähtimerkki
This link is invalid or expired. Please make sure you have pasted correctly.,"Tämä linkki on virheellinen tai vanhentunut. Varmista, että olet liittänyt ne oikein."
New Value,Uusi arvo
Due Date,Eräpäivä
"Include symbols, numbers and capital letters in the password","Lisää symboleja, numeroita ja isoja kirjaimia salasanaan"
Send Alert On,Lähetä hälytys päälle
Home/Test Folder 1/Test Folder 3,Koti / koekansio 1 / koekansio 3
Valid,Pätevä
Cannot edit cancelled document,Peruutettua asiakirjaa ei voi muokata
App Access Key,Sovelluksen käyttöavain
Login Before,Kirjaudu sisään ennen
Private,yksityinen
Update many values at one time.,Päivitä useita arvoja kerralla.
None,Ei mitään
Partial Success,Osittainen menestys
{0} comments,{0} kommentteja
Emails will be sent with next possible workflow actions,Sähköpostit lähetetään seuraavien mahdollisten työnkulun toimien avulla
adjust,säätää
on_change,on_change
{0} Name,{0} Nimi
Same Field is entered more than once,Sama kenttä syötetään useammin kuin kerran
Please select a Amount Field.,Valitse Summa-kenttä.
Company History,yrityshistoria
No Printer is Available.,Tulostinta ei ole käytettävissä.
Address Line 2,Osoiterivi 2
Time Interval,Aikaväli
Message Preview,Viestin esikatselu
Purchase Master Manager,Ostopäällikkö
Is Default,On oletuksena
Row Index,Rivi-indeksi
Allowed,sallittu
"If you are uploading new records, leave the ""name"" (ID) column blank.","Jos lähetät uusia tietueita, jätä nimi (ID) -sarakke tyhjäksi."
Events in Today's Calendar,Tapahtumat tämän päivän kalenterissa
GCalendar is not configured.,GCalendaria ei ole määritetty.
Entity Type,Entity Type
Mandatory field: set role for,Pakollinen kenttä: aseta rooli
Bulk Delete,Bulk Delete
Document Name,Asiakirjan nimi
Add your own translations,Lisää omia käännöksiäsi
eu-central-1,eu-Keski-1
Yearly,Vuosittain
Rename,Nimeä uudelleen
Remote Primary Key,Etäavain
Script or Query reports,Script- tai Query-raportit
Next Action Email Template,Seuraava toimenpide Sähköpostimalli
Chain Integrity,Ketjun eheys
Illegal Access Token. Please try again,Laiton käyttöoikeustunnus. Yritä uudelleen
"You need to have ""Share"" permission",Sinulla on oltava &quot;Jaa&quot; -oikeus
Let's prepare the system for first use.,Valmistaudu järjestelmä ensimmäiseen käyttöön.
circle-arrow-up,ympyrä-nuoli-ylös
play,pelata
You have been successfully logged out,Olet kirjautunut ulos
Require Trusted Certificate,Vaaditaan luotettavia varmenteita
Preview,esikatselu
Reference Owner,Viiteomistaja
Cannot cancel before submitting. See Transition {0},Ennen lähettämistä ei voi peruuttaa. Katso Siirtymä {0}
Setup &gt; Customize Form,Asetukset&gt; Muokkaa lomaketta
Unable to update event,Tapahtumaa ei voi päivittää
Queued,jonossa
Webhook Header,Webhook-otsikko
Allow GSuite access,Salli GSuite-käyttöoikeus
New Newsletter,Uusi uutiskirje
Updated To New Version,Päivitetty uuteen versioon
No {0} mail,Ei {0} postia
Password Reset,Salasanan nollaus
