Connector Type,Цоннецтор Типе
Updated,Ажурирано
Image Link,Имаге Линк
You selected Draft or Cancelled documents,Одабрали сте Нацрт или Поништени документи
Print,Принт
{0} does not exist in row {1},{0} не постоји у реду {1}
Currently updating {0},Тренутно се ажурира {0}
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,Није у режиму за развојне програмере! Поставите на сите_цонфиг.јсон или направите &#39;Цустом&#39; ДоцТипе.
gained {0} points,стекао {0} бодова
Success Message,Мессаге Мессаге
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","Опис странице за унос, у обичном тексту, само неколико редова. (максимално 140 знакова)"
Show Permissions,Прикажи дозволе
Restrict To Domain,Ограничи на домену
Sidebar Items,Ставке бочне траке
Not a valid User Image.,Неисправна корисничка слика.
Mark as Unread,Означи као непрочитану
The document has been assigned to {0},Документ је додељен {0}
{0} {1} not found,{0} {1} није пронађен
Chat Room User,Цхат Роом Корисник
Slideshow like display for the website,Приказ слајдова као за веб локацију
Print Format,Принт Формат
Auto Reply Message,Ауто Репли Мессаге
Restored,Обновљена
viewed,гледано
Submit an Issue,Субмит а Иссуе
on_update,он_упдате
Invalid {0} condition,Неважећи {0} услов
Not Ancestors Of,Нот Анцесторс Оф
Set Quantity,Сет Куантити
End Date,Крајњи датум
Next State,Нект Стате
Is First Startup,Ис Фирст Стартуп
updated to {0},ажурирано на {0}
Move To,Померити у
Administrator Logged In,Администратор Логгед Ин
Status,Статус
Please confirm your action to {0} this document.,Потврдите своју радњу на {0} овом документу.
Note:,Белешка:
bell,звоно
Template Name,Име предлошка
Org History,Орг Хистори
Translatable,Транслатабле
{0}: Cannot set Cancel without Submit,{0}: Није могуће подесити Цанцел без слања
Send enquiries to this email address,Пошаљите упите на ову адресу е-поште
Temporarily Disabled,Привремено онемогућено
Unsubscribe,Унсубсцрибе
Dashboard Chart Link,Дасхбоард Цхарт Линк
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,Није могуће избрисати датотеку која припада {0} {1} за коју немате дозволе
Dear,Драги
Generate New Report,Генеришите нови извештај
This email is autogenerated,Ова е-пошта је аутоматски генерисана
Forgot Password,Заборавили сте лозинку
Child Tables are shown as a Grid in other DocTypes,Табеле за децу су приказане као Мрежа у другим ДоцТипес
Unselect All,Поништи све
File Size,Величина фајла
Unable to read file format for {0},Није могуће читати формат датотеке за {0}
User Roles,Корисничке улоге
Text Align,Поравнање текста
Set Filters,Сет Филтерс
Transitions,Транситионс
Create a new ,Створити нова
Invalid field name {0},Неважећи назив поља {0}
Web Form,Веб Форм
Chat Room,Причаоница
Data Migration Connector,Прикључак за миграцију података
New Folder,Нова фасцикла
repeat,понављање
You must login to submit this form,Морате се пријавити да бисте послали овај образац
Sorry! You cannot delete auto-generated comments,Извињавам се! Не можете избрисати аутоматски генерисане коментаре
Track Views,Трацк Виевс
Allow events in timeline,Дозволите догађаје у временској линији
Module Def,Модуле Деф
Set Meta Tags,Поставите мета тагове
Created,Цреатед
Core,Језгро
Criticize,Критизирај
Warning: Unable to find {0} in any table related to {1},Упозорење: Није могуће пронаћи {0} у било којој табели која се односи на {1}
{0} Calendar,{0} Календар
Data Import Template,Дата Импорт Темплате
hand-left,лево
Backup Size:,Величина резервне копије:
Linked with {0},Повезано са {0}
Private Key,Привате Кеи
{0}: Cannot set import as {1} is not importable,{0}: Није могуће подесити увоз као {1} који се не може увести
Away,Аваи
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,Враћање дужине на {0} за &#39;{1}&#39; у &#39;{2}&#39;; Постављање дужине као {3} ће узроковати скраћивање података.
Select a group node first.,Прво изаберите групни чвор.
toggle Tag,тоггле Таг
"Newsletters to contacts, leads.","Билтени за контакте, води."
Read Only,Само за читање
No document selected,Ниједан документ није изабран
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","Ако је омогућено, корисник се може пријавити са било које ИП адресе помоћу опције Тво Фацтор Аутх, што се такође може поставити за све кориснике у Систем Сеттингс"
Auto Repeat has been {0},Аутоматско понављање је било {0}
John Doe,Н.Н. лице
This document has been modified after the email was sent.,Овај документ је измењен након слања е-поруке.
Notify if unreplied,Обавестите ако није испуњено
Introductory information for the Contact Us Page,Уводне информације за Контакт страницу
**Currency** Master,** Валута ** Мастер
Custom Sidebar Menu,Мени прилагођене бочне траке
Is Submittable,Ис Субмиттабле
Only Administrator is allowed to use Recorder,Само администратору је дозвољено да користи снимач
Password is required or select Awaiting Password,Лозинка је потребна или одаберите Очекивање лозинке
Note: Other permission rules may also apply,Напомена: Могу се применити и друга правила о дозволама
Notes: ,Напомене:
Custom CSS,Цустом ЦСС
Invalid CSV Format,Неважећи ЦСВ формат
Content Type,Тип садржаја
Password not found,Лозинка није пронађена
Clear,Јасно
This document cannot be reverted,Овај документ се не може вратити
Hello!,Здраво!
Report was not saved (there were errors),Извештај није сачуван (било је грешака)
Allow user to login only before this hour (0-24),Дозволите кориснику да се пријави само пре овог сата (0-24)
Add More,Додај још
You can also copy-paste this link in your browser,Можете и да копирате овај линк у прегледач
Add fields to forms.,Додајте поља у обрасце.
User is mandatory for Share,Корисник је обавезан за Схаре
Verify,Проверити
Enter Email Recipient(s),Унесите приматеља е-поште
Recorder,Рецордер
Interest,Интерес
Limit,Лимит
Print taxes with zero amount,Штампајте порезе са нултим износом
Book,Боок
Access Key ID,Приступите ИД-у кључа
URLs,УРЛс
Names and surnames by themselves are easy to guess.,Имена и презимена сами су лако погодити.
Report {0},Пријави {0}
Team Members Heading,Теам Мемберс Хеадинг
Document {0} has been set to state {1} by {2},Документ {0} је постављен на стање {1} од стране {2}
Address Template,Предложак адресе
step-backward,корак-уназад
Not Found,Није пронађен
Banner Image,Слика Банера
Not a valid Workflow Action,Није валидна радна акција
API Endpoint Args,АПИ Ендпоинт Аргс
Gateway,пролаз
Setup Auto Email,Подешавање Ауто Емаил
Represents the states allowed in one document and role assigned to change the state.,Представља стање дозвољено у једном документу и улогу додељену за промену стања.
Login with LDAP,Пријавите се са ЛДАП-ом
Please enable pop-ups,Омогућите искачуће прозоре
See the document at {0},Погледајте документ на {0}
Type,Тип
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Поднесени запис се не може избрисати.
refresh_token,рефресх_токен
Amend,Аменд
Export,Извоз
Show in filter,Прикажи у филтеру
It is necessary to take this action today itself for the above mentioned recurring,Неопходно је да се ова акција и данас предузме за горе поменуте
Export Custom Permissions,Извоз прилагођених дозвола
None: End of Workflow,Ноне: Крај радног тока
Version,Версион
6 months,6 месеци
Group,Група
There is some problem with the file url: {0},Постоји неки проблем са УРЛ-ом датотеке: {0}
Customize Form Field,Прилагоди поље обрасца
Comment can only be edited by the owner,Коментар може уређивати само власник
Document Follow,Доцумент Фоллов
Did not find {0} for {0} ({1}),Није пронађена {0} за {0} ({1})
URL,УРЛ
Parent is required to get child table data,Родитељ је обавезан да добије податке о дечјој табели
A log of request errors,Дневник грешака захтева
User not allowed to delete {0}: {1},Кориснику није дозвољено да избрише {0}: {1}
dd-mm-yyyy,дд-мм-ииии
eject,ејецт
Drag and Drop tool to build and customize Print Formats.,Повуците и испустите алат за израду и прилагођавање формата за штампање.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","Ако је означено, ово поље неће бити преписано на основу Фетцх Фром ако већ постоји вредност."
Currently Viewing,Цуррентли Виевинг
Not allowed for {0}: {1}. Restricted field: {2},Није дозвољено за {0}: {1}. Ограничено поље: {2}
Slack,Слацк
Please duplicate this to make changes,Молимо Вас да дуплирате ово да бисте направили измене
Repeat On,Репеат Он
Login After,Логин Афтер
Folder {0} is not empty,Мапа {0} није празна
File Type,Филе Типе
Enable Raw Printing,Омогући Рав Принтинг
Further nodes can be only created under 'Group' type nodes,Остали чворови могу бити креирани само под чворовима типа &#39;Група&#39;
signal,сигнал
Cannot edit a standard report. Please duplicate and create a new report,Није могуће уредити стандардни извештај. Молимо Вас да дуплирате и направите нови извештај
Sales Master Manager,Салес Манагер
Bulk Edit {0},Групно уређивање {0}
Preparing Report,Припрема извештаја
{0} criticized your work on {1} with {2} point,{0} је критиковао ваш рад на {1} са {2} тачком
Verdana,Вердана
Unsubscribed,Претплаћено
DocPerm,ДоцПерм
Fold can not be at the end of the form,Фолд не може бити на крају обрасца
Server IP,Сервер ИП
{0} Tree,{0} Дрво
Send Password,Сенд Пассворд
All Day,Цео дан
Parent is the name of the document to which the data will get added to.,Родитељ је назив документа којем ће подаци бити додани.
Block Module,Блоцк Модуле
(Ctrl + G),(Цтрл + Г)
Points,Бодова
API Endpoint,АПИ Ендпоинт
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,Погледајте хттпс://доцс.авс.амазон.цом/де_де/генерал/латест/гр/ранде.хтмл#с3_регион за детаље.
App Client Secret,Тајна апликације клијента
Original Value,Оригинал Валуе
Attach Image,Приложи слику
Your system is being updated. Please refresh again after a few moments,Ваш систем се ажурира. Освежите поново након неколико тренутака
Add / Manage Email Accounts.,Додајте / управљајте налозима е-поште.
Third Party Authentication,Аутентикација треће стране
1 year,1 година
{0} reverted your points on {1},{0} је вратио ваше тачке на {1}
arrow-down,стрелица-доле
Ignore encoding errors,Занемари грешке кодирања
Letter Head Name,Име главе писма
Client Script,Цлиент Сцрипт
Higher priority rule will be applied first,Прво ће се применити правило вишег приоритета
Content (HTML),Садржај (ХТМЛ)
{0} appreciation points for {1} {2},{0} поена за процену за {1} {2}
Search in a document type,Тражи у типу документа
Only Administrator is allowed to create Dashboard Chart Sources,Само администратору је дозвољено да креира изворе графикона контролне табле
Only 200 inserts allowed in one request,Дозвољено је само 200 уметака у једном захтеву
Kanban Board Name,Канбан Боард Наме
Group Label,Ознака групе
thumbs-up,знак одобравања
Reload,Освежи
{0} added,Додато је {0}
{0} to {1},{0} до {1}
Attach File,Приложите датотеку
Expose Recipients,Екпосе Реципиентс
ToDo,Урадити
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","Различите &quot;Државе&quot; у којима овај документ може да постоји. Као &quot;Отвори&quot;, &quot;На чекању&quot; итд."
Weekly,Недељно
Preview HTML,Прегледајте ХТМЛ
GSuite Templates,ГСуите Темплатес
Force Show,Форце Схов
Deleted Name,Избрисано име
Home,Кућа
User can login using Email id or User Name,Корисник се може пријавити користећи Емаил ид или Усер Наме
Assign a permission level to the field.,Доделите ниво дозволе пољу.
Error: Value missing for {0}: {1},Грешка: недостаје вредност за {0}: {1}
ap-northeast-3,ап-нортхеаст-3
Please enter Redirect URL,Унесите УРЛ преусмеравања
Allow on Submit,Аллов он Субмит
Table {0} cannot be empty,Табела {0} не може бити празна
minus-sign,минус-знак
Phone,Телефон
Clear all roles,Обришите све улоге
Example,Пример
You need write permission to rename,Потребна вам је дозвола писања за преименовање
Advanced Control,Адванцед Цонтрол
Path to Server Certificate,Потврда путање до сервера
If Checked workflow status will not override status in list view,Ако статус провереног радног тока неће заменити статус у приказу листе
Updating {0},Ажурирање {0}
Logged in as Guest or Administrator,Пријављен као гост или администратор
Green,Зелен
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"За нове записе неопходна су само обавезна поља. Ако желите, можете обрисати необавезне колоне."
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} мора да почне и завршава са словом и може да садржи само слова, цртицу или доњу црту."
Create User Email,Креирајте е-пошту корисника
Sort field {0} must be a valid fieldname,Поље сортирања {0} мора бити важеће име поља
Filter Meta,Филтер Мета
Category Name,име категорије
Javascript to append to the head section of the page.,Јавасцрипт да бисте додали глави на страници.
Allow Delete,Дозволи брисање
Authorize URL,Аутхоризе УРЛ
This feature is brand new and still experimental,Ова функција је потпуно нова и још увек експериментална
S3 Backup Settings,С3 Бацкуп Сеттингс
Not Seen,Не види
Not Like,Не волим
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","Уметни После поља &#39;{0}&#39; поменуто у прилагођеном пољу &#39;{1}&#39;, са ознаком &#39;{2}&#39;, не постоји"
Refresh Form,Рефресх Форм
MyISAM,МиИСАМ
Try to use a longer keyboard pattern with more turns,Покушајте да користите дужи шаблон са више окретаја
Archive,Архива
Your payment is cancelled.,Ваша уплата је отказана.
Fieldname {0} cannot have special characters like {1},Име поља {0} не може имати специјалне знакове као {1}
Traceback,Траг
Route,Рута
Workflow Name,Воркфлов Наме
Report,Извештај
Incomplete login details,Непотпуни подаци за пријаву
Table,Сто
Start a conversation.,Започните разговор.
Sync on Migrate,Синц он Миграте
Timeline Field,Тимелине Фиелд
Fieldtype {0} for {1} cannot be indexed,Тип поља {0} за {1} не може бити индексиран
Loading...,Учитавање ...
Half Yearly,Полу годишње
Last Modified Date,Ласт Модифиед Дате
First Name,Име
Comments,Цомментс
Assignment for {0} {1},Додељивање за {0} {1}
Cannot link cancelled document: {0},Није могуће повезати отказани документ: {0}
BCC,БЦЦ
Long Text,Лонг Тект
Float Precision,Флоат Прецисион
Please Enter Your Password to Continue,Унесите лозинку за наставак
Save Report,Сачувај извештај
"""Team Members"" or ""Management""",&quot;Чланови тима&quot; или &quot;Менаџмент&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - Скица; 1 - Поднесено; 2 - Отказано
SMTP Settings for outgoing emails,СМТП подешавања за одлазне е-поруке
Is Your Company Address,Адреса ваше компаније
Printer Name,Име штампача
Dropbox Settings,Дропбок Сеттингс
System and Website Users,Корисници система и веб страница
Fieldname which will be the DocType for this link field.,Име поља које ће бити ДоцТипе за ово поље везе.
Content Hash,Цонтент Хасх
Posts by {0},Постови од {0}
{0} assigned {1}: {2},{0} додељено {1}: {2}
globe,глобе
Average of {0},Просек од {0}
Clear Error Logs,Обришите дневнике грешака
Friendly Title,Фриендли Титле
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""","Додајте назив &quot;Гоогле Веб Фонт&quot;, нпр. &quot;Опен Санс&quot;"
Filter,Филтер
No of Rows (Max 500),Број редова (максимално 500)
Label,Етикета
Your account has been locked and will resume after {0} seconds,Ваш налог је закључан и наставиће се након {0} секунди
indent-left,индент-лефт
Identity Details,Детаљи о идентитету
Visitor,Виситор
gift,поклон
Run Tests,Рун Тестс
LDAP Search String,ЛДАП Сеарцх Стринг
Field {0} not found.,Поље {0} није пронађено.
Select Languages,Изабери језике
You don't have any messages yet.,Још немате ниједну поруку.
Event Type,Тип догађаја
"To get the updated report, click on {0}.","Да бисте добили ажурирани извештај, кликните на {0}."
Home Settings,Хоме Сеттингс
Apply to all Documents Types,Примените све типове докумената
Inverse,Инверсе
Closed,Затворено
Query,Упит
Days After,Даис Афтер
Request Timed Out,Захтев истекао
Email Footer Address,Адреса за подножје е-поште
Energy point update,Ажурирање енергетске тачке
Click here to verify,Кликните овде да бисте потврдили
You can use Customize Form to set levels on fields.,Можете користити Цустомизе Форм да бисте поставили нивое на пољима.
App Secret Key,Апп Сецрет Кеи
Show Section Headings,Прикажи наслове секција
Mentions,Ментионс
Series {0} already used in {1},Серија {0} већ коришћена у {1}
Clicked,Цлицкед
Log,Пријава
Accept Payment,Прихвати плаћање
Print Server,Принт Сервер
Welcome Message,Порука добродошлице
Reference DocType,Референце ДоцТипе
Shared,Схаред
Unknown Column: {0},Непознати ступац: {0}
Enabled,Омогућено
Setup Complete,Сетуп Цомплете
Shared with {0},Дељено са {0}
Not a valid Comma Separated Value (CSV File),Није важећа вредност раздвојена зарезом (ЦСВ датотека)
Your payment has failed.,Ваша уплата није успела.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","За везе, унесите ДоцТипе као опсег. За Селецт, унесите листу Оптионс, сваки на новој линији."
1 minute ago,Пре 1 минут
No Active Sessions,Нема активних сесија
Row,Ров
Please try again,"Молим вас, покушајте поново"
Chart Options,Опције графикона
Push Failed,Пусх Фаилед
Off,Ван
Default Outgoing,Дефаулт Оутгоинг
1 year ago,Пре 1 године
View Subscribers,Прикажи претплатнике
Allow Print,Аллов Принт
Comment,Коментар
{0} not allowed to be renamed,{0} није дозвољено да се преименује
Success URL,УРЛ успеха
Document is only editable by users of role,Документ се може уређивати само од стране корисника улоге
Outgoing email account not correct,Рачун за одлазну е-пошту није исправан
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,Спајање је могуће само између групе од групе до чвора са листовима чворова
Select Language...,Изаберите језик ...
Link,Линк
{0}: No basic permissions set,{0}: Нема постављених основних дозвола
Value for a check field can be either 0 or 1,Вредност поља за проверу може бити 0 или 1
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO","Додао је ХТМЛ у &lt;хеад&gt; секцију веб странице, првенствено за провјеру веб-локације и СЕО"
plus,плус
Please Duplicate this Website Theme to customize.,Молимо да дуплирате ову тему веб сајта да бисте је прилагодили.
Options not set for link field {0},Опције нису постављене за поље везе {0}
Must have report permission to access this report.,Мора да има дозволу извештаја за приступ овом извештају.
Rename {0},Преименуј {0}
Note: Multiple sessions will be allowed in case of mobile device,Напомена: Дозвољено је више сесија у случају мобилног уређаја
resize-small,ресизе-смалл
Relinked,Релинкед
Roles HTML,Улога ХТМЛ-а
Workflow will start after saving.,Воркфлов ће почети након чувања.
"If your data is in HTML, please copy paste the exact HTML code with the tags.","Ако су ваши подаци у ХТМЛ-у, копирајте тачан ХТМЛ код са ознакама."
Dates are often easy to guess.,Датуми су често лако погодити.
Pincode,Пин код
Update Value,Ажурирај вредност
Has Web View,Има Веб Виев
Align Value,Поравнај вредност
Assignment Complete,Ассигнмент Цомплете
Header,Заглавље
This query style is discontinued,Овај стил упита је укинут
Document Type is not submittable,Тип документа није доступан за слање
Display Depends On,Приказ зависи од
No Tags,Но Тагс
Script Code,Сцрипт Цоде
Updated successfully,Ажуриран успешно
Hi {0},Здраво {0}
{0} not a valid State,{0} није важећа држава
Accounts User,Аццоунтс Усер
Groups of DocTypes,Гроупс оф ДоцТипес
Website Route Redirect,Вебсите Роуте Редирецт
Beginning with,Почевши од
Hello {0},Здраво {0}
Start Time,Почетно време
{0} has been successfully added to the Email Group.,{0} је успешно додата у групу е-поште.
Cancelled Document restored as Draft,Отказан документ враћен као нацрт
Desktop Icon,Иконица са десктопа
cancelled this document,отказао овај документ
Date Range,Период
{0} appreciated {1},{0} је ценио {1}
Values Changed,Валуес Цхангед
Error in Notification,Грешка у обавештењу
Enable Report,Омогући извештај
No alerts for today,Нема упозорења за данас
Redirect URI Bound To Auth Code,Преусмери УРИ везан за Аутх код
Always use Account's Email Address as Sender,Увек користите е-адресу налога као пошиљаоца
Barcode,Барцоде
{0} Dashboard,{0} Контролна табла
Last Quarter,"Последња четвртина, последњи фртаљ"
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings","Није дозвољено да приложите {0} документ, омогућите Аллов Принт Фор {0} у Принт Сеттингс"
Attach,Приложи
Scopes,Сцопес
Deleted Documents,Избрисани документи
Workflow Action,Воркфлов Ацтион
You can also copy-paste this ,Можете и ово да копирате
Is Feedback request triggered manually ?,Да ли се захтев за повратне информације покреће ручно?
Select a chat to start messaging.,Изаберите ћаскање да бисте започели размену порука.
No permission to read {0},Нема дозволе за читање {0}
Reply,Одговорити
Braintree payment gateway settings,Подешавања Браинтрее плаћања
Scheduled to send to {0},Заказано за слање на {0}
"If enabled, changes to the document are tracked and shown in timeline","Ако је омогућено, промене у документу се прате и приказују у временској линији"
Send Welcome Email,Пошаљи поздравну е-пошту
asterisk,астериск
This link is invalid or expired. Please make sure you have pasted correctly.,Ова веза је неважећа или је истекла. Молимо вас да проверите да ли сте правилно налепили.
New Value,Нова вредност
Due Date,Рок предаје
"Include symbols, numbers and capital letters in the password","Укључите симболе, бројеве и велика слова у лозинку"
Send Alert On,Сенд Алерт Он
Home/Test Folder 1/Test Folder 3,Почетна / Тест Фолдер 1 / Тест Фолдер 3
Valid,Валид
Cannot edit cancelled document,Није могуће уредити отказани документ
App Access Key,Кључ приступа апликацији
Login Before,Логин Бефоре
Private,Приватни
Update many values at one time.,Ажурирајте многе вриједности одједном.
None,Ниједан
Partial Success,Партиал Суццесс
{0} comments,{0} коментара
Emails will be sent with next possible workflow actions,Е-поруке ће бити послате са следећим могућим радњама
adjust,подесите
on_change,он_цханге
{0} Name,{0} Име
Same Field is entered more than once,Исто поље се уноси више пута
Please select a Amount Field.,Изаберите поље Износ.
Company History,Историја компаније
No Printer is Available.,Није доступан штампач.
Address Line 2,Адреса 2
Time Interval,Временски период
Message Preview,Преглед поруке
Purchase Master Manager,Купите Мастер Манагер
Is Default,Ис Дефаулт
Row Index,Индекс редова
Allowed,Дозвољен
"If you are uploading new records, leave the ""name"" (ID) column blank.","Ако постављате нове записе, оставите колону &quot;наме&quot; (ИД) празну."
Events in Today's Calendar,Догађаји у данашњем календару
GCalendar is not configured.,ГЦалендар није конфигурисан.
Entity Type,Ентити Типе
Mandatory field: set role for,Обавезно поље: поставите улогу за
Bulk Delete,Булк Делете
Document Name,Назив документа
Add your own translations,Додајте сопствене преводе
eu-central-1,еу-централ-1
Yearly,Годишње
Rename,Преименуј
Remote Primary Key,Даљински примарни кључ
Script or Query reports,Извештаји скрипте или упита
Next Action Email Template,Следећа акција е-поште
Chain Integrity,Цхаин Интегрити
Illegal Access Token. Please try again,"Илегални приступни токен. Молим вас, покушајте поново"
"You need to have ""Share"" permission",Морате имати дозволу &quot;Схаре&quot;
Let's prepare the system for first use.,Припремимо систем за прву употребу.
circle-arrow-up,круг-стрелица-горе
play,игра
You have been successfully logged out,Успешно сте одјављени
Require Trusted Certificate,Захтевајте поуздани сертификат
Preview,Преглед
Reference Owner,Власник референце
Cannot cancel before submitting. See Transition {0},Не може се отказати пре слања. Погледајте транзицију {0}
Setup &gt; Customize Form,Подешавање&gt; Прилагоди образац
Unable to update event,Није могуће ажурирати догађај
Queued,Куеуед
Webhook Header,Вебхоок Хеадер
Allow GSuite access,Дозволи ГСуите приступ
New Newsletter,Нев Невслеттер
Updated To New Version,Ажурирано до нове верзије
No {0} mail,Нема {0} поште
Password Reset,Ресетовање лозинке
From Full Name,Фром Фулл Наме
Newsletter,Невслеттер
Section Break,Сецтион Бреак
play-circle,плаи-цирцле
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",Није пронађено ниједно поље које се може користити као Канбан колона. Користите Цустомизе Форм да бисте додали прилагођено поље типа &quot;Селецт&quot;.
Column,Цолумн
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth","Ако је омогућено, корисници који се пријаве са ограничене ИП адресе неће бити упитани за Аутоф"
You do not have enough points,Немате довољно поена
More Information,Више информација
DocShare,ДоцСхаре
Filters,Филтерс
Room,Соба
{0} items selected,Одабрано је {0} ставки
Leave a Comment,Оставите коментар
Stripe Settings,Поставке траке
Background Workers,Бацкгроунд Воркерс
Customize...,Прилагоди...
<p>No results found for '</p>,<p> Нису пронађени резултати за &#39; </p>
Last Year,Прошле године
Remote Objectname,Ремоте Објецтнаме
yyyy-mm-dd,гггг-мм-дд
Flag,Флаг
plane,авионом
Nested set error. Please contact the Administrator.,Нестед сет еррор. Молимо контактирајте администратора.
Show Report,Прикажи извештај
Auto Repeat Schedule,Ауто Репеат Сцхедуле
Office,Оффице
StartTLS,СтартТЛС
{0} days ago,{0} дана пре
Check,Проверавати
Fetch From,Фетцх Фром
Not in Developer Mode,Није у Девелопер моду
Verifying...,Провера ...
Printer,Принтер
A symbol for this currency. For e.g. $,Симбол за ову валуту. За нпр. $
Cannot remove ID field,Није могуће уклонити ИД поље
removed,уклоњен
Add Review,Додај преглед
circle-arrow-left,круг-стрелица-лијево
Dr,Др
Apply To All Document Types,Примените на све типове докумената
"There were some errors setting the name, please contact the administrator","Било је неких грешака при подешавању имена, обратите се администратору"
Allow Login After Fail,Аллов Логин Афтер Фаил
Documents,Документи
Track Field,Тркаће поље
Compiled Successfully,Успешно састављен
{0} criticism points for {1} {2},{0} критика за {1} {2}
Warning: This Print Format is in old style and cannot be generated via the API.,Упозорење: Овај формат штампања је у старом стилу и не може се генерисати преко АПИ-ја.
in the Auto Repeat document,у документу Аутоматско понављање
Access Token,Токен приступа
Small Text,Мали текст
Edit {0},Измени {0}
Web Page,Веб страна
Connection Success,Успјех везе
Completed By,Завршен
Bypass Two Factor Auth for users who login from restricted IP Address,Заобићи два фактора Аутх за кориснике који се пријаве са ограничене ИП адресе
Missing Values Required,Потребне су недостајуће вредности
My Settings,Моја подешавања
Group name cannot be empty.,Назив групе не може бити празан.
road,роад
Source,Извор
Active Sessions,Ацтиве Сессионс
There can be only one Fold in a form,Може бити само један Фолд у форми
New Chat,Нев Цхат
Scan the QR Code and enter the resulting code displayed.,Скенирајте КР код и унесите приказани код.
map-marker,мап-маркер
Change Password,Промени лозинку
More...,Више...
Personal Data Deletion Request,Захтев за брисање личних података
Path to CA Certs File,Пут до ЦА Цертс датотеке
Old Password,стара шифра
No of Columns,Но оф Цолумнс
Sending,Слање
Google GSuite is not configured.,Гоогле ГСуите није конфигурисан.
Dropbox access is approved!,Дропбок приступ је одобрен!
Call,Цалл
Day,Дан
Shop,Схоп
Under Development,У развоју
Please enter Authorize URL,Унесите УРЛ за ауторизацију
Send Notification to,Сенд Нотифицатион то
Dropbox backup settings,Подешавања за бацкуп података
Remove all customizations?,Уклонити све прилагодбе?
Only Administrator can edit,Само администратор може уређивати
Reference Document,Референтни документ
Liked,Ликед
This is a background report. Please set the appropriate filters and then generate a new one.,Ово је позадински извештај. Поставите одговарајуће филтре и генеришите нову.
Viewed By,Виевед Би
Please select another payment method. PayPal does not support transactions in currency '{0}',Изаберите други начин плаћања. ПаиПал не подржава трансакције у валути &quot;{0}&quot;
Document can't saved.,Документ не може да се сачува.
Did not cancel,Није отказао
"Must be of type ""Attach Image""",Мора бити типа &quot;Приложи слику&quot;
Send Password Update Notification,Пошаљи обавештење о ажурирању лозинке
XLSX,КСЛСКС
Select a DocType to make a new format,Изаберите ДоцТипе да бисте направили нови формат
Deleted Document,Избрисан документ
Please select a file or url,Изаберите датотеку или урл
Length,Ленгтх
JSON,ЈСОН
Helvetica,Хелветица
Select Table Columns for {0},Изаберите колоне табела за {0}
Tag Category,Таг Цатегори
A new account has been created for you at {0},Нови налог је креиран за вас на {0}
Roles can be set for users from their User page.,Улоге се могу поставити за кориснике са њихове корисничке странице.
Include Search in Top Bar,Укључи претрагу у горњој траци
[Urgent] Error while creating recurring %s for %s,[Хитно] Грешка приликом креирања понављајућег% с за% с
Author,Аутхор
on_cancel,он_цанцел
No document found for given filters,Није пронађен ниједан документ за дате филтре
Users and Permissions,Корисници и дозволе
Roles,Улоге
Attachments,Прилози
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Када измијените документ након Одустани и спремите га, он ће добити нови број који је верзија старог броја."
Manage Third Party Apps,Управљање апликацијама треће стране
No records tagged.,Нема означених записа.
User Emails,Е-поруке корисника
Website Theme Image Link,Вебсите Тхеме Имаге Линк
Hide Weekends,Хиде Веекендс
Criticism,Критика
Download with Data,Преузмите са подацима
Add meta tags to your web pages,Додајте мета тагове на своје веб странице
john@doe.com,јохн@дое.цом
Days Before,Даис Бефоре
Notify by Email,Обавести путем е-поште
Response Type,Респонсе Типе
resize-horizontal,ресизе-хоризонтал
App {0} already installed,Апликација {0} је већ инсталирана
Time Zone,Временска зона
Fill Screen,Филл Сцреен
County,Цоунти
First Transaction,Фирст Трансацтион
Click to Set Filters,Кликните да бисте поставили филтере
Background Style,Бацкгроунд Стиле
Collapsible,Склопиви
PDF generation failed because of broken image links,ПДФ генерација није успела због прекинутих веза са сликама
Migration ID Field,ИД поља миграције
Not a valid LDAP user,Није важећи ЛДАП корисник
Create a new record,Направите нови запис
"{0}, Row {1}","{0}, Ред {1}"
