Connector Type,connector အမျိုးအစား
on_update,on_update
Invalid {0} condition,မှားနေသော {0} အခွအေနေ
Not Ancestors Of,မဘိုးဘေးများ
Set Quantity,Set အရေအတွက်
End Date,အဆုံးနေ့စွဲ
Next State,next ကိုပြည်နယ်
Is First Startup,ပထမဦးစွာ Startup စာမျက်နှာဖြစ်ပါသည်
updated to {0},{0} မှ updated
Move To,ရန်ရွှေ့
Administrator Logged In,အုပ်ချုပ်ရေးမှူး Logged ခုနှစ်တွင်
Status,status
Please confirm your action to {0} this document.,{0} ဤစာရွက်စာတမ်းရန်သင့်အရေးယူအတည်ပြုပေးပါ။
Note:,မှတ်စု:
bell,ခေါင်းလောင်း
Template Name,template အမည်
Org History,org သမိုင်း
Translatable,ဘာသာပြန်ချက်
{0}: Cannot set Cancel without Submit,{0}: Submit မပါဘဲ Cancel မသတ်မှတ်နိုင်ပါ
Send enquiries to this email address,ဒီအီးမေးလ်လိပ်စာမှမေးမြန်းစုံစမ်းလိုသည်များ Send
Temporarily Disabled,ယာယီပိတ်ထား
Unsubscribe,စာရင်းဖျက်ရန်
Dashboard Chart Link,Dashboard ကိုဇယား Link ကို
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,က {0} {1} သင်ခွင့်ပြုချက်မရှိပါဖို့ရာဘို့ပိုင်အဖြစ်ဖိုင်ကိုမဖျက်နိုင်ပါ
Dear,ချစ်ခင်ရပါသော
Generate New Report,နယူးအစီရင်ခံစာ Generate
This email is autogenerated,ဤသည်ကိုအီးမေးလ် autogenerated ဖြစ်ပါတယ်
Forgot Password,စကားဝှက်ကိုမေ့နေပါသလား
Child Tables are shown as a Grid in other DocTypes,ကလေးသူငယ်ဇယားသည်အခြား DOCTYPE အတွက် Grid အဖြစ်ပြသထားပါသည်
Unselect All,အားလုံးရွေးချယ်ထားခြင်းမှဖြုတ်ရန်
File Size,ဖိုင်အရွယ်အစား
Unable to read file format for {0},{0} များအတွက်ဖိုင် format ကိုဖတ်မရပါ
User Roles,အသုံးပြုသူအခန်းကဏ္ဍ
Text Align,စာသားမညှိရန်
Set Filters,set စိစစ်မှုများ
Transitions,အကူးအပြောင်း
Create a new ,အသစ်တစ်ခုကို Create
Invalid field name {0},မှားနေသောလယ်ကွင်းနာမကိုအမှီ {0}
Web Form,Web ကို Form ကို
Chat Room,ROOM တွင် chat
Data Migration Connector,ဒေတာကိုရွှေ့ပြောင်း Connector
New Folder,ဖိုင်တွဲအသစ်
repeat,ပြန်ဆို
You must login to submit this form,သငျသညျဤပုံစံကိုတင်ပြရန် login ရမယ်
Sorry! You cannot delete auto-generated comments,Sorry! သငျသညျ Auto-generated မှတ်ချက်များမဖျက်နိုင်ပါ
Track Views,Views စာကိုခြေရာခံ
Allow events in timeline,အချိန်ဇယားထဲမှာ Allow ဖြစ်ရပ်များ
Module Def,module Def
Set Meta Tags,Meta Tags: Set
Created,Created
Core,core
Criticize,ဝေဖန်
Warning: Unable to find {0} in any table related to {1},သတိပေးချက်: {1} နှင့်ပတ်သက်သောမည်သည့် table ထဲမှာ {0} ကိုရှာဖွေဖို့မအောင်မြင်ဘူး
{0} Calendar,{0} ပြက္ခဒိန်
Data Import Template,ဒေတာများကိုတင်သွင်း Template ကို
hand-left,လက်-left
Backup Size:,Backup ကို Size:
Linked with {0},{0} နှင့်အတူဆက်နွယ်နေ
Private Key,ပုဂ္ဂလိက Key ကို
{0}: Cannot set import as {1} is not importable,{0}: {1} အရေးမပါသကဲ့သို့တင်သွင်းမသတ်မှတ်နိုင်ပါ
Away,ကွာ
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,&#39;&#39; {1} &#39;အဘို့ {0} မှအရှည်သို့ပြန်သွားခြင်း&#39; &#39;{2}&#39; ၌; {3} အချက်အလက်များ၏ခြင်းကိုဖြစ်ပေါ်စေပါလိမ့်မယ်အဖြစ်အရှည်ချိန်ညှိခြင်း။
Select a group node first.,ပထမဦးဆုံးအဖွဲ့တစ်ဖွဲ့ node ကိုရွေးချယ်ပါ။
toggle Tag,Toggle အား Tag ကို
"Newsletters to contacts, leads.","အဆက်အသွယ်များ, ဆောင်မှသတင်းလွှာ။"
Read Only,သာလျှင် Read
No document selected,အဘယ်သူမျှမစာရွက်စာတမ်းမရွေး
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings","enabled ဆိုလျှင်, အသုံးပြုသူနှစ်ဦး Factor Auth ကိုအသုံးပြုပြီးမည်သည့် IP Address ကိုကနေ login နိုငျသညျ, ဤသူကိုလည်း System ကိုချိန်ညှိမှုများအားလုံးကိုအသုံးပြုသူများအတွက်သတ်မှတ်နိုင်ပါသည်"
Auto Repeat has been {0},အော်တိုထပ် {0} ခဲ့
John Doe,ယောဟနျသ Doe
This document has been modified after the email was sent.,အီးမေးလ်ကိုစေလွှတ်လိုက်ပြီးနောက်ဤစာရွက်စာတမ်းပြုပြင်မွမ်းမံခဲ့တာဖြစ်ပါတယ်။
Notify if unreplied,unreplied လျှင်အကြောင်းကြားရန်
Introductory information for the Contact Us Page,အဆိုပါကြှနျုပျတို့ကိုဆကျသှယျရနျစာမျက်နှာဘို့နိဒါန်းသတင်းအချက်အလက်
**Currency** Master,** ငွေကြေး ** မာစတာ
Custom Sidebar Menu,custom Sidebar Menu ကို
Is Submittable,တင်ပြသူဖြစ်ပါသည်
Only Administrator is allowed to use Recorder,သာအုပ်ချုပ်ရေးမှူး Recorder ကိုသုံးစွဲဖို့ခွင့်ပြုခဲ့တာဖြစ်ပါတယ်
Password is required or select Awaiting Password,Password ကို Password ကိုစောင့်မျှော်နေရင်းမလိုအပ်သို့မဟုတ် select လုပ်ဖြစ်ပါတယ်
Note: Other permission rules may also apply,မှတ်ချက်: အခြားခွင့်ပြုချက်စည်းမျဉ်းစည်းကမ်းတွေလည်းလျှောက်ထားနိုင်ပါသည်
Notes: ,မှတ်စုများ:
Custom CSS,custom CSS ကို
Invalid CSV Format,မှားနေသော CSV ဖိုင် Format ကို
Content Type,အကြောင်းအရာအမျိုးအစား
Password not found,Password ကိုမတွေ့ရှိ
Clear,ရှင်းလင်းသော
This document cannot be reverted,ဤစာရွက်စာတမ်းမူလမရနိုင်
Hello!,ဟယ်လို!
Report was not saved (there were errors),အစီရင်ခံစာ (အမှားအယွင်းများရှိခဲ့သည်) ကယ်တင်ခြင်းသို့မရောက်ကြခဲ့သည်
Allow user to login only before this hour (0-24),(0-24) အသုံးပြုသူသာဒီနာရီမတိုင်မီ login မှ Allow
Add More,နောက်ထပ် Add
You can also copy-paste this link in your browser,သင်တို့သည်လည်း copy-paste နိုင်ပါတယ်ဒီ link ကိုသင့် browser အတွက်
Add fields to forms.,ပုံစံများမှလယ်ကွင်းထည့်ပါ။
User is mandatory for Share,အသုံးပြုသူဝေမျှမယ်တွေအတွက်မဖြစ်မနေဖြစ်ပါသည်
Verify,Verify
Enter Email Recipient(s),အီးမေးလ်လက်ခံသူ (များ) ကိုရိုက်ထည့်
Recorder,အသံဖမ်း
Interest,စိတ်ဝင်စားမှု
Limit,ကန့်သတ်
Print taxes with zero amount,သုညငွေပမာဏနှင့်အတူပုံနှိပ်ပါအခွန်များ
Book,စာအုပ်
Access Key ID,Access ကိုသော့ ID
URLs,URL များကို
Names and surnames by themselves are easy to guess.,သူတို့ကိုယ်သူတို့အားဖြင့်အမည်များနှင့်မျိုးရိုးအမည်ခန့်မှန်းဖို့လွယ်ကူပါတယ်။
Report {0},အစီရင်ခံစာ {0}
Team Members Heading,ရေးအဖွဲ့အဖွဲ့ဝင်များခေါင်းစီး
Document {0} has been set to state {1} by {2},စာရွက်စာတမ်း {0} {2} အားဖြင့်ပြည်နယ် {1} ဟုသတ်မှတ်ထားသည်
Address Template,လိပ်စာ Template ကို
step-backward,ခြေလှမ်း-နောက်ပြန်
Not Found,မတွေ့ပါ
Banner Image,နဖူးစည်းစာတန်းပုံရိပ်
Not a valid Workflow Action,မခိုင်လုံသောလုပ်ငန်းအသွားအလာလှုပ်ရှားမှု
API Endpoint Args,API ကိုဆုံးမှတ် Args
Gateway,တံခါးပေါက်
Setup Auto Email,Setup ကိုအော်တိုအီးမေးလ်
Represents the states allowed in one document and role assigned to change the state.,ပြည်နယ်ကိုပြောင်းလဲတာဝန်ပေးတဦးတည်းစာရွက်စာတမ်းနှင့်အခန်းကဏ္ဍအတွက်ခွင့်ပြုသည့်ပြည်နယ်များကိုကိုယ်စားပြုသည်။
Login with LDAP,LDAP နှင့်အတူ Login
Please enable pop-ups,Pop-ups enable ပေးပါ
See the document at {0},{0} မှာစာရွက်စာတမ်းကိုကြည့်ပါ
Type,ပုံစံ
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: Submitted စံချိန်ဖျက်ပစ်လို့မရပါ။
refresh_token,refresh_token
Amend,ပြုပြင်သည်
Export,ထုတ်ကုန်
Show in filter,filter ကိုအတွက်ပြရန်
It is necessary to take this action today itself for the above mentioned recurring,ထပ်တလဲလဲဖော်ပြထားသောအထက်တွင်ယနေ့ကိုယ်တိုင်ကဤ action ယူရန်လိုအပ်သောကြောင့်
Export Custom Permissions,ပို့ကုန်စိတ်တိုင်းကျခွင့်ပြုချက်များ
None: End of Workflow,အဘယ်သူမျှမ: အသွားအလာ၏နိဂုံး
Version,ဗားရှင်း
6 months,6 လ
Group,Group မှ
There is some problem with the file url: {0},ဖိုင်ကို url နှင့်အတူအချို့သောပြဿနာရှိပါတယ်: {0}
Customize Form Field,Form ကိုကွင်းဆင်း Customize
Comment can only be edited by the owner,မှတ်ချက်ကိုသာပိုင်ရှင် edited နိုင်ပါသည်
Document Follow,စာရွက်စာတမ်း Follow
Did not find {0} for {0} ({1}),({1}) {0} {0} ဘို့မတှေ့
URL,URL က
Parent is required to get child table data,မိဘကလေးသည်စားပွဲဒေတာရဖို့လိုအပ်
A log of request errors,တောငျးဆိုခကျြအမှားတစ်ဦးကမှတ်တမ်း
User not allowed to delete {0}: {1},{1}: User {0} ကိုဖျက်ပစ်ရန်ခွင့်မပြု
dd-mm-yyyy,dd-မီလီမီတာ-yyyy
eject,ထွက်စေ
Drag and Drop tool to build and customize Print Formats.,ပုံနှိပ်ပါ Formats တည်ဆောက်ရန်နှင့်စိတ်ကြိုက် tool ကို drag and drop ။
"If checked, this field will be not overwritten based on Fetch From if a value already exists.","check လုပ်ထားလျှင်, ဤလယ်ကွင်းတန်ဖိုးရှိထားပြီးသားပါလျှင် မှစ. ခေါ်ယူအပေါ်အခြေခံပြီး overwrite လုပ်တဲ့မခံကြပါလိမ့်မယ်။"
Currently Viewing,လောလောဆယ်ကြည့်ရှုခြင်း
Not allowed for {0}: {1}. Restricted field: {2},{0} အဘို့အခွင့်မပြုထား: {1} ။ ကန့်သတ်သောလယ်: {2}
Slack,ပျင်းရိ
Please duplicate this to make changes,အပြောင်းအလဲတွေလုပ်ဖို့ကဒီပွား ကျေးဇူးပြု.
Repeat On,တွင် Repeat
Login After,ပြီးနောက် login
Folder {0} is not empty,Folder ကို {0} ဗလာမဟုတ်ပါဘူး
File Type,ဖိုင်အမျိုးအစား
Enable Raw Printing,ရော်ပုံနှိပ် Enable
Further nodes can be only created under 'Group' type nodes,နောက်ထပ် node များသာ &#39;&#39; Group မှ &#39;&#39; type ကို node များအောက်တွင်ဖန်တီးနိုင်ပါတယ်
signal,signal ကို
Cannot edit a standard report. Please duplicate and create a new report,စံအစီရင်ခံစာတည်းဖြတ်မရနိုင်ပါ။ သစ်တစ်ခုအစီရင်ခံစာပွားခြင်းနှင့်ဖန်တီး ကျေးဇူးပြု.
Sales Master Manager,အရောင်းမာစတာ Manager ကို
Bulk Edit {0},bulk Edit ကို {0}
Preparing Report,အစီရင်ခံစာပြင်ဆင်နေ
{0} criticized your work on {1} with {2} point,{0} {2} အချက်နှင့်အတူ {1} ပေါ်တွင်သင်၏အလုပ်ဝေဖန်
Verdana,Verdana
Unsubscribed,ထိုစာရင်းမှပယ်ဖျက်
DocPerm,DocPerm
Fold can not be at the end of the form,ခြံပုံစံရဲ့အဆုံးမှာမဖွစျနိုငျ
Server IP,ဆာဗာအိုင်ပီ
{0} Tree,{0} သစ်ပင်
Send Password,Password ကို Send
All Day,အားလုံးနေ့
Parent is the name of the document to which the data will get added to.,မိဘဒေတာမှထည့်သွင်းရလိမ့်မည်သည့်စာရွက်စာတမ်း၏နာမတော်သည်။
Block Module,block Module
(Ctrl + G),(Ctrl + G)
Points,ရမှတ်
API Endpoint,API ကိုဆုံးမှတ်
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,အသေးစိတ်ကို https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region ကိုကြည့်ပါ။
App Client Secret,App ကိုလိုင်းလျှို့ဝှက်ချက်
Original Value,မူရင်းတန်ဖိုး
Attach Image,Image ကို Attach
Your system is being updated. Please refresh again after a few moments,သင်၏ system updated လျက်ရှိသည်။ အနည်းငယ်အချိန်လေးပြီးနောက်နောက်တဖန် refresh ကျေးဇူးပြု.
Add / Manage Email Accounts.,Add / အီးမေးလ် Manage Accounts ကို။
Third Party Authentication,တတိယပါတီ Authentication
1 year,1 နှစ်
{0} reverted your points on {1},{0} {1} ပေါ်တွင်သင်၏မှတ်သို့ပြောင်း
arrow-down,မြှား-Down
Ignore encoding errors,encoding ကအမှားများကိုလျစ်လျူရှုပါ
Letter Head Name,ပေးစာဌာနမှူးအမည်
Client Script,client Script
Higher priority rule will be applied first,ပိုမိုမြင့်မားသောဦးစားပေးစည်းမျဉ်းပထမဦးဆုံးလျှောက်ထားပါလိမ့်မည်
Content (HTML),အကြောင်းအရာ (HTML) ကို
{0} appreciation points for {1} {2},{0} {1} {2} ကိုကြေးဇူးတငျကွောငျးအချက်များ
Search in a document type,တစ်ဦးစာရွက်စာတမ်းအမျိုးအစားရှာရန်
Only Administrator is allowed to create Dashboard Chart Sources,အုပ်ချုပ်ရေးမှူး Dashboard ကိုဇယားသတင်းရပ်ကွက်များကိုဖန်တီးရန်ခွင့်ပြုမှသာ
Only 200 inserts allowed in one request,တဦးတည်းတောင်းဆိုမှုကိုခွင့်ပြုမှသာလျှင် 200 INSERT
Kanban Board Name,Kanban ဘုတ်အဖွဲ့အမည်
Group Label,Group မှတံဆိပ်တပ်ရန်
thumbs-up,လက်မထောင်ပြခြင်း
Reload,ပြန်တင်ရန်
{0} added,{0} ကဆက်ပြောသည်
{0} to {1},{0} {1} မှ
Attach File,ဖိုင်မှတ်တမ်းပူးတွဲ
Expose Recipients,လက်ခံသူများဖော်ထုတ်
ToDo,လုပ်ရန်
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","ကွဲပြားခြားနားသော &quot;ပြည်ထောင်စု&quot; ဒီစာရွက်စာတမ်းများတွင်တည်ရှိနေနိုင်တယ်။ &quot;ပွင့်လင်း&quot;, &quot;ဆိုင်းငံ့ထားသောအတည်ပြုချက်&quot; စတာတွေလိုပဲ"
Weekly,အပတ်စဉ်
Preview HTML,preview က HTML
GSuite Templates,GSuite Templates ကို
Force Show,အင်အားစုပြရန်
Deleted Name,Deleted အမည်
Home,နေအိမ်
User can login using Email id or User Name,အသုံးပြုသူအီးမေးလ်အိုင်ဒီသို့မဟုတ်အသုံးပြုသူအမည်ကိုသုံးပြီး login နိုင်ပါတယ်
Assign a permission level to the field.,လယ်ပြင်၌တစ်ဦးခွင့်ပြုချက်အဆင့်ကို assign ။
Error: Value missing for {0}: {1},အမှား: {1}: Value ကို {0} အဘို့အဦးပျောက်ဆုံးနေ
ap-northeast-3,AP-အရှေ့မြောက်ဘက်-3
Please enter Redirect URL,ပြန်ညွှန်း URL ကိုရိုက်ထည့်ပေးပါ
Allow on Submit,Submit အပေါ် Allow
Table {0} cannot be empty,စားပွဲတင် {0} ဗလာမဖွစျနိုငျ
minus-sign,အနုတ်-နိမိတ်လက္ခဏာ
Phone,ဖုန်းနံပါတ်
Clear all roles,အားလုံးအခန်းကဏ္ဍရှင်းလင်း
Example,နမူနာ
You need write permission to rename,သငျသညျကိုအမည်ပြောင်းရန်ခွင့်ပြုချက်ရေးဖို့လိုအပ်ပါတယ်
Advanced Control,အဆင့်မြင့်ထိန်းချုပ်ရေး
Path to Server Certificate,ဆာဗာလက်မှတ်မှ path
If Checked workflow status will not override status in list view,Checked လုပ်ငန်းအသွားအလာ status ကိုစာရင်းမြင်ကွင်းထဲမှာ status ကို override မည်မဟုတ်ခဲ့လျှင်
Updating {0},အသစ်ပြောင်းခြင်း {0}
Logged in as Guest or Administrator,ဧည့်သည်သို့မဟုတ်အုပ်ချုပ်ရေးမှူးအဖြစ် Logged
Green,စိမ်းလန်းသော
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,သာမဖြစ်မနေလယ်ကွင်းအသစ်များကိုမှတ်တမ်းများများအတွက်လိုအပ်သောဖြစ်ကြသည်။ သင်ဆန္ဒရှိလျှင်သင်သည် non-မဖြစ်မနေကော်လံကိုဖျက်ပစ်နိုင်ပါတယ်။
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0} ကိုစတင်နှင့်စာတစ်စောင်နှင့်အတူအဆုံးသတ်ရန်နှင့်သာအက္ခရာများဆံ့နိုငျသညျ, တုံးတိုသို့မဟုတ် underscore ရမည်ဖြစ်သည်။"
Create User Email,အသုံးပြုသူအီးမေးလ် Create
Sort field {0} must be a valid fieldname,စီလယ်ကွင်း {0} ခိုင်လုံသော fieldname ဖြစ်ရမည်
Filter Meta,Meta Filter
Category Name,category: အမည်
Javascript to append to the head section of the page.,စာမျက်နှာ၏ဦးခေါင်းကိုအပိုင်း append မှ Javascript ကို။
Allow Delete,Delete Allow
Authorize URL,URL ကိုခွင့်ပြုရန်
This feature is brand new and still experimental,ဒီ feature အမှတ်တံဆိပ်အသစ်နှင့်နေဆဲစမ်းသပ်ဖြစ်ပါသည်
S3 Backup Settings,S3 ကို Backup ကိုချိန်ညှိမှုများ
Not Seen,မမွငျ
Not Like,မကြိုက်ဘူး
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","&#39;&#39; {2} &#39;တံဆိပ်နှင့်အတူ&#39; &#39;{1}&#39; စိတ်တိုင်းကျဖျော်ဖြေမှုတွင်ဖော်ပြထားသော &#39;&#39; {0} &#39;&#39; လယ်ပြင်ပြီးနောက်ထည့်ပါ, မတည်ရှိပါဘူး"
Refresh Form,Form ကို refresh
MyISAM,MyISAM ကတော့
Try to use a longer keyboard pattern with more turns,ပိုပြီးအလှည့်နှင့်အတူတစ်ဦးမဟုတ်တော့ကီးဘုတ်ပုံစံကိုအသုံးပြုရန်ကြိုးစားပါ
Archive,မော်ကွန်းတိုက်
Your payment is cancelled.,သင့်အတွက်ငွေပေးချေမှုဖျက်သိမ်းသည်။
Fieldname {0} cannot have special characters like {1},Fieldname {0} {1} တူသောအထူးအက္ခရာများရှိသည်မဟုတ်နိုင်ပါတယ်
Traceback,Traceback
Route,ခရီးစဉ်
Workflow Name,လုပ်ငန်းအသွားအလာအမည်
Report,အစီရင်ခံစာ
Incomplete login details,မပြည့်စုံရဲ့ login အသေးစိတ်ကို
Table,စားပှဲ
Start a conversation.,စကားပြောကိုစတင်ပါ။
Sync on Migrate,Migration အပေါ် Sync ကို
Timeline Field,timeline ကိုကွင်းဆင်း
Fieldtype {0} for {1} cannot be indexed,Fieldtype {0} {1} ရည်ညွှန်းမရနိုင်ဘို့
Loading...,Loading ...
Half Yearly,ဝက်နှစ်အလိုက်
Last Modified Date,နောက်ဆုံးပြင်ဆင်ထားသောနေ့စွဲ
First Name,နာမည်
Comments,မှတ်ချက်များ
Assignment for {0} {1},{0} {1} ဘို့တာဝန်ကျတဲ့နေရာ
Cannot link cancelled document: {0},{0}: ဖျက်သိမ်းစာရွက်စာတမ်းလင့်ထားသည်မပေးနိုင်
BCC,BCC
Long Text,long ကစာသား
Float Precision,float Precision
Please Enter Your Password to Continue,Continue သင်၏ Password ကိုရိုက်ထည့်ပါ ကျေးဇူးပြု.
Save Report,ကြော်ငြာကို Save လုပ်ရန်အစီရင်ခံစာ
"""Team Members"" or ""Management""",&quot;အဖွဲ့အဖွဲ့ဝင်များ&quot; သို့မဟုတ် &quot;စီမံခန့်ခွဲမှု&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 င် - မူကြမ်း; 1 - Submitted; 2 - မှပယ်ဖျက်
SMTP Settings for outgoing emails,အထွက်အီးမေးလ်များကိုအဘို့အ SMTP က Settings
Is Your Company Address,သင့်ရဲ့ကုမ္ပဏီလိပ်စာဖြစ်ပါသည်
Printer Name,ပရင်တာအမည်
Dropbox Settings,Dropbox ကိုချိန်ညှိမှုများ
System and Website Users,စနစ်နှင့်ဝက်ဘ်ဆိုက်အသုံးပြုသူများ
Fieldname which will be the DocType for this link field.,ဒီ link ကိုလယ်များအတွက် DOCTYPE ဖြစ်လတံ့သော Fieldname ။
Content Hash,အကြောင်းအရာ Hash
Posts by {0},{0} ရေးသားချက်များ
{0} assigned {1}: {2},{2}: {0} {1} တာဝန်ပေး
globe,ကမ္ဘာလုံး
Average of {0},{0} ၏ပျမ်းမျှ
Clear Error Logs,Clear ကိုမှားယွင်းနေသည်မှတ်တမ်းများ
Friendly Title,ဖော်ရွေခေါင်းစဉ်
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",&quot;Google Web ကိုစာလုံး&quot; ဥပမာ &quot;ပွင့်လင်း Sans&quot; ၏နာမကိုအမှီ Add
Filter,ရေစစ်
No of Rows (Max 500),တန်း (မက်စ်ပေါင်း 500) ၏အဘယ်သူမျှမ
Label,တံဆိပ်
Your account has been locked and will resume after {0} seconds,သင့်အကောင့်သော့ခတ်ခဲ့ပြီး {0} စက္ကန့်အကြာတွင်ပြန်လည်စတင်ပါလိမ့်မယ်
indent-left,ကုန်အမှာစာ-လက်ဝဲ
Identity Details,အထောက်အထားအသေးစိတ်
Visitor,ဧည့်သည်
gift,ဆုကြေးဇူးကို
Run Tests,run စမ်းသပ်မှု
LDAP Search String,LDAP ရှာရန့် String
Field {0} not found.,field {0} ကိုတွေ့ဘူး။
Select Languages,ဘာသာစကားများကိုရွေးချယ်ပါ
You don't have any messages yet.,သငျသညျသေးမဆိုမက်ဆေ့ခ်ျများမရှိကြပါဘူး။
Event Type,ဖြစ်ရပ်အမျိုးအစား
"To get the updated report, click on {0}.","အပ်ဒိတ်လုပ်ထားသောအစီရင်ခံစာအရ, {0} အပေါ်ကိုကလစ်နှိပ်ပါ။"
Home Settings,မူလစာမျက်နှာ Settings များ
Apply to all Documents Types,အားလုံးစာရွက်စာတမ်းများအမျိုးအစားများမှ Apply
Inverse,ပြောင်းပြန်
Closed,ပိတ်သိမ်း
Query,မေးခွန်း
Days After,ပြီးနောက်နေ့ရက်များ
Request Timed Out,အချိန်ကိုတောင်းဆို
Email Footer Address,အီးမေးလ်ပို့ရန် Footer လိပ်စာ
Energy point update,စွမ်းအင်ဝန်ကြီးဌာနအမှတ် update ကို
Click here to verify,အတည်ပြုရန်ရန်ဒီနေရာကိုနှိပ်ပါ
You can use Customize Form to set levels on fields.,သငျသညျလယ်ကွင်းအပေါ်အဆင့်ဆင့်သတ်မှတ်ထားဖို့ Customize Form ကိုသုံးနိုင်သည်။
App Secret Key,App ကိုလျှို့ဝှက် Key ကို
Show Section Headings,Show ကိုပုဒ်မခေါင်းစဉ် heading
Mentions,ဖျောပွထားသ
Series {0} already used in {1},စီးရီး {0} ပြီးသား {1} များတွင်အသုံးပြု
Clicked,နှိပ်လိုက်
Log,တုံး
Accept Payment,ငွေပေးချေမှုရမည့် Accept
Print Server,ပုံနှိပ်ပါဆာဗာ
Welcome Message,ကြိုဆိုပါတယ်ကို Message
Reference DocType,ကိုးကားစရာ DOCTYPE
Shared,shared
Unknown Column: {0},အမည်မသိကော်လံ: {0}
Enabled,enabled
Setup Complete,Setup ကိုအပြီးအစီး
Shared with {0},{0} အတူဝေမျှ
Not a valid Comma Separated Value (CSV File),မခိုင်လုံသောကော်မာ (CSV ဖိုင်ဖိုင်မှတ်တမ်း) Value ကို Separated
Your payment has failed.,သင့်အတွက်ငွေပေးချေမှုပျက်ကွက်ခဲ့သည်။
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Links များအဘို့, အကွာအဝေးအတိုင်း DOCTYPE ရိုက်ထည့်ပါ။ Select လုပ်ဘို့, အသစ်တခုလိုင်းပေါ်တစ်ဦးချင်းစီ Options ကိုစာရင်းထည့်ပါ။"
1 minute ago,1 မိနစ်အကြာက
No Active Sessions,အဘယ်သူမျှမတက်ကြွ Sessions
Row,အတန်း
Please try again,ထပ်ကြိုးစားပါ
Chart Options,ဇယား Options ကို
Push Failed,မှု Push
Off,သွား
Default Outgoing,default အထွက်
1 year ago,လွန်ခဲ့သော 1 နှစ်
View Subscribers,ကြည့်ရန်စာရင်းပေးသွင်းထားသူများ
Allow Print,ပုံနှိပ်ပါ Allow
Comment,မှတ်ချက်
{0} not allowed to be renamed,{0} အမည်ပြောင်းခံရဖို့ခွင့်မပြု
Success URL,အောင်မြင်မှု URL ကို
Document is only editable by users of role,စာရွက်စာတမ်းအခန်းကဏ္ဍနှင့် ပတ်သက်. အသုံးပြုသူများကိုသာပြုပြင်နိုင်သည့်ဖြစ်ပါသည်
Outgoing email account not correct,အထွက်အီးမေးလ်အကောင့်မှန်ကန်သောမဟုတ်
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,ပေါင်းစည်းမှု To-Group မှ Group မှ-သို့မဟုတ်အရွက် Node-to-ရွက် Node အကြားသာဖြစ်နိုင်
Select Language...,ဘာသာစကားများကိုရွေးချယ်ပါ ...
Link,link ကို
{0}: No basic permissions set,{0}: အဘယ်သူမျှမအခြေခံခွင့်ပြုချက် set ကို
Value for a check field can be either 0 or 1,တစ်ဦးစစ်ဆေးမှုများလယ်ကွင်းများအတွက် Value ကို 0 င်သို့မဟုတ် 1 ဖြစ်စေနိုင်ပါတယ်
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",အဓိကအားဖြင့် website ကိုစိစစ်အတည်ပြုခြင်းနှင့် SEO ဆိုသည်မှာအတွက်အသုံးပြုဝဘ်စာမျက်နှာ၏ &lt;head&gt; အပိုင်းအတွက် Added က HTML
plus,ပေါင်း
Please Duplicate this Website Theme to customize.,စိတ်ကြိုက်ဤဝဘ်ဆိုဒ် Theme Duplicate ပေးပါ။
Options not set for link field {0},link ကိုလယ်ပြင် {0} ဘို့မသတ်မှတ် Options ကို
Must have report permission to access this report.,ဤအစီရင်ခံစာဝင်ရောက်ဖို့အစီရင်ခံစာခွင့်ပြုချက်ရှိရမည်။
Rename {0},{0} ကိုအမည်ပြောင်း
Note: Multiple sessions will be allowed in case of mobile device,မှတ်ချက်: အကွိမျမြားစှာအစည်းအဝေးများမိုဘိုင်းကိရိယာ၏အမှု၌ခွင့်ပြုပါလိမ့်မည်
resize-small,ဆိုဒ်ပြောင်းရန်-သေးငယ်တဲ့
Relinked,Relinked
Roles HTML,အခန်းကဏ္ဍက HTML
Workflow will start after saving.,လုပ်ငန်းအသွားအလာချွေတာအပြီးမစတင်ပါလိမ့်မယ်။
"If your data is in HTML, please copy paste the exact HTML code with the tags.","သင့်ရဲ့ဒေတာကို HTML မှာဖြစ်ပါတယ်လျှင်, tags များနှင့်အတူအတိအကျက HTML ကုဒ် paste ကူးယူပါ။"
Dates are often easy to guess.,ရက်စွဲများကိုမကြာခဏခန့်မှန်းဖို့လွယ်ကူပါတယ်။
Pincode,ပင်နံပါတ်
Update Value,Update ကို Value ကို
Has Web View,Web ကိုကြည့်ရန်ရှိပါတယ်
Align Value,Value ကိုညှိရန်
Assignment Complete,တာဝနျကိုအပြီးအစီး
Header,header
