Connector Type,커넥터 유형
Please confirm your action to {0} this document.,귀하의 조치를이 문서 {0} (으)로 확인하십시오.
Note:,노트 :
bell,벨
Template Name,템플릿 이름
Org History,조직의 역사
Translatable,번역 가능
{0}: Cannot set Cancel without Submit,{0} : 제출하지 않고 취소를 설정할 수 없습니다.
Send enquiries to this email address,이 이메일 주소로 문의하기
Temporarily Disabled,일시적 장애인
Unsubscribe,수신 거부
Dashboard Chart Link,대시 보드 차트 링크
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,권한이없는 {0} {1}에 속한 파일을 삭제할 수 없습니다.
Dear,소중한
Generate New Report,새 보고서 생성
This email is autogenerated,이 이메일은 자동 생성되었습니다.
Forgot Password,비밀번호를 잊으 셨나요
Child Tables are shown as a Grid in other DocTypes,하위 테이블은 다른 DocTypes에서 모눈으로 표시됩니다.
Unselect All,모두 선택 해제
File Size,파일 크기
Unable to read file format for {0},{0}의 파일 형식을 읽을 수 없습니다.
User Roles,사용자 역할
Text Align,텍스트 정렬
Set Filters,필터 설정
Transitions,전환
Create a new ,새 항목 만들기
Invalid field name {0},잘못된 필드 이름 {0}
Web Form,웹 양식
Chat Room,채팅방
Data Migration Connector,데이터 마이그레이션 커넥터
New Folder,새 폴더
repeat,반복
You must login to submit this form,이 양식을 제출하려면 로그인해야합니다.
Sorry! You cannot delete auto-generated comments,죄송합니다! 자동 생성 된 주석은 삭제할 수 없습니다.
Track Views,트랙 조회수
Allow events in timeline,타임 라인에서 이벤트 허용
Module Def,모듈 Def
Set Meta Tags,메타 태그 설정
Created,만들어진
Core,핵심
Criticize,흠잡다
Warning: Unable to find {0} in any table related to {1},경고 : {1}에 관련된 테이블에서 {0}을 (를) 찾을 수 없습니다.
{0} Calendar,{0} 일정
Data Import Template,데이터 가져 오기 템플릿
hand-left,왼손잡이
Backup Size:,백업 크기 :
Linked with {0},{0}과 (과) 연결됨
Private Key,비공개 키
Away,떨어져
Reverting length to {0} for '{1}' in '{2}'; Setting the length as {3} will cause truncation of data.,&#39;{2}&#39;의 &#39;{1}&#39;에 대한 길이를 {0} (으)로 되돌립니다. 길이를 {3}으로 설정하면 데이터가 잘립니다.
Select a group node first.,그룹 노드를 먼저 선택하십시오.
toggle Tag,토글 태그
"Newsletters to contacts, leads.","접촉에 회보,지도."
Read Only,읽기 전용
No document selected,선택한 문서가 없습니다.
"If enabled,  user can login from any IP Address using Two Factor Auth, this can also be set for all users in System Settings",활성화 된 경우 Two Factor Auth를 사용하여 모든 IP 주소에서 로그인 할 수 있으며 시스템 설정의 모든 사용자에 대해 설정할 수도 있습니다
Auto Repeat has been {0},자동 반복이 {0}되었습니다.
John Doe,존 도우
This document has been modified after the email was sent.,이 문서는 이메일을 보낸 후에 수정되었습니다.
Notify if unreplied,미 응답시 알림
Introductory information for the Contact Us Page,연락처 페이지에 대한 소개 정보
**Currency** Master,** 통화 ** 마스터
Custom Sidebar Menu,사용자 정의 사이드 바 메뉴
Is Submittable,제출 가능 여부
Only Administrator is allowed to use Recorder,관리자 만 레코더 사용이 허용됩니다.
Password is required or select Awaiting Password,암호가 필요하거나 암호 대기 중을 선택하십시오.
Note: Other permission rules may also apply,참고 : 다른 권한 규칙이 적용될 수도 있습니다.
Notes: ,노트:
Custom CSS,맞춤 CSS
Invalid CSV Format,잘못된 CSV 형식
Content Type,컨텐츠 타입
Password not found,비밀번호를 찾을 수 없음
Clear,명확한
This document cannot be reverted,이 문서는 되돌릴 수 없습니다.
Hello!,여보세요!
Report was not saved (there were errors),보고서가 저장되지 않았습니다 (오류가 있음).
Allow user to login only before this hour (0-24),사용자가이 시간 (0-24) 전에 만 로그인하도록 허용
Add More,더 추가
You can also copy-paste this link in your browser,브라우저에이 링크를 복사하여 붙여 넣기 할 수도 있습니다.
Add fields to forms.,폼에 필드를 추가하십시오.
User is mandatory for Share,사용자는 공유에 필수 항목입니다.
Verify,확인
Enter Email Recipient(s),이메일 수신자 입력
Recorder,리코더
Interest,관심
Limit,한도
Print taxes with zero amount,세금없이 금액을 인쇄하십시오.
Book,책
Access Key ID,액세스 키 ID
URLs,URL
Names and surnames by themselves are easy to guess.,이름과 성 자체는 쉽게 추측 할 수 있습니다.
Report {0},보고서 {0}
Team Members Heading,팀원 표제
Document {0} has been set to state {1} by {2},{0} 문서가 {2}에 의해 {1} (으)로 설정되었습니다.
Address Template,주소 템플릿
step-backward,한 걸음 뒤로
Not Found,찾을 수 없음
Banner Image,배너 이미지
Not a valid Workflow Action,유효한 워크 플로 작업이 아닙니다.
API Endpoint Args,API 끝점 인수
Gateway,게이트웨이
Setup Auto Email,자동 이메일 설정
Represents the states allowed in one document and role assigned to change the state.,하나의 문서에서 허용되는 상태와 상태를 변경하기 위해 할당 된 역할을 나타냅니다.
Login with LDAP,LDAP로 로그인
Please enable pop-ups,팝업을 사용하도록 설정하십시오.
See the document at {0},{0}에있는 문서를 참조하십시오.
Type,유형
{0} {1}: Submitted Record cannot be deleted.,{0} {1} : 제출 된 레코드를 삭제할 수 없습니다.
refresh_token,refresh_token
Amend,고치다
Export,수출
Show in filter,필터에 표시
It is necessary to take this action today itself for the above mentioned recurring,위에서 언급 한 반복을 위해 오늘이 조치를 취할 필요가 있습니다.
Export Custom Permissions,사용자 정의 권한 내보내기
None: End of Workflow,없음 : 워크 플로우 종료
Version,번역
6 months,6 개월
Group,그룹
There is some problem with the file url: {0},파일 url에 문제가 있습니다 : {0}
Customize Form Field,양식 필드 사용자 정의
Comment can only be edited by the owner,댓글은 소유자 만 편집 할 수 있습니다.
Document Follow,문서 팔로우
Did not find {0} for {0} ({1}),{0} ({1})에 대해 {0}을 찾지 못했습니다.
URL,URL
Parent is required to get child table data,부모는 자식 테이블 데이터를 가져와야합니다.
A log of request errors,요청 오류 로그
User not allowed to delete {0}: {1},사용자가 {0}을 (를) 삭제할 수 없습니다 : {1}
dd-mm-yyyy,DD-mm-yyyy
eject,꺼내다
Drag and Drop tool to build and customize Print Formats.,끌어서 놓기 도구를 사용하여 인쇄 형식을 만들고 사용자 지정할 수 있습니다.
"If checked, this field will be not overwritten based on Fetch From if a value already exists.",이 옵션을 선택하면 값이 이미있는 경우 Fetch From을 기준으로이 필드를 덮어 쓰지 않습니다.
Currently Viewing,현재보기 중
Not allowed for {0}: {1}. Restricted field: {2},{0}에는 허용되지 않습니다 : {1}. 제한된 필드 : {2}
Slack,느슨하게
Please duplicate this to make changes,변경을 위해 이것을 복제하십시오.
Repeat On,계속 반복
Login After,로그인 후
Folder {0} is not empty,폴더 {0}이 (가) 비어 있지 않습니다.
File Type,파일 형식
Enable Raw Printing,원시 인쇄 사용
Further nodes can be only created under 'Group' type nodes,추가 노드는 &#39;그룹&#39;유형 노드에서만 생성 할 수 있습니다.
signal,신호
Cannot edit a standard report. Please duplicate and create a new report,표준 보고서를 수정할 수 없습니다. 새로운 보고서를 복제하고 작성하십시오.
Sales Master Manager,판매 마스터 관리자
Bulk Edit {0},대량 편집 {0}
Preparing Report,보고서 준비
{0} criticized your work on {1} with {2} point,{0}이 (가) {1}에 대한 귀하의 작업을 {2} 점으로 비판했습니다
Verdana,Verdana
Unsubscribed,구독 취소됨
DocPerm,DocPerm
Fold can not be at the end of the form,접기는 양식의 끝 부분에있을 수 없습니다.
Server IP,서버 IP
{0} Tree,{0} 나무
Send Password,암호 보내기
All Day,하루 종일
Parent is the name of the document to which the data will get added to.,부모는 데이터가 추가 될 문서의 이름입니다.
Block Module,블록 모듈
(Ctrl + G),(Ctrl + G)
Points,전철기
API Endpoint,API 엔드 포인트
See https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region for details.,자세한 내용은 https://docs.aws.amazon.com/de_de/general/latest/gr/rande.html#s3_region을 참조하십시오.
App Client Secret,앱 클라이언트 비밀번호
Original Value,원래 값
Attach Image,이미지 부착
Your system is being updated. Please refresh again after a few moments,시스템이 업데이트 중입니다. 잠시 후 다시 새로 고침 해주세요.
Add / Manage Email Accounts.,이메일 계정 추가 / 관리.
Third Party Authentication,제 3 자 인증
1 year,일년
{0} reverted your points on {1},{0}이 (가) {1}에 점수를 되돌 렸습니다.
arrow-down,화살 아래로
Ignore encoding errors,인코딩 오류 무시
Letter Head Name,편지 머리 이름
Client Script,클라이언트 스크립트
Higher priority rule will be applied first,우선 순위가 높은 규칙이 먼저 적용됩니다.
Content (HTML),콘텐츠 (HTML)
{0} appreciation points for {1} {2},{1} {2}에 대한 감사 점수 {0}
Search in a document type,문서 유형으로 검색
Only Administrator is allowed to create Dashboard Chart Sources,관리자 만 대시 보드 차트 원본을 만들 수 있습니다.
Only 200 inserts allowed in one request,하나의 요청에 200 개의 삽입 만 가능
Kanban Board Name,간판 보드 이름
Group Label,그룹 레이블
thumbs-up,엄지 손가락 업
Reload,다시로드
{0} added,{0}이 (가) 추가되었습니다.
{0} to {1},{0} ~ {1}
Attach File,파일을 첨부
Expose Recipients,받는 사람 노출
ToDo,할 것
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","이 문서가 존재할 수있는 다른 &quot;States&quot;(예 : &quot;Open&quot;, &quot;Pending Approval&quot;등)"
Weekly,주간
Preview HTML,HTML 미리보기
GSuite Templates,GSuite 템플릿
Force Show,포스 쇼
Deleted Name,삭제 된 이름
Home,집
User can login using Email id or User Name,사용자는 이메일 ID 또는 사용자 이름을 사용하여 로그인 할 수 있습니다.
Assign a permission level to the field.,필드에 권한 등급을 지정하십시오.
Error: Value missing for {0}: {1},오류 : {0}의 값이 누락되었습니다 : {1}
ap-northeast-3,아 - 북동쪽 -3
Please enter Redirect URL,리디렉션 URL을 입력하십시오.
Allow on Submit,제출시 허용
Table {0} cannot be empty,테이블 {0}은 (는) 비워 둘 수 없습니다.
minus-sign,빼기 부호
Phone,전화
Clear all roles,모든 역할 지우기
Example,예
You need write permission to rename,이름을 바꾸려면 쓰기 권한이 필요합니다.
Advanced Control,고급 제어
Path to Server Certificate,서버 인증서 경로
If Checked workflow status will not override status in list view,워크 플로 상태가 선택된 경우 목록보기의 상태가 무시되지 않습니다.
Updating {0},{0}을 (를) 업데이트 중입니다.
Logged in as Guest or Administrator,게스트 또는 관리자로 로그인 됨
Green,녹색
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,새 레코드에는 필수 입력란 만 필요합니다. 필요한 경우 필수가 아닌 열을 삭제할 수 있습니다.
"{0} must begin and end with a letter and can only contain letters,
				hyphen or underscore.","{0}은 문자로 시작하고 끝나야하며 문자, 하이픈 또는 밑줄 만 포함 할 수 있습니다."
Create User Email,사용자 이메일 만들기
Sort field {0} must be a valid fieldname,정렬 필드 {0}은 (는) 유효한 필드 이름이어야합니다.
Filter Meta,필터 메타
Category Name,카테고리 이름
Javascript to append to the head section of the page.,페이지의 머리 부분에 추가 할 자바 스크립트.
Allow Delete,삭제 허용
Authorize URL,URL 승인
This feature is brand new and still experimental,이 기능은 새롭고 여전히 실험적입니다.
S3 Backup Settings,S3 백업 설정
Not Seen,보지 못함
Not Like,좋아하지 않는
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",사용자 정의 필드 &#39;{1}&#39;에 &#39;{2}&#39;레이블이있는 &#39;{0}&#39;필드가 삽입되지 않았습니다.
Refresh Form,새로 고침 양식
MyISAM,MyISAM
Try to use a longer keyboard pattern with more turns,더 많은 키보드 패턴을 사용하십시오.
Archive,아카이브
Your payment is cancelled.,결제가 취소되었습니다.
Fieldname {0} cannot have special characters like {1},필드 이름 {0}에는 {1}과 (과) 같은 특수 문자를 사용할 수 없습니다.
Traceback,역 추적
Route,노선
Workflow Name,워크 플로 이름
Report,보고서
Incomplete login details,불완전한 로그인 세부 정보
Table,표
Start a conversation.,대화를 시작하십시오.
Sync on Migrate,마이그레이션시 동기화
Timeline Field,타임 라인 필드
Fieldtype {0} for {1} cannot be indexed,{1}의 {0} 필드 유형을 인덱싱 할 수 없습니다.
Loading...,로드 중 ...
Half Yearly,반년마다
Last Modified Date,최종 수정일
First Name,이름
Comments,코멘트
Assignment for {0} {1},{0} {1}에 대한 과제
Cannot link cancelled document: {0},취소 된 문서를 연결할 수 없습니다 : {0}
BCC,숨은 참조
Long Text,긴 텍스트
Float Precision,플로트 정밀도
Please Enter Your Password to Continue,계속하려면 비밀번호를 입력하십시오.
Save Report,보고서 저장
"""Team Members"" or ""Management""",&quot;팀원&quot;또는 &quot;관리&quot;
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 드래프트; 1 - 제출 됨; 2 - 취소됨
SMTP Settings for outgoing emails,보내는 전자 메일에 대한 SMTP 설정
Is Your Company Address,귀하의 회사 주소
Printer Name,프린터 이름
Dropbox Settings,보관 용 계정 설정
System and Website Users,시스템 및 웹 사이트 사용자
Fieldname which will be the DocType for this link field.,이 링크 필드의 DocType이 될 Fieldname.
Content Hash,콘텐츠 해시
Posts by {0},{0}의 게시물
{0} assigned {1}: {2},{0} 할당 된 {1} : {2}
globe,지구
Average of {0},평균 {0}
Clear Error Logs,오류 로그 지우기
Friendly Title,친숙한 제목
"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",&quot;Google Web Font&quot;의 이름을 추가하십시오 (예 : &quot;Open Sans&quot;).
Filter,필터
No of Rows (Max 500),행 수 (최대 500 개)
Label,상표
Your account has been locked and will resume after {0} seconds,귀하의 계정은 잠기고 {0} 초 후에 재개됩니다.
indent-left,들여 쓰기 - 왼쪽
Identity Details,신원 정보
Visitor,방문객
gift,선물
Run Tests,테스트 실행
LDAP Search String,LDAP 검색 문자열
Field {0} not found.,필드 {0}을 (를) 찾을 수 없습니다.
Select Languages,언어 선택
You don't have any messages yet.,아직 메시지가 없습니다.
Event Type,이벤트 유형
"To get the updated report, click on {0}.",업데이트 된 보고서를 얻으려면 {0}을 클릭하십시오.
Home Settings,집 설정
Apply to all Documents Types,모든 문서 유형에 적용
Inverse,역
Closed,닫은
Query,질문
Days After,후일
Request Timed Out,요청 시간이 초과되었습니다
Email Footer Address,이메일 바닥 글 주소
Energy point update,에너지 포인트 업데이트
Click here to verify,확인하려면 여기를 클릭하십시오.
You can use Customize Form to set levels on fields.,양식 사용자 정의를 사용하여 필드의 레벨을 설정할 수 있습니다.
App Secret Key,앱 비밀번호
Show Section Headings,섹션 제목 표시
Mentions,멘션
Series {0} already used in {1},{0} 시리즈가 이미 {1}에서 사용되었습니다.
Clicked,클릭 함
Log,로그
Accept Payment,지불 수락
Print Server,인쇄 서버
Welcome Message,환영 메시지
Reference DocType,DocType 참조
Shared,공유 된
Unknown Column: {0},알 수없는 열 : {0}
Enabled,사용
Setup Complete,설치 완료
Shared with {0},{0}과 (과) 공유했습니다.
Not a valid Comma Separated Value (CSV File),유효한 쉼표로 구분 된 값 (CSV 파일)이 아닙니다.
Your payment has failed.,결제가 실패했습니다.
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.",링크의 경우 DocType을 범위로 입력하십시오. 선택에 대해 옵션 목록을 새 행에 입력하십시오.
1 minute ago,1 분 전
No Active Sessions,활성 세션 없음
Row,열
Please try again,다시 시도하십시오.
Chart Options,차트 옵션
Push Failed,푸시 실패
Off,떨어져서
Default Outgoing,기본 발신
1 year ago,1 년 전
View Subscribers,구독자보기
Allow Print,인쇄 허용
Comment,논평
{0} not allowed to be renamed,{0}은 (는) 이름을 바꿀 수 없습니다.
Success URL,성공 URL
Document is only editable by users of role,문서는 역할 사용자 만 편집 할 수 있습니다.
Outgoing email account not correct,보내는 전자 메일 계정이 올바르지 않습니다.
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,병합은 Group-to-Group 또는 Leaf Node-to-Leaf 노드간에 만 가능합니다.
Select Language...,언어 선택 ...
Link,링크
{0}: No basic permissions set,{0} : 기본 사용 권한이 설정되지 않았습니다.
Value for a check field can be either 0 or 1,검사 필드의 값은 0 또는 1 일 수 있습니다.
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",주로 웹 사이트 확인 및 검색 엔진 최적화 (SEO)에 사용되는 웹 페이지의 &lt;head&gt; 섹션에 HTML을 추가했습니다.
plus,...을 더한
Please Duplicate this Website Theme to customize.,이 웹 사이트 테마를 복제하여 사용자 정의하십시오.
Options not set for link field {0},링크 필드 {0}에 대해 옵션이 설정되지 않았습니다.
Must have report permission to access this report.,이 보고서에 액세스하려면 보고서 권한이 있어야합니다.
Rename {0},{0} 이름 바꾸기
Note: Multiple sessions will be allowed in case of mobile device,참고 : 휴대 기기의 경우 여러 세션이 허용됩니다.
resize-small,크기가 작은
Relinked,다시 연결됨
Roles HTML,역할 HTML
Workflow will start after saving.,저장 후 워크 플로가 시작됩니다.
"If your data is in HTML, please copy paste the exact HTML code with the tags.",데이터가 HTML 형식 인 경우 태그와 함께 정확한 HTML 코드를 복사하여 복사하십시오.
Dates are often easy to guess.,날짜는 종종 쉽게 추측 할 수 있습니다.
Pincode,핀 코드
Update Value,값 업데이트
Has Web View,웹보기 있음
Align Value,값 정렬
Assignment Complete,과제 완료
Header,머리글
This query style is discontinued,이 쿼리 스타일은 단종되었습니다.
Document Type is not submittable,문서 유형을 제출할 수 없습니다.
Display Depends On,디스플레이 의존 여부
No Tags,태그 없음
Script Code,스크립트 코드
Updated successfully,업데이트 완료
Hi {0},안녕하세요. {0}
{0} not a valid State,{0}은 (는) 유효한 상태가 아닙니다.
Accounts User,계정 사용자
Groups of DocTypes,DocTypes 그룹
Website Route Redirect,웹 사이트 경로 리디렉션
Beginning with,으로 시작하는
Hello {0},안녕하세요 {0}
Start Time,시작 시간
{0} has been successfully added to the Email Group.,{0}이 (가) 이메일 그룹에 성공적으로 추가되었습니다.
Cancelled Document restored as Draft,초안으로 복원 된 취소 된 문서
Desktop Icon,데스크탑 아이콘
cancelled this document,이 문서를 취소 함
Date Range,날짜 범위
{0} appreciated {1},{0} 감사합니다 {1}
Values Changed,값 변경됨
Error in Notification,알림 오류
Enable Report,보고서 사용
No alerts for today,오늘 알림 없음
Redirect URI Bound To Auth Code,리디렉션 URI 바인딩 코드 인증
Always use Account's Email Address as Sender,항상 계정의 이메일 주소를 보낸 사람으로 사용하십시오.
Barcode,바코드
{0} Dashboard,{0} 대시 보드
Last Quarter,지난 분기
"Not allowed to attach {0} document,
				please enable Allow Print For {0} in Print Settings",{0} 문서를 첨부 할 수 없으므로 인쇄 설정에서 {0}에 대한 인쇄 허용을 사용 가능으로 설정하십시오
Attach,붙이다
Scopes,범위
Deleted Documents,삭제 된 문서
Workflow Action,워크 플로 작업
You can also copy-paste this ,이 파일을 복사하여 붙여 넣기 할 수도 있습니다.
Is Feedback request triggered manually ?,피드백 요청은 수동으로 실행됩니까?
Select a chat to start messaging.,메시지를 시작하려면 채팅을 선택하십시오.
No permission to read {0},{0}을 (를) 읽을 수있는 권한이 없습니다.
Reply,댓글
Braintree payment gateway settings,Braintree 지불 게이트웨이 설정
Scheduled to send to {0},{0} (으)로 전송하도록 예약 됨
"If enabled, changes to the document are tracked and shown in timeline",이 옵션을 사용하면 문서에 대한 변경 사항이 추적되어 타임 라인에 표시됩니다.
Send Welcome Email,환영 전자 메일 보내기
asterisk,별표
This link is invalid or expired. Please make sure you have pasted correctly.,이 링크는 유효하지 않거나 만료되었습니다. 올바르게 붙여 넣었는지 확인하십시오.
New Value,새로운 가치
Due Date,마감일
"Include symbols, numbers and capital letters in the password","암호에 기호, 숫자 및 대문자를 포함하십시오."
Send Alert On,알리미 켜기
Home/Test Folder 1/Test Folder 3,홈 / 테스트 폴더 1 / 테스트 폴더 3
Valid,유효한
Cannot edit cancelled document,취소 된 문서를 수정할 수 없습니다.
App Access Key,앱 액세스 키
Login Before,이전에 로그인
Private,은밀한
Update many values at one time.,한 번에 많은 값을 업데이트하십시오.
None,없음
Partial Success,부분적인 성공
{0} comments,{0} 개의 댓글
Emails will be sent with next possible workflow actions,다음 가능한 워크 플로 작업으로 이메일이 전송됩니다.
adjust,맞추다
on_change,on_change
{0} Name,{0} 이름
Same Field is entered more than once,동일한 필드가 두 번 이상 입력되었습니다.
Please select a Amount Field.,금액 입력란을 선택하십시오.
Company History,회사 연혁
No Printer is Available.,사용할 수있는 프린터가 없습니다.
Address Line 2,주소 2
Time Interval,시간 간격
Message Preview,메시지 미리보기
Purchase Master Manager,구매 마스터 관리자
Is Default,기본값
Row Index,행 색인
Allowed,허용됨
"If you are uploading new records, leave the ""name"" (ID) column blank.",새 레코드를 업로드하는 경우 &quot;이름&quot;(ID) 열을 비워 둡니다.
Events in Today's Calendar,오늘의 일정에있는 일정
GCalendar is not configured.,GCalendar가 구성되지 않았습니다.
Entity Type,개체 유형
Mandatory field: set role for,필수 입력란 : 역할 설정
Bulk Delete,대량 삭제
Document Name,문서 이름
Add your own translations,나만의 번역 추가
eu-central-1,유럽 중앙 1
Yearly,매년
Rename,이름 바꾸기
Remote Primary Key,원격 기본 키
Script or Query reports,스크립트 또는 쿼리 보고서
Next Action Email Template,다음 작업 전자 메일 템플릿
Chain Integrity,체인 무결성
Illegal Access Token. Please try again,불법 액세스 토큰. 다시 시도하십시오.
"You need to have ""Share"" permission",&quot;공유&quot;권한이 있어야합니다.
Let's prepare the system for first use.,첫 번째 용도로 시스템을 준비합시다.
circle-arrow-up,원 - 화살표 업
play,놀이
You have been successfully logged out,당신은 성공적으로 로그 아웃되었습니다.
Require Trusted Certificate,신뢰할 수있는 인증서 필요
Preview,시사
Reference Owner,참조 소유자
Cannot cancel before submitting. See Transition {0},제출하기 전에 취소 할 수 없습니다. 전환 {0} 참조
Setup &gt; Customize Form,설정&gt; 양식 사용자 정의
Unable to update event,일정을 업데이트 할 수 없습니다.
Queued,대기 중
Webhook Header,Webhook 헤더
Allow GSuite access,GSuite 액세스 허용
New Newsletter,새로운 뉴스 레터
Updated To New Version,새 버전으로 업데이트 됨
No {0} mail,{0} 메일 없음
Password Reset,비밀번호 초기화
From Full Name,전체 이름에서
Newsletter,뉴스 레터
Section Break,섹션 브레이크
play-circle,놀이 서클
"No fields found that can be used as a Kanban Column. Use the Customize Form to add a Custom Field of type ""Select"".",Kanban 열로 사용할 수있는 필드가 없습니다. 사용자 정의 양식을 사용하여 &quot;선택&quot;유형의 사용자 정의 필드를 추가하십시오.
Column,기둥
"If enabled, users who login from Restricted IP Address, won't be prompted for Two Factor Auth",이 옵션을 사용하면 제한된 IP 주소에서 로그인 한 사용자는 Two Factor Auth
You do not have enough points,충분한 포인트가 없습니다.
More Information,추가 정보
DocShare,DocShare
Filters,필터
Room,방
{0} items selected,{0} 개의 항목이 선택되었습니다.
Leave a Comment,코멘트를 남겨주세요
Stripe Settings,스트라이프 설정
Background Workers,배경 근로자
Customize...,사용자 정의 ...
<p>No results found for '</p>,<p> &#39;에 대한 검색 결과가 없습니다. </p>
Last Year,작년
Remote Objectname,원격 객체 이름
yyyy-mm-dd,yyyy-mm-dd
Flag,깃발
plane,평면
Nested set error. Please contact the Administrator.,중첩 된 세트 오류. 관리자에게 문의하십시오.
Show Report,보고서보기
Auto Repeat Schedule,자동 반복 일정
Office,사무실
StartTLS,StartTLS
{0} days ago,{0} 일 전
Check,검사
Fetch From,가져 오기 시작
Not in Developer Mode,개발자 모드가 아님
Verifying...,확인 중 ...
Printer,인쇄기
A symbol for this currency. For e.g. $,이 통화 기호. 예를 들어 $
Cannot remove ID field,ID 입력란을 삭제할 수 없습니다.
removed,제거 된
Add Review,검토 추가
circle-arrow-left,원 - 화살 - 왼쪽
Dr,박사
Apply To All Document Types,모든 문서 유형에 적용
"There were some errors setting the name, please contact the administrator",이름을 설정하는 중 오류가 발생했습니다. 관리자에게 문의하십시오.
Allow Login After Fail,실패 후 로그인 허용
Documents,서류
Track Field,트랙 경기장
Compiled Successfully,성공적으로 컴파일 됨
{0} criticism points for {1} {2},{1} {2}에 대한 비평 점 {0}
Warning: This Print Format is in old style and cannot be generated via the API.,경고 :이 인쇄 형식은 이전 스타일이므로 API를 통해 생성 할 수 없습니다.
in the Auto Repeat document,자동 반복 문서에서
Access Token,액세스 토큰
Small Text,작은 텍스트
Edit {0},{0} 수정
Web Page,웹 페이지
Connection Success,연결 성공
Completed By,작성자
Bypass Two Factor Auth for users who login from restricted IP Address,제한된 IP 주소에서 로그인 한 사용자의 경우 Bypass Two Factor Auth
Missing Values Required,누락 값 필요
My Settings,내 설정
Group name cannot be empty.,그룹 이름은 비워 둘 수 없습니다.
road,도로
Source,출처
Active Sessions,활성 세션
There can be only one Fold in a form,폼에는 하나의 Fold 만있을 수 있습니다.
New Chat,새 채팅
Scan the QR Code and enter the resulting code displayed.,QR 코드를 스캔하고 표시된 결과 코드를 입력하십시오.
map-marker,지도 마커
Change Password,비밀번호 변경
More...,더...
Personal Data Deletion Request,개인 데이터 삭제 요청
Path to CA Certs File,CA 인증서 파일 경로
Old Password,기존 비밀번호
No of Columns,열 수 없음
Sending,배상
Google GSuite is not configured.,Google GSuite가 구성되지 않았습니다.
Dropbox access is approved!,보관 용 계정 승인이 승인되었습니다!
Call,요구
Day,일
Shop,가게
Under Development,개발중인
Please enter Authorize URL,URL 승인을 입력하십시오.
Send Notification to,알림을 님에게 보내기
Dropbox backup settings,보관 용 백업 설정
Remove all customizations?,모든 사용자 정의를 제거 하시겠습니까?
Only Administrator can edit,관리자 만 수정할 수 있습니다.
Reference Document,참조 문서
Liked,좋아함
This is a background report. Please set the appropriate filters and then generate a new one.,이것은 배경 보고서입니다. 적절한 필터를 설정 한 다음 새 필터를 생성하십시오.
Viewed By,조회수
Please select another payment method. PayPal does not support transactions in currency '{0}',다른 지불 방법을 선택하십시오. PayPal은 통화 &#39;{0}&#39;의 거래를 지원하지 않습니다.
Document can't saved.,문서를 저장할 수 없습니다.
Did not cancel,취소하지 않았습니까?
"Must be of type ""Attach Image""",&quot;이미지 첨부&quot;유형이어야합니다.
Send Password Update Notification,암호 업데이트 알림 보내기
XLSX,XLSX
Select a DocType to make a new format,새로운 형식을 만들려면 DocType을 선택하십시오.
Deleted Document,삭제 된 문서
Please select a file or url,파일 또는 URL을 선택하십시오.
Length,길이
JSON,JSON
Helvetica,헬 베티 카
Select Table Columns for {0},{0}의 테이블 열 선택
Tag Category,태그 카테고리
A new account has been created for you at {0},{0}에 새 계정이 생성되었습니다.
Roles can be set for users from their User page.,역할은 사용자 페이지에서 사용자에 대해 설정할 수 있습니다.
Include Search in Top Bar,상단 바에서 검색 포함
[Urgent] Error while creating recurring %s for %s,[긴급] 반복되는 % s을 % s에 생성하는 동안 오류가 발생했습니다.
Author,저자
on_cancel,on_cancel
No document found for given filters,주어진 필터에 대한 문서가 없습니다.
Users and Permissions,사용자 및 사용 권한
Roles,역할
Attachments,첨부 파일
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.",취소 후 문서를 수정하여 저장하면 이전 번호의 새 번호가 적용됩니다.
Manage Third Party Apps,타사 앱 관리
No records tagged.,태그 된 레코드가 없습니다.
User Emails,사용자 이메일
Website Theme Image Link,웹 사이트 테마 이미지 링크
Hide Weekends,주말 숨기기
Criticism,비판
Download with Data,데이터 다운로드
Add meta tags to your web pages,웹 페이지에 메타 태그 추가
john@doe.com,john@doe.com
Days Before,이전 일
Notify by Email,이메일로 알림
Response Type,응답 유형
resize-horizontal,가로 크기 조정
App {0} already installed,앱 {0}이 (가) 이미 설치되었습니다.
Time Zone,시간대
Fill Screen,채우기 화면
County,군
First Transaction,첫 거래
Click to Set Filters,클릭하여 필터 설정
Background Style,배경 스타일
Collapsible,접을 수 있는
PDF generation failed because of broken image links,깨진 이미지 링크로 인해 PDF 생성에 실패했습니다.
Migration ID Field,마이그레이션 ID 필드
Not a valid LDAP user,유효한 LDAP 사용자가 아닙니다.
Create a new record,새 레코드 만들기
"{0}, Row {1}","{0}, 행 {1}"
