 by Role ,โดยบทบาท
glass,แก้ว
globe,โลก
hand-down,มือลง
hand-left,มือซ้าย
hand-right,มือข้างขวา-
hand-up,มือขึ้น
hdd,ฮาร์ดดิสก์
headphones,หูฟัง
heart,หัวใจ
home,บ้าน
icon,ไอคอน
in,ใน
inbox,กล่องจดหมาย
indent-left,เยื้องซ้าย
indent-right,เยื้องขวา
info-sign,ข้อมูลการเข้าสู่ระบบ
is linked in,มีการเชื่อมโยงใน
is not allowed.,ไม่ได้รับอนุญาต
italic,ตัวเอียง
leaf,ใบไม้
list,รายการ
list-alt,รายการ ALT-
lock,ล็อค
lowercase,ตัวพิมพ์เล็ก
magnet,แม่เหล็ก
map-marker,แผนที่เครื่องหมาย
minus,ลบ
minus-sign,ลบการลงชื่อเข้าใช้
mm-dd-yyyy,dd-mm-ปี
mm/dd/yyyy,dd / mm / ปี
move,ย้าย
music,เพลง
not in,ไม่ได้อยู่ใน
of type Link,ประเภทของ Link
off,ปิด
ok,ok
ok-circle,ok วงกลม
ok-sign,OK-เครื่องหมาย
or,หรือ
pause,หยุด
pencil,ดินสอ
picture,ภาพ
plane,เครื่องบิน
play,เล่น
play-circle,เล่นวงกลม
plus,บวก
plus-sign,บวกเซ็น
print,พิมพ์
qrcode,QRCode
question-sign,คำถามการลงชื่อเข้าใช้
random,สุ่ม
refresh,รีเฟรช
remove,ถอด
remove-circle,ลบวงกลม
remove-sign,ลบเซ็น
repeat,ทำซ้ำ
resize-full,ปรับขนาดเต็ม
resize-horizontal,ปรับขนาดในแนวนอน-
resize-small,ปรับขนาดเล็ก
resize-vertical,ปรับขนาดในแนวตั้ง
retweet,retweet
road,ถนน
screenshot,ภาพหน้าจอ
search,ค้นหา
share,หุ้น
share-alt,หุ้น Alt-
shopping-cart,ช้อปปิ้งรถเข็น
signal,สัญญาณ
star,ดาว
star-empty,ดาวที่ว่างเปล่า
step-backward,ขั้นตอนย้อนหลัง
step-forward,ก้าวไปข้างหน้า-
stop,หยุด
tag,แท็ก
tags,แท็ก
"target = ""_blank""",target = &quot;_blank&quot;
tasks,งาน
text-height,ข้อความที่มีความสูง
text-width,ข้อความความกว้าง
th,th
th-large,-th ใหญ่
th-list,th-list
thumbs-down,ยกนิ้วลง
thumbs-up,ยกนิ้วขึ้น
time,เวลา
tint,สี
to,ไปยัง
trash,ถังขยะ
upload,อัปโหลด
user,ผู้ใช้งาน
user_image_show,user_image_show
values and dates,ค่านิยมและวันที่
volume-down,ปริมาณลง
volume-off,ปริมาณออก
volume-up,ปริมาณขึ้น
warning-sign,ป้ายเตือน-
wrench,ประแจ
yyyy-mm-dd,YYYY-MM-DD
zoom-in,ซูมใน
zoom-out,ซูมออก
