 by Role ,பாத்திரம் மூலம்
Please specify Event date and time,நிகழ்வு தேதி மற்றும் நேரம் குறிப்பிடவும்
Please specify doctype,DOCTYPE குறிப்பிடவும்
Please specify user,பயனர் குறிப்பிடவும்
Please specify which date field must be checked,சரிபார்க்கப்பட வேண்டும் எந்த தேதியில் துறையில் குறிப்பிடவும்
Please specify which value field must be checked,மதிப்பு துறையில் சரிபார்க்கப்பட வேண்டும் குறிப்பிடவும்
Please upload using the same template as download.,பதிவிறக்க அதே டெம்ப்ளேட் பயன்படுத்தி பதிவேற்றவும்.
Plugin,நீட்சியை
Port,துறைமுகம்
Post,போஸ்ட்
Post Publicly,பொதுவாக வெளியிட
Post Topic,யாழ் பதிவு
Post already exists. Cannot add again!,போஸ்ட் ஏற்கனவே உள்ளது. மீண்டும் சேர்க்க இயலாது!
Post does not exist. Please add post!,போஸ்ட் இல்லை . பதவியை சேர்க்க தயவு செய்து!
Post to user,பயனர் பதிவு
Posts,பதிவுகள்
Previous Record,முந்தைய பதிவு
Primary,முதல்
Print,அச்சடி
Print Format,வடிவமைப்பு அச்சிட
Print Format Help,அச்சு வடிவம் உதவி
Print Format Type,வடிவமைப்பு வகை அச்சிட
Print Format {0} does not exist,அச்சு வடிவம் {0} இல்லை
Print Format {0} is disabled,அச்சு வடிவம் {0} முடக்கப்பட்டுள்ளது
Print Hide,மறை அச்சிட
Print Settings,அச்சு அமைப்புகள்
Print Style,அச்சு உடை
Print Style Preview,அச்சு உடை முன்னோட்டம்
Print Width,அச்சு அகலம்
"Print with Letterhead, unless unchecked in a particular Document",", லெட்டர் அச்சிட வரை ஒரு குறிப்பிட்ட ஆவண தடையற்ற"
Print...,அச்சு ...
Printing and Branding,அச்சிடுதல் மற்றும் பிராண்டிங்
Priority,முதன்மை
Private,தனிப்பட்ட
Properties,பண்புகள்
Property,சொத்து
Property Setter,சொத்து செட்டர்
Property Type,சொத்து வகை
Public,பொது
Published,வெளியிடப்பட்ட
Published On,ம் தேதி வெளியிடப்பட்ட
Published on website at: {0},மணிக்கு இணையதளத்தில் வெளியிடப்படும்: {0}
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,இன்பாக்ஸ் இருந்து மின்னஞ்சல்கள் இழுக்க தொடர்பாடல் பதிவுகளை (அழைக்கப்படும் தொடர்புகளை) என அவற்றை இணைக்கலாம்.
Query,வினா
Query Options,கேள்வி விருப்பங்கள்
Query Report,கேள்வி அறிக்கை
Query must be a SELECT,"வினவல், ஒரு SELECT இருக்க வேண்டும்"
Quick Help for Setting Permissions,"அனுமதிகள் அமைத்தல், விரைவான உதவி"
Quick Help for User Permissions,பயனர் அனுமதிகள் விரைவு உதவி
Re-open,மீண்டும் திற
Read,வாசிக்க
Read Only,படிக்க மட்டும்
Received,பெற்றார்
Recipient,பெறுபவர்
Recipients,பெறுநர்கள்
Record does not exist,பதிவு இல்லை
Ref DocType,Ref டாக்டைப்பின்
Ref Name,Ref பெயர்
Ref Type,Ref வகை
Reference,குறிப்பு
Reference DocName,குறிப்பு DocName
Reference DocType,குறிப்பு Doctype
Reference Name,குறிப்பு பெயர்
Reference Type,குறிப்பு வகை
Refresh,இளைப்பா (ற்) று
Refreshing...,புதுப்பிக்கிறது ...
Registered but disabled.,பதிவு ஆனால் முடக்கப்பட்டுள்ளது.
Registration Details Emailed.,பதிவு விவரங்கள் மின்னஞ்சல்.
Reload Page,பக்கத்தை மீண்டும் ஏற்றுக
Remove Bookmark,Bookmark நீக்க
Remove all customizations?,அனைத்து தனிப்பயனாக்கம் நீக்க வேண்டுமா?
Rename many items by uploading a .csv file.,ஒரு . CSV கோப்பை பதிவேற்றம் பல பொருட்களை மறுபெயரிடு .
Rename...,மறுபெயர் ...
Repeat On,ஆன் செய்யவும்
Repeat Till,வரை மீண்டும்
Repeat this Event,இந்த நிகழ்வு மீண்டும்
Replies,பதில்கள்
Report,புகார்
Report Builder,அறிக்கை பில்டர்
Report Builder reports are managed directly by the report builder. Nothing to do.,அறிக்கை பில்டர் அறிக்கைகள் அறிக்கை கட்டடம் மூலம் நேரடியாக நிர்வகிக்கப்படுகிறது. இல்லை.
Report Hide,மறை அறிக்கை
Report Name,அறிக்கை பெயர்
Report Type,வகை புகார்
Report an Issue,சிக்கலை புகார்
Report cannot be set for Single types,அறிக்கை ஒற்றை வகையான அமைக்க முடியாது
Report this issue,இந்த சிக்கல் குறித்து புகார்
Report was not saved (there were errors),அறிக்கை சேமிக்க (பிழைகள் இருந்தன)
Reqd,Reqd
Reset Password Key,கடவுச்சொல் முக்கிய மீட்டமை
Reset Permissions for {0}?,{0} அனுமதிகள் மீட்டமை ?
Response,பதில்
Restrict IP,ஐபி கட்டுப்படுத்த
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),இந்த ஐபி முகவரியை இருந்து பயனர் கட்டுப்படுத்த. பல ஐபி முகவரிகள் கமாவால் பிரித்து சேர்க்க முடியும். மேலும் போன்ற பகுதி ஐபி முகவரிகள் (111.111.111) ஏற்றுக்கொள்கிறார்
Right,சரியான
Role,பங்கு
Role Name,பங்கு பெயர்
Role Permissions Manager,பங்கு அனுமதிகள் மேலாளர்
Role and Level,பங்கு மற்றும் நிலை
Role exists,பங்கு இருக்கிறது
Roles,பாத்திரங்கள்
Roles Assigned,ஒதுக்கப்பட்ட பாத்திரங்கள்
Roles Assigned To User,பயனர் ஒதுக்கப்படும் பாத்திரங்கள்
Roles HTML,பாத்திரங்கள் HTML
Roles can be set for users from their User page.,பாத்திரங்கள் தங்கள் பயனர் பக்கம் இருந்து பயனர்கள் அமைக்க முடியும் .
Root {0} cannot be deleted,ரூட் {0} நீக்க முடியாது
Row,வரிசை
Row #{0}:,ரோ # {0}:
Rules defining transition of state in the workflow.,பணியோட்டம் அரசு மாற்றம் வரையறுக்கும் விதிகள்.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",மாநிலங்களில் அடுத்த மாநில மற்றும் அதில் பங்கு போன்ற மாற்றங்கள் எப்படி விதிகளை அரசு பல மாற்றலாம்
Run scheduled jobs only if checked,சோதனை மட்டுமே திட்டமிட்ட வேலைகள் இயக்கவும்
Run the report first,முதல் அறிக்கை இயக்கவும்
SMTP Server (e.g. smtp.gmail.com),SMTP சேவையகம் (எ.கா. smtp.gmail.com)
Sales,விற்பனை
Same file has already been attached to the record,அதே கோப்பு ஏற்கனவே பதிவு இணைக்கப்பட்டுள்ள
Sample,மாதிரி
Saturday,சனிக்கிழமை
Save,சேமிக்கவும்
Scheduler Log,திட்ட புகுபதிகை
Script,ஸ்கிரிப்ட்
Script Report,ஸ்கிரிப்ட் அறிக்கை
Script Type,ஸ்கிரிப்ட் வகை
Search,தேடல்
Search Fields,தேடல் புலங்கள்
Search in a document type,ஒரு ஆவணம் வகை தேடு
Search or type a command,ஒரு கட்டளை தேடல் தட்டச்சு
Section Break,பகுதி பிரேக்
Security,பாதுகாப்பு
Security Settings,பாதுகாப்பு அமைப்புகள்
Select,தேர்ந்தெடு
Select All,அனைத்து தேர்வு
Select Attachments,இணைப்புகள் தேர்வு
Select Document Type,ஆவண வகை தேர்வு
Select Document Type or Role to start.,ஆவண வகை அல்லது துவக்க பங்கு தேர்ந்தெடுக்கவும்.
Select Print Format,அச்சு வடிவம் தேர்வு
Select Report Name,அறிக்கை பெயர் தேர்வு
Select Role,பங்கு தேர்வு
Select To Download:,பதிவிறக்க தேர்வு :
Select Type,வகை தேர்வு
Select User or DocType to start.,தொடங்க பயனர் அல்லது DOCTYPE தேர்ந்தெடுக்கவும்.
Select a Banner Image first.,முதல் ஒரு பேனர் பட தேர்ந்தெடுக்கவும்.
Select an image of approx width 150px with a transparent background for best results.,சிறந்த முடிவுகளை ஒரு வெளிப்படையான பின்னணி கொண்ட சுமார் அகலம் 150px ஒரு படத்தை தேர்ந்தெடுக்கவும்.
Select dates to create a new ,Select dates to create a new 
"Select modules to be shown (based on permission). If hidden, they will be hidden for all users.","தேர்வு தொகுதிகள் ( அனுமதி அடிப்படையில்) பார்க்க வேண்டும் . மறைத்து என்றால், அவர்கள் அனைத்து பயனர்கள் மறைத்து வேண்டும் ."
Select or drag across time slots to create a new event.,தேர்வு அல்லது ஒரு புதிய நிகழ்வை உருவாக்க நேரம் இடங்கள் முழுவதும் இழுக்கவும்.
"Select target = ""_blank"" to open in a new page.","தேர்ந்தெடு இலக்கு ஒரு புதிய பக்கம் திறக்க = ""_blank"" ."
Select the label after which you want to insert new field.,நீங்கள் புதிய துறையில் சேர்க்க வேண்டும் பின்னர் லேபிள் தேர்வு.
Send,அனுப்பு
Send Alert On,எச்சரிக்கை அனுப்பவும்
Send As Email,மின்னஞ்சல் அனுப்பு
Send Email,மின்னஞ்சல் அனுப்ப
Send Email Print Attachments as PDF (Recommended),PDF ஆக மின்னஞ்சல் அச்சிடுக இணைப்புகளை அனுப்ப (பரிந்துரைக்கப்படுகிறது)
Send Me A Copy,என்னை ஒரு நகல் அனுப்ப
Send Password,கடவுச்சொல் அனுப்பவும்
Send Print as PDF,என அச்சு அனுப்பவும் PDF
Send alert if date matches this field's value,தேதி இந்த துறையில் மதிப்பு பொருந்தும் என்றால் எச்சரிக்கை அனுப்பவும்
Send alert if this field's value changes,எச்சரிக்கை அனுப்பவும் இந்த துறையில் மதிப்பு மாற்றங்கள் என்றால்
Send an email reminder in the morning,காலையில் ஒரு நினைவூட்டல் மின்னஞ்சலை அனுப்ப
Send download link of a recent backup to System Managers,கணினி மேலாளர்கள் ஒரு சமீபத்திய காப்பு இணைப்பை அனுப்பவும்
Send enquiries to this email address,இந்த மின்னஞ்சல் முகவரியை விசாரணைகள் அனுப்பவும்
Sender,அனுப்புபவர்
Sent,அனுப்பப்பட்டது
Sent Mail,அனுப்பிய அஞ்சல்
Sent Quotation,அனுப்பி விலைப்பட்டியல்
Sent or Received,அனுப்பப்படும் அல்லது பெறப்படும்
Series,தொடர்
Series {0} already used in {1},தொடர் {0} ஏற்கனவே பயன்படுத்தப்படுகிறது {1}
Server,சர்வர்
Server & Credentials,சர்வர் & தகைமை
Server Error: Please check your server logs or contact tech support.,சர்வர் பிழை: உங்கள் சேவையகம் பதிவுகள் அல்லது தொடர்பு தொழில்நுட்ப ஆதரவு சரிபார்க்கவும்.
Session Expired. Logging you out,அமர்வு காலாவதியானது. உங்களை வெளியேற்றுகிறோம்
Session Expiry,அமர்வு காலாவதியாகும்
Session Expiry in Hours e.g. 06:00,ஹவர்ஸ் அமர்வு காலாவதியாகும் 06:00 எ.கா.
Session Expiry must be in format {0},அமர்வு காலாவதியாகும் வடிவமைப்பில் இருக்க வேண்டும் {0}
Set Banner from Image,பட இருந்து பதாகை அமைக்க
Set Link,அமை இணைப்பு
Set Login and Password if authentication is required.,அங்கீகாரம் தேவை என்றால் தேதி மற்றும் கடவுச்சொல் அமைக்க.
Set Only Once,ஒரு முறை மட்டுமே அமை
Set Password,அமை கடவுச்சொல்
Set Permissions on Document Types and Roles,ஆவண வகைகள் மற்றும் பாத்திரங்களை அமைக்க அனுமதி
Set Permissions per User,பயனர் ஒன்றுக்கு அனுமதிகளை
Set User Permissions,அமை பயனர் அனுமதிகள்
Set Value,மதிப்பு அமைக்க
"Set default format, page size, print style etc.","அமை வடிவம், பக்க அளவு, அச்சு பாணி முதலியன"
Set numbering series for transactions.,பரிவர்த்தனைகள் தொடர் எண்ணிக்கையில் அமைக்கவும் .
Set outgoing mail server.,வெளிச்செல்லும் அஞ்சல் சர்வர் அமைக்கவும் .
Settings,அமைப்புகள்
Settings for About Us Page.,எங்களை பற்றி பக்கம் அமைப்புகளை.
Settings for Contact Us Page.,அமைப்புகளை எங்களை பக்கம் தொடர்புக்கு.
Setup,அமைப்பு முறை
Setup > User,அமைப்பு> பயனர்
Setup > User Permissions Manager,அமைப்பு> பயனர் அனுமதிகள் மேலாளர்
Setup Email Alert based on various criteria.,அமைப்பு மின்னஞ்சல் எச்சரிக்கை பல்வேறு அளவுகோல்களை அடிப்படையாக கொண்டது.
Setup of fonts and background.,எழுத்துருக்கள் மற்றும் பின்னணி அமைப்பு.
"Setup of top navigation bar, footer and logo.","மேல் திசை பட்டையில், பூட்டர் மற்றும் லோகோ அமைப்பு."
Short Bio,குறுகிய உயிரி
Short Name,குறுகிய பெயர்
Shortcut,குறுக்கு வழி
Show / Hide Modules,காட்டு / மறை தொகுதிகள்
Show Print First,காட்டு முதலில் அச்சிடவும்
Show Tags,நிகழ்ச்சி குறிச்சொற்களை
Show or hide modules globally.,காட்டு அல்லது உலகளாவிய மறைக்க தொகுதிகள் .
Show rows with zero values,பூஜ்ய மதிப்புகள் வரிசைகள் காட்டு
Show tags,நிகழ்ச்சி குறிச்சொற்களை
Show this field as title,தலைப்பு இந்த துறையில் காட்டு
Showing only for (if not empty),மட்டும் காண்பிக்கிறது ( இல்லை என்றால் காலியாக )
Sidebar,பக்கப்பட்டி
Sidebar Items,பக்கப்பட்டி பொருட்கள்
Sidebar Links for Home Page only,முகப்பு பக்கம் ஐந்து பக்கப்பட்டியில் இணைப்புகள் மட்டுமே
Sign Up,பதிவு
Sign in,உள்நுழைக
Sign up,பதிவு
Single Post (article).,ஒற்றை போஸ்ட் (கட்டுரை).
Single Types have only one record no tables associated. Values are stored in tabSingles,ஒற்றை வகைகள் தொடர்புடைய ஒரே ஒரு சாதனையை எந்த அட்டவணைகள் வேண்டும் . கலாச்சாரம் tabSingles சேமிக்கப்படும்
Sitemap Browser,தள வரைபடம் உலாவி
Slideshow,ஸ்லைடுஷோ
Slideshow Items,எஸ் உருப்படிகள்
Slideshow Name,எஸ் பெயர்
Small Text,சிறிய உரை
Social Login Keys,சமூக தேதி விசைகள்
Solid background color (default light gray),திட பின்னணி நிறம் (முன்னிருப்பாக ஒளி சாம்பல்)
Sorry we were unable to find what you were looking for.,"மன்னிக்கவும், நீங்கள் தேடும் என்ன கண்டுபிடிக்க முடியவில்லை."
Sorry you are not permitted to view this page.,"மன்னிக்கவும், நீங்கள் இந்த பக்கம் பார்க்க அனுமதியில்லை."
Sort By,வரிசைப்படுத்து
Sort Field,அண்மையில்
Sort Order,வரிசையை
Standard,நிலையான
Standard Print Format cannot be updated,ஸ்டாண்டர்ட் அச்சு வடிவம் மேம்படுத்தப்பட்டது முடியாது
Standard Reply,வழக்கமான பதில்
Standard Reports,ஸ்டாண்டர்ட் அறிக்கைகள்
Standard replies to common queries.,ஸ்டாண்டர்ட் பொதுவான கேள்விகளுக்கு பதில்.
Start Report For,இந்த அறிக்கை தொடங்க
Starts on,தொடங்குகிறது
State,நிலை
States,அமெரிக்கா
"States for workflow (e.g. Draft, Approved, Cancelled).","திடுக்கிடும் அமெரிக்கா (எ.கா. வரைவு , அங்கீகரிக்கப்பட்ட , ரத்து செய்யப்பட்டது ) ."
Static File Timestamp,நிலையான கோப்பு டைம்ஸ்டாம்ப்
Status,அந்தஸ்து
Step 1: Set the name and save.,படி 1: பெயர் அமைக்கவும் மற்றும் சேமிக்க .
Step 2: Set Letterhead content.,படி 2: லெட்டர் உள்ளடக்கத்தை அமைத்தல் .
Style,உடை
Style Settings,உடை அமைப்புகள்
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange","- பசுமை, ஆபத்து - ரெட், எதிர்மாறான - பிளாக், முதன்மை - டார்க் ப்ளூ, தகவல் - லைட் ப்ளூ, எச்சரிக்கை - ஆரஞ்சு வெற்றி: உடை பொத்தானை நிறம் குறிக்கிறது"
Sub-domain provided by erpnext.com,Erpnext.com வழங்கிய துணை டொமைன்
Subdomain,சப்டொமைன்
Subject,பொருள்
Submit,Submit &#39;
Submit an Issue,ஒரு Issue சமர்ப்பிக்கவும்
Submitted,சமர்ப்பிக்கப்பட்டது
Submitted Document cannot be converted back to draft. Transition row {0},இந்த ஆவணத்தின் வரைவு மீண்டும் மாற்ற முடியாது .
Success,வெற்றி
Suggestion,யோசனை
Sunday,ஞாயிற்றுக்கிழமை
Switch to Website,இணைய மாற்றலாம்
Sync Inbox,Sync இன்பாக்ஸ்
System,முறை
System Settings,கணினி அமைப்புகள்
System User,கணினி பயனர்
System and Website Users,கணினி மற்றும் இணைய பயனர்கள்
System generated mails will be sent from this email id.,கணினி உருவாக்கப்பட்ட அஞ்சல் இந்த மின்னஞ்சல் ஐடி இருந்து அனுப்பப்படும்.
Table,மேசை
Table {0} cannot be empty,அட்டவணை {0} காலியாக இருக்க முடியாது
Tag,Tag
Tag Name,Tag பெயர்
Tags,குறிச்சொற்கள்
Tahoma,தஹோமா
Target,இலக்கு
Tasks,பணிகள்
Team Members,குழு உறுப்பினர்
Team Members Heading,குழு உறுப்பினர் தலைப்பு
Template,டெம்ப்ளேட்
Template Pages cannot be moved,டெம்ப்ளேட் பக்கங்கள் சென்றார் முடியாது
Test,சோதனை
Test Runner,டெஸ்ட் ரன்னர்
Text,உரை
Text Align,உரை சீரமை
Text Editor,உரை திருத்தி
Thank you for your message,உங்கள் செய்தி நன்றி
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,நீங்கள் உலாவி தலைப்பு பட்டியில் தோன்றும் வேண்டும் என்று உங்கள் நிறுவனம் / வலைத்தளத்தின் பெயர். அனைத்து பக்கங்கள் தலைப்பை முன்னொட்டு இந்த சாப்பிடும்.
The system provides many pre-defined roles. You can add new roles to set finer permissions.,அமைப்பு பல முன் வரையறுக்கப்பட்ட கதாபாத்திரங்களில் வழங்குகிறது . நேர்த்தியான அனுமதிகளை அமைக்க புதிய பாத்திரங்கள் சேர்க்க முடியும் .
Then By (optional),பின்னர் (விரும்பினால்) மூலம்
There should remain at least one System Manager,குறைந்தது ஒரு கணினி மேலாளர் இருக்க வேண்டும்
There were errors,பிழைகள் உள்ளன
There were errors while sending email. Please try again.,மின்னஞ்சல் அனுப்பும் போது பிழைகள் இருந்தன . மீண்டும் முயற்சிக்கவும்.
"There were some errors setting the name, please contact the administrator","பெயர் அமைக்க சில பிழைகள் இருந்தன, நிர்வாகியை தொடர்பு கொள்க"
"These permissions will apply for all transactions where the permitted record is linked. For example, if Company C is added to User Permissions of user X, user X will only be able to see transactions that has company C as a linked value.",இந்த அனுமதிகள் அனுமதி சாதனை இணைக்கப்பட்ட அமைந்துள்ள அனைத்து நடவடிக்கைகளையும் விண்ணப்பிக்க வேண்டும்.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,இந்த மதிப்புகள் தானாக நடவடிக்கைகளில் புதுப்பிக்கப்படும் மேலும் இந்த மதிப்புகள் கொண்ட பரிமாற்றங்களை இந்த பயனர் அனுமதிகள் கட்டுப்படுத்த பயனுள்ளதாக இருக்கும்.
"These will also be set as default values for those links, if only one such permission record is defined.","ஒரே ஒரு அத்தகைய அனுமதி பதிவு வரையறுக்கப்படுகிறது என்றால் இந்த மேலும் , அந்த இணைப்புகள் முன்னிருப்பு மதிப்புகளை அமைக்க வேண்டும் ."
Third Party Authentication,மூன்றாவது கட்சி அங்கீகாரம்
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,இங்கே வரையறுக்கப்பட்ட FIELDNAME மதிப்பு உள்ளது அல்லது விதிகள் உண்மை (உதாரணங்கள்) இருந்தால் மட்டுமே இந்த துறையில் தோன்றும்: India  myfield  eval: doc.myfield == 'என் மதிப்பை' India  eval: doc.age> 18
This goes above the slideshow.,இந்த காட்சியை மேலே செல்கிறது.
This is PERMANENT action and you cannot undo. Continue?,"இந்த நிரந்தர செயலாகும், நீங்கள் செயல்தவிர்க்க முடியாது. தொடர்ந்து?"
"This is a standard format. To make changes, please copy it make make a new format.","இந்த ஒரு நிலையான வடிவம் இருக்கிறது. மாற்றங்கள் செய்ய, அது ஒரு புதிய வடிவம் செய்ய வேண்டும் நகலெடுக்கவும்."
This is permanent action and you cannot undo. Continue?,இந்த நிரந்தர நடவடிக்கை மற்றும் நீங்கள் செயல்தவிர்க்க முடியாது. தொடர்ந்து?
This must be checked if Style Settings are applicable,உடை அமைப்புகள் பொருந்தும் என்றால் இந்த சரிபார்க்கப்பட வேண்டும்
This role update User Permissions for a user,ஒரு பயனர் இந்த பங்கு மேம்படுத்தல் பயனர் அனுமதிகள்
Thursday,வியாழக்கிழமை
Tile,ஓடு
Time,காலம்
Time Zone,நேரம் மண்டல
Timezone,நேர மண்டலம்
Title,தலைப்பு
Title / headline of your page,தலைப்பு / உங்கள் பக்கம் தலைப்பு
Title Case,தலைப்பு வழக்கு
Title Field,தலைப்பு புலம்
Title Prefix,தலைப்பு முன்னொட்டுக்கு
Title field must be a valid fieldname,தலைப்பு துறையில் ஒரு செல்லுபடியாகும் FIELDNAME இருக்க வேண்டும்
Title is required,தலைப்பு தேவைப்படுகிறது
To,வேண்டும்
To Do,செய்ய
"To format columns, give column labels in the query.",", பத்திகள் வடிவமைக்க கேள்வியை நிரலை அடையாளங்கள் கொடுக்க. செய்ய"
"To give acess to a role for only specific records, check the 'Apply User Permissions'. User Permissions are used to limit users with such role to specific records.","' பயனர் அனுமதிகள் பொருந்தும் ' பார்க்க , குறிப்பிட்ட பதிவுகளை ஒரு பங்கு Acess கொடுக்க ."
"To run a test add the module name in the route after '{0}'. For example, {1}","ஒரு சோதனை ' {0}' பிறகு இந்த தொகுதி பெயர் சேர்க்க ரன் . உதாரணமாக, {1}"
ToDo,TODO
Too many writes in one request. Please send smaller requests,பல ஒரு கோரிக்கை எழுதுகிறார் . சிறிய கோரிக்கைகளை அனுப்ப தயவு செய்து
Top Bar,மேல் பட்டை
Top Bar Background,மேல் பட்டி விருப்பம்
Top Bar Item,மேல் பட்டி உருப்படி
Top Bar Items,மேல் பட்டி உருப்படிகள்
Top Bar Text,மேல் பட்டை உரை
Top Bar text and background is same color. Please change.,மேல் பட்டை உரை மற்றும் பின்னணி அதே நிறம். மாற்றம் செய்யுங்கள்.
Transaction,பரிவர்த்தனை
Transition Rules,மாற்றம் விதிகள்
Tuesday,செவ்வாய்க்கிழமை
Tweet will be shared via your user account (if specified),(குறிப்பிட்ட என்றால்) Tweet உங்கள் பயனர் கணக்கு வழியாக பகிர்ந்து
Twitter Share,ட்விட்டர் பகிர்
Twitter Share via,ட்விட்டர் பகிர் வழியாக
Type,மாதிரி
Unable to find attachment {0},கண்டுபிடிக்க முடியவில்லை இணைப்பு {0}
Unable to load: {0},ஏற்ற முடியவில்லை: {0}
Unable to open attached file. Please try again.,இணைக்கப்பட்ட கோப்பை திறக்க முடியவில்லை . மீண்டும் முயற்சிக்கவும்.
Unable to send emails at this time,இந்த நேரத்தில் மின்னஞ்சல்களை அனுப்ப முடியவில்லை
Unknown Column: {0},தெரியாத வரிசை : {0}
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","தெரியாத கோப்பு குறியாக்க . முயற்சி UTF-8 , விண்டோஸ் 1250 , விண்டோஸ் 1252 ."
Unread Messages,படிக்காத செய்திகள்
Unsubscribe,சந்தா
Unsubscribed,குழுவிலகப்பட்டது
Upcoming Events for Today,இன்று வரவிருக்கும் நிகழ்வுகள்
Update,புதுப்பிக்க
Update Field,புலம் புதுப்பிக்க
Update Value,மதிப்பு மேம்படுத்த
Updated,புதுப்பிக்கப்பட்ட
Upload,பதிவேற்று
Upload Attachment,இணைப்பு பதிவேற்று
Upload CSV file containing all user permissions in the same format as Download.,பதிவிறக்க ஒரே வடிவத்தில் அனைத்து பயனர் அனுமதிகள் கொண்ட CSV கோப்பு பதிவேற்ற.
Upload a file,ஒரு கோப்பை பதிவேற்று
Upload and Import,பதிவேற்ற மற்றும் இறக்குமதி
Upload and Sync,பதிவேற்றம் மற்றும் ஒத்திசை
Uploading...,பதிவேற்ற ...
Upvotes,upvotes
Use TLS,TLS பயன்படுத்தவும்
User,பயனர்
User Cannot Create,பயனர் உருவாக்க முடியாது
User Cannot Search,பயனர் தேட முடியாது
User Defaults,சுயவிவரத்தை இயல்புநிலைகளுக்கு
User ID of a blog writer.,ஒரு வலைப்பதிவு எழுத்தாளர் பயனர் ஐடி.
User Image,பயனர் படம்
User Permission,பயனர் அனுமதி
User Permissions,பயனர் அனுமதிகள்
User Permissions Manager,பயனர் அனுமதிகள் மேலாளர்
User Roles,பயனர் பங்களிப்புகள்
User Tags,பயனர் குறிச்சொற்கள்
User Type,பயனர் வகை
"User Type ""System User"" can access Desktop. ""Website User"" can only be logged into the website and portal pages. ","User Type ""System User"" can access Desktop. ""Website User"" can only be logged into the website and portal pages. "
User Vote,பயனர் ஓட்டு
User not allowed to delete {0}: {1},பயனர் நீக்க அனுமதி இல்லை {0} {1}
User permissions should not apply for this Link,பயனர் அனுமதிகள் இந்த இணைப்பு விண்ணப்பிக்க முடியாது
User {0} cannot be deleted,பயனர் {0} நீக்க முடியாது
User {0} cannot be disabled,பயனர் {0} முடக்க முடியாது
User {0} cannot be renamed,பயனர் {0} பெயர் மாற்றம் செய்ய முடியாது
User {0} does not exist,பயனர் {0} இல்லை
UserRole,UserRole
Users and Permissions,பயனர்கள் மற்றும் அனுமதிகள்
Users with role {0}:,பங்கு பயனர்கள் {0} :
Valid Login id required.,செல்லுபடியாகும் உள்நுழைவு ஐடி தேவைப்படுகிறது.
Valid email and name required,தேவையான சரியான மின்னஞ்சல் மற்றும் பெயர்
Value,மதிப்பு
Value Change,மதிப்பு மாற்றம்
Value Changed,மதிப்பு மாற்றப்பட்டது
Value cannot be changed for {0},மதிப்பு மாற்ற முடியாது {0}
Value for a check field can be either 0 or 1,ஒரு காசோலை துறையில் மதிப்பு 0 அல்லது 1 அல்லது இருக்க முடியும்
Value missing for,மதிப்பு காணாமல்
Verdana,Verdana
Version,பதிப்பு
Version restored,மீட்டெடுத்தது பதிப்பு
View or manage Website Route tree.,இணையத்தளம் வழி மரம் காண்க அல்லது நிர்வகிக்க .
Visit,வருகை
Warning,எச்சரிக்கை
Warning: This Print Format is in old style and cannot be generated via the API.,எச்சரிக்கை: இந்த அச்சு வடிவம் பழைய பாணி உள்ளது மற்றும் API வழியாக உருவாக்கப்படும் முடியாது.
Web Page,வலை பக்கம்
Web Site Forum Page.,வலைத்தள கருத்துக்களம் Page .
Website,இணையதளம்
Website Group,இணைய குழு
Website Route,இணையத்தளம் தள வரைபடம்
Website Route Permission,இணையத்தளம் வழி அனுமதி
Website Script,இணைய உரை
Website Settings,இணைய அமைப்புகள்
Website Slideshow,இணைய ப
Website Slideshow Item,இணைய ப பொருள்
Website User,வலைத்தளம் பயனர்
Wednesday,புதன்கிழமை
Welcome email sent,வரவேற்கிறோம் மின்னஞ்சல் அனுப்பி
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","நீங்கள் பின்னர் ரத்து மற்றும் அதை காப்பாற்ற ஒரு ஆவணத்தை திருத்தம் போது, அது பழைய எண் ஒரு பதிப்பு என்று ஒரு புதிய எண் கிடைக்கும் ."
Width,அகலம்
Will be used in url (usually first name).,URL (வழக்கமாக முதல் பெயர்) பயன்படுத்தப்படுகிறது.
With Groups,குழுக்கள்
With Ledgers,பேரேடுகளும்
With Letterhead,லெட்டர் கொண்டு
Workflow,பணியோட்டம்
Workflow Action,பணியோட்டம் அதிரடி
Workflow Action Name,பணியோட்டம் அதிரடி பெயர்
Workflow Document State,பணியோட்டம் ஆவண மாநிலம்
Workflow Document States,பணியோட்டம் ஆவண அமெரிக்கா
Workflow Name,பணியோட்டம் பெயர்
Workflow State,பணியோட்டம் மாநிலம்
Workflow State Field,பணியோட்டம் மாநிலம் புலம்
Workflow Transition,பணியோட்டம் மாற்றம்
Workflow Transitions,பணியோட்டம் மாற்றங்கள்
Workflow will start after saving.,பணியோட்டம் சேமிப்பு பின்னர் ஆரம்பிக்கும்.
Write,எழுது
